reference_probe_id,variant_probe_id,control,comparison,setting_id,scene_id,target_order
gym__name_jesse__obj_book__distance_phrase__object_first,gym__name_jesse__obj_book__distance_phrase_object_first__object_first,context_entity_order,distance_person_first_vs_object_first,gym,gym__name_jesse__obj_book,object_first
gym__name_jesse__obj_book__direct_label__person_first,gym__name_jesse__obj_book__distance_phrase__person_first,evidence_type,direct_vs_distance,gym,gym__name_jesse__obj_book,person_first
gym__name_jesse__obj_book__direct_label__person_first,gym__name_jesse__obj_book__endpoint_placement__person_first,evidence_type,direct_vs_placement,gym,gym__name_jesse__obj_book,person_first
gym__name_jesse__obj_book__distance_phrase__person_first,gym__name_jesse__obj_book__endpoint_placement__person_first,evidence_type,distance_vs_placement,gym,gym__name_jesse__obj_book,person_first
gym__name_jesse__obj_book__distance_phrase__person_first,gym__name_jesse__obj_book__distance_phrase_object_first__person_first,context_entity_order,distance_person_first_vs_object_first,gym,gym__name_jesse__obj_book,person_first
gym__name_jesse__obj_cone__direct_label__object_first,gym__name_jesse__obj_cone__distance_phrase__object_first,evidence_type,direct_vs_distance,gym,gym__name_jesse__obj_cone,object_first
gym__name_jesse__obj_cone__direct_label__object_first,gym__name_jesse__obj_cone__endpoint_placement__object_first,evidence_type,direct_vs_placement,gym,gym__name_jesse__obj_cone,object_first
gym__name_jesse__obj_cone__distance_phrase__object_first,gym__name_jesse__obj_cone__endpoint_placement__object_first,evidence_type,distance_vs_placement,gym,gym__name_jesse__obj_cone,object_first
gym__name_jesse__obj_cone__distance_phrase__object_first,gym__name_jesse__obj_cone__distance_phrase_object_first__object_first,context_entity_order,distance_person_first_vs_object_first,gym,gym__name_jesse__obj_cone,object_first
gym__name_jesse__obj_cone__direct_label__person_first,gym__name_jesse__obj_cone__distance_phrase__person_first,evidence_type,direct_vs_distance,gym,gym__name_jesse__obj_cone,person_first
gym__name_jesse__obj_cone__direct_label__person_first,gym__name_jesse__obj_cone__endpoint_placement__person_first,evidence_type,direct_vs_placement,gym,gym__name_jesse__obj_cone,person_first
gym__name_jesse__obj_cone__distance_phrase__person_first,gym__name_jesse__obj_cone__endpoint_placement__person_first,evidence_type,distance_vs_placement,gym,gym__name_jesse__obj_cone,person_first
gym__name_jesse__obj_cone__distance_phrase__person_first,gym__name_jesse__obj_cone__distance_phrase_object_first__person_first,context_entity_order,distance_person_first_vs_object_first,gym,gym__name_jesse__obj_cone,person_first
gym__name_jesse__obj_helmet__direct_label__object_first,gym__name_jesse__obj_helmet__distance_phrase__object_first,evidence_type,direct_vs_distance,gym,gym__name_jesse__obj_helmet,object_first
gym__name_jesse__obj_helmet__direct_label__object_first,gym__name_jesse__obj_helmet__endpoint_placement__object_first,evidence_type,direct_vs_placement,gym,gym__name_jesse__obj_helmet,object_first
gym__name_jesse__obj_helmet__distance_phrase__object_first,gym__name_jesse__obj_helmet__endpoint_placement__object_first,evidence_type,distance_vs_placement,gym,gym__name_jesse__obj_helmet,object_first
gym__name_jesse__obj_helmet__distance_phrase__object_first,gym__name_jesse__obj_helmet__distance_phrase_object_first__object_first,context_entity_order,distance_person_first_vs_object_first,gym,gym__name_jesse__obj_helmet,object_first
gym__name_jesse__obj_helmet__direct_label__person_first,gym__name_jesse__obj_helmet__distance_phrase__person_first,evidence_type,direct_vs_distance,gym,gym__name_jesse__obj_helmet,person_first
gym__name_jesse__obj_helmet__direct_label__person_first,gym__name_jesse__obj_helmet__endpoint_placement__person_first,evidence_type,direct_vs_placement,gym,gym__name_jesse__obj_helmet,person_first
gym__name_jesse__obj_helmet__distance_phrase__person_first,gym__name_jesse__obj_helmet__endpoint_placement__person_first,evidence_type,distance_vs_placement,gym,gym__name_jesse__obj_helmet,person_first
gym__name_jesse__obj_helmet__distance_phrase__person_first,gym__name_jesse__obj_helmet__distance_phrase_object_first__person_first,context_entity_order,distance_person_first_vs_object_first,gym,gym__name_jesse__obj_helmet,person_first
gym__name_jesse__obj_cup__direct_label__object_first,gym__name_jesse__obj_cup__distance_phrase__object_first,evidence_type,direct_vs_distance,gym,gym__name_jesse__obj_cup,object_first
gym__name_jesse__obj_cup__direct_label__object_first,gym__name_jesse__obj_cup__endpoint_placement__object_first,evidence_type,direct_vs_placement,gym,gym__name_jesse__obj_cup,object_first
gym__name_jesse__obj_cup__distance_phrase__object_first,gym__name_jesse__obj_cup__endpoint_placement__object_first,evidence_type,distance_vs_placement,gym,gym__name_jesse__obj_cup,object_first
gym__name_jesse__obj_cup__distance_phrase__object_first,gym__name_jesse__obj_cup__distance_phrase_object_first__object_first,context_entity_order,distance_person_first_vs_object_first,gym,gym__name_jesse__obj_cup,object_first
gym__name_jesse__obj_cup__direct_label__person_first,gym__name_jesse__obj_cup__distance_phrase__person_first,evidence_type,direct_vs_distance,gym,gym__name_jesse__obj_cup,person_first
gym__name_jesse__obj_cup__direct_label__person_first,gym__name_jesse__obj_cup__endpoint_placement__person_first,evidence_type,direct_vs_placement,gym,gym__name_jesse__obj_cup,person_first
gym__name_jesse__obj_cup__distance_phrase__person_first,gym__name_jesse__obj_cup__endpoint_placement__person_first,evidence_type,distance_vs_placement,gym,gym__name_jesse__obj_cup,person_first
gym__name_jesse__obj_cup__distance_phrase__person_first,gym__name_jesse__obj_cup__distance_phrase_object_first__person_first,context_entity_order,distance_person_first_vs_object_first,gym,gym__name_jesse__obj_cup,person_first
gym__name_jesse__obj_key__direct_label__object_first,gym__name_jesse__obj_key__distance_phrase__object_first,evidence_type,direct_vs_distance,gym,gym__name_jesse__obj_key,object_first
gym__name_jesse__obj_key__direct_label__object_first,gym__name_jesse__obj_key__endpoint_placement__object_first,evidence_type,direct_vs_placement,gym,gym__name_jesse__obj_key,object_first
gym__name_jesse__obj_key__distance_phrase__object_first,gym__name_jesse__obj_key__endpoint_placement__object_first,evidence_type,distance_vs_placement,gym,gym__name_jesse__obj_key,object_first
gym__name_jesse__obj_key__distance_phrase__object_first,gym__name_jesse__obj_key__distance_phrase_object_first__object_first,context_entity_order,distance_person_first_vs_object_first,gym,gym__name_jesse__obj_key,object_first
gym__name_jesse__obj_key__direct_label__person_first,gym__name_jesse__obj_key__distance_phrase__person_first,evidence_type,direct_vs_distance,gym,gym__name_jesse__obj_key,person_first
gym__name_jesse__obj_key__direct_label__person_first,gym__name_jesse__obj_key__endpoint_placement__person_first,evidence_type,direct_vs_placement,gym,gym__name_jesse__obj_key,person_first
gym__name_jesse__obj_key__distance_phrase__person_first,gym__name_jesse__obj_key__endpoint_placement__person_first,evidence_type,distance_vs_placement,gym,gym__name_jesse__obj_key,person_first
gym__name_jesse__obj_key__distance_phrase__person_first,gym__name_jesse__obj_key__distance_phrase_object_first__person_first,context_entity_order,distance_person_first_vs_object_first,gym,gym__name_jesse__obj_key,person_first
gym__name_jesse__obj_box__direct_label__object_first,gym__name_jesse__obj_box__distance_phrase__object_first,evidence_type,direct_vs_distance,gym,gym__name_jesse__obj_box,object_first
gym__name_jesse__obj_box__direct_label__object_first,gym__name_jesse__obj_box__endpoint_placement__object_first,evidence_type,direct_vs_placement,gym,gym__name_jesse__obj_box,object_first
gym__name_jesse__obj_box__distance_phrase__object_first,gym__name_jesse__obj_box__endpoint_placement__object_first,evidence_type,distance_vs_placement,gym,gym__name_jesse__obj_box,object_first
gym__name_jesse__obj_box__distance_phrase__object_first,gym__name_jesse__obj_box__distance_phrase_object_first__object_first,context_entity_order,distance_person_first_vs_object_first,gym,gym__name_jesse__obj_box,object_first
gym__name_jesse__obj_box__direct_label__person_first,gym__name_jesse__obj_box__distance_phrase__person_first,evidence_type,direct_vs_distance,gym,gym__name_jesse__obj_box,person_first
gym__name_jesse__obj_box__direct_label__person_first,gym__name_jesse__obj_box__endpoint_placement__person_first,evidence_type,direct_vs_placement,gym,gym__name_jesse__obj_box,person_first
gym__name_jesse__obj_box__distance_phrase__person_first,gym__name_jesse__obj_box__endpoint_placement__person_first,evidence_type,distance_vs_placement,gym,gym__name_jesse__obj_box,person_first
gym__name_jesse__obj_box__distance_phrase__person_first,gym__name_jesse__obj_box__distance_phrase_object_first__person_first,context_entity_order,distance_person_first_vs_object_first,gym,gym__name_jesse__obj_box,person_first
gym__name_li__obj_ball__direct_label__object_first,gym__name_li__obj_ball__distance_phrase__object_first,evidence_type,direct_vs_distance,gym,gym__name_li__obj_ball,object_first
gym__name_li__obj_ball__direct_label__object_first,gym__name_li__obj_ball__endpoint_placement__object_first,evidence_type,direct_vs_placement,gym,gym__name_li__obj_ball,object_first
gym__name_li__obj_ball__distance_phrase__object_first,gym__name_li__obj_ball__endpoint_placement__object_first,evidence_type,distance_vs_placement,gym,gym__name_li__obj_ball,object_first
gym__name_li__obj_ball__distance_phrase__object_first,gym__name_li__obj_ball__distance_phrase_object_first__object_first,context_entity_order,distance_person_first_vs_object_first,gym,gym__name_li__obj_ball,object_first
gym__name_li__obj_ball__direct_label__person_first,gym__name_li__obj_ball__distance_phrase__person_first,evidence_type,direct_vs_distance,gym,gym__name_li__obj_ball,person_first
gym__name_li__obj_ball__direct_label__person_first,gym__name_li__obj_ball__endpoint_placement__person_first,evidence_type,direct_vs_placement,gym,gym__name_li__obj_ball,person_first
gym__name_li__obj_ball__distance_phrase__person_first,gym__name_li__obj_ball__endpoint_placement__person_first,evidence_type,distance_vs_placement,gym,gym__name_li__obj_ball,person_first
gym__name_li__obj_ball__distance_phrase__person_first,gym__name_li__obj_ball__distance_phrase_object_first__person_first,context_entity_order,distance_person_first_vs_object_first,gym,gym__name_li__obj_ball,person_first
gym__name_li__obj_bag__direct_label__object_first,gym__name_li__obj_bag__distance_phrase__object_first,evidence_type,direct_vs_distance,gym,gym__name_li__obj_bag,object_first
gym__name_li__obj_bag__direct_label__object_first,gym__name_li__obj_bag__endpoint_placement__object_first,evidence_type,direct_vs_placement,gym,gym__name_li__obj_bag,object_first
gym__name_li__obj_bag__distance_phrase__object_first,gym__name_li__obj_bag__endpoint_placement__object_first,evidence_type,distance_vs_placement,gym,gym__name_li__obj_bag,object_first
gym__name_li__obj_bag__distance_phrase__object_first,gym__name_li__obj_bag__distance_phrase_object_first__object_first,context_entity_order,distance_person_first_vs_object_first,gym,gym__name_li__obj_bag,object_first
gym__name_li__obj_bag__direct_label__person_first,gym__name_li__obj_bag__distance_phrase__person_first,evidence_type,direct_vs_distance,gym,gym__name_li__obj_bag,person_first
gym__name_li__obj_bag__direct_label__person_first,gym__name_li__obj_bag__endpoint_placement__person_first,evidence_type,direct_vs_placement,gym,gym__name_li__obj_bag,person_first
gym__name_li__obj_bag__distance_phrase__person_first,gym__name_li__obj_bag__endpoint_placement__person_first,evidence_type,distance_vs_placement,gym,gym__name_li__obj_bag,person_first
gym__name_li__obj_bag__distance_phrase__person_first,gym__name_li__obj_bag__distance_phrase_object_first__person_first,context_entity_order,distance_person_first_vs_object_first,gym,gym__name_li__obj_bag,person_first
gym__name_li__obj_book__direct_label__object_first,gym__name_li__obj_book__distance_phrase__object_first,evidence_type,direct_vs_distance,gym,gym__name_li__obj_book,object_first
gym__name_li__obj_book__direct_label__object_first,gym__name_li__obj_book__endpoint_placement__object_first,evidence_type,direct_vs_placement,gym,gym__name_li__obj_book,object_first
gym__name_li__obj_book__distance_phrase__object_first,gym__name_li__obj_book__endpoint_placement__object_first,evidence_type,distance_vs_placement,gym,gym__name_li__obj_book,object_first
gym__name_li__obj_book__distance_phrase__object_first,gym__name_li__obj_book__distance_phrase_object_first__object_first,context_entity_order,distance_person_first_vs_object_first,gym,gym__name_li__obj_book,object_first
gym__name_li__obj_book__direct_label__person_first,gym__name_li__obj_book__distance_phrase__person_first,evidence_type,direct_vs_distance,gym,gym__name_li__obj_book,person_first
gym__name_li__obj_book__direct_label__person_first,gym__name_li__obj_book__endpoint_placement__person_first,evidence_type,direct_vs_placement,gym,gym__name_li__obj_book,person_first
gym__name_li__obj_book__distance_phrase__person_first,gym__name_li__obj_book__endpoint_placement__person_first,evidence_type,distance_vs_placement,gym,gym__name_li__obj_book,person_first
gym__name_li__obj_book__distance_phrase__person_first,gym__name_li__obj_book__distance_phrase_object_first__person_first,context_entity_order,distance_person_first_vs_object_first,gym,gym__name_li__obj_book,person_first
gym__name_li__obj_cone__direct_label__object_first,gym__name_li__obj_cone__distance_phrase__object_first,evidence_type,direct_vs_distance,gym,gym__name_li__obj_cone,object_first
gym__name_li__obj_cone__direct_label__object_first,gym__name_li__obj_cone__endpoint_placement__object_first,evidence_type,direct_vs_placement,gym,gym__name_li__obj_cone,object_first
gym__name_li__obj_cone__distance_phrase__object_first,gym__name_li__obj_cone__endpoint_placement__object_first,evidence_type,distance_vs_placement,gym,gym__name_li__obj_cone,object_first
gym__name_li__obj_cone__distance_phrase__object_first,gym__name_li__obj_cone__distance_phrase_object_first__object_first,context_entity_order,distance_person_first_vs_object_first,gym,gym__name_li__obj_cone,object_first
gym__name_li__obj_cone__direct_label__person_first,gym__name_li__obj_cone__distance_phrase__person_first,evidence_type,direct_vs_distance,gym,gym__name_li__obj_cone,person_first
gym__name_li__obj_cone__direct_label__person_first,gym__name_li__obj_cone__endpoint_placement__person_first,evidence_type,direct_vs_placement,gym,gym__name_li__obj_cone,person_first
