probe_id,probe_version,probe_family,event_family,event_subtype,case_id,object_pair_id,target_object,reference_object,reference_frame,evidence_type,displayed_slot_labels_left_to_right,length_band,context_entity_order,last_mentioned_entity,target_entity_order,correct_target_for_context1,correct_target_for_context2,Target1,target1_relation_word,context1_target_relation,Context1,target_motion_left,target_start_left,target_start_label_left,target_end_left,target_end_label_left,reference_motion_left,reference_start_left,reference_start_label_left,reference_end_left,reference_end_label_left,initial_relation_left,final_relation_left,order_reversed_left,Target2,target2_relation_word,context2_target_relation,Context2,target_motion_right,target_start_right,target_start_label_right,target_end_right,target_end_label_right,reference_motion_right,reference_start_right,reference_start_label_right,reference_end_right,reference_end_label_right,initial_relation_right,final_relation_right,order_reversed_right,Context1_word_count,Context2_word_count,Target1_word_count,Target2_word_count
static_outer__ball_cone__named_positions__expanded__reference_first__target_first,1.2,applied,static_placement,outer_positions,static_outer,ball_cone,ball,cone,reader_view_fixed_screen,named_positions,"far-left, inner-left, center, inner-right, far-right",expanded,reference_first,target,target_first,Target1,Target2,The ball icon is to the left of the cone icon.,left,left,"Fixed screen slots, left to right: far-left, inner-left, center, inner-right, far-right. The screen and viewpoint stay fixed. The cone icon starts at far-right and stays there. The ball icon starts at far-left and stays there.",still,1,far-left,1,far-left,still,5,far-right,5,far-right,left,left,False,The ball icon is to the right of the cone icon.,right,right,"Fixed screen slots, left to right: far-left, inner-left, center, inner-right, far-right. The screen and viewpoint stay fixed. The cone icon starts at far-left and stays there. The ball icon starts at far-right and stays there.",still,5,far-right,5,far-right,still,1,far-left,1,far-left,right,right,False,41,41,11,11
static_outer__ball_cone__named_positions__expanded__reference_first__reference_first,1.2,applied,static_placement,outer_positions,static_outer,ball_cone,ball,cone,reader_view_fixed_screen,named_positions,"far-left, inner-left, center, inner-right, far-right",expanded,reference_first,target,reference_first,Target1,Target2,The cone icon is to the right of the ball icon.,right,left,"Fixed screen slots, left to right: far-left, inner-left, center, inner-right, far-right. The screen and viewpoint stay fixed. The cone icon starts at far-right and stays there. The ball icon starts at far-left and stays there.",still,1,far-left,1,far-left,still,5,far-right,5,far-right,left,left,False,The cone icon is to the left of the ball icon.,left,right,"Fixed screen slots, left to right: far-left, inner-left, center, inner-right, far-right. The screen and viewpoint stay fixed. The cone icon starts at far-left and stays there. The ball icon starts at far-right and stays there.",still,5,far-right,5,far-right,still,1,far-left,1,far-left,right,right,False,41,41,11,11
static_outer__ball_cone__numbered_left_to_right__compact__target_first__target_first,1.2,applied,static_placement,outer_positions,static_outer,ball_cone,ball,cone,reader_view_fixed_screen,numbered_left_to_right,"1, 2, 3, 4, 5",compact,target_first,reference,target_first,Target1,Target2,The ball icon is to the left of the cone icon.,left,left,"Fixed screen slots, left to right: 1, 2, 3, 4, 5. The ball icon is at 1. The cone icon is at 5.",still,1,1,1,1,still,5,5,5,5,left,left,False,The ball icon is to the right of the cone icon.,right,right,"Fixed screen slots, left to right: 1, 2, 3, 4, 5. The ball icon is at 5. The cone icon is at 1.",still,5,5,5,5,still,1,1,1,1,right,right,False,23,23,11,11
static_outer__ball_cone__numbered_left_to_right__compact__target_first__reference_first,1.2,applied,static_placement,outer_positions,static_outer,ball_cone,ball,cone,reader_view_fixed_screen,numbered_left_to_right,"1, 2, 3, 4, 5",compact,target_first,reference,reference_first,Target1,Target2,The cone icon is to the right of the ball icon.,right,left,"Fixed screen slots, left to right: 1, 2, 3, 4, 5. The ball icon is at 1. The cone icon is at 5.",still,1,1,1,1,still,5,5,5,5,left,left,False,The cone icon is to the left of the ball icon.,left,right,"Fixed screen slots, left to right: 1, 2, 3, 4, 5. The ball icon is at 5. The cone icon is at 1.",still,5,5,5,5,still,1,1,1,1,right,right,False,23,23,11,11
static_outer__ball_cone__numbered_left_to_right__compact__reference_first__target_first,1.2,applied,static_placement,outer_positions,static_outer,ball_cone,ball,cone,reader_view_fixed_screen,numbered_left_to_right,"1, 2, 3, 4, 5",compact,reference_first,target,target_first,Target1,Target2,The ball icon is to the left of the cone icon.,left,left,"Fixed screen slots, left to right: 1, 2, 3, 4, 5. The cone icon is at 5. The ball icon is at 1.",still,1,1,1,1,still,5,5,5,5,left,left,False,The ball icon is to the right of the cone icon.,right,right,"Fixed screen slots, left to right: 1, 2, 3, 4, 5. The cone icon is at 1. The ball icon is at 5.",still,5,5,5,5,still,1,1,1,1,right,right,False,23,23,11,11
static_outer__ball_cone__numbered_left_to_right__compact__reference_first__reference_first,1.2,applied,static_placement,outer_positions,static_outer,ball_cone,ball,cone,reader_view_fixed_screen,numbered_left_to_right,"1, 2, 3, 4, 5",compact,reference_first,target,reference_first,Target1,Target2,The cone icon is to the right of the ball icon.,right,left,"Fixed screen slots, left to right: 1, 2, 3, 4, 5. The cone icon is at 5. The ball icon is at 1.",still,1,1,1,1,still,5,5,5,5,left,left,False,The cone icon is to the left of the ball icon.,left,right,"Fixed screen slots, left to right: 1, 2, 3, 4, 5. The cone icon is at 1. The ball icon is at 5.",still,5,5,5,5,still,1,1,1,1,right,right,False,23,23,11,11
static_outer__ball_cone__numbered_left_to_right__standard__target_first__target_first,1.2,applied,static_placement,outer_positions,static_outer,ball_cone,ball,cone,reader_view_fixed_screen,numbered_left_to_right,"1, 2, 3, 4, 5",standard,target_first,reference,target_first,Target1,Target2,The ball icon is to the left of the cone icon.,left,left,"Fixed screen slots, left to right: 1, 2, 3, 4, 5. The screen stays fixed. The ball icon is at 1. The cone icon is at 5.",still,1,1,1,1,still,5,5,5,5,left,left,False,The ball icon is to the right of the cone icon.,right,right,"Fixed screen slots, left to right: 1, 2, 3, 4, 5. The screen stays fixed. The ball icon is at 5. The cone icon is at 1.",still,5,5,5,5,still,1,1,1,1,right,right,False,27,27,11,11
static_outer__ball_cone__numbered_left_to_right__standard__target_first__reference_first,1.2,applied,static_placement,outer_positions,static_outer,ball_cone,ball,cone,reader_view_fixed_screen,numbered_left_to_right,"1, 2, 3, 4, 5",standard,target_first,reference,reference_first,Target1,Target2,The cone icon is to the right of the ball icon.,right,left,"Fixed screen slots, left to right: 1, 2, 3, 4, 5. The screen stays fixed. The ball icon is at 1. The cone icon is at 5.",still,1,1,1,1,still,5,5,5,5,left,left,False,The cone icon is to the left of the ball icon.,left,right,"Fixed screen slots, left to right: 1, 2, 3, 4, 5. The screen stays fixed. The ball icon is at 5. The cone icon is at 1.",still,5,5,5,5,still,1,1,1,1,right,right,False,27,27,11,11
static_outer__ball_cone__numbered_left_to_right__standard__reference_first__target_first,1.2,applied,static_placement,outer_positions,static_outer,ball_cone,ball,cone,reader_view_fixed_screen,numbered_left_to_right,"1, 2, 3, 4, 5",standard,reference_first,target,target_first,Target1,Target2,The ball icon is to the left of the cone icon.,left,left,"Fixed screen slots, left to right: 1, 2, 3, 4, 5. The screen stays fixed. The cone icon is at 5. The ball icon is at 1.",still,1,1,1,1,still,5,5,5,5,left,left,False,The ball icon is to the right of the cone icon.,right,right,"Fixed screen slots, left to right: 1, 2, 3, 4, 5. The screen stays fixed. The cone icon is at 1. The ball icon is at 5.",still,5,5,5,5,still,1,1,1,1,right,right,False,27,27,11,11
static_outer__ball_cone__numbered_left_to_right__standard__reference_first__reference_first,1.2,applied,static_placement,outer_positions,static_outer,ball_cone,ball,cone,reader_view_fixed_screen,numbered_left_to_right,"1, 2, 3, 4, 5",standard,reference_first,target,reference_first,Target1,Target2,The cone icon is to the right of the ball icon.,right,left,"Fixed screen slots, left to right: 1, 2, 3, 4, 5. The screen stays fixed. The cone icon is at 5. The ball icon is at 1.",still,1,1,1,1,still,5,5,5,5,left,left,False,The cone icon is to the left of the ball icon.,left,right,"Fixed screen slots, left to right: 1, 2, 3, 4, 5. The screen stays fixed. The cone icon is at 1. The ball icon is at 5.",still,5,5,5,5,still,1,1,1,1,right,right,False,27,27,11,11
static_outer__ball_cone__numbered_left_to_right__expanded__target_first__target_first,1.2,applied,static_placement,outer_positions,static_outer,ball_cone,ball,cone,reader_view_fixed_screen,numbered_left_to_right,"1, 2, 3, 4, 5",expanded,target_first,reference,target_first,Target1,Target2,The ball icon is to the left of the cone icon.,left,left,"Fixed screen slots, left to right: 1, 2, 3, 4, 5. The screen and viewpoint stay fixed. The ball icon starts at 1 and stays there. The cone icon starts at 5 and stays there.",still,1,1,1,1,still,5,5,5,5,left,left,False,The ball icon is to the right of the cone icon.,right,right,"Fixed screen slots, left to right: 1, 2, 3, 4, 5. The screen and viewpoint stay fixed. The ball icon starts at 5 and stays there. The cone icon starts at 1 and stays there.",still,5,5,5,5,still,1,1,1,1,right,right,False,35,35,11,11
static_outer__ball_cone__numbered_left_to_right__expanded__target_first__reference_first,1.2,applied,static_placement,outer_positions,static_outer,ball_cone,ball,cone,reader_view_fixed_screen,numbered_left_to_right,"1, 2, 3, 4, 5",expanded,target_first,reference,reference_first,Target1,Target2,The cone icon is to the right of the ball icon.,right,left,"Fixed screen slots, left to right: 1, 2, 3, 4, 5. The screen and viewpoint stay fixed. The ball icon starts at 1 and stays there. The cone icon starts at 5 and stays there.",still,1,1,1,1,still,5,5,5,5,left,left,False,The cone icon is to the left of the ball icon.,left,right,"Fixed screen slots, left to right: 1, 2, 3, 4, 5. The screen and viewpoint stay fixed. The ball icon starts at 5 and stays there. The cone icon starts at 1 and stays there.",still,5,5,5,5,still,1,1,1,1,right,right,False,35,35,11,11
static_outer__ball_cone__numbered_left_to_right__expanded__reference_first__target_first,1.2,applied,static_placement,outer_positions,static_outer,ball_cone,ball,cone,reader_view_fixed_screen,numbered_left_to_right,"1, 2, 3, 4, 5",expanded,reference_first,target,target_first,Target1,Target2,The ball icon is to the left of the cone icon.,left,left,"Fixed screen slots, left to right: 1, 2, 3, 4, 5. The screen and viewpoint stay fixed. The cone icon starts at 5 and stays there. The ball icon starts at 1 and stays there.",still,1,1,1,1,still,5,5,5,5,left,left,False,The ball icon is to the right of the cone icon.,right,right,"Fixed screen slots, left to right: 1, 2, 3, 4, 5. The screen and viewpoint stay fixed. The cone icon starts at 1 and stays there. The ball icon starts at 5 and stays there.",still,5,5,5,5,still,1,1,1,1,right,right,False,35,35,11,11
static_outer__ball_cone__numbered_left_to_right__expanded__reference_first__reference_first,1.2,applied,static_placement,outer_positions,static_outer,ball_cone,ball,cone,reader_view_fixed_screen,numbered_left_to_right,"1, 2, 3, 4, 5",expanded,reference_first,target,reference_first,Target1,Target2,The cone icon is to the right of the ball icon.,right,left,"Fixed screen slots, left to right: 1, 2, 3, 4, 5. The screen and viewpoint stay fixed. The cone icon starts at 5 and stays there. The ball icon starts at 1 and stays there.",still,1,1,1,1,still,5,5,5,5,left,left,False,The cone icon is to the left of the ball icon.,left,right,"Fixed screen slots, left to right: 1, 2, 3, 4, 5. The screen and viewpoint stay fixed. The cone icon starts at 1 and stays there. The ball icon starts at 5 and stays there.",still,5,5,5,5,still,1,1,1,1,right,right,False,35,35,11,11
static_outer__ball_cone__numbered_right_to_left__compact__target_first__target_first,1.2,applied,static_placement,outer_positions,static_outer,ball_cone,ball,cone,reader_view_fixed_screen,numbered_right_to_left,"5, 4, 3, 2, 1",compact,target_first,reference,target_first,Target1,Target2,The ball icon is to the left of the cone icon.,left,left,"Fixed screen slots, left to right: 5, 4, 3, 2, 1. The ball icon is at 5. The cone icon is at 1.",still,1,5,1,5,still,5,1,5,1,left,left,False,The ball icon is to the right of the cone icon.,right,right,"Fixed screen slots, left to right: 5, 4, 3, 2, 1. The ball icon is at 1. The cone icon is at 5.",still,5,1,5,1,still,1,5,1,5,right,right,False,23,23,11,11
static_outer__ball_cone__numbered_right_to_left__compact__target_first__reference_first,1.2,applied,static_placement,outer_positions,static_outer,ball_cone,ball,cone,reader_view_fixed_screen,numbered_right_to_left,"5, 4, 3, 2, 1",compact,target_first,reference,reference_first,Target1,Target2,The cone icon is to the right of the ball icon.,right,left,"Fixed screen slots, left to right: 5, 4, 3, 2, 1. The ball icon is at 5. The cone icon is at 1.",still,1,5,1,5,still,5,1,5,1,left,left,False,The cone icon is to the left of the ball icon.,left,right,"Fixed screen slots, left to right: 5, 4, 3, 2, 1. The ball icon is at 1. The cone icon is at 5.",still,5,1,5,1,still,1,5,1,5,right,right,False,23,23,11,11
static_outer__ball_cone__numbered_right_to_left__compact__reference_first__target_first,1.2,applied,static_placement,outer_positions,static_outer,ball_cone,ball,cone,reader_view_fixed_screen,numbered_right_to_left,"5, 4, 3, 2, 1",compact,reference_first,target,target_first,Target1,Target2,The ball icon is to the left of the cone icon.,left,left,"Fixed screen slots, left to right: 5, 4, 3, 2, 1. The cone icon is at 1. The ball icon is at 5.",still,1,5,1,5,still,5,1,5,1,left,left,False,The ball icon is to the right of the cone icon.,right,right,"Fixed screen slots, left to right: 5, 4, 3, 2, 1. The cone icon is at 5. The ball icon is at 1.",still,5,1,5,1,still,1,5,1,5,right,right,False,23,23,11,11
static_outer__ball_cone__numbered_right_to_left__compact__reference_first__reference_first,1.2,applied,static_placement,outer_positions,static_outer,ball_cone,ball,cone,reader_view_fixed_screen,numbered_right_to_left,"5, 4, 3, 2, 1",compact,reference_first,target,reference_first,Target1,Target2,The cone icon is to the right of the ball icon.,right,left,"Fixed screen slots, left to right: 5, 4, 3, 2, 1. The cone icon is at 1. The ball icon is at 5.",still,1,5,1,5,still,5,1,5,1,left,left,False,The cone icon is to the left of the ball icon.,left,right,"Fixed screen slots, left to right: 5, 4, 3, 2, 1. The cone icon is at 5. The ball icon is at 1.",still,5,1,5,1,still,1,5,1,5,right,right,False,23,23,11,11
static_outer__ball_cone__numbered_right_to_left__standard__target_first__target_first,1.2,applied,static_placement,outer_positions,static_outer,ball_cone,ball,cone,reader_view_fixed_screen,numbered_right_to_left,"5, 4, 3, 2, 1",standard,target_first,reference,target_first,Target1,Target2,The ball icon is to the left of the cone icon.,left,left,"Fixed screen slots, left to right: 5, 4, 3, 2, 1. The screen stays fixed. The ball icon is at 5. The cone icon is at 1.",still,1,5,1,5,still,5,1,5,1,left,left,False,The ball icon is to the right of the cone icon.,right,right,"Fixed screen slots, left to right: 5, 4, 3, 2, 1. The screen stays fixed. The ball icon is at 1. The cone icon is at 5.",still,5,1,5,1,still,1,5,1,5,right,right,False,27,27,11,11
static_outer__ball_cone__numbered_right_to_left__standard__target_first__reference_first,1.2,applied,static_placement,outer_positions,static_outer,ball_cone,ball,cone,reader_view_fixed_screen,numbered_right_to_left,"5, 4, 3, 2, 1",standard,target_first,reference,reference_first,Target1,Target2,The cone icon is to the right of the ball icon.,right,left,"Fixed screen slots, left to right: 5, 4, 3, 2, 1. The screen stays fixed. The ball icon is at 5. The cone icon is at 1.",still,1,5,1,5,still,5,1,5,1,left,left,False,The cone icon is to the left of the ball icon.,left,right,"Fixed screen slots, left to right: 5, 4, 3, 2, 1. The screen stays fixed. The ball icon is at 1. The cone icon is at 5.",still,5,1,5,1,still,1,5,1,5,right,right,False,27,27,11,11
static_outer__ball_cone__numbered_right_to_left__standard__reference_first__target_first,1.2,applied,static_placement,outer_positions,static_outer,ball_cone,ball,cone,reader_view_fixed_screen,numbered_right_to_left,"5, 4, 3, 2, 1",standard,reference_first,target,target_first,Target1,Target2,The ball icon is to the left of the cone icon.,left,left,"Fixed screen slots, left to right: 5, 4, 3, 2, 1. The screen stays fixed. The cone icon is at 1. The ball icon is at 5.",still,1,5,1,5,still,5,1,5,1,left,left,False,The ball icon is to the right of the cone icon.,right,right,"Fixed screen slots, left to right: 5, 4, 3, 2, 1. The screen stays fixed. The cone icon is at 5. The ball icon is at 1.",still,5,1,5,1,still,1,5,1,5,right,right,False,27,27,11,11
static_outer__ball_cone__numbered_right_to_left__standard__reference_first__reference_first,1.2,applied,static_placement,outer_positions,static_outer,ball_cone,ball,cone,reader_view_fixed_screen,numbered_right_to_left,"5, 4, 3, 2, 1",standard,reference_first,target,reference_first,Target1,Target2,The cone icon is to the right of the ball icon.,right,left,"Fixed screen slots, left to right: 5, 4, 3, 2, 1. The screen stays fixed. The cone icon is at 1. The ball icon is at 5.",still,1,5,1,5,still,5,1,5,1,left,left,False,The cone icon is to the left of the ball icon.,left,right,"Fixed screen slots, left to right: 5, 4, 3, 2, 1. The screen stays fixed. The cone icon is at 5. The ball icon is at 1.",still,5,1,5,1,still,1,5,1,5,right,right,False,27,27,11,11
static_outer__ball_cone__numbered_right_to_left__expanded__target_first__target_first,1.2,applied,static_placement,outer_positions,static_outer,ball_cone,ball,cone,reader_view_fixed_screen,numbered_right_to_left,"5, 4, 3, 2, 1",expanded,target_first,reference,target_first,Target1,Target2,The ball icon is to the left of the cone icon.,left,left,"Fixed screen slots, left to right: 5, 4, 3, 2, 1. The screen and viewpoint stay fixed. The ball icon starts at 5 and stays there. The cone icon starts at 1 and stays there.",still,1,5,1,5,still,5,1,5,1,left,left,False,The ball icon is to the right of the cone icon.,right,right,"Fixed screen slots, left to right: 5, 4, 3, 2, 1. The screen and viewpoint stay fixed. The ball icon starts at 1 and stays there. The cone icon starts at 5 and stays there.",still,5,1,5,1,still,1,5,1,5,right,right,False,35,35,11,11
static_outer__ball_cone__numbered_right_to_left__expanded__target_first__reference_first,1.2,applied,static_placement,outer_positions,static_outer,ball_cone,ball,cone,reader_view_fixed_screen,numbered_right_to_left,"5, 4, 3, 2, 1",expanded,target_first,reference,reference_first,Target1,Target2,The cone icon is to the right of the ball icon.,right,left,"Fixed screen slots, left to right: 5, 4, 3, 2, 1. The screen and viewpoint stay fixed. The ball icon starts at 5 and stays there. The cone icon starts at 1 and stays there.",still,1,5,1,5,still,5,1,5,1,left,left,False,The cone icon is to the left of the ball icon.,left,right,"Fixed screen slots, left to right: 5, 4, 3, 2, 1. The screen and viewpoint stay fixed. The ball icon starts at 1 and stays there. The cone icon starts at 5 and stays there.",still,5,1,5,1,still,1,5,1,5,right,right,False,35,35,11,11
static_outer__ball_cone__numbered_right_to_left__expanded__reference_first__target_first,1.2,applied,static_placement,outer_positions,static_outer,ball_cone,ball,cone,reader_view_fixed_screen,numbered_right_to_left,"5, 4, 3, 2, 1",expanded,reference_first,target,target_first,Target1,Target2,The ball icon is to the left of the cone icon.,left,left,"Fixed screen slots, left to right: 5, 4, 3, 2, 1. The screen and viewpoint stay fixed. The cone icon starts at 1 and stays there. The ball icon starts at 5 and stays there.",still,1,5,1,5,still,5,1,5,1,left,left,False,The ball icon is to the right of the cone icon.,right,right,"Fixed screen slots, left to right: 5, 4, 3, 2, 1. The screen and viewpoint stay fixed. The cone icon starts at 5 and stays there. The ball icon starts at 1 and stays there.",still,5,1,5,1,still,1,5,1,5,right,right,False,35,35,11,11
static_outer__ball_cone__numbered_right_to_left__expanded__reference_first__reference_first,1.2,applied,static_placement,outer_positions,static_outer,ball_cone,ball,cone,reader_view_fixed_screen,numbered_right_to_left,"5, 4, 3, 2, 1",expanded,reference_first,target,reference_first,Target1,Target2,The cone icon is to the right of the ball icon.,right,left,"Fixed screen slots, left to right: 5, 4, 3, 2, 1. The screen and viewpoint stay fixed. The cone icon starts at 1 and stays there. The ball icon starts at 5 and stays there.",still,1,5,1,5,still,5,1,5,1,left,left,False,The cone icon is to the left of the ball icon.,left,right,"Fixed screen slots, left to right: 5, 4, 3, 2, 1. The screen and viewpoint stay fixed. The cone icon starts at 5 and stays there. The ball icon starts at 1 and stays there.",still,5,1,5,1,still,1,5,1,5,right,right,False,35,35,11,11
