probe_id,probe_version,probe_family,event_family,event_subtype,case_id,object_pair_id,target_object,reference_object,reference_frame,evidence_type,displayed_slot_labels_left_to_right,length_band,context_entity_order,last_mentioned_entity,target_entity_order,correct_target_for_context1,correct_target_for_context2,Target1,target1_relation_word,context1_target_relation,Context1,target_motion_left,target_start_left,target_start_label_left,target_end_left,target_end_label_left,reference_motion_left,reference_start_left,reference_start_label_left,reference_end_left,reference_end_label_left,initial_relation_left,final_relation_left,order_reversed_left,Target2,target2_relation_word,context2_target_relation,Context2,target_motion_right,target_start_right,target_start_label_right,target_end_right,target_end_label_right,reference_motion_right,reference_start_right,reference_start_label_right,reference_end_right,reference_end_label_right,initial_relation_right,final_relation_right,order_reversed_right,Context1_word_count,Context2_word_count,Target1_word_count,Target2_word_count
target_cross_full__ball_cone__numbered_left_to_right__compact__target_first__target_first,1.2,applied,target_crosses,full_crossing,target_cross_full,ball_cone,ball,cone,reader_view_fixed_screen,numbered_left_to_right,"1, 2, 3, 4, 5",compact,target_first,reference,target_first,Target1,Target2,The ball icon is to the left of the cone icon.,left,left,"Fixed screen slots, left to right: 1, 2, 3, 4, 5. The ball icon moves from 5 to 1. The cone icon stays at 3.",left,5,5,1,1,still,3,3,3,3,right,left,True,The ball icon is to the right of the cone icon.,right,right,"Fixed screen slots, left to right: 1, 2, 3, 4, 5. The ball icon moves from 1 to 5. The cone icon stays at 3.",right,1,1,5,5,still,3,3,3,3,left,right,True,25,25,11,11
target_cross_full__ball_cone__numbered_right_to_left__compact__target_first__target_first,1.2,applied,target_crosses,full_crossing,target_cross_full,ball_cone,ball,cone,reader_view_fixed_screen,numbered_right_to_left,"5, 4, 3, 2, 1",compact,target_first,reference,target_first,Target1,Target2,The ball icon is to the left of the cone icon.,left,left,"Fixed screen slots, left to right: 5, 4, 3, 2, 1. The ball icon moves from 1 to 5. The cone icon stays at 3.",left,5,1,1,5,still,3,3,3,3,right,left,True,The ball icon is to the right of the cone icon.,right,right,"Fixed screen slots, left to right: 5, 4, 3, 2, 1. The ball icon moves from 5 to 1. The cone icon stays at 3.",right,1,5,5,1,still,3,3,3,3,left,right,True,25,25,11,11
target_cross_full__ball_cone__lettered_positions__compact__target_first__target_first,1.2,applied,target_crosses,full_crossing,target_cross_full,ball_cone,ball,cone,reader_view_fixed_screen,lettered_positions,"A, B, C, D, E",compact,target_first,reference,target_first,Target1,Target2,The ball icon is to the left of the cone icon.,left,left,"Fixed screen slots, left to right: A, B, C, D, E. The ball icon moves from E to A. The cone icon stays at C.",left,5,E,1,A,still,3,C,3,C,right,left,True,The ball icon is to the right of the cone icon.,right,right,"Fixed screen slots, left to right: A, B, C, D, E. The ball icon moves from A to E. The cone icon stays at C.",right,1,A,5,E,still,3,C,3,C,left,right,True,25,25,11,11
target_cross_inner__ball_cone__named_positions__compact__target_first__target_first,1.2,applied,target_crosses,inner_crossing,target_cross_inner,ball_cone,ball,cone,reader_view_fixed_screen,named_positions,"far-left, inner-left, center, inner-right, far-right",compact,target_first,reference,target_first,Target1,Target2,The ball icon is to the left of the cone icon.,left,left,"Fixed screen slots, left to right: far-left, inner-left, center, inner-right, far-right. The ball icon moves from inner-right to inner-left. The cone icon stays at center.",left,4,inner-right,2,inner-left,still,3,center,3,center,right,left,True,The ball icon is to the right of the cone icon.,right,right,"Fixed screen slots, left to right: far-left, inner-left, center, inner-right, far-right. The ball icon moves from inner-left to inner-right. The cone icon stays at center.",right,2,inner-left,4,inner-right,still,3,center,3,center,left,right,True,31,31,11,11
target_cross_inner__ball_cone__numbered_left_to_right__compact__target_first__target_first,1.2,applied,target_crosses,inner_crossing,target_cross_inner,ball_cone,ball,cone,reader_view_fixed_screen,numbered_left_to_right,"1, 2, 3, 4, 5",compact,target_first,reference,target_first,Target1,Target2,The ball icon is to the left of the cone icon.,left,left,"Fixed screen slots, left to right: 1, 2, 3, 4, 5. The ball icon moves from 4 to 2. The cone icon stays at 3.",left,4,4,2,2,still,3,3,3,3,right,left,True,The ball icon is to the right of the cone icon.,right,right,"Fixed screen slots, left to right: 1, 2, 3, 4, 5. The ball icon moves from 2 to 4. The cone icon stays at 3.",right,2,2,4,4,still,3,3,3,3,left,right,True,25,25,11,11
target_cross_inner__ball_cone__numbered_right_to_left__compact__target_first__target_first,1.2,applied,target_crosses,inner_crossing,target_cross_inner,ball_cone,ball,cone,reader_view_fixed_screen,numbered_right_to_left,"5, 4, 3, 2, 1",compact,target_first,reference,target_first,Target1,Target2,The ball icon is to the left of the cone icon.,left,left,"Fixed screen slots, left to right: 5, 4, 3, 2, 1. The ball icon moves from 2 to 4. The cone icon stays at 3.",left,4,2,2,4,still,3,3,3,3,right,left,True,The ball icon is to the right of the cone icon.,right,right,"Fixed screen slots, left to right: 5, 4, 3, 2, 1. The ball icon moves from 4 to 2. The cone icon stays at 3.",right,2,4,4,2,still,3,3,3,3,left,right,True,25,25,11,11
target_cross_inner__ball_cone__lettered_positions__compact__target_first__target_first,1.2,applied,target_crosses,inner_crossing,target_cross_inner,ball_cone,ball,cone,reader_view_fixed_screen,lettered_positions,"A, B, C, D, E",compact,target_first,reference,target_first,Target1,Target2,The ball icon is to the left of the cone icon.,left,left,"Fixed screen slots, left to right: A, B, C, D, E. The ball icon moves from D to B. The cone icon stays at C.",left,4,D,2,B,still,3,C,3,C,right,left,True,The ball icon is to the right of the cone icon.,right,right,"Fixed screen slots, left to right: A, B, C, D, E. The ball icon moves from B to D. The cone icon stays at C.",right,2,B,4,D,still,3,C,3,C,left,right,True,25,25,11,11
reference_cross_full__ball_cone__named_positions__compact__target_first__target_first,1.2,applied,reference_crosses,full_crossing,reference_cross_full,ball_cone,ball,cone,reader_view_fixed_screen,named_positions,"far-left, inner-left, center, inner-right, far-right",compact,target_first,reference,target_first,Target1,Target2,The ball icon is to the left of the cone icon.,left,left,"Fixed screen slots, left to right: far-left, inner-left, center, inner-right, far-right. The ball icon stays at center. The cone icon moves from far-left to far-right.",still,3,center,3,center,right,1,far-left,5,far-right,right,left,True,The ball icon is to the right of the cone icon.,right,right,"Fixed screen slots, left to right: far-left, inner-left, center, inner-right, far-right. The ball icon stays at center. The cone icon moves from far-right to far-left.",still,3,center,3,center,left,5,far-right,1,far-left,left,right,True,31,31,11,11
reference_cross_full__ball_cone__numbered_left_to_right__compact__target_first__target_first,1.2,applied,reference_crosses,full_crossing,reference_cross_full,ball_cone,ball,cone,reader_view_fixed_screen,numbered_left_to_right,"1, 2, 3, 4, 5",compact,target_first,reference,target_first,Target1,Target2,The ball icon is to the left of the cone icon.,left,left,"Fixed screen slots, left to right: 1, 2, 3, 4, 5. The ball icon stays at 3. The cone icon moves from 1 to 5.",still,3,3,3,3,right,1,1,5,5,right,left,True,The ball icon is to the right of the cone icon.,right,right,"Fixed screen slots, left to right: 1, 2, 3, 4, 5. The ball icon stays at 3. The cone icon moves from 5 to 1.",still,3,3,3,3,left,5,5,1,1,left,right,True,25,25,11,11
reference_cross_full__ball_cone__numbered_right_to_left__compact__target_first__target_first,1.2,applied,reference_crosses,full_crossing,reference_cross_full,ball_cone,ball,cone,reader_view_fixed_screen,numbered_right_to_left,"5, 4, 3, 2, 1",compact,target_first,reference,target_first,Target1,Target2,The ball icon is to the left of the cone icon.,left,left,"Fixed screen slots, left to right: 5, 4, 3, 2, 1. The ball icon stays at 3. The cone icon moves from 5 to 1.",still,3,3,3,3,right,1,5,5,1,right,left,True,The ball icon is to the right of the cone icon.,right,right,"Fixed screen slots, left to right: 5, 4, 3, 2, 1. The ball icon stays at 3. The cone icon moves from 1 to 5.",still,3,3,3,3,left,5,1,1,5,left,right,True,25,25,11,11
reference_cross_full__ball_cone__lettered_positions__compact__target_first__target_first,1.2,applied,reference_crosses,full_crossing,reference_cross_full,ball_cone,ball,cone,reader_view_fixed_screen,lettered_positions,"A, B, C, D, E",compact,target_first,reference,target_first,Target1,Target2,The ball icon is to the left of the cone icon.,left,left,"Fixed screen slots, left to right: A, B, C, D, E. The ball icon stays at C. The cone icon moves from A to E.",still,3,C,3,C,right,1,A,5,E,right,left,True,The ball icon is to the right of the cone icon.,right,right,"Fixed screen slots, left to right: A, B, C, D, E. The ball icon stays at C. The cone icon moves from E to A.",still,3,C,3,C,left,5,E,1,A,left,right,True,25,25,11,11
reference_cross_inner__ball_cone__named_positions__compact__target_first__target_first,1.2,applied,reference_crosses,inner_crossing,reference_cross_inner,ball_cone,ball,cone,reader_view_fixed_screen,named_positions,"far-left, inner-left, center, inner-right, far-right",compact,target_first,reference,target_first,Target1,Target2,The ball icon is to the left of the cone icon.,left,left,"Fixed screen slots, left to right: far-left, inner-left, center, inner-right, far-right. The ball icon stays at center. The cone icon moves from inner-left to inner-right.",still,3,center,3,center,right,2,inner-left,4,inner-right,right,left,True,The ball icon is to the right of the cone icon.,right,right,"Fixed screen slots, left to right: far-left, inner-left, center, inner-right, far-right. The ball icon stays at center. The cone icon moves from inner-right to inner-left.",still,3,center,3,center,left,4,inner-right,2,inner-left,left,right,True,31,31,11,11
reference_cross_inner__ball_cone__numbered_left_to_right__compact__target_first__target_first,1.2,applied,reference_crosses,inner_crossing,reference_cross_inner,ball_cone,ball,cone,reader_view_fixed_screen,numbered_left_to_right,"1, 2, 3, 4, 5",compact,target_first,reference,target_first,Target1,Target2,The ball icon is to the left of the cone icon.,left,left,"Fixed screen slots, left to right: 1, 2, 3, 4, 5. The ball icon stays at 3. The cone icon moves from 2 to 4.",still,3,3,3,3,right,2,2,4,4,right,left,True,The ball icon is to the right of the cone icon.,right,right,"Fixed screen slots, left to right: 1, 2, 3, 4, 5. The ball icon stays at 3. The cone icon moves from 4 to 2.",still,3,3,3,3,left,4,4,2,2,left,right,True,25,25,11,11
reference_cross_inner__ball_cone__numbered_right_to_left__compact__target_first__target_first,1.2,applied,reference_crosses,inner_crossing,reference_cross_inner,ball_cone,ball,cone,reader_view_fixed_screen,numbered_right_to_left,"5, 4, 3, 2, 1",compact,target_first,reference,target_first,Target1,Target2,The ball icon is to the left of the cone icon.,left,left,"Fixed screen slots, left to right: 5, 4, 3, 2, 1. The ball icon stays at 3. The cone icon moves from 4 to 2.",still,3,3,3,3,right,2,4,4,2,right,left,True,The ball icon is to the right of the cone icon.,right,right,"Fixed screen slots, left to right: 5, 4, 3, 2, 1. The ball icon stays at 3. The cone icon moves from 2 to 4.",still,3,3,3,3,left,4,2,2,4,left,right,True,25,25,11,11
reference_cross_inner__ball_cone__lettered_positions__compact__target_first__target_first,1.2,applied,reference_crosses,inner_crossing,reference_cross_inner,ball_cone,ball,cone,reader_view_fixed_screen,lettered_positions,"A, B, C, D, E",compact,target_first,reference,target_first,Target1,Target2,The ball icon is to the left of the cone icon.,left,left,"Fixed screen slots, left to right: A, B, C, D, E. The ball icon stays at C. The cone icon moves from B to D.",still,3,C,3,C,right,2,B,4,D,right,left,True,The ball icon is to the right of the cone icon.,right,right,"Fixed screen slots, left to right: A, B, C, D, E. The ball icon stays at C. The cone icon moves from D to B.",still,3,C,3,C,left,4,D,2,B,left,right,True,25,25,11,11
no_cross_right__ball_cone__named_positions__compact__target_first__target_first,1.2,applied,target_moves_without_crossing,rightward_motion,no_cross_right,ball_cone,ball,cone,reader_view_fixed_screen,named_positions,"far-left, inner-left, center, inner-right, far-right",compact,target_first,reference,target_first,Target1,Target2,The ball icon is to the left of the cone icon.,left,left,"Fixed screen slots, left to right: far-left, inner-left, center, inner-right, far-right. The ball icon moves from far-left to inner-left. The cone icon stays at far-right.",right,1,far-left,2,inner-left,still,5,far-right,5,far-right,left,left,False,The ball icon is to the right of the cone icon.,right,right,"Fixed screen slots, left to right: far-left, inner-left, center, inner-right, far-right. The ball icon moves from inner-right to far-right. The cone icon stays at far-left.",right,4,inner-right,5,far-right,still,1,far-left,1,far-left,right,right,False,32,32,11,11
no_cross_right__ball_cone__numbered_left_to_right__compact__target_first__target_first,1.2,applied,target_moves_without_crossing,rightward_motion,no_cross_right,ball_cone,ball,cone,reader_view_fixed_screen,numbered_left_to_right,"1, 2, 3, 4, 5",compact,target_first,reference,target_first,Target1,Target2,The ball icon is to the left of the cone icon.,left,left,"Fixed screen slots, left to right: 1, 2, 3, 4, 5. The ball icon moves from 1 to 2. The cone icon stays at 5.",right,1,1,2,2,still,5,5,5,5,left,left,False,The ball icon is to the right of the cone icon.,right,right,"Fixed screen slots, left to right: 1, 2, 3, 4, 5. The ball icon moves from 4 to 5. The cone icon stays at 1.",right,4,4,5,5,still,1,1,1,1,right,right,False,25,25,11,11
no_cross_right__ball_cone__numbered_right_to_left__compact__target_first__target_first,1.2,applied,target_moves_without_crossing,rightward_motion,no_cross_right,ball_cone,ball,cone,reader_view_fixed_screen,numbered_right_to_left,"5, 4, 3, 2, 1",compact,target_first,reference,target_first,Target1,Target2,The ball icon is to the left of the cone icon.,left,left,"Fixed screen slots, left to right: 5, 4, 3, 2, 1. The ball icon moves from 5 to 4. The cone icon stays at 1.",right,1,5,2,4,still,5,1,5,1,left,left,False,The ball icon is to the right of the cone icon.,right,right,"Fixed screen slots, left to right: 5, 4, 3, 2, 1. The ball icon moves from 2 to 1. The cone icon stays at 5.",right,4,2,5,1,still,1,5,1,5,right,right,False,25,25,11,11
no_cross_right__ball_cone__lettered_positions__compact__target_first__target_first,1.2,applied,target_moves_without_crossing,rightward_motion,no_cross_right,ball_cone,ball,cone,reader_view_fixed_screen,lettered_positions,"A, B, C, D, E",compact,target_first,reference,target_first,Target1,Target2,The ball icon is to the left of the cone icon.,left,left,"Fixed screen slots, left to right: A, B, C, D, E. The ball icon moves from A to B. The cone icon stays at E.",right,1,A,2,B,still,5,E,5,E,left,left,False,The ball icon is to the right of the cone icon.,right,right,"Fixed screen slots, left to right: A, B, C, D, E. The ball icon moves from D to E. The cone icon stays at A.",right,4,D,5,E,still,1,A,1,A,right,right,False,25,25,11,11
no_cross_left__ball_cone__named_positions__compact__target_first__target_first,1.2,applied,target_moves_without_crossing,leftward_motion,no_cross_left,ball_cone,ball,cone,reader_view_fixed_screen,named_positions,"far-left, inner-left, center, inner-right, far-right",compact,target_first,reference,target_first,Target1,Target2,The ball icon is to the left of the cone icon.,left,left,"Fixed screen slots, left to right: far-left, inner-left, center, inner-right, far-right. The ball icon moves from inner-left to far-left. The cone icon stays at far-right.",left,2,inner-left,1,far-left,still,5,far-right,5,far-right,left,left,False,The ball icon is to the right of the cone icon.,right,right,"Fixed screen slots, left to right: far-left, inner-left, center, inner-right, far-right. The ball icon moves from far-right to inner-right. The cone icon stays at far-left.",left,5,far-right,4,inner-right,still,1,far-left,1,far-left,right,right,False,32,32,11,11
no_cross_left__ball_cone__numbered_left_to_right__compact__target_first__target_first,1.2,applied,target_moves_without_crossing,leftward_motion,no_cross_left,ball_cone,ball,cone,reader_view_fixed_screen,numbered_left_to_right,"1, 2, 3, 4, 5",compact,target_first,reference,target_first,Target1,Target2,The ball icon is to the left of the cone icon.,left,left,"Fixed screen slots, left to right: 1, 2, 3, 4, 5. The ball icon moves from 2 to 1. The cone icon stays at 5.",left,2,2,1,1,still,5,5,5,5,left,left,False,The ball icon is to the right of the cone icon.,right,right,"Fixed screen slots, left to right: 1, 2, 3, 4, 5. The ball icon moves from 5 to 4. The cone icon stays at 1.",left,5,5,4,4,still,1,1,1,1,right,right,False,25,25,11,11
no_cross_left__ball_cone__numbered_right_to_left__compact__target_first__target_first,1.2,applied,target_moves_without_crossing,leftward_motion,no_cross_left,ball_cone,ball,cone,reader_view_fixed_screen,numbered_right_to_left,"5, 4, 3, 2, 1",compact,target_first,reference,target_first,Target1,Target2,The ball icon is to the left of the cone icon.,left,left,"Fixed screen slots, left to right: 5, 4, 3, 2, 1. The ball icon moves from 4 to 5. The cone icon stays at 1.",left,2,4,1,5,still,5,1,5,1,left,left,False,The ball icon is to the right of the cone icon.,right,right,"Fixed screen slots, left to right: 5, 4, 3, 2, 1. The ball icon moves from 1 to 2. The cone icon stays at 5.",left,5,1,4,2,still,1,5,1,5,right,right,False,25,25,11,11
no_cross_left__ball_cone__lettered_positions__compact__target_first__target_first,1.2,applied,target_moves_without_crossing,leftward_motion,no_cross_left,ball_cone,ball,cone,reader_view_fixed_screen,lettered_positions,"A, B, C, D, E",compact,target_first,reference,target_first,Target1,Target2,The ball icon is to the left of the cone icon.,left,left,"Fixed screen slots, left to right: A, B, C, D, E. The ball icon moves from B to A. The cone icon stays at E.",left,2,B,1,A,still,5,E,5,E,left,left,False,The ball icon is to the right of the cone icon.,right,right,"Fixed screen slots, left to right: A, B, C, D, E. The ball icon moves from E to D. The cone icon stays at A.",left,5,E,4,D,still,1,A,1,A,right,right,False,25,25,11,11
both_preserve_right__ball_cone__named_positions__compact__target_first__target_first,1.2,applied,both_move,order_preserved_right,both_preserve_right,ball_cone,ball,cone,reader_view_fixed_screen,named_positions,"far-left, inner-left, center, inner-right, far-right",compact,target_first,reference,target_first,Target1,Target2,The ball icon is to the left of the cone icon.,left,left,"Fixed screen slots, left to right: far-left, inner-left, center, inner-right, far-right. The ball icon moves from inner-left to center. The cone icon moves from inner-right to far-right.",right,2,inner-left,3,center,right,4,inner-right,5,far-right,left,left,False,The ball icon is to the right of the cone icon.,right,right,"Fixed screen slots, left to right: far-left, inner-left, center, inner-right, far-right. The ball icon moves from inner-right to far-right. The cone icon moves from inner-left to center.",right,4,inner-right,5,far-right,right,2,inner-left,3,center,right,right,False,34,34,11,11
both_preserve_right__ball_cone__numbered_left_to_right__compact__target_first__target_first,1.2,applied,both_move,order_preserved_right,both_preserve_right,ball_cone,ball,cone,reader_view_fixed_screen,numbered_left_to_right,"1, 2, 3, 4, 5",compact,target_first,reference,target_first,Target1,Target2,The ball icon is to the left of the cone icon.,left,left,"Fixed screen slots, left to right: 1, 2, 3, 4, 5. The ball icon moves from 2 to 3. The cone icon moves from 4 to 5.",right,2,2,3,3,right,4,4,5,5,left,left,False,The ball icon is to the right of the cone icon.,right,right,"Fixed screen slots, left to right: 1, 2, 3, 4, 5. The ball icon moves from 4 to 5. The cone icon moves from 2 to 3.",right,4,4,5,5,right,2,2,3,3,right,right,False,27,27,11,11
