probe_id,probe_version,probe_type,matched_group_id,condition_id,length_match_id,template_id,length_band,evidence_type,outcome,correct_target,name_id,name,object_id,object,numeric_case_id,unit,unit_id,unit_notation,unit_match_id,initial_distance,final_distance,signed_distance_change,movement_distance,object_stationary,passes_object,reference_order_id,wording_id,Context,Target1,Target2,Target3,Context_word_count,Context_char_count,Context_token_count,Target1_word_count,Target1_char_count,Target1_token_count,Target1_conditional_token_count,Target2_word_count,Target2_char_count,Target2_token_count,Target2_conditional_token_count,Target3_word_count,Target3_char_count,Target3_token_count,Target3_conditional_token_count,probe_row_index
name_0__obj_cone__num_00__movement_description__farther__compact,1.2,closer_farther_initial_conditions,name_0__obj_cone__num_00__compact,movement_description,name_0__obj_cone__num_00__movement_description__farther,movement_compact,compact,directed_movement_inference,farther,Target2,name_0,Maya,obj_cone,cone,num_00,metres,unit_metres,word,name_0__obj_cone__num_00__movement_description__farther__compact,18,23,5,5,True,False,person_relative_to_object,closer_farther_same_distance,"Starting 18 metres from a stationary cone, Maya walked 5 metres directly away from it.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,15,86,17,9,43,11,10,9,46,11,10,12,57,14,13,10
name_0__obj_cone__num_00__movement_description__closer,1.2,closer_farther_initial_conditions,name_0__obj_cone__num_00,movement_description,name_0__obj_cone__num_00__movement_description__closer,movement_standard,standard,directed_movement_inference,closer,Target1,name_0,Maya,obj_cone,cone,num_00,metres,unit_metres,word,name_0__obj_cone__num_00__movement_description__closer,18,13,-5,5,True,False,person_relative_to_object,closer_farther_same_distance,Maya was 18 metres from a stationary cone. Maya walked 5 metres directly toward the cone.,Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,16,89,19,9,43,11,10,9,46,11,10,12,57,14,13,11
name_0__obj_cone__num_00__movement_description__farther,1.2,closer_farther_initial_conditions,name_0__obj_cone__num_00,movement_description,name_0__obj_cone__num_00__movement_description__farther,movement_standard,standard,directed_movement_inference,farther,Target2,name_0,Maya,obj_cone,cone,num_00,metres,unit_metres,word,name_0__obj_cone__num_00__movement_description__farther,18,23,5,5,True,False,person_relative_to_object,closer_farther_same_distance,Maya was 18 metres from a stationary cone. Maya walked 5 metres directly away from the cone.,Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,17,92,20,9,43,11,10,9,46,11,10,12,57,14,13,12
name_0__obj_cone__num_00__movement_description__closer__expanded,1.2,closer_farther_initial_conditions,name_0__obj_cone__num_00__expanded,movement_description,name_0__obj_cone__num_00__movement_description__closer,movement_expanded,expanded,directed_movement_inference,closer,Target1,name_0,Maya,obj_cone,cone,num_00,metres,unit_metres,word,name_0__obj_cone__num_00__movement_description__closer__expanded,18,13,-5,5,True,False,person_relative_to_object,closer_farther_same_distance,"Initially, Maya was 18 metres from a cone that remained stationary. From that starting position, Maya walked 5 metres directly toward the cone.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,23,143,27,9,43,11,10,9,46,11,10,12,57,14,13,13
name_0__obj_cone__num_00__movement_description__farther__expanded,1.2,closer_farther_initial_conditions,name_0__obj_cone__num_00__expanded,movement_description,name_0__obj_cone__num_00__movement_description__farther,movement_expanded,expanded,directed_movement_inference,farther,Target2,name_0,Maya,obj_cone,cone,num_00,metres,unit_metres,word,name_0__obj_cone__num_00__movement_description__farther__expanded,18,23,5,5,True,False,person_relative_to_object,closer_farther_same_distance,"Initially, Maya was 18 metres from a cone that remained stationary. From that starting position, Maya walked 5 metres directly away from the cone.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,24,146,28,9,43,11,10,9,46,11,10,12,57,14,13,14
name_0__obj_cone__num_00__orientation_control__unchanged__compact,1.2,closer_farther_initial_conditions,name_0__obj_cone__num_00__compact,orientation_control,name_0__obj_cone__num_00__orientation_control__unchanged,orientation_compact,compact,rotation_without_translation_inference,unchanged,Target3,name_0,Maya,obj_cone,cone,num_00,metres,unit_metres,word,name_0__obj_cone__num_00__orientation_control__unchanged__compact,18,18,0,0,True,False,person_relative_to_object,closer_farther_same_distance,"Maya, 18 metres from a stationary cone, turned around in place.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,11,63,15,9,43,11,10,9,46,11,10,12,57,14,13,15
name_0__obj_cone__num_00__orientation_control__unchanged,1.2,closer_farther_initial_conditions,name_0__obj_cone__num_00,orientation_control,name_0__obj_cone__num_00__orientation_control__unchanged,orientation_standard,standard,rotation_without_translation_inference,unchanged,Target3,name_0,Maya,obj_cone,cone,num_00,metres,unit_metres,word,name_0__obj_cone__num_00__orientation_control__unchanged,18,18,0,0,True,False,person_relative_to_object,closer_farther_same_distance,Maya was 18 metres from a stationary cone. Maya turned around without changing position.,Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,14,88,17,9,43,11,10,9,46,11,10,12,57,14,13,16
name_0__obj_cone__num_00__orientation_control__unchanged__expanded,1.2,closer_farther_initial_conditions,name_0__obj_cone__num_00__expanded,orientation_control,name_0__obj_cone__num_00__orientation_control__unchanged,orientation_expanded,expanded,rotation_without_translation_inference,unchanged,Target3,name_0,Maya,obj_cone,cone,num_00,metres,unit_metres,word,name_0__obj_cone__num_00__orientation_control__unchanged__expanded,18,18,0,0,True,False,person_relative_to_object,closer_farther_same_distance,"Initially, Maya was 18 metres from a cone that remained stationary. Maya then turned to face the opposite direction, keeping both feet in the same place.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,26,153,30,9,43,11,10,9,46,11,10,12,57,14,13,17
name_0__obj_cone__num_01__explicit_distance__closer__compact,1.2,closer_farther_initial_conditions,name_0__obj_cone__num_01__compact,explicit_distance,name_0__obj_cone__num_01__explicit_distance__closer,distance_compact,compact,explicit_distance_comparison,closer,Target1,name_0,Maya,obj_cone,cone,num_01,metres,unit_metres,word,name_0__obj_cone__num_01__explicit_distance__closer__compact,85,73,-12,12,True,False,person_relative_to_object,closer_farther_same_distance,"Maya's distance from the stationary cone: initially 85 metres, now 73 metres.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,13,77,17,9,43,11,10,9,46,11,10,12,57,14,13,18
name_0__obj_cone__num_01__explicit_distance__farther__compact,1.2,closer_farther_initial_conditions,name_0__obj_cone__num_01__compact,explicit_distance,name_0__obj_cone__num_01__explicit_distance__farther,distance_compact,compact,explicit_distance_comparison,farther,Target2,name_0,Maya,obj_cone,cone,num_01,metres,unit_metres,word,name_0__obj_cone__num_01__explicit_distance__farther__compact,85,97,12,12,True,False,person_relative_to_object,closer_farther_same_distance,"Maya's distance from the stationary cone: initially 85 metres, now 97 metres.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,13,77,17,9,43,11,10,9,46,11,10,12,57,14,13,19
name_0__obj_cone__num_01__explicit_distance__unchanged__compact,1.2,closer_farther_initial_conditions,name_0__obj_cone__num_01__compact,explicit_distance,name_0__obj_cone__num_01__explicit_distance__unchanged,distance_compact,compact,explicit_distance_comparison,unchanged,Target3,name_0,Maya,obj_cone,cone,num_01,metres,unit_metres,word,name_0__obj_cone__num_01__explicit_distance__unchanged__compact,85,85,0,0,True,False,person_relative_to_object,closer_farther_same_distance,"Maya's distance from the stationary cone: initially 85 metres, now 85 metres.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,13,77,17,9,43,11,10,9,46,11,10,12,57,14,13,20
name_0__obj_cone__num_01__explicit_distance__closer,1.2,closer_farther_initial_conditions,name_0__obj_cone__num_01,explicit_distance,name_0__obj_cone__num_01__explicit_distance__closer,distance_standard,standard,explicit_distance_comparison,closer,Target1,name_0,Maya,obj_cone,cone,num_01,metres,unit_metres,word,name_0__obj_cone__num_01__explicit_distance__closer,85,73,-12,12,True,False,person_relative_to_object,closer_farther_same_distance,Maya was 85 metres from a stationary cone. Maya is now 73 metres from the cone.,Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,16,79,19,9,43,11,10,9,46,11,10,12,57,14,13,21
name_0__obj_cone__num_01__explicit_distance__farther,1.2,closer_farther_initial_conditions,name_0__obj_cone__num_01,explicit_distance,name_0__obj_cone__num_01__explicit_distance__farther,distance_standard,standard,explicit_distance_comparison,farther,Target2,name_0,Maya,obj_cone,cone,num_01,metres,unit_metres,word,name_0__obj_cone__num_01__explicit_distance__farther,85,97,12,12,True,False,person_relative_to_object,closer_farther_same_distance,Maya was 85 metres from a stationary cone. Maya is now 97 metres from the cone.,Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,16,79,19,9,43,11,10,9,46,11,10,12,57,14,13,22
name_0__obj_cone__num_01__explicit_distance__unchanged,1.2,closer_farther_initial_conditions,name_0__obj_cone__num_01,explicit_distance,name_0__obj_cone__num_01__explicit_distance__unchanged,distance_standard,standard,explicit_distance_comparison,unchanged,Target3,name_0,Maya,obj_cone,cone,num_01,metres,unit_metres,word,name_0__obj_cone__num_01__explicit_distance__unchanged,85,85,0,0,True,False,person_relative_to_object,closer_farther_same_distance,Maya was 85 metres from a stationary cone. Maya is now 85 metres from the cone.,Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,16,79,19,9,43,11,10,9,46,11,10,12,57,14,13,23
name_0__obj_cone__num_01__explicit_distance__closer__expanded,1.2,closer_farther_initial_conditions,name_0__obj_cone__num_01__expanded,explicit_distance,name_0__obj_cone__num_01__explicit_distance__closer,distance_expanded,expanded,explicit_distance_comparison,closer,Target1,name_0,Maya,obj_cone,cone,num_01,metres,unit_metres,word,name_0__obj_cone__num_01__explicit_distance__closer__expanded,85,73,-12,12,True,False,person_relative_to_object,closer_farther_same_distance,"Initially, Maya was 85 metres from a cone that remained stationary. The distance between Maya and that cone is now 73 metres.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,22,125,25,9,43,11,10,9,46,11,10,12,57,14,13,24
name_0__obj_cone__num_01__explicit_distance__farther__expanded,1.2,closer_farther_initial_conditions,name_0__obj_cone__num_01__expanded,explicit_distance,name_0__obj_cone__num_01__explicit_distance__farther,distance_expanded,expanded,explicit_distance_comparison,farther,Target2,name_0,Maya,obj_cone,cone,num_01,metres,unit_metres,word,name_0__obj_cone__num_01__explicit_distance__farther__expanded,85,97,12,12,True,False,person_relative_to_object,closer_farther_same_distance,"Initially, Maya was 85 metres from a cone that remained stationary. The distance between Maya and that cone is now 97 metres.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,22,125,25,9,43,11,10,9,46,11,10,12,57,14,13,25
name_0__obj_cone__num_01__explicit_distance__unchanged__expanded,1.2,closer_farther_initial_conditions,name_0__obj_cone__num_01__expanded,explicit_distance,name_0__obj_cone__num_01__explicit_distance__unchanged,distance_expanded,expanded,explicit_distance_comparison,unchanged,Target3,name_0,Maya,obj_cone,cone,num_01,metres,unit_metres,word,name_0__obj_cone__num_01__explicit_distance__unchanged__expanded,85,85,0,0,True,False,person_relative_to_object,closer_farther_same_distance,"Initially, Maya was 85 metres from a cone that remained stationary. The distance between Maya and that cone is now 85 metres.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,22,125,25,9,43,11,10,9,46,11,10,12,57,14,13,26
name_0__obj_cone__num_01__movement_description__closer__compact,1.2,closer_farther_initial_conditions,name_0__obj_cone__num_01__compact,movement_description,name_0__obj_cone__num_01__movement_description__closer,movement_compact,compact,directed_movement_inference,closer,Target1,name_0,Maya,obj_cone,cone,num_01,metres,unit_metres,word,name_0__obj_cone__num_01__movement_description__closer__compact,85,73,-12,12,True,False,person_relative_to_object,closer_farther_same_distance,"Starting 85 metres from a stationary cone, Maya walked 12 metres directly toward it.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,14,84,16,9,43,11,10,9,46,11,10,12,57,14,13,27
name_0__obj_cone__num_01__movement_description__farther__compact,1.2,closer_farther_initial_conditions,name_0__obj_cone__num_01__compact,movement_description,name_0__obj_cone__num_01__movement_description__farther,movement_compact,compact,directed_movement_inference,farther,Target2,name_0,Maya,obj_cone,cone,num_01,metres,unit_metres,word,name_0__obj_cone__num_01__movement_description__farther__compact,85,97,12,12,True,False,person_relative_to_object,closer_farther_same_distance,"Starting 85 metres from a stationary cone, Maya walked 12 metres directly away from it.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,15,87,17,9,43,11,10,9,46,11,10,12,57,14,13,28
name_0__obj_cone__num_01__movement_description__closer,1.2,closer_farther_initial_conditions,name_0__obj_cone__num_01,movement_description,name_0__obj_cone__num_01__movement_description__closer,movement_standard,standard,directed_movement_inference,closer,Target1,name_0,Maya,obj_cone,cone,num_01,metres,unit_metres,word,name_0__obj_cone__num_01__movement_description__closer,85,73,-12,12,True,False,person_relative_to_object,closer_farther_same_distance,Maya was 85 metres from a stationary cone. Maya walked 12 metres directly toward the cone.,Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,16,90,19,9,43,11,10,9,46,11,10,12,57,14,13,29
name_0__obj_cone__num_01__movement_description__farther,1.2,closer_farther_initial_conditions,name_0__obj_cone__num_01,movement_description,name_0__obj_cone__num_01__movement_description__farther,movement_standard,standard,directed_movement_inference,farther,Target2,name_0,Maya,obj_cone,cone,num_01,metres,unit_metres,word,name_0__obj_cone__num_01__movement_description__farther,85,97,12,12,True,False,person_relative_to_object,closer_farther_same_distance,Maya was 85 metres from a stationary cone. Maya walked 12 metres directly away from the cone.,Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,17,93,20,9,43,11,10,9,46,11,10,12,57,14,13,30
name_0__obj_cone__num_01__movement_description__closer__expanded,1.2,closer_farther_initial_conditions,name_0__obj_cone__num_01__expanded,movement_description,name_0__obj_cone__num_01__movement_description__closer,movement_expanded,expanded,directed_movement_inference,closer,Target1,name_0,Maya,obj_cone,cone,num_01,metres,unit_metres,word,name_0__obj_cone__num_01__movement_description__closer__expanded,85,73,-12,12,True,False,person_relative_to_object,closer_farther_same_distance,"Initially, Maya was 85 metres from a cone that remained stationary. From that starting position, Maya walked 12 metres directly toward the cone.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,23,144,27,9,43,11,10,9,46,11,10,12,57,14,13,31
name_0__obj_cone__num_01__movement_description__farther__expanded,1.2,closer_farther_initial_conditions,name_0__obj_cone__num_01__expanded,movement_description,name_0__obj_cone__num_01__movement_description__farther,movement_expanded,expanded,directed_movement_inference,farther,Target2,name_0,Maya,obj_cone,cone,num_01,metres,unit_metres,word,name_0__obj_cone__num_01__movement_description__farther__expanded,85,97,12,12,True,False,person_relative_to_object,closer_farther_same_distance,"Initially, Maya was 85 metres from a cone that remained stationary. From that starting position, Maya walked 12 metres directly away from the cone.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,24,147,28,9,43,11,10,9,46,11,10,12,57,14,13,32
name_0__obj_cone__num_01__orientation_control__unchanged__compact,1.2,closer_farther_initial_conditions,name_0__obj_cone__num_01__compact,orientation_control,name_0__obj_cone__num_01__orientation_control__unchanged,orientation_compact,compact,rotation_without_translation_inference,unchanged,Target3,name_0,Maya,obj_cone,cone,num_01,metres,unit_metres,word,name_0__obj_cone__num_01__orientation_control__unchanged__compact,85,85,0,0,True,False,person_relative_to_object,closer_farther_same_distance,"Maya, 85 metres from a stationary cone, turned around in place.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,11,63,15,9,43,11,10,9,46,11,10,12,57,14,13,33
name_0__obj_cone__num_01__orientation_control__unchanged,1.2,closer_farther_initial_conditions,name_0__obj_cone__num_01,orientation_control,name_0__obj_cone__num_01__orientation_control__unchanged,orientation_standard,standard,rotation_without_translation_inference,unchanged,Target3,name_0,Maya,obj_cone,cone,num_01,metres,unit_metres,word,name_0__obj_cone__num_01__orientation_control__unchanged,85,85,0,0,True,False,person_relative_to_object,closer_farther_same_distance,Maya was 85 metres from a stationary cone. Maya turned around without changing position.,Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,14,88,17,9,43,11,10,9,46,11,10,12,57,14,13,34
name_0__obj_cone__num_01__orientation_control__unchanged__expanded,1.2,closer_farther_initial_conditions,name_0__obj_cone__num_01__expanded,orientation_control,name_0__obj_cone__num_01__orientation_control__unchanged,orientation_expanded,expanded,rotation_without_translation_inference,unchanged,Target3,name_0,Maya,obj_cone,cone,num_01,metres,unit_metres,word,name_0__obj_cone__num_01__orientation_control__unchanged__expanded,85,85,0,0,True,False,person_relative_to_object,closer_farther_same_distance,"Initially, Maya was 85 metres from a cone that remained stationary. Maya then turned to face the opposite direction, keeping both feet in the same place.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,26,153,30,9,43,11,10,9,46,11,10,12,57,14,13,35
name_0__obj_cone__num_02__explicit_distance__closer__compact,1.2,closer_farther_initial_conditions,name_0__obj_cone__num_02__compact,explicit_distance,name_0__obj_cone__num_02__explicit_distance__closer,distance_compact,compact,explicit_distance_comparison,closer,Target1,name_0,Maya,obj_cone,cone,num_02,metres,unit_metres,word,name_0__obj_cone__num_02__explicit_distance__closer__compact,30,24,-6,6,True,False,person_relative_to_object,closer_farther_same_distance,"Maya's distance from the stationary cone: initially 30 metres, now 24 metres.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,13,77,17,9,43,11,10,9,46,11,10,12,57,14,13,36
name_0__obj_cone__num_02__explicit_distance__farther__compact,1.2,closer_farther_initial_conditions,name_0__obj_cone__num_02__compact,explicit_distance,name_0__obj_cone__num_02__explicit_distance__farther,distance_compact,compact,explicit_distance_comparison,farther,Target2,name_0,Maya,obj_cone,cone,num_02,metres,unit_metres,word,name_0__obj_cone__num_02__explicit_distance__farther__compact,30,36,6,6,True,False,person_relative_to_object,closer_farther_same_distance,"Maya's distance from the stationary cone: initially 30 metres, now 36 metres.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,13,77,17,9,43,11,10,9,46,11,10,12,57,14,13,37
name_0__obj_cone__num_02__explicit_distance__unchanged__compact,1.2,closer_farther_initial_conditions,name_0__obj_cone__num_02__compact,explicit_distance,name_0__obj_cone__num_02__explicit_distance__unchanged,distance_compact,compact,explicit_distance_comparison,unchanged,Target3,name_0,Maya,obj_cone,cone,num_02,metres,unit_metres,word,name_0__obj_cone__num_02__explicit_distance__unchanged__compact,30,30,0,0,True,False,person_relative_to_object,closer_farther_same_distance,"Maya's distance from the stationary cone: initially 30 metres, now 30 metres.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,13,77,17,9,43,11,10,9,46,11,10,12,57,14,13,38
name_0__obj_cone__num_02__explicit_distance__closer,1.2,closer_farther_initial_conditions,name_0__obj_cone__num_02,explicit_distance,name_0__obj_cone__num_02__explicit_distance__closer,distance_standard,standard,explicit_distance_comparison,closer,Target1,name_0,Maya,obj_cone,cone,num_02,metres,unit_metres,word,name_0__obj_cone__num_02__explicit_distance__closer,30,24,-6,6,True,False,person_relative_to_object,closer_farther_same_distance,Maya was 30 metres from a stationary cone. Maya is now 24 metres from the cone.,Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,16,79,19,9,43,11,10,9,46,11,10,12,57,14,13,39
name_0__obj_cone__num_02__explicit_distance__farther,1.2,closer_farther_initial_conditions,name_0__obj_cone__num_02,explicit_distance,name_0__obj_cone__num_02__explicit_distance__farther,distance_standard,standard,explicit_distance_comparison,farther,Target2,name_0,Maya,obj_cone,cone,num_02,metres,unit_metres,word,name_0__obj_cone__num_02__explicit_distance__farther,30,36,6,6,True,False,person_relative_to_object,closer_farther_same_distance,Maya was 30 metres from a stationary cone. Maya is now 36 metres from the cone.,Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,16,79,19,9,43,11,10,9,46,11,10,12,57,14,13,40
