control,base_probe_id,variant_probe_id,axis,probe_family
mapping_direction,north_south__position_forward_plain__globe__reciprocal_named,north_south__position_reverse_plain__globe__reciprocal_named,north_south,relative_map_position
mapping_direction,north_south__position_forward_paraphrase__globe__reciprocal_named,north_south__position_reverse_paraphrase__globe__reciprocal_named,north_south,relative_map_position
wording,north_south__position_reverse_plain__globe__reciprocal_named,north_south__position_reverse_paraphrase__globe__reciprocal_named,north_south,relative_map_position
wording,east_west__position_forward_plain__globe__reciprocal_named,east_west__position_forward_paraphrase__globe__reciprocal_named,east_west,relative_map_position
mapping_direction,east_west__position_forward_plain__globe__reciprocal_named,east_west__position_reverse_plain__globe__reciprocal_named,east_west,relative_map_position
mapping_direction,east_west__position_forward_paraphrase__globe__reciprocal_named,east_west__position_reverse_paraphrase__globe__reciprocal_named,east_west,relative_map_position
wording,east_west__position_reverse_plain__globe__reciprocal_named,east_west__position_reverse_paraphrase__globe__reciprocal_named,east_west,relative_map_position
preposition,north_south__edge_alt_word_to_meaning_traveling_toward,north_south__edge_alt_word_to_meaning_traveling_to,north_south,direction_definition
preposition,north_south__edge_alt_word_to_meaning_going_toward,north_south__edge_alt_word_to_meaning_going_to,north_south,direction_definition
preposition,north_south__edge_alt_meaning_to_word_traveling_toward,north_south__edge_alt_meaning_to_word_traveling_to,north_south,direction_definition
preposition,north_south__edge_alt_meaning_to_word_going_toward,north_south__edge_alt_meaning_to_word_going_to,north_south,direction_definition
preposition,east_west__edge_alt_word_to_meaning_traveling_toward,east_west__edge_alt_word_to_meaning_traveling_to,east_west,direction_definition
preposition,east_west__edge_alt_word_to_meaning_going_toward,east_west__edge_alt_word_to_meaning_going_to,east_west,direction_definition
preposition,east_west__edge_alt_meaning_to_word_traveling_toward,east_west__edge_alt_meaning_to_word_traveling_to,east_west,direction_definition
preposition,east_west__edge_alt_meaning_to_word_going_toward,east_west__edge_alt_meaning_to_word_going_to,east_west,direction_definition
reciprocal_named_entities,north_south__position_forward_plain,north_south__position_forward_plain__reciprocal_named,north_south,relative_map_position
reciprocal_named_entities,north_south__position_forward_paraphrase,north_south__position_forward_paraphrase__reciprocal_named,north_south,relative_map_position
reciprocal_named_entities,north_south__position_reverse_plain,north_south__position_reverse_plain__reciprocal_named,north_south,relative_map_position
reciprocal_named_entities,north_south__position_reverse_paraphrase,north_south__position_reverse_paraphrase__reciprocal_named,north_south,relative_map_position
reciprocal_named_entities,east_west__position_forward_plain,east_west__position_forward_plain__reciprocal_named,east_west,relative_map_position
reciprocal_named_entities,east_west__position_forward_paraphrase,east_west__position_forward_paraphrase__reciprocal_named,east_west,relative_map_position
reciprocal_named_entities,east_west__position_reverse_plain,east_west__position_reverse_plain__reciprocal_named,east_west,relative_map_position
reciprocal_named_entities,east_west__position_reverse_paraphrase,east_west__position_reverse_paraphrase__reciprocal_named,east_west,relative_map_position
reciprocal_named_entities,north_south__position_forward_plain__globe,north_south__position_forward_plain__globe__reciprocal_named,north_south,relative_map_position
reciprocal_named_entities,north_south__position_forward_paraphrase__globe,north_south__position_forward_paraphrase__globe__reciprocal_named,north_south,relative_map_position
reciprocal_named_entities,north_south__position_reverse_plain__globe,north_south__position_reverse_plain__globe__reciprocal_named,north_south,relative_map_position
reciprocal_named_entities,north_south__position_reverse_paraphrase__globe,north_south__position_reverse_paraphrase__globe__reciprocal_named,north_south,relative_map_position
reciprocal_named_entities,east_west__position_forward_plain__globe,east_west__position_forward_plain__globe__reciprocal_named,east_west,relative_map_position
reciprocal_named_entities,east_west__position_forward_paraphrase__globe,east_west__position_forward_paraphrase__globe__reciprocal_named,east_west,relative_map_position
reciprocal_named_entities,east_west__position_reverse_plain__globe,east_west__position_reverse_plain__globe__reciprocal_named,east_west,relative_map_position
reciprocal_named_entities,east_west__position_reverse_paraphrase__globe,east_west__position_reverse_paraphrase__globe__reciprocal_named,east_west,relative_map_position
