probe_id,probe_version,probe_family,axis,template_id,mapping_direction,wording_family,wording_id,reference_frame,reference_surface,context_entity_order,target_entity_order,correct_target_for_context1,correct_target_for_context2,Context1,Target1,context1_direction,gold1_cardinal_direction,context1_screen_axis,context1_screen_sign,Context2,Target2,context2_direction,gold2_cardinal_direction,context2_screen_axis,context2_screen_sign,Context1_word_count,Context2_word_count,Target1_word_count,Target2_word_count,preposition,design_extension,preposition_match_id
east_west__edge_reverse_plain,1.2,direction_definition,east_west,edge_reverse_plain,meaning_to_word,map_edge,plain,north_up_east_right_map,map,,,Target1,Target2,"On this map, north is at the top and east is on the right. Moving toward the right edge means moving",east.,east,east,horizontal,1,"On this map, north is at the top and east is on the right. Moving toward the left edge means moving",west.,west,west,horizontal,-1,21,21,1,1,not_applicable,original,
east_west__edge_reverse_paraphrase,1.2,direction_definition,east_west,edge_reverse_paraphrase,meaning_to_word,map_edge,paraphrase,north_up_east_right_map,map,,,Target1,Target2,"On this map, north is at the top and east is on the right. To travel toward the right edge, go",east.,east,east,horizontal,1,"On this map, north is at the top and east is on the right. To travel toward the left edge, go",west.,west,west,horizontal,-1,21,21,1,1,not_applicable,original,
east_west__movement_forward_plain,1.2,direction_definition,east_west,movement_forward_plain,word_to_meaning,movement_word,plain,north_up_east_right_map,map,,,Target1,Target2,"On this map, north is at the top and east is on the right. Moving east means moving",rightward.,east,east,horizontal,1,"On this map, north is at the top and east is on the right. Moving west means moving",leftward.,west,west,horizontal,-1,18,18,1,1,not_applicable,original,
east_west__movement_forward_paraphrase,1.2,direction_definition,east_west,movement_forward_paraphrase,word_to_meaning,movement_word,paraphrase,north_up_east_right_map,map,,,Target1,Target2,"On this map, north is at the top and east is on the right. To go east, move",rightward.,east,east,horizontal,1,"On this map, north is at the top and east is on the right. To go west, move",leftward.,west,west,horizontal,-1,18,18,1,1,not_applicable,original,
east_west__movement_reverse_plain,1.2,direction_definition,east_west,movement_reverse_plain,meaning_to_word,movement_word,plain,north_up_east_right_map,map,,,Target1,Target2,"On this map, north is at the top and east is on the right. Moving rightward means moving",east.,east,east,horizontal,1,"On this map, north is at the top and east is on the right. Moving leftward means moving",west.,west,west,horizontal,-1,18,18,1,1,not_applicable,original,
east_west__movement_reverse_paraphrase,1.2,direction_definition,east_west,movement_reverse_paraphrase,meaning_to_word,movement_word,paraphrase,north_up_east_right_map,map,,,Target1,Target2,"On this map, north is at the top and east is on the right. To move rightward, go",east.,east,east,horizontal,1,"On this map, north is at the top and east is on the right. To move leftward, go",west.,west,west,horizontal,-1,18,18,1,1,not_applicable,original,
east_west__opposite_plain,1.2,opposite_direction,east_west,opposite_plain,word_to_opposite,opposite,plain,cardinal_directions,none,,,Target1,Target2,The direction opposite east is,west.,east,west,,,The direction opposite west is,east.,west,east,,,5,5,1,1,not_applicable,original,
east_west__opposite_other_way,1.2,opposite_direction,east_west,opposite_other_way,word_to_opposite,opposite,other_way,cardinal_directions,none,,,Target1,Target2,Going the opposite way from east means going,west.,east,west,,,Going the opposite way from west means going,east.,west,east,,,8,8,1,1,not_applicable,original,
east_west__opposite_reversed,1.2,opposite_direction,east_west,opposite_reversed,word_to_opposite,opposite,reversed,cardinal_directions,none,,,Target1,Target2,"If the direction of travel is east, reversing that direction means traveling",west.,east,west,,,"If the direction of travel is west, reversing that direction means traveling",east.,west,east,,,12,12,1,1,not_applicable,original,
east_west__opposite_turn,1.2,opposite_direction,east_west,opposite_turn,word_to_opposite,opposite,turn,cardinal_directions,none,,,Target1,Target2,"If you face east and turn halfway around, you then face",west.,east,west,,,"If you face west and turn halfway around, you then face",east.,west,east,,,11,11,1,1,not_applicable,original,
east_west__position_forward_plain,1.2,relative_map_position,east_west,position_forward_plain,word_to_meaning,relative_position,plain,north_up_east_right_map,map,A_then_B,A_relative_to_B,Target1,Target2,"On this map, north is at the top and east is on the right. Marker A is east of marker B. On the map, marker A appears",to the right of marker B.,east,east,horizontal,1,"On this map, north is at the top and east is on the right. Marker A is west of marker B. On the map, marker A appears",to the left of marker B.,west,west,horizontal,-1,27,27,6,6,not_applicable,original,
east_west__position_forward_paraphrase,1.2,relative_map_position,east_west,position_forward_paraphrase,word_to_meaning,relative_position,paraphrase,north_up_east_right_map,map,A_then_B,A_relative_to_B,Target1,Target2,"On this map, north is at the top and east is on the right. Marker A lies east of marker B. Its position on the map is",to the right of marker B.,east,east,horizontal,1,"On this map, north is at the top and east is on the right. Marker A lies west of marker B. Its position on the map is",to the left of marker B.,west,west,horizontal,-1,27,27,6,6,not_applicable,original,
east_west__position_reverse_plain,1.2,relative_map_position,east_west,position_reverse_plain,meaning_to_word,relative_position,plain,north_up_east_right_map,map,A_then_B,A_relative_to_B,Target1,Target2,"On this map, north is at the top and east is on the right. Marker A appears to the right of marker B. Marker A is",east of marker B.,east,east,horizontal,1,"On this map, north is at the top and east is on the right. Marker A appears to the left of marker B. Marker A is",west of marker B.,west,west,horizontal,-1,26,26,4,4,not_applicable,original,
east_west__position_reverse_paraphrase,1.2,relative_map_position,east_west,position_reverse_paraphrase,meaning_to_word,relative_position,paraphrase,north_up_east_right_map,map,A_then_B,A_relative_to_B,Target1,Target2,"On this map, north is at the top and east is on the right. Marker A is drawn to the right of marker B. Its position is",east of marker B.,east,east,horizontal,1,"On this map, north is at the top and east is on the right. Marker A is drawn to the left of marker B. Its position is",west of marker B.,west,west,horizontal,-1,27,27,4,4,not_applicable,original,
north_south__position_forward_plain__globe,1.2,relative_map_position,north_south,position_forward_plain,word_to_meaning,relative_position,plain,upright_globe_central_view,globe,A_then_B,A_relative_to_B,Target1,Target2,"You view an upright globe with the North Pole at the top. In the central visible region, north appears upward and east appears rightward. Both markers are close together in that region. Marker A is north of marker B. On the globe, marker A appears",above marker B.,north,north,vertical,1,"You view an upright globe with the North Pole at the top. In the central visible region, north appears upward and east appears rightward. Both markers are close together in that region. Marker A is south of marker B. On the globe, marker A appears",below marker B.,south,south,vertical,-1,45,45,3,3,not_applicable,original,
north_south__position_forward_paraphrase__globe,1.2,relative_map_position,north_south,position_forward_paraphrase,word_to_meaning,relative_position,paraphrase,upright_globe_central_view,globe,A_then_B,A_relative_to_B,Target1,Target2,"You view an upright globe with the North Pole at the top. In the central visible region, north appears upward and east appears rightward. Both markers are close together in that region. Marker A lies north of marker B. Its position on the globe is",above marker B.,north,north,vertical,1,"You view an upright globe with the North Pole at the top. In the central visible region, north appears upward and east appears rightward. Both markers are close together in that region. Marker A lies south of marker B. Its position on the globe is",below marker B.,south,south,vertical,-1,45,45,3,3,not_applicable,original,
north_south__position_reverse_plain__globe,1.2,relative_map_position,north_south,position_reverse_plain,meaning_to_word,relative_position,plain,upright_globe_central_view,globe,A_then_B,A_relative_to_B,Target1,Target2,"You view an upright globe with the North Pole at the top. In the central visible region, north appears upward and east appears rightward. Both markers are close together in that region. Marker A appears above marker B. Marker A is",north of marker B.,north,north,vertical,1,"You view an upright globe with the North Pole at the top. In the central visible region, north appears upward and east appears rightward. Both markers are close together in that region. Marker A appears below marker B. Marker A is",south of marker B.,south,south,vertical,-1,41,41,4,4,not_applicable,original,
north_south__position_reverse_paraphrase__globe,1.2,relative_map_position,north_south,position_reverse_paraphrase,meaning_to_word,relative_position,paraphrase,upright_globe_central_view,globe,A_then_B,A_relative_to_B,Target1,Target2,"You view an upright globe with the North Pole at the top. In the central visible region, north appears upward and east appears rightward. Both markers are close together in that region. Marker A is drawn above marker B. Its position is",north of marker B.,north,north,vertical,1,"You view an upright globe with the North Pole at the top. In the central visible region, north appears upward and east appears rightward. Both markers are close together in that region. Marker A is drawn below marker B. Its position is",south of marker B.,south,south,vertical,-1,42,42,4,4,not_applicable,original,
east_west__position_forward_plain__globe,1.2,relative_map_position,east_west,position_forward_plain,word_to_meaning,relative_position,plain,upright_globe_central_view,globe,A_then_B,A_relative_to_B,Target1,Target2,"You view an upright globe with the North Pole at the top. In the central visible region, north appears upward and east appears rightward. Both markers are close together in that region. Marker A is east of marker B. On the globe, marker A appears",to the right of marker B.,east,east,horizontal,1,"You view an upright globe with the North Pole at the top. In the central visible region, north appears upward and east appears rightward. Both markers are close together in that region. Marker A is west of marker B. On the globe, marker A appears",to the left of marker B.,west,west,horizontal,-1,45,45,6,6,not_applicable,original,
east_west__position_forward_paraphrase__globe,1.2,relative_map_position,east_west,position_forward_paraphrase,word_to_meaning,relative_position,paraphrase,upright_globe_central_view,globe,A_then_B,A_relative_to_B,Target1,Target2,"You view an upright globe with the North Pole at the top. In the central visible region, north appears upward and east appears rightward. Both markers are close together in that region. Marker A lies east of marker B. Its position on the globe is",to the right of marker B.,east,east,horizontal,1,"You view an upright globe with the North Pole at the top. In the central visible region, north appears upward and east appears rightward. Both markers are close together in that region. Marker A lies west of marker B. Its position on the globe is",to the left of marker B.,west,west,horizontal,-1,45,45,6,6,not_applicable,original,
east_west__position_reverse_plain__globe,1.2,relative_map_position,east_west,position_reverse_plain,meaning_to_word,relative_position,plain,upright_globe_central_view,globe,A_then_B,A_relative_to_B,Target1,Target2,"You view an upright globe with the North Pole at the top. In the central visible region, north appears upward and east appears rightward. Both markers are close together in that region. Marker A appears to the right of marker B. Marker A is",east of marker B.,east,east,horizontal,1,"You view an upright globe with the North Pole at the top. In the central visible region, north appears upward and east appears rightward. Both markers are close together in that region. Marker A appears to the left of marker B. Marker A is",west of marker B.,west,west,horizontal,-1,44,44,4,4,not_applicable,original,
east_west__position_reverse_paraphrase__globe,1.2,relative_map_position,east_west,position_reverse_paraphrase,meaning_to_word,relative_position,paraphrase,upright_globe_central_view,globe,A_then_B,A_relative_to_B,Target1,Target2,"You view an upright globe with the North Pole at the top. In the central visible region, north appears upward and east appears rightward. Both markers are close together in that region. Marker A is drawn to the right of marker B. Its position is",east of marker B.,east,east,horizontal,1,"You view an upright globe with the North Pole at the top. In the central visible region, north appears upward and east appears rightward. Both markers are close together in that region. Marker A is drawn to the left of marker B. Its position is",west of marker B.,west,west,horizontal,-1,45,45,4,4,not_applicable,original,
north_south__edge_alt_word_to_meaning_traveling_toward,1.2,direction_definition,north_south,edge_alt_word_to_meaning_traveling_toward,word_to_meaning,alternate_edge,traveling,north_up_east_right_map,map,,,Target1,Target2,"On this map, north is at the top and east is on the right. Traveling north takes you toward",the upper edge.,north,north,vertical,1,"On this map, north is at the top and east is on the right. Traveling south takes you toward",the lower edge.,south,south,vertical,-1,19,19,3,3,toward,edge_preposition,north_south__word_to_meaning__traveling
north_south__edge_alt_word_to_meaning_traveling_to,1.2,direction_definition,north_south,edge_alt_word_to_meaning_traveling_to,word_to_meaning,alternate_edge,traveling,north_up_east_right_map,map,,,Target1,Target2,"On this map, north is at the top and east is on the right. Traveling north takes you to",the upper edge.,north,north,vertical,1,"On this map, north is at the top and east is on the right. Traveling south takes you to",the lower edge.,south,south,vertical,-1,19,19,3,3,to,edge_preposition,north_south__word_to_meaning__traveling
north_south__edge_alt_word_to_meaning_going_toward,1.2,direction_definition,north_south,edge_alt_word_to_meaning_going_toward,word_to_meaning,alternate_edge,going,north_up_east_right_map,map,,,Target1,Target2,"On this map, north is at the top and east is on the right. Going north takes you toward",the upper edge.,north,north,vertical,1,"On this map, north is at the top and east is on the right. Going south takes you toward",the lower edge.,south,south,vertical,-1,19,19,3,3,toward,edge_preposition,north_south__word_to_meaning__going
north_south__edge_alt_word_to_meaning_going_to,1.2,direction_definition,north_south,edge_alt_word_to_meaning_going_to,word_to_meaning,alternate_edge,going,north_up_east_right_map,map,,,Target1,Target2,"On this map, north is at the top and east is on the right. Going north takes you to",the upper edge.,north,north,vertical,1,"On this map, north is at the top and east is on the right. Going south takes you to",the lower edge.,south,south,vertical,-1,19,19,3,3,to,edge_preposition,north_south__word_to_meaning__going
north_south__edge_alt_meaning_to_word_traveling_toward,1.2,direction_definition,north_south,edge_alt_meaning_to_word_traveling_toward,meaning_to_word,alternate_edge,traveling,north_up_east_right_map,map,,,Target1,Target2,"On this map, north is at the top and east is on the right. Traveling toward the upper edge means going",north.,north,north,vertical,1,"On this map, north is at the top and east is on the right. Traveling toward the lower edge means going",south.,south,south,vertical,-1,21,21,1,1,toward,edge_preposition,north_south__meaning_to_word__traveling
north_south__edge_alt_meaning_to_word_traveling_to,1.2,direction_definition,north_south,edge_alt_meaning_to_word_traveling_to,meaning_to_word,alternate_edge,traveling,north_up_east_right_map,map,,,Target1,Target2,"On this map, north is at the top and east is on the right. Traveling to the upper edge means going",north.,north,north,vertical,1,"On this map, north is at the top and east is on the right. Traveling to the lower edge means going",south.,south,south,vertical,-1,21,21,1,1,to,edge_preposition,north_south__meaning_to_word__traveling
north_south__edge_alt_meaning_to_word_going_toward,1.2,direction_definition,north_south,edge_alt_meaning_to_word_going_toward,meaning_to_word,alternate_edge,going,north_up_east_right_map,map,,,Target1,Target2,"On this map, north is at the top and east is on the right. Going toward the upper edge means going",north.,north,north,vertical,1,"On this map, north is at the top and east is on the right. Going toward the lower edge means going",south.,south,south,vertical,-1,21,21,1,1,toward,edge_preposition,north_south__meaning_to_word__going
north_south__edge_alt_meaning_to_word_going_to,1.2,direction_definition,north_south,edge_alt_meaning_to_word_going_to,meaning_to_word,alternate_edge,going,north_up_east_right_map,map,,,Target1,Target2,"On this map, north is at the top and east is on the right. Going to the upper edge means going",north.,north,north,vertical,1,"On this map, north is at the top and east is on the right. Going to the lower edge means going",south.,south,south,vertical,-1,21,21,1,1,to,edge_preposition,north_south__meaning_to_word__going
north_south__opposite_route_backward,1.2,opposite_direction,north_south,opposite_route_backward,word_to_opposite,route_reversal,backward,cardinal_directions,none,,,Target1,Target2,A straight route leads north. Following the same route backward means traveling,south.,north,south,,,A straight route leads south. Following the same route backward means traveling,north.,south,north,,,12,12,1,1,not_applicable,route_reversal,
north_south__opposite_route_return,1.2,opposite_direction,north_south,opposite_route_return,word_to_opposite,route_reversal,return,cardinal_directions,none,,,Target1,Target2,A straight route leads north from the start to the destination. Returning along that route means traveling,south.,north,south,,,A straight route leads south from the start to the destination. Returning along that route means traveling,north.,south,north,,,17,17,1,1,not_applicable,route_reversal,
north_south__opposite_route_retrace,1.2,opposite_direction,north_south,opposite_route_retrace,word_to_opposite,route_reversal,retrace,cardinal_directions,none,,,Target1,Target2,You travel north along a straight path. Retracing that path to where you started means traveling,south.,north,south,,,You travel south along a straight path. Retracing that path to where you started means traveling,north.,south,north,,,16,16,1,1,not_applicable,route_reversal,
north_south__opposite_route_reverse_route,1.2,opposite_direction,north_south,opposite_route_reverse_route,word_to_opposite,route_reversal,reverse_route,cardinal_directions,none,,,Target1,Target2,The outward leg of a straight journey goes north. The return leg along the same path goes,south.,north,south,,,The outward leg of a straight journey goes south. The return leg along the same path goes,north.,south,north,,,17,17,1,1,not_applicable,route_reversal,
east_west__edge_alt_word_to_meaning_traveling_toward,1.2,direction_definition,east_west,edge_alt_word_to_meaning_traveling_toward,word_to_meaning,alternate_edge,traveling,north_up_east_right_map,map,,,Target1,Target2,"On this map, north is at the top and east is on the right. Traveling east takes you toward",the right-hand edge.,east,east,horizontal,1,"On this map, north is at the top and east is on the right. Traveling west takes you toward",the left-hand edge.,west,west,horizontal,-1,19,19,4,4,toward,edge_preposition,east_west__word_to_meaning__traveling
east_west__edge_alt_word_to_meaning_traveling_to,1.2,direction_definition,east_west,edge_alt_word_to_meaning_traveling_to,word_to_meaning,alternate_edge,traveling,north_up_east_right_map,map,,,Target1,Target2,"On this map, north is at the top and east is on the right. Traveling east takes you to",the right-hand edge.,east,east,horizontal,1,"On this map, north is at the top and east is on the right. Traveling west takes you to",the left-hand edge.,west,west,horizontal,-1,19,19,4,4,to,edge_preposition,east_west__word_to_meaning__traveling
east_west__edge_alt_word_to_meaning_going_toward,1.2,direction_definition,east_west,edge_alt_word_to_meaning_going_toward,word_to_meaning,alternate_edge,going,north_up_east_right_map,map,,,Target1,Target2,"On this map, north is at the top and east is on the right. Going east takes you toward",the right-hand edge.,east,east,horizontal,1,"On this map, north is at the top and east is on the right. Going west takes you toward",the left-hand edge.,west,west,horizontal,-1,19,19,4,4,toward,edge_preposition,east_west__word_to_meaning__going
east_west__edge_alt_word_to_meaning_going_to,1.2,direction_definition,east_west,edge_alt_word_to_meaning_going_to,word_to_meaning,alternate_edge,going,north_up_east_right_map,map,,,Target1,Target2,"On this map, north is at the top and east is on the right. Going east takes you to",the right-hand edge.,east,east,horizontal,1,"On this map, north is at the top and east is on the right. Going west takes you to",the left-hand edge.,west,west,horizontal,-1,19,19,4,4,to,edge_preposition,east_west__word_to_meaning__going
east_west__edge_alt_meaning_to_word_traveling_toward,1.2,direction_definition,east_west,edge_alt_meaning_to_word_traveling_toward,meaning_to_word,alternate_edge,traveling,north_up_east_right_map,map,,,Target1,Target2,"On this map, north is at the top and east is on the right. Traveling toward the right-hand edge means going",east.,east,east,horizontal,1,"On this map, north is at the top and east is on the right. Traveling toward the left-hand edge means going",west.,west,west,horizontal,-1,22,22,1,1,toward,edge_preposition,east_west__meaning_to_word__traveling
east_west__edge_alt_meaning_to_word_traveling_to,1.2,direction_definition,east_west,edge_alt_meaning_to_word_traveling_to,meaning_to_word,alternate_edge,traveling,north_up_east_right_map,map,,,Target1,Target2,"On this map, north is at the top and east is on the right. Traveling to the right-hand edge means going",east.,east,east,horizontal,1,"On this map, north is at the top and east is on the right. Traveling to the left-hand edge means going",west.,west,west,horizontal,-1,22,22,1,1,to,edge_preposition,east_west__meaning_to_word__traveling
east_west__edge_alt_meaning_to_word_going_toward,1.2,direction_definition,east_west,edge_alt_meaning_to_word_going_toward,meaning_to_word,alternate_edge,going,north_up_east_right_map,map,,,Target1,Target2,"On this map, north is at the top and east is on the right. Going toward the right-hand edge means going",east.,east,east,horizontal,1,"On this map, north is at the top and east is on the right. Going toward the left-hand edge means going",west.,west,west,horizontal,-1,22,22,1,1,toward,edge_preposition,east_west__meaning_to_word__going
east_west__edge_alt_meaning_to_word_going_to,1.2,direction_definition,east_west,edge_alt_meaning_to_word_going_to,meaning_to_word,alternate_edge,going,north_up_east_right_map,map,,,Target1,Target2,"On this map, north is at the top and east is on the right. Going to the right-hand edge means going",east.,east,east,horizontal,1,"On this map, north is at the top and east is on the right. Going to the left-hand edge means going",west.,west,west,horizontal,-1,22,22,1,1,to,edge_preposition,east_west__meaning_to_word__going
east_west__opposite_route_backward,1.2,opposite_direction,east_west,opposite_route_backward,word_to_opposite,route_reversal,backward,cardinal_directions,none,,,Target1,Target2,A straight route leads east. Following the same route backward means traveling,west.,east,west,,,A straight route leads west. Following the same route backward means traveling,east.,west,east,,,12,12,1,1,not_applicable,route_reversal,
east_west__opposite_route_return,1.2,opposite_direction,east_west,opposite_route_return,word_to_opposite,route_reversal,return,cardinal_directions,none,,,Target1,Target2,A straight route leads east from the start to the destination. Returning along that route means traveling,west.,east,west,,,A straight route leads west from the start to the destination. Returning along that route means traveling,east.,west,east,,,17,17,1,1,not_applicable,route_reversal,
east_west__opposite_route_retrace,1.2,opposite_direction,east_west,opposite_route_retrace,word_to_opposite,route_reversal,retrace,cardinal_directions,none,,,Target1,Target2,You travel east along a straight path. Retracing that path to where you started means traveling,west.,east,west,,,You travel west along a straight path. Retracing that path to where you started means traveling,east.,west,east,,,16,16,1,1,not_applicable,route_reversal,
east_west__opposite_route_reverse_route,1.2,opposite_direction,east_west,opposite_route_reverse_route,word_to_opposite,route_reversal,reverse_route,cardinal_directions,none,,,Target1,Target2,The outward leg of a straight journey goes east. The return leg along the same path goes,west.,east,west,,,The outward leg of a straight journey goes west. The return leg along the same path goes,east.,west,east,,,17,17,1,1,not_applicable,route_reversal,
north_south__position_forward_plain__reciprocal_named,1.2,relative_map_position,north_south,position_forward_plain__reciprocal_named,word_to_meaning,relative_position,plain,north_up_east_right_map,map,cabin_then_lake,lake_relative_to_cabin,Target1,Target2,"On this map, north is at the top and east is on the right. The cabin is north of the lake. The lake appears",below the cabin.,north,south,vertical,1,"On this map, north is at the top and east is on the right. The cabin is south of the lake. The lake appears",above the cabin.,south,north,vertical,-1,24,24,3,3,not_applicable,reciprocal_named_entities,
north_south__position_forward_paraphrase__reciprocal_named,1.2,relative_map_position,north_south,position_forward_paraphrase__reciprocal_named,word_to_meaning,relative_position,paraphrase,north_up_east_right_map,map,cabin_then_lake,lake_relative_to_cabin,Target1,Target2,"On this map, north is at the top and east is on the right. The cabin lies north of the lake. The lake appears",below the cabin.,north,south,vertical,1,"On this map, north is at the top and east is on the right. The cabin lies south of the lake. The lake appears",above the cabin.,south,north,vertical,-1,24,24,3,3,not_applicable,reciprocal_named_entities,
north_south__position_reverse_plain__reciprocal_named,1.2,relative_map_position,north_south,position_reverse_plain__reciprocal_named,meaning_to_word,relative_position,plain,north_up_east_right_map,map,cabin_then_lake,lake_relative_to_cabin,Target1,Target2,"On this map, north is at the top and east is on the right. The cabin appears above the lake. The lake is",south of the cabin.,north,south,vertical,1,"On this map, north is at the top and east is on the right. The cabin appears below the lake. The lake is",north of the cabin.,south,north,vertical,-1,23,23,4,4,not_applicable,reciprocal_named_entities,
