pair_id,probe_version,event_family,event_subtype,contrast,first_outcome,second_outcome,first_probe_id,second_probe_id,numeric_information,name_id,object_id,numeric_case_id,unit_id,context_entity_order,Context1,Context2,Target1,Target2,correct_target_for_context1,correct_target_for_context2
name_0__obj_cone__num_00__unit_inches__person_first__closer__vs__name_0__obj_cone__num_00__unit_inches__person_first__unchanged,1.0,both_entities_move,same_direction_relative_displacement,closer_vs_unchanged,closer,unchanged,name_0__obj_cone__num_00__unit_inches__person_first__closer,name_0__obj_cone__num_00__unit_inches__person_first__unchanged,specific,name_0,obj_cone,num_00,unit_inches,person_first,"Maya began 18 inches to the left of the cone. Maya moved 6 inches right, and the cone moved 1 inch right.","Maya began 18 inches to the left of the cone. Maya moved 6 inches right, and the cone moved 6 inches right.",Maya is now closer to the cone than before.,Maya is now at the same distance from the cone as before.,Target1,Target2
name_0__obj_cone__num_00__unit_inches__person_first__farther__vs__name_0__obj_cone__num_00__unit_inches__person_first__unchanged,1.0,both_entities_move,same_direction_relative_displacement,farther_vs_unchanged,farther,unchanged,name_0__obj_cone__num_00__unit_inches__person_first__farther,name_0__obj_cone__num_00__unit_inches__person_first__unchanged,specific,name_0,obj_cone,num_00,unit_inches,person_first,"Maya began 18 inches to the left of the cone. Maya moved 1 inch right, and the cone moved 6 inches right.","Maya began 18 inches to the left of the cone. Maya moved 6 inches right, and the cone moved 6 inches right.",Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,Target1,Target2
name_0__obj_cone__num_01__unit_metres__person_first__closer__vs__name_0__obj_cone__num_01__unit_metres__person_first__farther,1.0,both_entities_move,same_direction_relative_displacement,closer_vs_farther,closer,farther,name_0__obj_cone__num_01__unit_metres__person_first__closer,name_0__obj_cone__num_01__unit_metres__person_first__farther,specific,name_0,obj_cone,num_01,unit_metres,person_first,"Maya began 85 metres to the left of the cone. Maya moved 13 metres right, and the cone moved 1 metre right.","Maya began 85 metres to the left of the cone. Maya moved 1 metre right, and the cone moved 13 metres right.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Target1,Target2
name_0__obj_cone__num_01__unit_metres__person_first__closer__vs__name_0__obj_cone__num_01__unit_metres__person_first__unchanged,1.0,both_entities_move,same_direction_relative_displacement,closer_vs_unchanged,closer,unchanged,name_0__obj_cone__num_01__unit_metres__person_first__closer,name_0__obj_cone__num_01__unit_metres__person_first__unchanged,specific,name_0,obj_cone,num_01,unit_metres,person_first,"Maya began 85 metres to the left of the cone. Maya moved 13 metres right, and the cone moved 1 metre right.","Maya began 85 metres to the left of the cone. Maya moved 13 metres right, and the cone moved 13 metres right.",Maya is now closer to the cone than before.,Maya is now at the same distance from the cone as before.,Target1,Target2
name_0__obj_cone__num_01__unit_metres__person_first__farther__vs__name_0__obj_cone__num_01__unit_metres__person_first__unchanged,1.0,both_entities_move,same_direction_relative_displacement,farther_vs_unchanged,farther,unchanged,name_0__obj_cone__num_01__unit_metres__person_first__farther,name_0__obj_cone__num_01__unit_metres__person_first__unchanged,specific,name_0,obj_cone,num_01,unit_metres,person_first,"Maya began 85 metres to the left of the cone. Maya moved 1 metre right, and the cone moved 13 metres right.","Maya began 85 metres to the left of the cone. Maya moved 13 metres right, and the cone moved 13 metres right.",Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,Target1,Target2
name_0__obj_cone__num_01__unit_ft__person_first__closer__vs__name_0__obj_cone__num_01__unit_ft__person_first__farther,1.0,both_entities_move,same_direction_relative_displacement,closer_vs_farther,closer,farther,name_0__obj_cone__num_01__unit_ft__person_first__closer,name_0__obj_cone__num_01__unit_ft__person_first__farther,specific,name_0,obj_cone,num_01,unit_ft,person_first,"Maya began 85 ft to the left of the cone. Maya moved 13 ft right, and the cone moved 1 ft right.","Maya began 85 ft to the left of the cone. Maya moved 1 ft right, and the cone moved 13 ft right.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Target1,Target2
name_0__obj_cone__num_01__unit_ft__person_first__closer__vs__name_0__obj_cone__num_01__unit_ft__person_first__unchanged,1.0,both_entities_move,same_direction_relative_displacement,closer_vs_unchanged,closer,unchanged,name_0__obj_cone__num_01__unit_ft__person_first__closer,name_0__obj_cone__num_01__unit_ft__person_first__unchanged,specific,name_0,obj_cone,num_01,unit_ft,person_first,"Maya began 85 ft to the left of the cone. Maya moved 13 ft right, and the cone moved 1 ft right.","Maya began 85 ft to the left of the cone. Maya moved 13 ft right, and the cone moved 13 ft right.",Maya is now closer to the cone than before.,Maya is now at the same distance from the cone as before.,Target1,Target2
name_0__obj_cone__num_01__unit_ft__person_first__farther__vs__name_0__obj_cone__num_01__unit_ft__person_first__unchanged,1.0,both_entities_move,same_direction_relative_displacement,farther_vs_unchanged,farther,unchanged,name_0__obj_cone__num_01__unit_ft__person_first__farther,name_0__obj_cone__num_01__unit_ft__person_first__unchanged,specific,name_0,obj_cone,num_01,unit_ft,person_first,"Maya began 85 ft to the left of the cone. Maya moved 1 ft right, and the cone moved 13 ft right.","Maya began 85 ft to the left of the cone. Maya moved 13 ft right, and the cone moved 13 ft right.",Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,Target1,Target2
name_0__obj_cone__num_01__unit_inches__person_first__closer__vs__name_0__obj_cone__num_01__unit_inches__person_first__farther,1.0,both_entities_move,same_direction_relative_displacement,closer_vs_farther,closer,farther,name_0__obj_cone__num_01__unit_inches__person_first__closer,name_0__obj_cone__num_01__unit_inches__person_first__farther,specific,name_0,obj_cone,num_01,unit_inches,person_first,"Maya began 85 inches to the left of the cone. Maya moved 13 inches right, and the cone moved 1 inch right.","Maya began 85 inches to the left of the cone. Maya moved 1 inch right, and the cone moved 13 inches right.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Target1,Target2
name_0__obj_cone__num_01__unit_inches__person_first__closer__vs__name_0__obj_cone__num_01__unit_inches__person_first__unchanged,1.0,both_entities_move,same_direction_relative_displacement,closer_vs_unchanged,closer,unchanged,name_0__obj_cone__num_01__unit_inches__person_first__closer,name_0__obj_cone__num_01__unit_inches__person_first__unchanged,specific,name_0,obj_cone,num_01,unit_inches,person_first,"Maya began 85 inches to the left of the cone. Maya moved 13 inches right, and the cone moved 1 inch right.","Maya began 85 inches to the left of the cone. Maya moved 13 inches right, and the cone moved 13 inches right.",Maya is now closer to the cone than before.,Maya is now at the same distance from the cone as before.,Target1,Target2
name_0__obj_cone__num_01__unit_inches__person_first__farther__vs__name_0__obj_cone__num_01__unit_inches__person_first__unchanged,1.0,both_entities_move,same_direction_relative_displacement,farther_vs_unchanged,farther,unchanged,name_0__obj_cone__num_01__unit_inches__person_first__farther,name_0__obj_cone__num_01__unit_inches__person_first__unchanged,specific,name_0,obj_cone,num_01,unit_inches,person_first,"Maya began 85 inches to the left of the cone. Maya moved 1 inch right, and the cone moved 13 inches right.","Maya began 85 inches to the left of the cone. Maya moved 13 inches right, and the cone moved 13 inches right.",Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,Target1,Target2
name_0__obj_cone__num_02__unit_metres__person_first__closer__vs__name_0__obj_cone__num_02__unit_metres__person_first__farther,1.0,both_entities_move,same_direction_relative_displacement,closer_vs_farther,closer,farther,name_0__obj_cone__num_02__unit_metres__person_first__closer,name_0__obj_cone__num_02__unit_metres__person_first__farther,specific,name_0,obj_cone,num_02,unit_metres,person_first,"Maya began 30 metres to the left of the cone. Maya moved 7 metres right, and the cone moved 1 metre right.","Maya began 30 metres to the left of the cone. Maya moved 1 metre right, and the cone moved 7 metres right.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Target1,Target2
name_0__obj_cone__num_02__unit_metres__person_first__closer__vs__name_0__obj_cone__num_02__unit_metres__person_first__unchanged,1.0,both_entities_move,same_direction_relative_displacement,closer_vs_unchanged,closer,unchanged,name_0__obj_cone__num_02__unit_metres__person_first__closer,name_0__obj_cone__num_02__unit_metres__person_first__unchanged,specific,name_0,obj_cone,num_02,unit_metres,person_first,"Maya began 30 metres to the left of the cone. Maya moved 7 metres right, and the cone moved 1 metre right.","Maya began 30 metres to the left of the cone. Maya moved 7 metres right, and the cone moved 7 metres right.",Maya is now closer to the cone than before.,Maya is now at the same distance from the cone as before.,Target1,Target2
name_0__obj_cone__num_02__unit_metres__person_first__farther__vs__name_0__obj_cone__num_02__unit_metres__person_first__unchanged,1.0,both_entities_move,same_direction_relative_displacement,farther_vs_unchanged,farther,unchanged,name_0__obj_cone__num_02__unit_metres__person_first__farther,name_0__obj_cone__num_02__unit_metres__person_first__unchanged,specific,name_0,obj_cone,num_02,unit_metres,person_first,"Maya began 30 metres to the left of the cone. Maya moved 1 metre right, and the cone moved 7 metres right.","Maya began 30 metres to the left of the cone. Maya moved 7 metres right, and the cone moved 7 metres right.",Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,Target1,Target2
name_0__obj_cone__num_02__unit_ft__person_first__closer__vs__name_0__obj_cone__num_02__unit_ft__person_first__farther,1.0,both_entities_move,same_direction_relative_displacement,closer_vs_farther,closer,farther,name_0__obj_cone__num_02__unit_ft__person_first__closer,name_0__obj_cone__num_02__unit_ft__person_first__farther,specific,name_0,obj_cone,num_02,unit_ft,person_first,"Maya began 30 ft to the left of the cone. Maya moved 7 ft right, and the cone moved 1 ft right.","Maya began 30 ft to the left of the cone. Maya moved 1 ft right, and the cone moved 7 ft right.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Target1,Target2
name_0__obj_cone__num_02__unit_ft__person_first__closer__vs__name_0__obj_cone__num_02__unit_ft__person_first__unchanged,1.0,both_entities_move,same_direction_relative_displacement,closer_vs_unchanged,closer,unchanged,name_0__obj_cone__num_02__unit_ft__person_first__closer,name_0__obj_cone__num_02__unit_ft__person_first__unchanged,specific,name_0,obj_cone,num_02,unit_ft,person_first,"Maya began 30 ft to the left of the cone. Maya moved 7 ft right, and the cone moved 1 ft right.","Maya began 30 ft to the left of the cone. Maya moved 7 ft right, and the cone moved 7 ft right.",Maya is now closer to the cone than before.,Maya is now at the same distance from the cone as before.,Target1,Target2
name_0__obj_cone__num_02__unit_ft__person_first__farther__vs__name_0__obj_cone__num_02__unit_ft__person_first__unchanged,1.0,both_entities_move,same_direction_relative_displacement,farther_vs_unchanged,farther,unchanged,name_0__obj_cone__num_02__unit_ft__person_first__farther,name_0__obj_cone__num_02__unit_ft__person_first__unchanged,specific,name_0,obj_cone,num_02,unit_ft,person_first,"Maya began 30 ft to the left of the cone. Maya moved 1 ft right, and the cone moved 7 ft right.","Maya began 30 ft to the left of the cone. Maya moved 7 ft right, and the cone moved 7 ft right.",Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,Target1,Target2
name_0__obj_cone__num_02__unit_inches__person_first__closer__vs__name_0__obj_cone__num_02__unit_inches__person_first__farther,1.0,both_entities_move,same_direction_relative_displacement,closer_vs_farther,closer,farther,name_0__obj_cone__num_02__unit_inches__person_first__closer,name_0__obj_cone__num_02__unit_inches__person_first__farther,specific,name_0,obj_cone,num_02,unit_inches,person_first,"Maya began 30 inches to the left of the cone. Maya moved 7 inches right, and the cone moved 1 inch right.","Maya began 30 inches to the left of the cone. Maya moved 1 inch right, and the cone moved 7 inches right.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Target1,Target2
name_0__obj_cone__num_02__unit_inches__person_first__closer__vs__name_0__obj_cone__num_02__unit_inches__person_first__unchanged,1.0,both_entities_move,same_direction_relative_displacement,closer_vs_unchanged,closer,unchanged,name_0__obj_cone__num_02__unit_inches__person_first__closer,name_0__obj_cone__num_02__unit_inches__person_first__unchanged,specific,name_0,obj_cone,num_02,unit_inches,person_first,"Maya began 30 inches to the left of the cone. Maya moved 7 inches right, and the cone moved 1 inch right.","Maya began 30 inches to the left of the cone. Maya moved 7 inches right, and the cone moved 7 inches right.",Maya is now closer to the cone than before.,Maya is now at the same distance from the cone as before.,Target1,Target2
name_0__obj_cone__num_02__unit_inches__person_first__farther__vs__name_0__obj_cone__num_02__unit_inches__person_first__unchanged,1.0,both_entities_move,same_direction_relative_displacement,farther_vs_unchanged,farther,unchanged,name_0__obj_cone__num_02__unit_inches__person_first__farther,name_0__obj_cone__num_02__unit_inches__person_first__unchanged,specific,name_0,obj_cone,num_02,unit_inches,person_first,"Maya began 30 inches to the left of the cone. Maya moved 1 inch right, and the cone moved 7 inches right.","Maya began 30 inches to the left of the cone. Maya moved 7 inches right, and the cone moved 7 inches right.",Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,Target1,Target2
name_0__obj_cone__num_03__unit_metres__person_first__closer__vs__name_0__obj_cone__num_03__unit_metres__person_first__farther,1.0,both_entities_move,same_direction_relative_displacement,closer_vs_farther,closer,farther,name_0__obj_cone__num_03__unit_metres__person_first__closer,name_0__obj_cone__num_03__unit_metres__person_first__farther,specific,name_0,obj_cone,num_03,unit_metres,person_first,"Maya began 35 metres to the left of the cone. Maya moved 5 metres right, and the cone moved 1 metre right.","Maya began 35 metres to the left of the cone. Maya moved 1 metre right, and the cone moved 5 metres right.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Target1,Target2
name_0__obj_cone__num_03__unit_metres__person_first__closer__vs__name_0__obj_cone__num_03__unit_metres__person_first__unchanged,1.0,both_entities_move,same_direction_relative_displacement,closer_vs_unchanged,closer,unchanged,name_0__obj_cone__num_03__unit_metres__person_first__closer,name_0__obj_cone__num_03__unit_metres__person_first__unchanged,specific,name_0,obj_cone,num_03,unit_metres,person_first,"Maya began 35 metres to the left of the cone. Maya moved 5 metres right, and the cone moved 1 metre right.","Maya began 35 metres to the left of the cone. Maya moved 5 metres right, and the cone moved 5 metres right.",Maya is now closer to the cone than before.,Maya is now at the same distance from the cone as before.,Target1,Target2
name_0__obj_cone__num_03__unit_metres__person_first__farther__vs__name_0__obj_cone__num_03__unit_metres__person_first__unchanged,1.0,both_entities_move,same_direction_relative_displacement,farther_vs_unchanged,farther,unchanged,name_0__obj_cone__num_03__unit_metres__person_first__farther,name_0__obj_cone__num_03__unit_metres__person_first__unchanged,specific,name_0,obj_cone,num_03,unit_metres,person_first,"Maya began 35 metres to the left of the cone. Maya moved 1 metre right, and the cone moved 5 metres right.","Maya began 35 metres to the left of the cone. Maya moved 5 metres right, and the cone moved 5 metres right.",Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,Target1,Target2
name_0__obj_cone__num_03__unit_ft__person_first__closer__vs__name_0__obj_cone__num_03__unit_ft__person_first__farther,1.0,both_entities_move,same_direction_relative_displacement,closer_vs_farther,closer,farther,name_0__obj_cone__num_03__unit_ft__person_first__closer,name_0__obj_cone__num_03__unit_ft__person_first__farther,specific,name_0,obj_cone,num_03,unit_ft,person_first,"Maya began 35 ft to the left of the cone. Maya moved 5 ft right, and the cone moved 1 ft right.","Maya began 35 ft to the left of the cone. Maya moved 1 ft right, and the cone moved 5 ft right.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Target1,Target2
name_0__obj_cone__num_03__unit_ft__person_first__closer__vs__name_0__obj_cone__num_03__unit_ft__person_first__unchanged,1.0,both_entities_move,same_direction_relative_displacement,closer_vs_unchanged,closer,unchanged,name_0__obj_cone__num_03__unit_ft__person_first__closer,name_0__obj_cone__num_03__unit_ft__person_first__unchanged,specific,name_0,obj_cone,num_03,unit_ft,person_first,"Maya began 35 ft to the left of the cone. Maya moved 5 ft right, and the cone moved 1 ft right.","Maya began 35 ft to the left of the cone. Maya moved 5 ft right, and the cone moved 5 ft right.",Maya is now closer to the cone than before.,Maya is now at the same distance from the cone as before.,Target1,Target2
name_0__obj_cone__num_03__unit_ft__person_first__farther__vs__name_0__obj_cone__num_03__unit_ft__person_first__unchanged,1.0,both_entities_move,same_direction_relative_displacement,farther_vs_unchanged,farther,unchanged,name_0__obj_cone__num_03__unit_ft__person_first__farther,name_0__obj_cone__num_03__unit_ft__person_first__unchanged,specific,name_0,obj_cone,num_03,unit_ft,person_first,"Maya began 35 ft to the left of the cone. Maya moved 1 ft right, and the cone moved 5 ft right.","Maya began 35 ft to the left of the cone. Maya moved 5 ft right, and the cone moved 5 ft right.",Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,Target1,Target2
name_0__obj_cone__num_03__unit_inches__person_first__closer__vs__name_0__obj_cone__num_03__unit_inches__person_first__farther,1.0,both_entities_move,same_direction_relative_displacement,closer_vs_farther,closer,farther,name_0__obj_cone__num_03__unit_inches__person_first__closer,name_0__obj_cone__num_03__unit_inches__person_first__farther,specific,name_0,obj_cone,num_03,unit_inches,person_first,"Maya began 35 inches to the left of the cone. Maya moved 5 inches right, and the cone moved 1 inch right.","Maya began 35 inches to the left of the cone. Maya moved 1 inch right, and the cone moved 5 inches right.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Target1,Target2
name_0__obj_cone__num_03__unit_inches__person_first__closer__vs__name_0__obj_cone__num_03__unit_inches__person_first__unchanged,1.0,both_entities_move,same_direction_relative_displacement,closer_vs_unchanged,closer,unchanged,name_0__obj_cone__num_03__unit_inches__person_first__closer,name_0__obj_cone__num_03__unit_inches__person_first__unchanged,specific,name_0,obj_cone,num_03,unit_inches,person_first,"Maya began 35 inches to the left of the cone. Maya moved 5 inches right, and the cone moved 1 inch right.","Maya began 35 inches to the left of the cone. Maya moved 5 inches right, and the cone moved 5 inches right.",Maya is now closer to the cone than before.,Maya is now at the same distance from the cone as before.,Target1,Target2
name_0__obj_cone__num_03__unit_inches__person_first__farther__vs__name_0__obj_cone__num_03__unit_inches__person_first__unchanged,1.0,both_entities_move,same_direction_relative_displacement,farther_vs_unchanged,farther,unchanged,name_0__obj_cone__num_03__unit_inches__person_first__farther,name_0__obj_cone__num_03__unit_inches__person_first__unchanged,specific,name_0,obj_cone,num_03,unit_inches,person_first,"Maya began 35 inches to the left of the cone. Maya moved 1 inch right, and the cone moved 5 inches right.","Maya began 35 inches to the left of the cone. Maya moved 5 inches right, and the cone moved 5 inches right.",Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,Target1,Target2
name_0__obj_cone__num_04__unit_metres__person_first__closer__vs__name_0__obj_cone__num_04__unit_metres__person_first__farther,1.0,both_entities_move,same_direction_relative_displacement,closer_vs_farther,closer,farther,name_0__obj_cone__num_04__unit_metres__person_first__closer,name_0__obj_cone__num_04__unit_metres__person_first__farther,specific,name_0,obj_cone,num_04,unit_metres,person_first,"Maya began 53 metres to the left of the cone. Maya moved 33 metres right, and the cone moved 1 metre right.","Maya began 53 metres to the left of the cone. Maya moved 1 metre right, and the cone moved 33 metres right.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Target1,Target2
name_0__obj_cone__num_04__unit_metres__person_first__closer__vs__name_0__obj_cone__num_04__unit_metres__person_first__unchanged,1.0,both_entities_move,same_direction_relative_displacement,closer_vs_unchanged,closer,unchanged,name_0__obj_cone__num_04__unit_metres__person_first__closer,name_0__obj_cone__num_04__unit_metres__person_first__unchanged,specific,name_0,obj_cone,num_04,unit_metres,person_first,"Maya began 53 metres to the left of the cone. Maya moved 33 metres right, and the cone moved 1 metre right.","Maya began 53 metres to the left of the cone. Maya moved 33 metres right, and the cone moved 33 metres right.",Maya is now closer to the cone than before.,Maya is now at the same distance from the cone as before.,Target1,Target2
name_0__obj_cone__num_04__unit_metres__person_first__farther__vs__name_0__obj_cone__num_04__unit_metres__person_first__unchanged,1.0,both_entities_move,same_direction_relative_displacement,farther_vs_unchanged,farther,unchanged,name_0__obj_cone__num_04__unit_metres__person_first__farther,name_0__obj_cone__num_04__unit_metres__person_first__unchanged,specific,name_0,obj_cone,num_04,unit_metres,person_first,"Maya began 53 metres to the left of the cone. Maya moved 1 metre right, and the cone moved 33 metres right.","Maya began 53 metres to the left of the cone. Maya moved 33 metres right, and the cone moved 33 metres right.",Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,Target1,Target2
name_0__obj_cone__num_04__unit_ft__person_first__closer__vs__name_0__obj_cone__num_04__unit_ft__person_first__farther,1.0,both_entities_move,same_direction_relative_displacement,closer_vs_farther,closer,farther,name_0__obj_cone__num_04__unit_ft__person_first__closer,name_0__obj_cone__num_04__unit_ft__person_first__farther,specific,name_0,obj_cone,num_04,unit_ft,person_first,"Maya began 53 ft to the left of the cone. Maya moved 33 ft right, and the cone moved 1 ft right.","Maya began 53 ft to the left of the cone. Maya moved 1 ft right, and the cone moved 33 ft right.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Target1,Target2
name_0__obj_cone__num_04__unit_ft__person_first__closer__vs__name_0__obj_cone__num_04__unit_ft__person_first__unchanged,1.0,both_entities_move,same_direction_relative_displacement,closer_vs_unchanged,closer,unchanged,name_0__obj_cone__num_04__unit_ft__person_first__closer,name_0__obj_cone__num_04__unit_ft__person_first__unchanged,specific,name_0,obj_cone,num_04,unit_ft,person_first,"Maya began 53 ft to the left of the cone. Maya moved 33 ft right, and the cone moved 1 ft right.","Maya began 53 ft to the left of the cone. Maya moved 33 ft right, and the cone moved 33 ft right.",Maya is now closer to the cone than before.,Maya is now at the same distance from the cone as before.,Target1,Target2
name_0__obj_cone__num_04__unit_ft__person_first__farther__vs__name_0__obj_cone__num_04__unit_ft__person_first__unchanged,1.0,both_entities_move,same_direction_relative_displacement,farther_vs_unchanged,farther,unchanged,name_0__obj_cone__num_04__unit_ft__person_first__farther,name_0__obj_cone__num_04__unit_ft__person_first__unchanged,specific,name_0,obj_cone,num_04,unit_ft,person_first,"Maya began 53 ft to the left of the cone. Maya moved 1 ft right, and the cone moved 33 ft right.","Maya began 53 ft to the left of the cone. Maya moved 33 ft right, and the cone moved 33 ft right.",Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,Target1,Target2
