probe_id,probe_version,probe_family,design_block,direction,context_stem_id,definition_structure_id,entity_noun_id,entity_noun,context_entity_order,phrase_pair_id,phrase_register,above_phrase,below_phrase,Domain,ConceptA,ConceptB,ContextType,ContextDiff,TargetDiff,Context1,Context2,Target1,Target2,correct_target_for_context1,correct_target_for_context2,Context1_word_count,Context1_char_count,Context2_word_count,Context2_char_count,Target1_word_count,Target1_char_count,Target2_word_count,Target2_char_count,probe_row_index
word_to_definition__medium__generic__greater_lesser_height,1.2,literal_definition,base,word_to_definition,medium,generic,,,not_applicable,greater_lesser_height,height_comparison,at a greater height than,at a lesser height than,spatial-relations,above,below,direct,vertical relation polarity,concept swap,"In physical space, 'above' means that","In physical space, 'below' means that",one object is at a greater height than another.,one object is at a lesser height than another.,Target1,Target2,6,37,6,37,9,47,9,46,10
word_to_definition__medium__ordered__greater_lesser_height,1.2,literal_definition,base,word_to_definition,medium,ordered,,,not_applicable,greater_lesser_height,height_comparison,at a greater height than,at a lesser height than,spatial-relations,above,below,direct,vertical relation polarity,concept swap,"In physical space, 'above' means that","In physical space, 'below' means that",the first object is at a greater height than the second.,the first object is at a lesser height than the second.,Target1,Target2,6,37,6,37,11,56,11,55,11
word_to_definition__medium__generic__higher_up_lower_down,1.2,literal_definition,base,word_to_definition,medium,generic,,,not_applicable,higher_up_lower_down,colloquial,higher up than,lower down than,spatial-relations,above,below,direct,vertical relation polarity,concept swap,"In physical space, 'above' means that","In physical space, 'below' means that",one object is higher up than another.,one object is lower down than another.,Target1,Target2,6,37,6,37,7,37,7,38,12
word_to_definition__medium__ordered__higher_up_lower_down,1.2,literal_definition,base,word_to_definition,medium,ordered,,,not_applicable,higher_up_lower_down,colloquial,higher up than,lower down than,spatial-relations,above,below,direct,vertical relation polarity,concept swap,"In physical space, 'above' means that","In physical space, 'below' means that",the first object is higher up than the second.,the first object is lower down than the second.,Target1,Target2,6,37,6,37,9,46,9,47,13
word_to_definition__medium__generic__higher_lower,1.2,literal_definition,base,word_to_definition,medium,generic,,,not_applicable,higher_lower,everyday,higher than,lower than,spatial-relations,above,below,direct,vertical relation polarity,concept swap,"In physical space, 'above' means that","In physical space, 'below' means that",one object is higher than another.,one object is lower than another.,Target1,Target2,6,37,6,37,6,34,6,33,14
word_to_definition__medium__ordered__higher_lower,1.2,literal_definition,base,word_to_definition,medium,ordered,,,not_applicable,higher_lower,everyday,higher than,lower than,spatial-relations,above,below,direct,vertical relation polarity,concept swap,"In physical space, 'above' means that","In physical space, 'below' means that",the first object is higher than the second.,the first object is lower than the second.,Target1,Target2,6,37,6,37,8,43,8,42,15
word_to_definition__long__generic__vertical_higher_lower,1.2,literal_definition,base,word_to_definition,long,generic,,,not_applicable,vertical_higher_lower,explicit_vertical,vertically higher than,vertically lower than,spatial-relations,above,below,direct,vertical relation polarity,concept swap,"When one object is above another, this means that","When one object is below another, this means that",one object is vertically higher than another.,one object is vertically lower than another.,Target1,Target2,9,49,9,49,7,45,7,44,16
word_to_definition__long__ordered__vertical_higher_lower,1.2,literal_definition,base,word_to_definition,long,ordered,,,not_applicable,vertical_higher_lower,explicit_vertical,vertically higher than,vertically lower than,spatial-relations,above,below,direct,vertical relation polarity,concept swap,"When one object is above another, this means that","When one object is below another, this means that",the first object is vertically higher than the second.,the first object is vertically lower than the second.,Target1,Target2,9,49,9,49,9,54,9,53,17
word_to_definition__long__generic__greater_lesser_height,1.2,literal_definition,base,word_to_definition,long,generic,,,not_applicable,greater_lesser_height,height_comparison,at a greater height than,at a lesser height than,spatial-relations,above,below,direct,vertical relation polarity,concept swap,"When one object is above another, this means that","When one object is below another, this means that",one object is at a greater height than another.,one object is at a lesser height than another.,Target1,Target2,9,49,9,49,9,47,9,46,18
word_to_definition__long__ordered__greater_lesser_height,1.2,literal_definition,base,word_to_definition,long,ordered,,,not_applicable,greater_lesser_height,height_comparison,at a greater height than,at a lesser height than,spatial-relations,above,below,direct,vertical relation polarity,concept swap,"When one object is above another, this means that","When one object is below another, this means that",the first object is at a greater height than the second.,the first object is at a lesser height than the second.,Target1,Target2,9,49,9,49,11,56,11,55,19
word_to_definition__long__generic__higher_up_lower_down,1.2,literal_definition,base,word_to_definition,long,generic,,,not_applicable,higher_up_lower_down,colloquial,higher up than,lower down than,spatial-relations,above,below,direct,vertical relation polarity,concept swap,"When one object is above another, this means that","When one object is below another, this means that",one object is higher up than another.,one object is lower down than another.,Target1,Target2,9,49,9,49,7,37,7,38,20
word_to_definition__long__ordered__higher_up_lower_down,1.2,literal_definition,base,word_to_definition,long,ordered,,,not_applicable,higher_up_lower_down,colloquial,higher up than,lower down than,spatial-relations,above,below,direct,vertical relation polarity,concept swap,"When one object is above another, this means that","When one object is below another, this means that",the first object is higher up than the second.,the first object is lower down than the second.,Target1,Target2,9,49,9,49,9,46,9,47,21
word_to_definition__long__generic__higher_lower,1.2,literal_definition,base,word_to_definition,long,generic,,,not_applicable,higher_lower,everyday,higher than,lower than,spatial-relations,above,below,direct,vertical relation polarity,concept swap,"When one object is above another, this means that","When one object is below another, this means that",one object is higher than another.,one object is lower than another.,Target1,Target2,9,49,9,49,6,34,6,33,22
word_to_definition__long__ordered__higher_lower,1.2,literal_definition,base,word_to_definition,long,ordered,,,not_applicable,higher_lower,everyday,higher than,lower than,spatial-relations,above,below,direct,vertical relation polarity,concept swap,"When one object is above another, this means that","When one object is below another, this means that",the first object is higher than the second.,the first object is lower than the second.,Target1,Target2,9,49,9,49,8,43,8,42,23
definition_to_word__reverse__generic__vertical_higher_lower,1.2,literal_definition,base,definition_to_word,,generic,,,generic,vertical_higher_lower,explicit_vertical,vertically higher than,vertically lower than,spatial-relations,above,below,direct,vertical relation polarity,concept swap,One object is vertically higher than another.,One object is vertically lower than another.,One object is above another.,One object is below another.,Target1,Target2,7,45,7,44,5,28,5,28,24
definition_to_word__reverse__ordered__vertical_higher_lower,1.2,literal_definition,base,definition_to_word,,ordered,,,first_subject,vertical_higher_lower,explicit_vertical,vertically higher than,vertically lower than,spatial-relations,above,below,direct,vertical relation polarity,concept swap,The first object is vertically higher than the second.,The first object is vertically lower than the second.,The first object is above the second.,The first object is below the second.,Target1,Target2,9,54,9,53,7,37,7,37,25
definition_to_word__reverse__generic__greater_lesser_height,1.2,literal_definition,base,definition_to_word,,generic,,,generic,greater_lesser_height,height_comparison,at a greater height than,at a lesser height than,spatial-relations,above,below,direct,vertical relation polarity,concept swap,One object is at a greater height than another.,One object is at a lesser height than another.,One object is above another.,One object is below another.,Target1,Target2,9,47,9,46,5,28,5,28,26
definition_to_word__reverse__ordered__greater_lesser_height,1.2,literal_definition,base,definition_to_word,,ordered,,,first_subject,greater_lesser_height,height_comparison,at a greater height than,at a lesser height than,spatial-relations,above,below,direct,vertical relation polarity,concept swap,The first object is at a greater height than the second.,The first object is at a lesser height than the second.,The first object is above the second.,The first object is below the second.,Target1,Target2,11,56,11,55,7,37,7,37,27
definition_to_word__reverse__generic__higher_up_lower_down,1.2,literal_definition,base,definition_to_word,,generic,,,generic,higher_up_lower_down,colloquial,higher up than,lower down than,spatial-relations,above,below,direct,vertical relation polarity,concept swap,One object is higher up than another.,One object is lower down than another.,One object is above another.,One object is below another.,Target1,Target2,7,37,7,38,5,28,5,28,28
definition_to_word__reverse__ordered__higher_up_lower_down,1.2,literal_definition,base,definition_to_word,,ordered,,,first_subject,higher_up_lower_down,colloquial,higher up than,lower down than,spatial-relations,above,below,direct,vertical relation polarity,concept swap,The first object is higher up than the second.,The first object is lower down than the second.,The first object is above the second.,The first object is below the second.,Target1,Target2,9,46,9,47,7,37,7,37,29
definition_to_word__reverse__generic__higher_lower,1.2,literal_definition,base,definition_to_word,,generic,,,generic,higher_lower,everyday,higher than,lower than,spatial-relations,above,below,direct,vertical relation polarity,concept swap,One object is higher than another.,One object is lower than another.,One object is above another.,One object is below another.,Target1,Target2,6,34,6,33,5,28,5,28,30
definition_to_word__reverse__ordered__higher_lower,1.2,literal_definition,base,definition_to_word,,ordered,,,first_subject,higher_lower,everyday,higher than,lower than,spatial-relations,above,below,direct,vertical relation polarity,concept swap,The first object is higher than the second.,The first object is lower than the second.,The first object is above the second.,The first object is below the second.,Target1,Target2,8,43,8,42,7,37,7,37,31
word_to_synonym__short__generic__over_under,1.2,lexical_synonym,base,word_to_synonym,short,generic,,,not_applicable,over_under,lexical_synonym,over,under,spatial-relations,above,below,direct,vertical relation polarity,concept swap,Above means that,Below means that,one object is over another.,one object is under another.,Target1,Target2,3,16,3,16,5,27,5,28,32
word_to_synonym__short__ordered__over_under,1.2,lexical_synonym,base,word_to_synonym,short,ordered,,,not_applicable,over_under,lexical_synonym,over,under,spatial-relations,above,below,direct,vertical relation polarity,concept swap,Above means that,Below means that,the first object is over the second.,the first object is under the second.,Target1,Target2,3,16,3,16,7,36,7,37,33
word_to_synonym__medium__generic__over_under,1.2,lexical_synonym,base,word_to_synonym,medium,generic,,,not_applicable,over_under,lexical_synonym,over,under,spatial-relations,above,below,direct,vertical relation polarity,concept swap,"In physical space, 'above' means that","In physical space, 'below' means that",one object is over another.,one object is under another.,Target1,Target2,6,37,6,37,5,27,5,28,34
word_to_synonym__medium__ordered__over_under,1.2,lexical_synonym,base,word_to_synonym,medium,ordered,,,not_applicable,over_under,lexical_synonym,over,under,spatial-relations,above,below,direct,vertical relation polarity,concept swap,"In physical space, 'above' means that","In physical space, 'below' means that",the first object is over the second.,the first object is under the second.,Target1,Target2,6,37,6,37,7,36,7,37,35
word_to_synonym__long__generic__over_under,1.2,lexical_synonym,base,word_to_synonym,long,generic,,,not_applicable,over_under,lexical_synonym,over,under,spatial-relations,above,below,direct,vertical relation polarity,concept swap,"When one object is above another, this means that","When one object is below another, this means that",one object is over another.,one object is under another.,Target1,Target2,9,49,9,49,5,27,5,28,36
word_to_synonym__long__ordered__over_under,1.2,lexical_synonym,base,word_to_synonym,long,ordered,,,not_applicable,over_under,lexical_synonym,over,under,spatial-relations,above,below,direct,vertical relation polarity,concept swap,"When one object is above another, this means that","When one object is below another, this means that",the first object is over the second.,the first object is under the second.,Target1,Target2,9,49,9,49,7,36,7,37,37
synonym_to_word__reverse__generic__over_under,1.2,lexical_synonym,base,synonym_to_word,,generic,,,generic,over_under,lexical_synonym,over,under,spatial-relations,above,below,direct,vertical relation polarity,concept swap,One object is over another.,One object is under another.,One object is above another.,One object is below another.,Target1,Target2,5,27,5,28,5,28,5,28,38
synonym_to_word__reverse__ordered__over_under,1.2,lexical_synonym,base,synonym_to_word,,ordered,,,first_subject,over_under,lexical_synonym,over,under,spatial-relations,above,below,direct,vertical relation polarity,concept swap,The first object is over the second.,The first object is under the second.,The first object is above the second.,The first object is below the second.,Target1,Target2,7,36,7,37,7,37,7,37,39
definition_to_word__entity_object_first_subject_plain__vertical_higher_lower,1.2,literal_definition,entity_order_extension,definition_to_word,,entity_plain,object,object,first_subject,vertical_higher_lower,explicit_vertical,vertically higher than,vertically lower than,spatial-relations,above,below,direct,vertical relation polarity,concept swap,The first object is vertically higher than the second object.,The first object is vertically lower than the second object.,The first object is above the second object.,The first object is below the second object.,Target1,Target2,10,61,10,60,8,44,8,44,40
definition_to_word__entity_object_first_subject_positioned__vertical_higher_lower,1.2,literal_definition,entity_order_extension,definition_to_word,,entity_positioned,object,object,first_subject,vertical_higher_lower,explicit_vertical,vertically higher than,vertically lower than,spatial-relations,above,below,direct,vertical relation polarity,concept swap,The first object is positioned vertically higher than the second object.,The first object is positioned vertically lower than the second object.,The first object is above the second object.,The first object is below the second object.,Target1,Target2,11,72,11,71,8,44,8,44,41
definition_to_word__entity_object_second_subject_plain__vertical_higher_lower,1.2,literal_definition,entity_order_extension,definition_to_word,,entity_plain,object,object,second_subject,vertical_higher_lower,explicit_vertical,vertically higher than,vertically lower than,spatial-relations,above,below,direct,vertical relation polarity,concept swap,The second object is vertically lower than the first object.,The second object is vertically higher than the first object.,The first object is above the second object.,The first object is below the second object.,Target1,Target2,10,60,10,61,8,44,8,44,42
definition_to_word__entity_object_second_subject_positioned__vertical_higher_lower,1.2,literal_definition,entity_order_extension,definition_to_word,,entity_positioned,object,object,second_subject,vertical_higher_lower,explicit_vertical,vertically higher than,vertically lower than,spatial-relations,above,below,direct,vertical relation polarity,concept swap,The second object is positioned vertically lower than the first object.,The second object is positioned vertically higher than the first object.,The first object is above the second object.,The first object is below the second object.,Target1,Target2,11,71,11,72,8,44,8,44,43
definition_to_word__entity_item_first_subject_plain__vertical_higher_lower,1.2,literal_definition,entity_order_extension,definition_to_word,,entity_plain,item,item,first_subject,vertical_higher_lower,explicit_vertical,vertically higher than,vertically lower than,spatial-relations,above,below,direct,vertical relation polarity,concept swap,The first item is vertically higher than the second item.,The first item is vertically lower than the second item.,The first item is above the second item.,The first item is below the second item.,Target1,Target2,10,57,10,56,8,40,8,40,44
definition_to_word__entity_item_first_subject_positioned__vertical_higher_lower,1.2,literal_definition,entity_order_extension,definition_to_word,,entity_positioned,item,item,first_subject,vertical_higher_lower,explicit_vertical,vertically higher than,vertically lower than,spatial-relations,above,below,direct,vertical relation polarity,concept swap,The first item is positioned vertically higher than the second item.,The first item is positioned vertically lower than the second item.,The first item is above the second item.,The first item is below the second item.,Target1,Target2,11,68,11,67,8,40,8,40,45
definition_to_word__entity_item_second_subject_plain__vertical_higher_lower,1.2,literal_definition,entity_order_extension,definition_to_word,,entity_plain,item,item,second_subject,vertical_higher_lower,explicit_vertical,vertically higher than,vertically lower than,spatial-relations,above,below,direct,vertical relation polarity,concept swap,The second item is vertically lower than the first item.,The second item is vertically higher than the first item.,The first item is above the second item.,The first item is below the second item.,Target1,Target2,10,56,10,57,8,40,8,40,46
definition_to_word__entity_item_second_subject_positioned__vertical_higher_lower,1.2,literal_definition,entity_order_extension,definition_to_word,,entity_positioned,item,item,second_subject,vertical_higher_lower,explicit_vertical,vertically higher than,vertically lower than,spatial-relations,above,below,direct,vertical relation polarity,concept swap,The second item is positioned vertically lower than the first item.,The second item is positioned vertically higher than the first item.,The first item is above the second item.,The first item is below the second item.,Target1,Target2,11,67,11,68,8,40,8,40,47
definition_to_word__entity_object_first_subject_plain__greater_lesser_height,1.2,literal_definition,entity_order_extension,definition_to_word,,entity_plain,object,object,first_subject,greater_lesser_height,height_comparison,at a greater height than,at a lesser height than,spatial-relations,above,below,direct,vertical relation polarity,concept swap,The first object is at a greater height than the second object.,The first object is at a lesser height than the second object.,The first object is above the second object.,The first object is below the second object.,Target1,Target2,12,63,12,62,8,44,8,44,48
definition_to_word__entity_object_first_subject_positioned__greater_lesser_height,1.2,literal_definition,entity_order_extension,definition_to_word,,entity_positioned,object,object,first_subject,greater_lesser_height,height_comparison,at a greater height than,at a lesser height than,spatial-relations,above,below,direct,vertical relation polarity,concept swap,The first object is positioned at a greater height than the second object.,The first object is positioned at a lesser height than the second object.,The first object is above the second object.,The first object is below the second object.,Target1,Target2,13,74,13,73,8,44,8,44,49
definition_to_word__entity_object_second_subject_plain__greater_lesser_height,1.2,literal_definition,entity_order_extension,definition_to_word,,entity_plain,object,object,second_subject,greater_lesser_height,height_comparison,at a greater height than,at a lesser height than,spatial-relations,above,below,direct,vertical relation polarity,concept swap,The second object is at a lesser height than the first object.,The second object is at a greater height than the first object.,The first object is above the second object.,The first object is below the second object.,Target1,Target2,12,62,12,63,8,44,8,44,50
definition_to_word__entity_object_second_subject_positioned__greater_lesser_height,1.2,literal_definition,entity_order_extension,definition_to_word,,entity_positioned,object,object,second_subject,greater_lesser_height,height_comparison,at a greater height than,at a lesser height than,spatial-relations,above,below,direct,vertical relation polarity,concept swap,The second object is positioned at a lesser height than the first object.,The second object is positioned at a greater height than the first object.,The first object is above the second object.,The first object is below the second object.,Target1,Target2,13,73,13,74,8,44,8,44,51
definition_to_word__entity_item_first_subject_plain__greater_lesser_height,1.2,literal_definition,entity_order_extension,definition_to_word,,entity_plain,item,item,first_subject,greater_lesser_height,height_comparison,at a greater height than,at a lesser height than,spatial-relations,above,below,direct,vertical relation polarity,concept swap,The first item is at a greater height than the second item.,The first item is at a lesser height than the second item.,The first item is above the second item.,The first item is below the second item.,Target1,Target2,12,59,12,58,8,40,8,40,52
definition_to_word__entity_item_first_subject_positioned__greater_lesser_height,1.2,literal_definition,entity_order_extension,definition_to_word,,entity_positioned,item,item,first_subject,greater_lesser_height,height_comparison,at a greater height than,at a lesser height than,spatial-relations,above,below,direct,vertical relation polarity,concept swap,The first item is positioned at a greater height than the second item.,The first item is positioned at a lesser height than the second item.,The first item is above the second item.,The first item is below the second item.,Target1,Target2,13,70,13,69,8,40,8,40,53
definition_to_word__entity_item_second_subject_plain__greater_lesser_height,1.2,literal_definition,entity_order_extension,definition_to_word,,entity_plain,item,item,second_subject,greater_lesser_height,height_comparison,at a greater height than,at a lesser height than,spatial-relations,above,below,direct,vertical relation polarity,concept swap,The second item is at a lesser height than the first item.,The second item is at a greater height than the first item.,The first item is above the second item.,The first item is below the second item.,Target1,Target2,12,58,12,59,8,40,8,40,54
definition_to_word__entity_item_second_subject_positioned__greater_lesser_height,1.2,literal_definition,entity_order_extension,definition_to_word,,entity_positioned,item,item,second_subject,greater_lesser_height,height_comparison,at a greater height than,at a lesser height than,spatial-relations,above,below,direct,vertical relation polarity,concept swap,The second item is positioned at a lesser height than the first item.,The second item is positioned at a greater height than the first item.,The first item is above the second item.,The first item is below the second item.,Target1,Target2,13,69,13,70,8,40,8,40,55
definition_to_word__entity_object_first_subject_plain__higher_up_lower_down,1.2,literal_definition,entity_order_extension,definition_to_word,,entity_plain,object,object,first_subject,higher_up_lower_down,colloquial,higher up than,lower down than,spatial-relations,above,below,direct,vertical relation polarity,concept swap,The first object is higher up than the second object.,The first object is lower down than the second object.,The first object is above the second object.,The first object is below the second object.,Target1,Target2,10,53,10,54,8,44,8,44,56
definition_to_word__entity_object_first_subject_positioned__higher_up_lower_down,1.2,literal_definition,entity_order_extension,definition_to_word,,entity_positioned,object,object,first_subject,higher_up_lower_down,colloquial,higher up than,lower down than,spatial-relations,above,below,direct,vertical relation polarity,concept swap,The first object is positioned higher up than the second object.,The first object is positioned lower down than the second object.,The first object is above the second object.,The first object is below the second object.,Target1,Target2,11,64,11,65,8,44,8,44,57
definition_to_word__entity_object_second_subject_plain__higher_up_lower_down,1.2,literal_definition,entity_order_extension,definition_to_word,,entity_plain,object,object,second_subject,higher_up_lower_down,colloquial,higher up than,lower down than,spatial-relations,above,below,direct,vertical relation polarity,concept swap,The second object is lower down than the first object.,The second object is higher up than the first object.,The first object is above the second object.,The first object is below the second object.,Target1,Target2,10,54,10,53,8,44,8,44,58
definition_to_word__entity_object_second_subject_positioned__higher_up_lower_down,1.2,literal_definition,entity_order_extension,definition_to_word,,entity_positioned,object,object,second_subject,higher_up_lower_down,colloquial,higher up than,lower down than,spatial-relations,above,below,direct,vertical relation polarity,concept swap,The second object is positioned lower down than the first object.,The second object is positioned higher up than the first object.,The first object is above the second object.,The first object is below the second object.,Target1,Target2,11,65,11,64,8,44,8,44,59
definition_to_word__entity_item_first_subject_plain__higher_up_lower_down,1.2,literal_definition,entity_order_extension,definition_to_word,,entity_plain,item,item,first_subject,higher_up_lower_down,colloquial,higher up than,lower down than,spatial-relations,above,below,direct,vertical relation polarity,concept swap,The first item is higher up than the second item.,The first item is lower down than the second item.,The first item is above the second item.,The first item is below the second item.,Target1,Target2,10,49,10,50,8,40,8,40,60
definition_to_word__entity_item_first_subject_positioned__higher_up_lower_down,1.2,literal_definition,entity_order_extension,definition_to_word,,entity_positioned,item,item,first_subject,higher_up_lower_down,colloquial,higher up than,lower down than,spatial-relations,above,below,direct,vertical relation polarity,concept swap,The first item is positioned higher up than the second item.,The first item is positioned lower down than the second item.,The first item is above the second item.,The first item is below the second item.,Target1,Target2,11,60,11,61,8,40,8,40,61
definition_to_word__entity_item_second_subject_plain__higher_up_lower_down,1.2,literal_definition,entity_order_extension,definition_to_word,,entity_plain,item,item,second_subject,higher_up_lower_down,colloquial,higher up than,lower down than,spatial-relations,above,below,direct,vertical relation polarity,concept swap,The second item is lower down than the first item.,The second item is higher up than the first item.,The first item is above the second item.,The first item is below the second item.,Target1,Target2,10,50,10,49,8,40,8,40,62
definition_to_word__entity_item_second_subject_positioned__higher_up_lower_down,1.2,literal_definition,entity_order_extension,definition_to_word,,entity_positioned,item,item,second_subject,higher_up_lower_down,colloquial,higher up than,lower down than,spatial-relations,above,below,direct,vertical relation polarity,concept swap,The second item is positioned lower down than the first item.,The second item is positioned higher up than the first item.,The first item is above the second item.,The first item is below the second item.,Target1,Target2,11,61,11,60,8,40,8,40,63
definition_to_word__entity_object_first_subject_plain__higher_lower,1.2,literal_definition,entity_order_extension,definition_to_word,,entity_plain,object,object,first_subject,higher_lower,everyday,higher than,lower than,spatial-relations,above,below,direct,vertical relation polarity,concept swap,The first object is higher than the second object.,The first object is lower than the second object.,The first object is above the second object.,The first object is below the second object.,Target1,Target2,9,50,9,49,8,44,8,44,64
definition_to_word__entity_object_first_subject_positioned__higher_lower,1.2,literal_definition,entity_order_extension,definition_to_word,,entity_positioned,object,object,first_subject,higher_lower,everyday,higher than,lower than,spatial-relations,above,below,direct,vertical relation polarity,concept swap,The first object is positioned higher than the second object.,The first object is positioned lower than the second object.,The first object is above the second object.,The first object is below the second object.,Target1,Target2,10,61,10,60,8,44,8,44,65
definition_to_word__entity_object_second_subject_plain__higher_lower,1.2,literal_definition,entity_order_extension,definition_to_word,,entity_plain,object,object,second_subject,higher_lower,everyday,higher than,lower than,spatial-relations,above,below,direct,vertical relation polarity,concept swap,The second object is lower than the first object.,The second object is higher than the first object.,The first object is above the second object.,The first object is below the second object.,Target1,Target2,9,49,9,50,8,44,8,44,66
definition_to_word__entity_object_second_subject_positioned__higher_lower,1.2,literal_definition,entity_order_extension,definition_to_word,,entity_positioned,object,object,second_subject,higher_lower,everyday,higher than,lower than,spatial-relations,above,below,direct,vertical relation polarity,concept swap,The second object is positioned lower than the first object.,The second object is positioned higher than the first object.,The first object is above the second object.,The first object is below the second object.,Target1,Target2,10,60,10,61,8,44,8,44,67
definition_to_word__entity_item_first_subject_plain__higher_lower,1.2,literal_definition,entity_order_extension,definition_to_word,,entity_plain,item,item,first_subject,higher_lower,everyday,higher than,lower than,spatial-relations,above,below,direct,vertical relation polarity,concept swap,The first item is higher than the second item.,The first item is lower than the second item.,The first item is above the second item.,The first item is below the second item.,Target1,Target2,9,46,9,45,8,40,8,40,68
definition_to_word__entity_item_first_subject_positioned__higher_lower,1.2,literal_definition,entity_order_extension,definition_to_word,,entity_positioned,item,item,first_subject,higher_lower,everyday,higher than,lower than,spatial-relations,above,below,direct,vertical relation polarity,concept swap,The first item is positioned higher than the second item.,The first item is positioned lower than the second item.,The first item is above the second item.,The first item is below the second item.,Target1,Target2,10,57,10,56,8,40,8,40,69
definition_to_word__entity_item_second_subject_plain__higher_lower,1.2,literal_definition,entity_order_extension,definition_to_word,,entity_plain,item,item,second_subject,higher_lower,everyday,higher than,lower than,spatial-relations,above,below,direct,vertical relation polarity,concept swap,The second item is lower than the first item.,The second item is higher than the first item.,The first item is above the second item.,The first item is below the second item.,Target1,Target2,9,45,9,46,8,40,8,40,70
definition_to_word__entity_item_second_subject_positioned__higher_lower,1.2,literal_definition,entity_order_extension,definition_to_word,,entity_positioned,item,item,second_subject,higher_lower,everyday,higher than,lower than,spatial-relations,above,below,direct,vertical relation polarity,concept swap,The second item is positioned lower than the first item.,The second item is positioned higher than the first item.,The first item is above the second item.,The first item is below the second item.,Target1,Target2,10,56,10,57,8,40,8,40,71
synonym_to_word__entity_object_first_subject_plain__over_under,1.2,lexical_synonym,entity_order_extension,synonym_to_word,,entity_plain,object,object,first_subject,over_under,lexical_synonym,over,under,spatial-relations,above,below,direct,vertical relation polarity,concept swap,The first object is over the second object.,The first object is under the second object.,The first object is above the second object.,The first object is below the second object.,Target1,Target2,8,43,8,44,8,44,8,44,72
