probe_version,probe_family,case_id,scene_cluster_id,event_family,event_subtype,evidence_format,entity_pair_id,target_entity,reference_entity,target_entity_order,context_entity_order,facing_direction,anchor,reference_frame,length_band,definition_present,answer_bridge_present,headline_eligible,source_seed_ids,facing_fixed,initial_relation_explicit,final_relation_explicit,geometry_precision,pair_type,Target1,target1_relation_word,Target2,target2_relation_word,probe_id,Context1,context1_target_start,context1_target_end,context1_reference_start,context1_reference_end,context1_reference_facing_start,context1_reference_facing_end,context1_reference_motion_relative_to_initial_facing,context1_initial_relation,context1_gold_relation,context1_relation_changed,correct_target_for_context1,Context2,context2_target_start,context2_target_end,context2_reference_start,context2_reference_end,context2_reference_facing_start,context2_reference_facing_end,context2_reference_motion_relative_to_initial_facing,context2_initial_relation,context2_gold_relation,context2_relation_changed,correct_target_for_context2,Context1_word_count,Context2_word_count,Target1_word_count,Target2_word_count
2.0,event,static_adjacent,static_adjacent,static_placement,adjacent,numeric,maya_eli,Maya,Eli,reference_first,target_first,increasing,none,observer_relative,compact,False,False,True,"[""static_adjacent""]",True,False,False,exact_positions,opposite_initial_positions,In front of Eli is Maya.,front,Behind Eli is Maya.,behind,event__static_adjacent__numeric__maya_eli__reference_first__target_first__increasing__none,Eli faces increasing position numbers. Maya stays at 3. Eli stays at 2.,3,3,2,2,1,1,still,front,front,False,Target1,Eli faces increasing position numbers. Maya stays at 3. Eli stays at 4.,3,3,4,4,1,1,still,behind,behind,False,Target2,13,13,6,4
2.0,event,static_adjacent,static_adjacent,static_placement,adjacent,numeric,maya_eli,Maya,Eli,reference_first,target_first,decreasing,none,observer_relative,compact,False,False,True,"[""static_adjacent""]",True,False,False,exact_positions,opposite_initial_positions,In front of Eli is Maya.,front,Behind Eli is Maya.,behind,event__static_adjacent__numeric__maya_eli__reference_first__target_first__decreasing__none,Eli faces decreasing position numbers. Maya stays at 3. Eli stays at 2.,3,3,2,2,-1,-1,still,behind,behind,False,Target2,Eli faces decreasing position numbers. Maya stays at 3. Eli stays at 4.,3,3,4,4,-1,-1,still,front,front,False,Target1,13,13,6,4
2.0,event,static_adjacent,static_adjacent,static_placement,adjacent,numeric,maya_eli,Maya,Eli,target_first,reference_first,increasing,none,observer_relative,compact,False,False,True,"[""static_adjacent""]",True,False,False,exact_positions,opposite_initial_positions,Maya is in front of Eli.,front,Maya is behind Eli.,behind,event__static_adjacent__numeric__maya_eli__target_first__reference_first__increasing__none,Eli faces increasing position numbers. Eli stays at 2. Maya stays at 3.,3,3,2,2,1,1,still,front,front,False,Target1,Eli faces increasing position numbers. Eli stays at 4. Maya stays at 3.,3,3,4,4,1,1,still,behind,behind,False,Target2,13,13,6,4
2.0,event,static_adjacent,static_adjacent,static_placement,adjacent,numeric,maya_eli,Maya,Eli,target_first,reference_first,decreasing,none,observer_relative,compact,False,False,True,"[""static_adjacent""]",True,False,False,exact_positions,opposite_initial_positions,Maya is in front of Eli.,front,Maya is behind Eli.,behind,event__static_adjacent__numeric__maya_eli__target_first__reference_first__decreasing__none,Eli faces decreasing position numbers. Eli stays at 2. Maya stays at 3.,3,3,2,2,-1,-1,still,behind,behind,False,Target2,Eli faces decreasing position numbers. Eli stays at 4. Maya stays at 3.,3,3,4,4,-1,-1,still,front,front,False,Target1,13,13,6,4
2.0,event,static_adjacent,static_adjacent,static_placement,adjacent,numeric,maya_eli,Maya,Eli,reference_first,reference_first,increasing,none,observer_relative,compact,False,False,True,"[""static_adjacent""]",True,False,False,exact_positions,opposite_initial_positions,In front of Eli is Maya.,front,Behind Eli is Maya.,behind,event__static_adjacent__numeric__maya_eli__reference_first__reference_first__increasing__none,Eli faces increasing position numbers. Eli stays at 2. Maya stays at 3.,3,3,2,2,1,1,still,front,front,False,Target1,Eli faces increasing position numbers. Eli stays at 4. Maya stays at 3.,3,3,4,4,1,1,still,behind,behind,False,Target2,13,13,6,4
2.0,event,static_adjacent,static_adjacent,static_placement,adjacent,numeric,maya_eli,Maya,Eli,reference_first,reference_first,decreasing,none,observer_relative,compact,False,False,True,"[""static_adjacent""]",True,False,False,exact_positions,opposite_initial_positions,In front of Eli is Maya.,front,Behind Eli is Maya.,behind,event__static_adjacent__numeric__maya_eli__reference_first__reference_first__decreasing__none,Eli faces decreasing position numbers. Eli stays at 2. Maya stays at 3.,3,3,2,2,-1,-1,still,behind,behind,False,Target2,Eli faces decreasing position numbers. Eli stays at 4. Maya stays at 3.,3,3,4,4,-1,-1,still,front,front,False,Target1,13,13,6,4
2.0,event,static_adjacent,static_adjacent,static_placement,adjacent,nonnumeric,a_b,A,B,target_first,template_specific,toward_anchor,door,observer_relative,compact,False,False,True,"[""static_adjacent""]",True,False,False,qualitative,opposite_initial_positions,A is in front of B.,front,A is behind B.,behind,event__static_adjacent__nonnumeric__a_b__target_first__template_specific__toward_anchor__door,B faces the door. A stands between B and the door.,3,3,2,2,1,1,still,front,front,False,Target1,B faces the door. B stands between A and the door.,3,3,4,4,1,1,still,behind,behind,False,Target2,11,11,6,4
2.0,event,static_adjacent,static_adjacent,static_placement,adjacent,nonnumeric,a_b,A,B,reference_first,template_specific,toward_anchor,door,observer_relative,compact,False,False,True,"[""static_adjacent""]",True,False,False,qualitative,opposite_initial_positions,In front of B is A.,front,Behind B is A.,behind,event__static_adjacent__nonnumeric__a_b__reference_first__template_specific__toward_anchor__door,B faces the door. A stands between B and the door.,3,3,2,2,1,1,still,front,front,False,Target1,B faces the door. B stands between A and the door.,3,3,4,4,1,1,still,behind,behind,False,Target2,11,11,6,4
2.0,event,static_adjacent,static_adjacent,static_placement,adjacent,nonnumeric,maya_eli,Maya,Eli,target_first,template_specific,toward_anchor,door,observer_relative,compact,False,False,True,"[""static_adjacent""]",True,False,False,qualitative,opposite_initial_positions,Maya is in front of Eli.,front,Maya is behind Eli.,behind,event__static_adjacent__nonnumeric__maya_eli__target_first__template_specific__toward_anchor__door,Eli faces the door. Maya stands between Eli and the door.,3,3,2,2,1,1,still,front,front,False,Target1,Eli faces the door. Eli stands between Maya and the door.,3,3,4,4,1,1,still,behind,behind,False,Target2,11,11,6,4
2.0,event,static_adjacent,static_adjacent,static_placement,adjacent,nonnumeric,maya_eli,Maya,Eli,reference_first,template_specific,toward_anchor,door,observer_relative,compact,False,False,True,"[""static_adjacent""]",True,False,False,qualitative,opposite_initial_positions,In front of Eli is Maya.,front,Behind Eli is Maya.,behind,event__static_adjacent__nonnumeric__maya_eli__reference_first__template_specific__toward_anchor__door,Eli faces the door. Maya stands between Eli and the door.,3,3,2,2,1,1,still,front,front,False,Target1,Eli faces the door. Eli stands between Maya and the door.,3,3,4,4,1,1,still,behind,behind,False,Target2,11,11,6,4
2.0,event,static_adjacent,static_adjacent,static_placement,adjacent,nonnumeric,a_b,A,B,target_first,template_specific,away_from_anchor,door,observer_relative,compact,False,False,True,"[""static_adjacent""]",True,False,False,qualitative,opposite_initial_positions,A is in front of B.,front,A is behind B.,behind,event__static_adjacent__nonnumeric__a_b__target_first__template_specific__away_from_anchor__door,B faces away from the door. A stands between B and the door.,3,3,2,2,-1,-1,still,behind,behind,False,Target2,B faces away from the door. B stands between A and the door.,3,3,4,4,-1,-1,still,front,front,False,Target1,13,13,6,4
2.0,event,static_adjacent,static_adjacent,static_placement,adjacent,nonnumeric,a_b,A,B,reference_first,template_specific,away_from_anchor,door,observer_relative,compact,False,False,True,"[""static_adjacent""]",True,False,False,qualitative,opposite_initial_positions,In front of B is A.,front,Behind B is A.,behind,event__static_adjacent__nonnumeric__a_b__reference_first__template_specific__away_from_anchor__door,B faces away from the door. A stands between B and the door.,3,3,2,2,-1,-1,still,behind,behind,False,Target2,B faces away from the door. B stands between A and the door.,3,3,4,4,-1,-1,still,front,front,False,Target1,13,13,6,4
2.0,event,static_adjacent,static_adjacent,static_placement,adjacent,nonnumeric,maya_eli,Maya,Eli,target_first,template_specific,away_from_anchor,door,observer_relative,compact,False,False,True,"[""static_adjacent""]",True,False,False,qualitative,opposite_initial_positions,Maya is in front of Eli.,front,Maya is behind Eli.,behind,event__static_adjacent__nonnumeric__maya_eli__target_first__template_specific__away_from_anchor__door,Eli faces away from the door. Maya stands between Eli and the door.,3,3,2,2,-1,-1,still,behind,behind,False,Target2,Eli faces away from the door. Eli stands between Maya and the door.,3,3,4,4,-1,-1,still,front,front,False,Target1,13,13,6,4
2.0,event,static_adjacent,static_adjacent,static_placement,adjacent,nonnumeric,maya_eli,Maya,Eli,reference_first,template_specific,away_from_anchor,door,observer_relative,compact,False,False,True,"[""static_adjacent""]",True,False,False,qualitative,opposite_initial_positions,In front of Eli is Maya.,front,Behind Eli is Maya.,behind,event__static_adjacent__nonnumeric__maya_eli__reference_first__template_specific__away_from_anchor__door,Eli faces away from the door. Maya stands between Eli and the door.,3,3,2,2,-1,-1,still,behind,behind,False,Target2,Eli faces away from the door. Eli stands between Maya and the door.,3,3,4,4,-1,-1,still,front,front,False,Target1,13,13,6,4
2.0,event,static_adjacent,static_adjacent,static_placement,adjacent,nonnumeric,a_b,A,B,target_first,template_specific,toward_anchor,window,observer_relative,compact,False,False,True,"[""static_adjacent""]",True,False,False,qualitative,opposite_initial_positions,A is in front of B.,front,A is behind B.,behind,event__static_adjacent__nonnumeric__a_b__target_first__template_specific__toward_anchor__window,B faces the window. A stands between B and the window.,3,3,2,2,1,1,still,front,front,False,Target1,B faces the window. B stands between A and the window.,3,3,4,4,1,1,still,behind,behind,False,Target2,11,11,6,4
2.0,event,static_adjacent,static_adjacent,static_placement,adjacent,nonnumeric,a_b,A,B,reference_first,template_specific,toward_anchor,window,observer_relative,compact,False,False,True,"[""static_adjacent""]",True,False,False,qualitative,opposite_initial_positions,In front of B is A.,front,Behind B is A.,behind,event__static_adjacent__nonnumeric__a_b__reference_first__template_specific__toward_anchor__window,B faces the window. A stands between B and the window.,3,3,2,2,1,1,still,front,front,False,Target1,B faces the window. B stands between A and the window.,3,3,4,4,1,1,still,behind,behind,False,Target2,11,11,6,4
2.0,event,static_adjacent,static_adjacent,static_placement,adjacent,nonnumeric,maya_eli,Maya,Eli,target_first,template_specific,toward_anchor,window,observer_relative,compact,False,False,True,"[""static_adjacent""]",True,False,False,qualitative,opposite_initial_positions,Maya is in front of Eli.,front,Maya is behind Eli.,behind,event__static_adjacent__nonnumeric__maya_eli__target_first__template_specific__toward_anchor__window,Eli faces the window. Maya stands between Eli and the window.,3,3,2,2,1,1,still,front,front,False,Target1,Eli faces the window. Eli stands between Maya and the window.,3,3,4,4,1,1,still,behind,behind,False,Target2,11,11,6,4
2.0,event,static_adjacent,static_adjacent,static_placement,adjacent,nonnumeric,maya_eli,Maya,Eli,reference_first,template_specific,toward_anchor,window,observer_relative,compact,False,False,True,"[""static_adjacent""]",True,False,False,qualitative,opposite_initial_positions,In front of Eli is Maya.,front,Behind Eli is Maya.,behind,event__static_adjacent__nonnumeric__maya_eli__reference_first__template_specific__toward_anchor__window,Eli faces the window. Maya stands between Eli and the window.,3,3,2,2,1,1,still,front,front,False,Target1,Eli faces the window. Eli stands between Maya and the window.,3,3,4,4,1,1,still,behind,behind,False,Target2,11,11,6,4
2.0,event,static_adjacent,static_adjacent,static_placement,adjacent,nonnumeric,a_b,A,B,target_first,template_specific,away_from_anchor,window,observer_relative,compact,False,False,True,"[""static_adjacent""]",True,False,False,qualitative,opposite_initial_positions,A is in front of B.,front,A is behind B.,behind,event__static_adjacent__nonnumeric__a_b__target_first__template_specific__away_from_anchor__window,B faces away from the window. A stands between B and the window.,3,3,2,2,-1,-1,still,behind,behind,False,Target2,B faces away from the window. B stands between A and the window.,3,3,4,4,-1,-1,still,front,front,False,Target1,13,13,6,4
2.0,event,static_adjacent,static_adjacent,static_placement,adjacent,nonnumeric,a_b,A,B,reference_first,template_specific,away_from_anchor,window,observer_relative,compact,False,False,True,"[""static_adjacent""]",True,False,False,qualitative,opposite_initial_positions,In front of B is A.,front,Behind B is A.,behind,event__static_adjacent__nonnumeric__a_b__reference_first__template_specific__away_from_anchor__window,B faces away from the window. A stands between B and the window.,3,3,2,2,-1,-1,still,behind,behind,False,Target2,B faces away from the window. B stands between A and the window.,3,3,4,4,-1,-1,still,front,front,False,Target1,13,13,6,4
2.0,event,static_adjacent,static_adjacent,static_placement,adjacent,nonnumeric,maya_eli,Maya,Eli,target_first,template_specific,away_from_anchor,window,observer_relative,compact,False,False,True,"[""static_adjacent""]",True,False,False,qualitative,opposite_initial_positions,Maya is in front of Eli.,front,Maya is behind Eli.,behind,event__static_adjacent__nonnumeric__maya_eli__target_first__template_specific__away_from_anchor__window,Eli faces away from the window. Maya stands between Eli and the window.,3,3,2,2,-1,-1,still,behind,behind,False,Target2,Eli faces away from the window. Eli stands between Maya and the window.,3,3,4,4,-1,-1,still,front,front,False,Target1,13,13,6,4
2.0,event,static_adjacent,static_adjacent,static_placement,adjacent,nonnumeric,maya_eli,Maya,Eli,reference_first,template_specific,away_from_anchor,window,observer_relative,compact,False,False,True,"[""static_adjacent""]",True,False,False,qualitative,opposite_initial_positions,In front of Eli is Maya.,front,Behind Eli is Maya.,behind,event__static_adjacent__nonnumeric__maya_eli__reference_first__template_specific__away_from_anchor__window,Eli faces away from the window. Maya stands between Eli and the window.,3,3,2,2,-1,-1,still,behind,behind,False,Target2,Eli faces away from the window. Eli stands between Maya and the window.,3,3,4,4,-1,-1,still,front,front,False,Target1,13,13,6,4
2.0,event,static_adjacent,static_adjacent,static_placement,adjacent,nonnumeric,a_b,A,B,target_first,template_specific,toward_anchor,gate,observer_relative,compact,False,False,True,"[""static_adjacent""]",True,False,False,qualitative,opposite_initial_positions,A is in front of B.,front,A is behind B.,behind,event__static_adjacent__nonnumeric__a_b__target_first__template_specific__toward_anchor__gate,B faces the gate. A stands between B and the gate.,3,3,2,2,1,1,still,front,front,False,Target1,B faces the gate. B stands between A and the gate.,3,3,4,4,1,1,still,behind,behind,False,Target2,11,11,6,4
2.0,event,static_adjacent,static_adjacent,static_placement,adjacent,nonnumeric,a_b,A,B,reference_first,template_specific,toward_anchor,gate,observer_relative,compact,False,False,True,"[""static_adjacent""]",True,False,False,qualitative,opposite_initial_positions,In front of B is A.,front,Behind B is A.,behind,event__static_adjacent__nonnumeric__a_b__reference_first__template_specific__toward_anchor__gate,B faces the gate. A stands between B and the gate.,3,3,2,2,1,1,still,front,front,False,Target1,B faces the gate. B stands between A and the gate.,3,3,4,4,1,1,still,behind,behind,False,Target2,11,11,6,4
2.0,event,static_adjacent,static_adjacent,static_placement,adjacent,nonnumeric,maya_eli,Maya,Eli,target_first,template_specific,toward_anchor,gate,observer_relative,compact,False,False,True,"[""static_adjacent""]",True,False,False,qualitative,opposite_initial_positions,Maya is in front of Eli.,front,Maya is behind Eli.,behind,event__static_adjacent__nonnumeric__maya_eli__target_first__template_specific__toward_anchor__gate,Eli faces the gate. Maya stands between Eli and the gate.,3,3,2,2,1,1,still,front,front,False,Target1,Eli faces the gate. Eli stands between Maya and the gate.,3,3,4,4,1,1,still,behind,behind,False,Target2,11,11,6,4
2.0,event,static_adjacent,static_adjacent,static_placement,adjacent,nonnumeric,maya_eli,Maya,Eli,reference_first,template_specific,toward_anchor,gate,observer_relative,compact,False,False,True,"[""static_adjacent""]",True,False,False,qualitative,opposite_initial_positions,In front of Eli is Maya.,front,Behind Eli is Maya.,behind,event__static_adjacent__nonnumeric__maya_eli__reference_first__template_specific__toward_anchor__gate,Eli faces the gate. Maya stands between Eli and the gate.,3,3,2,2,1,1,still,front,front,False,Target1,Eli faces the gate. Eli stands between Maya and the gate.,3,3,4,4,1,1,still,behind,behind,False,Target2,11,11,6,4
2.0,event,static_adjacent,static_adjacent,static_placement,adjacent,nonnumeric,a_b,A,B,target_first,template_specific,away_from_anchor,gate,observer_relative,compact,False,False,True,"[""static_adjacent""]",True,False,False,qualitative,opposite_initial_positions,A is in front of B.,front,A is behind B.,behind,event__static_adjacent__nonnumeric__a_b__target_first__template_specific__away_from_anchor__gate,B faces away from the gate. A stands between B and the gate.,3,3,2,2,-1,-1,still,behind,behind,False,Target2,B faces away from the gate. B stands between A and the gate.,3,3,4,4,-1,-1,still,front,front,False,Target1,13,13,6,4
2.0,event,static_adjacent,static_adjacent,static_placement,adjacent,nonnumeric,a_b,A,B,reference_first,template_specific,away_from_anchor,gate,observer_relative,compact,False,False,True,"[""static_adjacent""]",True,False,False,qualitative,opposite_initial_positions,In front of B is A.,front,Behind B is A.,behind,event__static_adjacent__nonnumeric__a_b__reference_first__template_specific__away_from_anchor__gate,B faces away from the gate. A stands between B and the gate.,3,3,2,2,-1,-1,still,behind,behind,False,Target2,B faces away from the gate. B stands between A and the gate.,3,3,4,4,-1,-1,still,front,front,False,Target1,13,13,6,4
2.0,event,static_adjacent,static_adjacent,static_placement,adjacent,nonnumeric,maya_eli,Maya,Eli,target_first,template_specific,away_from_anchor,gate,observer_relative,compact,False,False,True,"[""static_adjacent""]",True,False,False,qualitative,opposite_initial_positions,Maya is in front of Eli.,front,Maya is behind Eli.,behind,event__static_adjacent__nonnumeric__maya_eli__target_first__template_specific__away_from_anchor__gate,Eli faces away from the gate. Maya stands between Eli and the gate.,3,3,2,2,-1,-1,still,behind,behind,False,Target2,Eli faces away from the gate. Eli stands between Maya and the gate.,3,3,4,4,-1,-1,still,front,front,False,Target1,13,13,6,4
2.0,event,static_adjacent,static_adjacent,static_placement,adjacent,nonnumeric,maya_eli,Maya,Eli,reference_first,template_specific,away_from_anchor,gate,observer_relative,compact,False,False,True,"[""static_adjacent""]",True,False,False,qualitative,opposite_initial_positions,In front of Eli is Maya.,front,Behind Eli is Maya.,behind,event__static_adjacent__nonnumeric__maya_eli__reference_first__template_specific__away_from_anchor__gate,Eli faces away from the gate. Maya stands between Eli and the gate.,3,3,2,2,-1,-1,still,behind,behind,False,Target2,Eli faces away from the gate. Eli stands between Maya and the gate.,3,3,4,4,-1,-1,still,front,front,False,Target1,13,13,6,4
2.0,event,static_separated,static_separated,static_placement,separated,numeric,a_b,A,B,target_first,target_first,increasing,none,observer_relative,compact,False,False,True,"[""static_separated""]",True,False,False,exact_positions,opposite_initial_positions,A is in front of B.,front,A is behind B.,behind,event__static_separated__numeric__a_b__target_first__target_first__increasing__none,B faces increasing position numbers. A stays at 5. B stays at 1.,5,5,1,1,1,1,still,front,front,False,Target1,B faces increasing position numbers. A stays at 1. B stays at 5.,1,1,5,5,1,1,still,behind,behind,False,Target2,13,13,6,4
2.0,event,static_separated,static_separated,static_placement,separated,numeric,a_b,A,B,target_first,target_first,decreasing,none,observer_relative,compact,False,False,True,"[""static_separated""]",True,False,False,exact_positions,opposite_initial_positions,A is in front of B.,front,A is behind B.,behind,event__static_separated__numeric__a_b__target_first__target_first__decreasing__none,B faces decreasing position numbers. A stays at 5. B stays at 1.,5,5,1,1,-1,-1,still,behind,behind,False,Target2,B faces decreasing position numbers. A stays at 1. B stays at 5.,1,1,5,5,-1,-1,still,front,front,False,Target1,13,13,6,4
2.0,event,static_separated,static_separated,static_placement,separated,numeric,a_b,A,B,reference_first,target_first,increasing,none,observer_relative,compact,False,False,True,"[""static_separated""]",True,False,False,exact_positions,opposite_initial_positions,In front of B is A.,front,Behind B is A.,behind,event__static_separated__numeric__a_b__reference_first__target_first__increasing__none,B faces increasing position numbers. A stays at 5. B stays at 1.,5,5,1,1,1,1,still,front,front,False,Target1,B faces increasing position numbers. A stays at 1. B stays at 5.,1,1,5,5,1,1,still,behind,behind,False,Target2,13,13,6,4
2.0,event,static_separated,static_separated,static_placement,separated,numeric,a_b,A,B,reference_first,target_first,decreasing,none,observer_relative,compact,False,False,True,"[""static_separated""]",True,False,False,exact_positions,opposite_initial_positions,In front of B is A.,front,Behind B is A.,behind,event__static_separated__numeric__a_b__reference_first__target_first__decreasing__none,B faces decreasing position numbers. A stays at 5. B stays at 1.,5,5,1,1,-1,-1,still,behind,behind,False,Target2,B faces decreasing position numbers. A stays at 1. B stays at 5.,1,1,5,5,-1,-1,still,front,front,False,Target1,13,13,6,4
2.0,event,static_separated,static_separated,static_placement,separated,numeric,a_b,A,B,target_first,reference_first,increasing,none,observer_relative,compact,False,False,True,"[""static_separated""]",True,False,False,exact_positions,opposite_initial_positions,A is in front of B.,front,A is behind B.,behind,event__static_separated__numeric__a_b__target_first__reference_first__increasing__none,B faces increasing position numbers. B stays at 1. A stays at 5.,5,5,1,1,1,1,still,front,front,False,Target1,B faces increasing position numbers. B stays at 5. A stays at 1.,1,1,5,5,1,1,still,behind,behind,False,Target2,13,13,6,4
2.0,event,static_separated,static_separated,static_placement,separated,numeric,a_b,A,B,target_first,reference_first,decreasing,none,observer_relative,compact,False,False,True,"[""static_separated""]",True,False,False,exact_positions,opposite_initial_positions,A is in front of B.,front,A is behind B.,behind,event__static_separated__numeric__a_b__target_first__reference_first__decreasing__none,B faces decreasing position numbers. B stays at 1. A stays at 5.,5,5,1,1,-1,-1,still,behind,behind,False,Target2,B faces decreasing position numbers. B stays at 5. A stays at 1.,1,1,5,5,-1,-1,still,front,front,False,Target1,13,13,6,4
