probe_id,probe_type,probe_version,matched_group_id,length_match_id,condition_id,template_id,length_band,evidence_type,numeric_information,trajectory_constraint_id,object_stationary,passes_object,reference_stationarity,no_overshoot_status,interpretation_basis,template_family,name_id,name,object_id,object,outcome,direction,correct_target,Context,Target1,Target2,Context_word_count,Context_char_count,Context_token_count,Target1_word_count,Target1_char_count,Target1_token_count,Target1_conditional_token_count,Target2_word_count,Target2_char_count,Target2_token_count,Target2_conditional_token_count,probe_row_index
non_numeric_v1_1__name_0__obj_flag__expanded__closer,closer_farther_non_numeric_movement,1.3,non_numeric_v1_1__name_0__obj_flag__expanded,non_numeric_v1_1__name_0__obj_flag__closer,non_numeric_movement,aligned_expanded,expanded,directed_movement_inference,absent,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_0,Maya,obj_flag,flag,closer,toward,Target1,"Initially, Maya was some distance from a flag that remained stationary. From that starting position, Maya walked some distance directly toward the flag without reaching or passing it.",Maya is now closer to the flag than before.,Maya is now farther from the flag than before.,28,183,32,9,43,11,10,9,46,11,10,10
non_numeric_v1_1__name_0__obj_flag__expanded__farther,closer_farther_non_numeric_movement,1.3,non_numeric_v1_1__name_0__obj_flag__expanded,non_numeric_v1_1__name_0__obj_flag__farther,non_numeric_movement,aligned_expanded,expanded,directed_movement_inference,absent,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_0,Maya,obj_flag,flag,farther,away from,Target2,"Initially, Maya was some distance from a flag that remained stationary. From that starting position, Maya walked some distance directly away from the flag without reaching or passing it.",Maya is now closer to the flag than before.,Maya is now farther from the flag than before.,29,186,33,9,43,11,10,9,46,11,10,11
non_numeric_v1_1__name_0__obj_bicycle__compact__closer,closer_farther_non_numeric_movement,1.3,non_numeric_v1_1__name_0__obj_bicycle__compact,non_numeric_v1_1__name_0__obj_bicycle__closer,non_numeric_movement,aligned_compact,compact,directed_movement_inference,absent,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_0,Maya,obj_bicycle,bicycle,closer,toward,Target1,"Starting some distance from a stationary bicycle, Maya walked some distance directly toward it without reaching or passing it.",Maya is now closer to the bicycle than before.,Maya is now farther from the bicycle than before.,19,126,21,9,46,11,10,9,49,11,10,12
non_numeric_v1_1__name_0__obj_bicycle__compact__farther,closer_farther_non_numeric_movement,1.3,non_numeric_v1_1__name_0__obj_bicycle__compact,non_numeric_v1_1__name_0__obj_bicycle__farther,non_numeric_movement,aligned_compact,compact,directed_movement_inference,absent,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_0,Maya,obj_bicycle,bicycle,farther,away from,Target2,"Starting some distance from a stationary bicycle, Maya walked some distance directly away from it without reaching or passing it.",Maya is now closer to the bicycle than before.,Maya is now farther from the bicycle than before.,20,129,22,9,46,11,10,9,49,11,10,13
non_numeric_v1_1__name_0__obj_bicycle__standard__closer,closer_farther_non_numeric_movement,1.3,non_numeric_v1_1__name_0__obj_bicycle__standard,non_numeric_v1_1__name_0__obj_bicycle__closer,non_numeric_movement,aligned_standard,standard,directed_movement_inference,absent,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_0,Maya,obj_bicycle,bicycle,closer,toward,Target1,Maya was some distance from a stationary bicycle. Maya walked some distance directly toward the bicycle without reaching or passing it.,Maya is now closer to the bicycle than before.,Maya is now farther from the bicycle than before.,21,135,24,9,46,11,10,9,49,11,10,14
non_numeric_v1_1__name_0__obj_bicycle__standard__farther,closer_farther_non_numeric_movement,1.3,non_numeric_v1_1__name_0__obj_bicycle__standard,non_numeric_v1_1__name_0__obj_bicycle__farther,non_numeric_movement,aligned_standard,standard,directed_movement_inference,absent,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_0,Maya,obj_bicycle,bicycle,farther,away from,Target2,Maya was some distance from a stationary bicycle. Maya walked some distance directly away from the bicycle without reaching or passing it.,Maya is now closer to the bicycle than before.,Maya is now farther from the bicycle than before.,22,138,25,9,46,11,10,9,49,11,10,15
non_numeric_v1_1__name_0__obj_bicycle__expanded__closer,closer_farther_non_numeric_movement,1.3,non_numeric_v1_1__name_0__obj_bicycle__expanded,non_numeric_v1_1__name_0__obj_bicycle__closer,non_numeric_movement,aligned_expanded,expanded,directed_movement_inference,absent,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_0,Maya,obj_bicycle,bicycle,closer,toward,Target1,"Initially, Maya was some distance from a bicycle that remained stationary. From that starting position, Maya walked some distance directly toward the bicycle without reaching or passing it.",Maya is now closer to the bicycle than before.,Maya is now farther from the bicycle than before.,28,189,32,9,46,11,10,9,49,11,10,16
non_numeric_v1_1__name_0__obj_bicycle__expanded__farther,closer_farther_non_numeric_movement,1.3,non_numeric_v1_1__name_0__obj_bicycle__expanded,non_numeric_v1_1__name_0__obj_bicycle__farther,non_numeric_movement,aligned_expanded,expanded,directed_movement_inference,absent,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_0,Maya,obj_bicycle,bicycle,farther,away from,Target2,"Initially, Maya was some distance from a bicycle that remained stationary. From that starting position, Maya walked some distance directly away from the bicycle without reaching or passing it.",Maya is now closer to the bicycle than before.,Maya is now farther from the bicycle than before.,29,192,33,9,46,11,10,9,49,11,10,17
non_numeric_v1_1__name_0__obj_bench__compact__closer,closer_farther_non_numeric_movement,1.3,non_numeric_v1_1__name_0__obj_bench__compact,non_numeric_v1_1__name_0__obj_bench__closer,non_numeric_movement,aligned_compact,compact,directed_movement_inference,absent,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_0,Maya,obj_bench,bench,closer,toward,Target1,"Starting some distance from a stationary bench, Maya walked some distance directly toward it without reaching or passing it.",Maya is now closer to the bench than before.,Maya is now farther from the bench than before.,19,124,21,9,44,11,10,9,47,11,10,18
non_numeric_v1_1__name_0__obj_bench__compact__farther,closer_farther_non_numeric_movement,1.3,non_numeric_v1_1__name_0__obj_bench__compact,non_numeric_v1_1__name_0__obj_bench__farther,non_numeric_movement,aligned_compact,compact,directed_movement_inference,absent,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_0,Maya,obj_bench,bench,farther,away from,Target2,"Starting some distance from a stationary bench, Maya walked some distance directly away from it without reaching or passing it.",Maya is now closer to the bench than before.,Maya is now farther from the bench than before.,20,127,22,9,44,11,10,9,47,11,10,19
non_numeric_v1_1__name_0__obj_bench__standard__closer,closer_farther_non_numeric_movement,1.3,non_numeric_v1_1__name_0__obj_bench__standard,non_numeric_v1_1__name_0__obj_bench__closer,non_numeric_movement,aligned_standard,standard,directed_movement_inference,absent,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_0,Maya,obj_bench,bench,closer,toward,Target1,Maya was some distance from a stationary bench. Maya walked some distance directly toward the bench without reaching or passing it.,Maya is now closer to the bench than before.,Maya is now farther from the bench than before.,21,131,24,9,44,11,10,9,47,11,10,20
non_numeric_v1_1__name_0__obj_bench__standard__farther,closer_farther_non_numeric_movement,1.3,non_numeric_v1_1__name_0__obj_bench__standard,non_numeric_v1_1__name_0__obj_bench__farther,non_numeric_movement,aligned_standard,standard,directed_movement_inference,absent,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_0,Maya,obj_bench,bench,farther,away from,Target2,Maya was some distance from a stationary bench. Maya walked some distance directly away from the bench without reaching or passing it.,Maya is now closer to the bench than before.,Maya is now farther from the bench than before.,22,134,25,9,44,11,10,9,47,11,10,21
non_numeric_v1_1__name_0__obj_bench__expanded__closer,closer_farther_non_numeric_movement,1.3,non_numeric_v1_1__name_0__obj_bench__expanded,non_numeric_v1_1__name_0__obj_bench__closer,non_numeric_movement,aligned_expanded,expanded,directed_movement_inference,absent,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_0,Maya,obj_bench,bench,closer,toward,Target1,"Initially, Maya was some distance from a bench that remained stationary. From that starting position, Maya walked some distance directly toward the bench without reaching or passing it.",Maya is now closer to the bench than before.,Maya is now farther from the bench than before.,28,185,32,9,44,11,10,9,47,11,10,22
non_numeric_v1_1__name_0__obj_bench__expanded__farther,closer_farther_non_numeric_movement,1.3,non_numeric_v1_1__name_0__obj_bench__expanded,non_numeric_v1_1__name_0__obj_bench__farther,non_numeric_movement,aligned_expanded,expanded,directed_movement_inference,absent,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_0,Maya,obj_bench,bench,farther,away from,Target2,"Initially, Maya was some distance from a bench that remained stationary. From that starting position, Maya walked some distance directly away from the bench without reaching or passing it.",Maya is now closer to the bench than before.,Maya is now farther from the bench than before.,29,188,33,9,44,11,10,9,47,11,10,23
non_numeric_v1_1__name_0__obj_mailbox__compact__closer,closer_farther_non_numeric_movement,1.3,non_numeric_v1_1__name_0__obj_mailbox__compact,non_numeric_v1_1__name_0__obj_mailbox__closer,non_numeric_movement,aligned_compact,compact,directed_movement_inference,absent,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_0,Maya,obj_mailbox,mailbox,closer,toward,Target1,"Starting some distance from a stationary mailbox, Maya walked some distance directly toward it without reaching or passing it.",Maya is now closer to the mailbox than before.,Maya is now farther from the mailbox than before.,19,126,21,9,46,11,10,9,49,11,10,24
non_numeric_v1_1__name_0__obj_mailbox__compact__farther,closer_farther_non_numeric_movement,1.3,non_numeric_v1_1__name_0__obj_mailbox__compact,non_numeric_v1_1__name_0__obj_mailbox__farther,non_numeric_movement,aligned_compact,compact,directed_movement_inference,absent,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_0,Maya,obj_mailbox,mailbox,farther,away from,Target2,"Starting some distance from a stationary mailbox, Maya walked some distance directly away from it without reaching or passing it.",Maya is now closer to the mailbox than before.,Maya is now farther from the mailbox than before.,20,129,22,9,46,11,10,9,49,11,10,25
non_numeric_v1_1__name_0__obj_mailbox__standard__closer,closer_farther_non_numeric_movement,1.3,non_numeric_v1_1__name_0__obj_mailbox__standard,non_numeric_v1_1__name_0__obj_mailbox__closer,non_numeric_movement,aligned_standard,standard,directed_movement_inference,absent,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_0,Maya,obj_mailbox,mailbox,closer,toward,Target1,Maya was some distance from a stationary mailbox. Maya walked some distance directly toward the mailbox without reaching or passing it.,Maya is now closer to the mailbox than before.,Maya is now farther from the mailbox than before.,21,135,24,9,46,11,10,9,49,11,10,26
non_numeric_v1_1__name_0__obj_mailbox__standard__farther,closer_farther_non_numeric_movement,1.3,non_numeric_v1_1__name_0__obj_mailbox__standard,non_numeric_v1_1__name_0__obj_mailbox__farther,non_numeric_movement,aligned_standard,standard,directed_movement_inference,absent,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_0,Maya,obj_mailbox,mailbox,farther,away from,Target2,Maya was some distance from a stationary mailbox. Maya walked some distance directly away from the mailbox without reaching or passing it.,Maya is now closer to the mailbox than before.,Maya is now farther from the mailbox than before.,22,138,25,9,46,11,10,9,49,11,10,27
non_numeric_v1_1__name_0__obj_mailbox__expanded__closer,closer_farther_non_numeric_movement,1.3,non_numeric_v1_1__name_0__obj_mailbox__expanded,non_numeric_v1_1__name_0__obj_mailbox__closer,non_numeric_movement,aligned_expanded,expanded,directed_movement_inference,absent,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_0,Maya,obj_mailbox,mailbox,closer,toward,Target1,"Initially, Maya was some distance from a mailbox that remained stationary. From that starting position, Maya walked some distance directly toward the mailbox without reaching or passing it.",Maya is now closer to the mailbox than before.,Maya is now farther from the mailbox than before.,28,189,32,9,46,11,10,9,49,11,10,28
non_numeric_v1_1__name_0__obj_mailbox__expanded__farther,closer_farther_non_numeric_movement,1.3,non_numeric_v1_1__name_0__obj_mailbox__expanded,non_numeric_v1_1__name_0__obj_mailbox__farther,non_numeric_movement,aligned_expanded,expanded,directed_movement_inference,absent,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_0,Maya,obj_mailbox,mailbox,farther,away from,Target2,"Initially, Maya was some distance from a mailbox that remained stationary. From that starting position, Maya walked some distance directly away from the mailbox without reaching or passing it.",Maya is now closer to the mailbox than before.,Maya is now farther from the mailbox than before.,29,192,33,9,46,11,10,9,49,11,10,29
non_numeric_v1_1__name_1__obj_cone__compact__closer,closer_farther_non_numeric_movement,1.3,non_numeric_v1_1__name_1__obj_cone__compact,non_numeric_v1_1__name_1__obj_cone__closer,non_numeric_movement,aligned_compact,compact,directed_movement_inference,absent,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_1,Jesse,obj_cone,cone,closer,toward,Target1,"Starting some distance from a stationary cone, Jesse walked some distance directly toward it without reaching or passing it.",Jesse is now closer to the cone than before.,Jesse is now farther from the cone than before.,19,124,21,9,44,11,10,9,47,11,10,30
non_numeric_v1_1__name_1__obj_cone__compact__farther,closer_farther_non_numeric_movement,1.3,non_numeric_v1_1__name_1__obj_cone__compact,non_numeric_v1_1__name_1__obj_cone__farther,non_numeric_movement,aligned_compact,compact,directed_movement_inference,absent,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_1,Jesse,obj_cone,cone,farther,away from,Target2,"Starting some distance from a stationary cone, Jesse walked some distance directly away from it without reaching or passing it.",Jesse is now closer to the cone than before.,Jesse is now farther from the cone than before.,20,127,22,9,44,11,10,9,47,11,10,31
non_numeric_v1_1__name_1__obj_cone__standard__closer,closer_farther_non_numeric_movement,1.3,non_numeric_v1_1__name_1__obj_cone__standard,non_numeric_v1_1__name_1__obj_cone__closer,non_numeric_movement,aligned_standard,standard,directed_movement_inference,absent,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_1,Jesse,obj_cone,cone,closer,toward,Target1,Jesse was some distance from a stationary cone. Jesse walked some distance directly toward the cone without reaching or passing it.,Jesse is now closer to the cone than before.,Jesse is now farther from the cone than before.,21,131,24,9,44,11,10,9,47,11,10,32
non_numeric_v1_1__name_1__obj_cone__standard__farther,closer_farther_non_numeric_movement,1.3,non_numeric_v1_1__name_1__obj_cone__standard,non_numeric_v1_1__name_1__obj_cone__farther,non_numeric_movement,aligned_standard,standard,directed_movement_inference,absent,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_1,Jesse,obj_cone,cone,farther,away from,Target2,Jesse was some distance from a stationary cone. Jesse walked some distance directly away from the cone without reaching or passing it.,Jesse is now closer to the cone than before.,Jesse is now farther from the cone than before.,22,134,25,9,44,11,10,9,47,11,10,33
non_numeric_v1_1__name_1__obj_cone__expanded__closer,closer_farther_non_numeric_movement,1.3,non_numeric_v1_1__name_1__obj_cone__expanded,non_numeric_v1_1__name_1__obj_cone__closer,non_numeric_movement,aligned_expanded,expanded,directed_movement_inference,absent,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_1,Jesse,obj_cone,cone,closer,toward,Target1,"Initially, Jesse was some distance from a cone that remained stationary. From that starting position, Jesse walked some distance directly toward the cone without reaching or passing it.",Jesse is now closer to the cone than before.,Jesse is now farther from the cone than before.,28,185,32,9,44,11,10,9,47,11,10,34
non_numeric_v1_1__name_1__obj_cone__expanded__farther,closer_farther_non_numeric_movement,1.3,non_numeric_v1_1__name_1__obj_cone__expanded,non_numeric_v1_1__name_1__obj_cone__farther,non_numeric_movement,aligned_expanded,expanded,directed_movement_inference,absent,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_1,Jesse,obj_cone,cone,farther,away from,Target2,"Initially, Jesse was some distance from a cone that remained stationary. From that starting position, Jesse walked some distance directly away from the cone without reaching or passing it.",Jesse is now closer to the cone than before.,Jesse is now farther from the cone than before.,29,188,33,9,44,11,10,9,47,11,10,35
non_numeric_v1_1__name_1__obj_flag__compact__closer,closer_farther_non_numeric_movement,1.3,non_numeric_v1_1__name_1__obj_flag__compact,non_numeric_v1_1__name_1__obj_flag__closer,non_numeric_movement,aligned_compact,compact,directed_movement_inference,absent,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_1,Jesse,obj_flag,flag,closer,toward,Target1,"Starting some distance from a stationary flag, Jesse walked some distance directly toward it without reaching or passing it.",Jesse is now closer to the flag than before.,Jesse is now farther from the flag than before.,19,124,21,9,44,11,10,9,47,11,10,36
non_numeric_v1_1__name_1__obj_flag__compact__farther,closer_farther_non_numeric_movement,1.3,non_numeric_v1_1__name_1__obj_flag__compact,non_numeric_v1_1__name_1__obj_flag__farther,non_numeric_movement,aligned_compact,compact,directed_movement_inference,absent,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_1,Jesse,obj_flag,flag,farther,away from,Target2,"Starting some distance from a stationary flag, Jesse walked some distance directly away from it without reaching or passing it.",Jesse is now closer to the flag than before.,Jesse is now farther from the flag than before.,20,127,22,9,44,11,10,9,47,11,10,37
non_numeric_v1_1__name_1__obj_flag__standard__closer,closer_farther_non_numeric_movement,1.3,non_numeric_v1_1__name_1__obj_flag__standard,non_numeric_v1_1__name_1__obj_flag__closer,non_numeric_movement,aligned_standard,standard,directed_movement_inference,absent,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_1,Jesse,obj_flag,flag,closer,toward,Target1,Jesse was some distance from a stationary flag. Jesse walked some distance directly toward the flag without reaching or passing it.,Jesse is now closer to the flag than before.,Jesse is now farther from the flag than before.,21,131,24,9,44,11,10,9,47,11,10,38
non_numeric_v1_1__name_1__obj_flag__standard__farther,closer_farther_non_numeric_movement,1.3,non_numeric_v1_1__name_1__obj_flag__standard,non_numeric_v1_1__name_1__obj_flag__farther,non_numeric_movement,aligned_standard,standard,directed_movement_inference,absent,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_1,Jesse,obj_flag,flag,farther,away from,Target2,Jesse was some distance from a stationary flag. Jesse walked some distance directly away from the flag without reaching or passing it.,Jesse is now closer to the flag than before.,Jesse is now farther from the flag than before.,22,134,25,9,44,11,10,9,47,11,10,39
non_numeric_v1_1__name_1__obj_flag__expanded__closer,closer_farther_non_numeric_movement,1.3,non_numeric_v1_1__name_1__obj_flag__expanded,non_numeric_v1_1__name_1__obj_flag__closer,non_numeric_movement,aligned_expanded,expanded,directed_movement_inference,absent,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_1,Jesse,obj_flag,flag,closer,toward,Target1,"Initially, Jesse was some distance from a flag that remained stationary. From that starting position, Jesse walked some distance directly toward the flag without reaching or passing it.",Jesse is now closer to the flag than before.,Jesse is now farther from the flag than before.,28,185,32,9,44,11,10,9,47,11,10,40
non_numeric_v1_1__name_1__obj_flag__expanded__farther,closer_farther_non_numeric_movement,1.3,non_numeric_v1_1__name_1__obj_flag__expanded,non_numeric_v1_1__name_1__obj_flag__farther,non_numeric_movement,aligned_expanded,expanded,directed_movement_inference,absent,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_1,Jesse,obj_flag,flag,farther,away from,Target2,"Initially, Jesse was some distance from a flag that remained stationary. From that starting position, Jesse walked some distance directly away from the flag without reaching or passing it.",Jesse is now closer to the flag than before.,Jesse is now farther from the flag than before.,29,188,33,9,44,11,10,9,47,11,10,41
non_numeric_v1_1__name_1__obj_bicycle__compact__closer,closer_farther_non_numeric_movement,1.3,non_numeric_v1_1__name_1__obj_bicycle__compact,non_numeric_v1_1__name_1__obj_bicycle__closer,non_numeric_movement,aligned_compact,compact,directed_movement_inference,absent,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_1,Jesse,obj_bicycle,bicycle,closer,toward,Target1,"Starting some distance from a stationary bicycle, Jesse walked some distance directly toward it without reaching or passing it.",Jesse is now closer to the bicycle than before.,Jesse is now farther from the bicycle than before.,19,127,21,9,47,11,10,9,50,11,10,42
non_numeric_v1_1__name_1__obj_bicycle__compact__farther,closer_farther_non_numeric_movement,1.3,non_numeric_v1_1__name_1__obj_bicycle__compact,non_numeric_v1_1__name_1__obj_bicycle__farther,non_numeric_movement,aligned_compact,compact,directed_movement_inference,absent,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_1,Jesse,obj_bicycle,bicycle,farther,away from,Target2,"Starting some distance from a stationary bicycle, Jesse walked some distance directly away from it without reaching or passing it.",Jesse is now closer to the bicycle than before.,Jesse is now farther from the bicycle than before.,20,130,22,9,47,11,10,9,50,11,10,43
