probe_id,probe_type,probe_version,matched_group_id,length_match_id,condition_id,template_id,length_band,evidence_type,numeric_information,trajectory_constraint_id,object_stationary,passes_object,reference_stationarity,no_overshoot_status,interpretation_basis,template_family,name_id,name,object_id,object,outcome,direction,correct_target,Context,Target1,Target2,Context_word_count,Context_char_count,Context_token_count,Target1_word_count,Target1_char_count,Target1_token_count,Target1_conditional_token_count,Target2_word_count,Target2_char_count,Target2_token_count,Target2_conditional_token_count,probe_row_index,numeric_case_id,unit_id,initial_distance,movement_distance,final_distance
numeric_aligned_v1_1__name_0__obj_cone__compact__closer__num_05__unit_metres,closer_farther_non_numeric_movement,1.3,numeric_aligned_v1_1__name_0__obj_cone__compact__num_05__unit_metres,numeric_aligned_v1_1__name_0__obj_cone__closer__num_05__unit_metres,numeric_aligned_movement,aligned_compact,compact,directed_movement_inference,specific,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_0,Maya,obj_cone,cone,closer,toward,Target1,"Starting 54 metres from a stationary cone, Maya walked 32 metres directly toward it without reaching or passing it.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,19,115,21,9,43,11,10,9,46,11,10,15,num_05,unit_metres,54,32,22
numeric_aligned_v1_1__name_0__obj_cone__compact__closer__num_05__unit_ft,closer_farther_non_numeric_movement,1.3,numeric_aligned_v1_1__name_0__obj_cone__compact__num_05__unit_ft,numeric_aligned_v1_1__name_0__obj_cone__closer__num_05__unit_ft,numeric_aligned_movement,aligned_compact,compact,directed_movement_inference,specific,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_0,Maya,obj_cone,cone,closer,toward,Target1,"Starting 54 ft from a stationary cone, Maya walked 32 ft directly toward it without reaching or passing it.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,19,107,21,9,43,11,10,9,46,11,10,16,num_05,unit_ft,54,32,22
numeric_aligned_v1_1__name_0__obj_cone__compact__closer__num_05__unit_inches,closer_farther_non_numeric_movement,1.3,numeric_aligned_v1_1__name_0__obj_cone__compact__num_05__unit_inches,numeric_aligned_v1_1__name_0__obj_cone__closer__num_05__unit_inches,numeric_aligned_movement,aligned_compact,compact,directed_movement_inference,specific,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_0,Maya,obj_cone,cone,closer,toward,Target1,"Starting 54 inches from a stationary cone, Maya walked 32 inches directly toward it without reaching or passing it.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,19,115,21,9,43,11,10,9,46,11,10,17,num_05,unit_inches,54,32,22
numeric_aligned_v1_1__name_0__obj_cone__compact__closer__num_06__unit_metres,closer_farther_non_numeric_movement,1.3,numeric_aligned_v1_1__name_0__obj_cone__compact__num_06__unit_metres,numeric_aligned_v1_1__name_0__obj_cone__closer__num_06__unit_metres,numeric_aligned_movement,aligned_compact,compact,directed_movement_inference,specific,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_0,Maya,obj_cone,cone,closer,toward,Target1,"Starting 59 metres from a stationary cone, Maya walked 10 metres directly toward it without reaching or passing it.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,19,115,21,9,43,11,10,9,46,11,10,18,num_06,unit_metres,59,10,49
numeric_aligned_v1_1__name_0__obj_cone__compact__closer__num_06__unit_ft,closer_farther_non_numeric_movement,1.3,numeric_aligned_v1_1__name_0__obj_cone__compact__num_06__unit_ft,numeric_aligned_v1_1__name_0__obj_cone__closer__num_06__unit_ft,numeric_aligned_movement,aligned_compact,compact,directed_movement_inference,specific,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_0,Maya,obj_cone,cone,closer,toward,Target1,"Starting 59 ft from a stationary cone, Maya walked 10 ft directly toward it without reaching or passing it.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,19,107,21,9,43,11,10,9,46,11,10,19,num_06,unit_ft,59,10,49
numeric_aligned_v1_1__name_0__obj_cone__compact__closer__num_06__unit_inches,closer_farther_non_numeric_movement,1.3,numeric_aligned_v1_1__name_0__obj_cone__compact__num_06__unit_inches,numeric_aligned_v1_1__name_0__obj_cone__closer__num_06__unit_inches,numeric_aligned_movement,aligned_compact,compact,directed_movement_inference,specific,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_0,Maya,obj_cone,cone,closer,toward,Target1,"Starting 59 inches from a stationary cone, Maya walked 10 inches directly toward it without reaching or passing it.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,19,115,21,9,43,11,10,9,46,11,10,20,num_06,unit_inches,59,10,49
numeric_aligned_v1_1__name_0__obj_cone__compact__closer__num_07__unit_metres,closer_farther_non_numeric_movement,1.3,numeric_aligned_v1_1__name_0__obj_cone__compact__num_07__unit_metres,numeric_aligned_v1_1__name_0__obj_cone__closer__num_07__unit_metres,numeric_aligned_movement,aligned_compact,compact,directed_movement_inference,specific,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_0,Maya,obj_cone,cone,closer,toward,Target1,"Starting 48 metres from a stationary cone, Maya walked 26 metres directly toward it without reaching or passing it.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,19,115,21,9,43,11,10,9,46,11,10,21,num_07,unit_metres,48,26,22
numeric_aligned_v1_1__name_0__obj_cone__compact__closer__num_07__unit_ft,closer_farther_non_numeric_movement,1.3,numeric_aligned_v1_1__name_0__obj_cone__compact__num_07__unit_ft,numeric_aligned_v1_1__name_0__obj_cone__closer__num_07__unit_ft,numeric_aligned_movement,aligned_compact,compact,directed_movement_inference,specific,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_0,Maya,obj_cone,cone,closer,toward,Target1,"Starting 48 ft from a stationary cone, Maya walked 26 ft directly toward it without reaching or passing it.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,19,107,21,9,43,11,10,9,46,11,10,22,num_07,unit_ft,48,26,22
numeric_aligned_v1_1__name_0__obj_cone__compact__closer__num_07__unit_inches,closer_farther_non_numeric_movement,1.3,numeric_aligned_v1_1__name_0__obj_cone__compact__num_07__unit_inches,numeric_aligned_v1_1__name_0__obj_cone__closer__num_07__unit_inches,numeric_aligned_movement,aligned_compact,compact,directed_movement_inference,specific,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_0,Maya,obj_cone,cone,closer,toward,Target1,"Starting 48 inches from a stationary cone, Maya walked 26 inches directly toward it without reaching or passing it.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,19,115,21,9,43,11,10,9,46,11,10,23,num_07,unit_inches,48,26,22
numeric_aligned_v1_1__name_0__obj_cone__compact__closer__num_08__unit_metres,closer_farther_non_numeric_movement,1.3,numeric_aligned_v1_1__name_0__obj_cone__compact__num_08__unit_metres,numeric_aligned_v1_1__name_0__obj_cone__closer__num_08__unit_metres,numeric_aligned_movement,aligned_compact,compact,directed_movement_inference,specific,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_0,Maya,obj_cone,cone,closer,toward,Target1,"Starting 12 metres from a stationary cone, Maya walked 8 metres directly toward it without reaching or passing it.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,19,114,21,9,43,11,10,9,46,11,10,24,num_08,unit_metres,12,8,4
numeric_aligned_v1_1__name_0__obj_cone__compact__closer__num_08__unit_ft,closer_farther_non_numeric_movement,1.3,numeric_aligned_v1_1__name_0__obj_cone__compact__num_08__unit_ft,numeric_aligned_v1_1__name_0__obj_cone__closer__num_08__unit_ft,numeric_aligned_movement,aligned_compact,compact,directed_movement_inference,specific,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_0,Maya,obj_cone,cone,closer,toward,Target1,"Starting 12 ft from a stationary cone, Maya walked 8 ft directly toward it without reaching or passing it.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,19,106,21,9,43,11,10,9,46,11,10,25,num_08,unit_ft,12,8,4
numeric_aligned_v1_1__name_0__obj_cone__compact__closer__num_08__unit_inches,closer_farther_non_numeric_movement,1.3,numeric_aligned_v1_1__name_0__obj_cone__compact__num_08__unit_inches,numeric_aligned_v1_1__name_0__obj_cone__closer__num_08__unit_inches,numeric_aligned_movement,aligned_compact,compact,directed_movement_inference,specific,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_0,Maya,obj_cone,cone,closer,toward,Target1,"Starting 12 inches from a stationary cone, Maya walked 8 inches directly toward it without reaching or passing it.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,19,114,21,9,43,11,10,9,46,11,10,26,num_08,unit_inches,12,8,4
numeric_aligned_v1_1__name_0__obj_cone__compact__closer__num_09__unit_metres,closer_farther_non_numeric_movement,1.3,numeric_aligned_v1_1__name_0__obj_cone__compact__num_09__unit_metres,numeric_aligned_v1_1__name_0__obj_cone__closer__num_09__unit_metres,numeric_aligned_movement,aligned_compact,compact,directed_movement_inference,specific,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_0,Maya,obj_cone,cone,closer,toward,Target1,"Starting 52 metres from a stationary cone, Maya walked 28 metres directly toward it without reaching or passing it.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,19,115,21,9,43,11,10,9,46,11,10,27,num_09,unit_metres,52,28,24
numeric_aligned_v1_1__name_0__obj_cone__compact__closer__num_09__unit_ft,closer_farther_non_numeric_movement,1.3,numeric_aligned_v1_1__name_0__obj_cone__compact__num_09__unit_ft,numeric_aligned_v1_1__name_0__obj_cone__closer__num_09__unit_ft,numeric_aligned_movement,aligned_compact,compact,directed_movement_inference,specific,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_0,Maya,obj_cone,cone,closer,toward,Target1,"Starting 52 ft from a stationary cone, Maya walked 28 ft directly toward it without reaching or passing it.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,19,107,21,9,43,11,10,9,46,11,10,28,num_09,unit_ft,52,28,24
numeric_aligned_v1_1__name_0__obj_cone__compact__closer__num_09__unit_inches,closer_farther_non_numeric_movement,1.3,numeric_aligned_v1_1__name_0__obj_cone__compact__num_09__unit_inches,numeric_aligned_v1_1__name_0__obj_cone__closer__num_09__unit_inches,numeric_aligned_movement,aligned_compact,compact,directed_movement_inference,specific,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_0,Maya,obj_cone,cone,closer,toward,Target1,"Starting 52 inches from a stationary cone, Maya walked 28 inches directly toward it without reaching or passing it.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,19,115,21,9,43,11,10,9,46,11,10,29,num_09,unit_inches,52,28,24
numeric_aligned_v1_1__name_0__obj_cone__compact__closer__num_10__unit_metres,closer_farther_non_numeric_movement,1.3,numeric_aligned_v1_1__name_0__obj_cone__compact__num_10__unit_metres,numeric_aligned_v1_1__name_0__obj_cone__closer__num_10__unit_metres,numeric_aligned_movement,aligned_compact,compact,directed_movement_inference,specific,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_0,Maya,obj_cone,cone,closer,toward,Target1,"Starting 56 metres from a stationary cone, Maya walked 8 metres directly toward it without reaching or passing it.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,19,114,21,9,43,11,10,9,46,11,10,30,num_10,unit_metres,56,8,48
numeric_aligned_v1_1__name_0__obj_cone__compact__closer__num_10__unit_ft,closer_farther_non_numeric_movement,1.3,numeric_aligned_v1_1__name_0__obj_cone__compact__num_10__unit_ft,numeric_aligned_v1_1__name_0__obj_cone__closer__num_10__unit_ft,numeric_aligned_movement,aligned_compact,compact,directed_movement_inference,specific,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_0,Maya,obj_cone,cone,closer,toward,Target1,"Starting 56 ft from a stationary cone, Maya walked 8 ft directly toward it without reaching or passing it.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,19,106,21,9,43,11,10,9,46,11,10,31,num_10,unit_ft,56,8,48
numeric_aligned_v1_1__name_0__obj_cone__compact__closer__num_10__unit_inches,closer_farther_non_numeric_movement,1.3,numeric_aligned_v1_1__name_0__obj_cone__compact__num_10__unit_inches,numeric_aligned_v1_1__name_0__obj_cone__closer__num_10__unit_inches,numeric_aligned_movement,aligned_compact,compact,directed_movement_inference,specific,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_0,Maya,obj_cone,cone,closer,toward,Target1,"Starting 56 inches from a stationary cone, Maya walked 8 inches directly toward it without reaching or passing it.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,19,114,21,9,43,11,10,9,46,11,10,32,num_10,unit_inches,56,8,48
numeric_aligned_v1_1__name_0__obj_cone__compact__closer__num_11__unit_metres,closer_farther_non_numeric_movement,1.3,numeric_aligned_v1_1__name_0__obj_cone__compact__num_11__unit_metres,numeric_aligned_v1_1__name_0__obj_cone__closer__num_11__unit_metres,numeric_aligned_movement,aligned_compact,compact,directed_movement_inference,specific,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_0,Maya,obj_cone,cone,closer,toward,Target1,"Starting 32 metres from a stationary cone, Maya walked 23 metres directly toward it without reaching or passing it.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,19,115,21,9,43,11,10,9,46,11,10,33,num_11,unit_metres,32,23,9
numeric_aligned_v1_1__name_0__obj_cone__compact__closer__num_11__unit_ft,closer_farther_non_numeric_movement,1.3,numeric_aligned_v1_1__name_0__obj_cone__compact__num_11__unit_ft,numeric_aligned_v1_1__name_0__obj_cone__closer__num_11__unit_ft,numeric_aligned_movement,aligned_compact,compact,directed_movement_inference,specific,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_0,Maya,obj_cone,cone,closer,toward,Target1,"Starting 32 ft from a stationary cone, Maya walked 23 ft directly toward it without reaching or passing it.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,19,107,21,9,43,11,10,9,46,11,10,34,num_11,unit_ft,32,23,9
numeric_aligned_v1_1__name_0__obj_cone__compact__closer__num_11__unit_inches,closer_farther_non_numeric_movement,1.3,numeric_aligned_v1_1__name_0__obj_cone__compact__num_11__unit_inches,numeric_aligned_v1_1__name_0__obj_cone__closer__num_11__unit_inches,numeric_aligned_movement,aligned_compact,compact,directed_movement_inference,specific,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_0,Maya,obj_cone,cone,closer,toward,Target1,"Starting 32 inches from a stationary cone, Maya walked 23 inches directly toward it without reaching or passing it.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,19,115,21,9,43,11,10,9,46,11,10,35,num_11,unit_inches,32,23,9
numeric_aligned_v1_1__name_0__obj_cone__compact__farther__num_00__unit_metres,closer_farther_non_numeric_movement,1.3,numeric_aligned_v1_1__name_0__obj_cone__compact__num_00__unit_metres,numeric_aligned_v1_1__name_0__obj_cone__farther__num_00__unit_metres,numeric_aligned_movement,aligned_compact,compact,directed_movement_inference,specific,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_0,Maya,obj_cone,cone,farther,away from,Target2,"Starting 18 metres from a stationary cone, Maya walked 5 metres directly away from it without reaching or passing it.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,20,117,22,9,43,11,10,9,46,11,10,36,num_00,unit_metres,18,5,23
numeric_aligned_v1_1__name_0__obj_cone__compact__farther__num_00__unit_ft,closer_farther_non_numeric_movement,1.3,numeric_aligned_v1_1__name_0__obj_cone__compact__num_00__unit_ft,numeric_aligned_v1_1__name_0__obj_cone__farther__num_00__unit_ft,numeric_aligned_movement,aligned_compact,compact,directed_movement_inference,specific,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_0,Maya,obj_cone,cone,farther,away from,Target2,"Starting 18 ft from a stationary cone, Maya walked 5 ft directly away from it without reaching or passing it.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,20,109,22,9,43,11,10,9,46,11,10,37,num_00,unit_ft,18,5,23
