pair_id,length_band,template_id,name_id,object_id,evidence_type,closer_probe_id,farther_probe_id,Context1,Context2,Target1,Target2
non_numeric_v1_1__name_0__obj_bench__standard,standard,aligned_standard,name_0,obj_bench,directed_movement_inference,non_numeric_v1_1__name_0__obj_bench__standard__closer,non_numeric_v1_1__name_0__obj_bench__standard__farther,Maya was some distance from a stationary bench. Maya walked some distance directly toward the bench without reaching or passing it.,Maya was some distance from a stationary bench. Maya walked some distance directly away from the bench without reaching or passing it.,Maya is now closer to the bench than before.,Maya is now farther from the bench than before.
non_numeric_v1_1__name_0__obj_bench__expanded,expanded,aligned_expanded,name_0,obj_bench,directed_movement_inference,non_numeric_v1_1__name_0__obj_bench__expanded__closer,non_numeric_v1_1__name_0__obj_bench__expanded__farther,"Initially, Maya was some distance from a bench that remained stationary. From that starting position, Maya walked some distance directly toward the bench without reaching or passing it.","Initially, Maya was some distance from a bench that remained stationary. From that starting position, Maya walked some distance directly away from the bench without reaching or passing it.",Maya is now closer to the bench than before.,Maya is now farther from the bench than before.
non_numeric_v1_1__name_0__obj_mailbox__compact,compact,aligned_compact,name_0,obj_mailbox,directed_movement_inference,non_numeric_v1_1__name_0__obj_mailbox__compact__closer,non_numeric_v1_1__name_0__obj_mailbox__compact__farther,"Starting some distance from a stationary mailbox, Maya walked some distance directly toward it without reaching or passing it.","Starting some distance from a stationary mailbox, Maya walked some distance directly away from it without reaching or passing it.",Maya is now closer to the mailbox than before.,Maya is now farther from the mailbox than before.
non_numeric_v1_1__name_0__obj_mailbox__standard,standard,aligned_standard,name_0,obj_mailbox,directed_movement_inference,non_numeric_v1_1__name_0__obj_mailbox__standard__closer,non_numeric_v1_1__name_0__obj_mailbox__standard__farther,Maya was some distance from a stationary mailbox. Maya walked some distance directly toward the mailbox without reaching or passing it.,Maya was some distance from a stationary mailbox. Maya walked some distance directly away from the mailbox without reaching or passing it.,Maya is now closer to the mailbox than before.,Maya is now farther from the mailbox than before.
non_numeric_v1_1__name_0__obj_mailbox__expanded,expanded,aligned_expanded,name_0,obj_mailbox,directed_movement_inference,non_numeric_v1_1__name_0__obj_mailbox__expanded__closer,non_numeric_v1_1__name_0__obj_mailbox__expanded__farther,"Initially, Maya was some distance from a mailbox that remained stationary. From that starting position, Maya walked some distance directly toward the mailbox without reaching or passing it.","Initially, Maya was some distance from a mailbox that remained stationary. From that starting position, Maya walked some distance directly away from the mailbox without reaching or passing it.",Maya is now closer to the mailbox than before.,Maya is now farther from the mailbox than before.
non_numeric_v1_1__name_1__obj_cone__compact,compact,aligned_compact,name_1,obj_cone,directed_movement_inference,non_numeric_v1_1__name_1__obj_cone__compact__closer,non_numeric_v1_1__name_1__obj_cone__compact__farther,"Starting some distance from a stationary cone, Jesse walked some distance directly toward it without reaching or passing it.","Starting some distance from a stationary cone, Jesse walked some distance directly away from it without reaching or passing it.",Jesse is now closer to the cone than before.,Jesse is now farther from the cone than before.
non_numeric_v1_1__name_1__obj_cone__standard,standard,aligned_standard,name_1,obj_cone,directed_movement_inference,non_numeric_v1_1__name_1__obj_cone__standard__closer,non_numeric_v1_1__name_1__obj_cone__standard__farther,Jesse was some distance from a stationary cone. Jesse walked some distance directly toward the cone without reaching or passing it.,Jesse was some distance from a stationary cone. Jesse walked some distance directly away from the cone without reaching or passing it.,Jesse is now closer to the cone than before.,Jesse is now farther from the cone than before.
non_numeric_v1_1__name_1__obj_cone__expanded,expanded,aligned_expanded,name_1,obj_cone,directed_movement_inference,non_numeric_v1_1__name_1__obj_cone__expanded__closer,non_numeric_v1_1__name_1__obj_cone__expanded__farther,"Initially, Jesse was some distance from a cone that remained stationary. From that starting position, Jesse walked some distance directly toward the cone without reaching or passing it.","Initially, Jesse was some distance from a cone that remained stationary. From that starting position, Jesse walked some distance directly away from the cone without reaching or passing it.",Jesse is now closer to the cone than before.,Jesse is now farther from the cone than before.
non_numeric_v1_1__name_1__obj_flag__compact,compact,aligned_compact,name_1,obj_flag,directed_movement_inference,non_numeric_v1_1__name_1__obj_flag__compact__closer,non_numeric_v1_1__name_1__obj_flag__compact__farther,"Starting some distance from a stationary flag, Jesse walked some distance directly toward it without reaching or passing it.","Starting some distance from a stationary flag, Jesse walked some distance directly away from it without reaching or passing it.",Jesse is now closer to the flag than before.,Jesse is now farther from the flag than before.
non_numeric_v1_1__name_1__obj_flag__standard,standard,aligned_standard,name_1,obj_flag,directed_movement_inference,non_numeric_v1_1__name_1__obj_flag__standard__closer,non_numeric_v1_1__name_1__obj_flag__standard__farther,Jesse was some distance from a stationary flag. Jesse walked some distance directly toward the flag without reaching or passing it.,Jesse was some distance from a stationary flag. Jesse walked some distance directly away from the flag without reaching or passing it.,Jesse is now closer to the flag than before.,Jesse is now farther from the flag than before.
non_numeric_v1_1__name_1__obj_flag__expanded,expanded,aligned_expanded,name_1,obj_flag,directed_movement_inference,non_numeric_v1_1__name_1__obj_flag__expanded__closer,non_numeric_v1_1__name_1__obj_flag__expanded__farther,"Initially, Jesse was some distance from a flag that remained stationary. From that starting position, Jesse walked some distance directly toward the flag without reaching or passing it.","Initially, Jesse was some distance from a flag that remained stationary. From that starting position, Jesse walked some distance directly away from the flag without reaching or passing it.",Jesse is now closer to the flag than before.,Jesse is now farther from the flag than before.
non_numeric_v1_1__name_1__obj_bicycle__compact,compact,aligned_compact,name_1,obj_bicycle,directed_movement_inference,non_numeric_v1_1__name_1__obj_bicycle__compact__closer,non_numeric_v1_1__name_1__obj_bicycle__compact__farther,"Starting some distance from a stationary bicycle, Jesse walked some distance directly toward it without reaching or passing it.","Starting some distance from a stationary bicycle, Jesse walked some distance directly away from it without reaching or passing it.",Jesse is now closer to the bicycle than before.,Jesse is now farther from the bicycle than before.
non_numeric_v1_1__name_1__obj_bicycle__standard,standard,aligned_standard,name_1,obj_bicycle,directed_movement_inference,non_numeric_v1_1__name_1__obj_bicycle__standard__closer,non_numeric_v1_1__name_1__obj_bicycle__standard__farther,Jesse was some distance from a stationary bicycle. Jesse walked some distance directly toward the bicycle without reaching or passing it.,Jesse was some distance from a stationary bicycle. Jesse walked some distance directly away from the bicycle without reaching or passing it.,Jesse is now closer to the bicycle than before.,Jesse is now farther from the bicycle than before.
non_numeric_v1_1__name_1__obj_bicycle__expanded,expanded,aligned_expanded,name_1,obj_bicycle,directed_movement_inference,non_numeric_v1_1__name_1__obj_bicycle__expanded__closer,non_numeric_v1_1__name_1__obj_bicycle__expanded__farther,"Initially, Jesse was some distance from a bicycle that remained stationary. From that starting position, Jesse walked some distance directly toward the bicycle without reaching or passing it.","Initially, Jesse was some distance from a bicycle that remained stationary. From that starting position, Jesse walked some distance directly away from the bicycle without reaching or passing it.",Jesse is now closer to the bicycle than before.,Jesse is now farther from the bicycle than before.
non_numeric_v1_1__name_1__obj_bench__compact,compact,aligned_compact,name_1,obj_bench,directed_movement_inference,non_numeric_v1_1__name_1__obj_bench__compact__closer,non_numeric_v1_1__name_1__obj_bench__compact__farther,"Starting some distance from a stationary bench, Jesse walked some distance directly toward it without reaching or passing it.","Starting some distance from a stationary bench, Jesse walked some distance directly away from it without reaching or passing it.",Jesse is now closer to the bench than before.,Jesse is now farther from the bench than before.
non_numeric_v1_1__name_1__obj_bench__standard,standard,aligned_standard,name_1,obj_bench,directed_movement_inference,non_numeric_v1_1__name_1__obj_bench__standard__closer,non_numeric_v1_1__name_1__obj_bench__standard__farther,Jesse was some distance from a stationary bench. Jesse walked some distance directly toward the bench without reaching or passing it.,Jesse was some distance from a stationary bench. Jesse walked some distance directly away from the bench without reaching or passing it.,Jesse is now closer to the bench than before.,Jesse is now farther from the bench than before.
non_numeric_v1_1__name_1__obj_bench__expanded,expanded,aligned_expanded,name_1,obj_bench,directed_movement_inference,non_numeric_v1_1__name_1__obj_bench__expanded__closer,non_numeric_v1_1__name_1__obj_bench__expanded__farther,"Initially, Jesse was some distance from a bench that remained stationary. From that starting position, Jesse walked some distance directly toward the bench without reaching or passing it.","Initially, Jesse was some distance from a bench that remained stationary. From that starting position, Jesse walked some distance directly away from the bench without reaching or passing it.",Jesse is now closer to the bench than before.,Jesse is now farther from the bench than before.
non_numeric_v1_1__name_1__obj_mailbox__compact,compact,aligned_compact,name_1,obj_mailbox,directed_movement_inference,non_numeric_v1_1__name_1__obj_mailbox__compact__closer,non_numeric_v1_1__name_1__obj_mailbox__compact__farther,"Starting some distance from a stationary mailbox, Jesse walked some distance directly toward it without reaching or passing it.","Starting some distance from a stationary mailbox, Jesse walked some distance directly away from it without reaching or passing it.",Jesse is now closer to the mailbox than before.,Jesse is now farther from the mailbox than before.
non_numeric_v1_1__name_1__obj_mailbox__standard,standard,aligned_standard,name_1,obj_mailbox,directed_movement_inference,non_numeric_v1_1__name_1__obj_mailbox__standard__closer,non_numeric_v1_1__name_1__obj_mailbox__standard__farther,Jesse was some distance from a stationary mailbox. Jesse walked some distance directly toward the mailbox without reaching or passing it.,Jesse was some distance from a stationary mailbox. Jesse walked some distance directly away from the mailbox without reaching or passing it.,Jesse is now closer to the mailbox than before.,Jesse is now farther from the mailbox than before.
non_numeric_v1_1__name_1__obj_mailbox__expanded,expanded,aligned_expanded,name_1,obj_mailbox,directed_movement_inference,non_numeric_v1_1__name_1__obj_mailbox__expanded__closer,non_numeric_v1_1__name_1__obj_mailbox__expanded__farther,"Initially, Jesse was some distance from a mailbox that remained stationary. From that starting position, Jesse walked some distance directly toward the mailbox without reaching or passing it.","Initially, Jesse was some distance from a mailbox that remained stationary. From that starting position, Jesse walked some distance directly away from the mailbox without reaching or passing it.",Jesse is now closer to the mailbox than before.,Jesse is now farther from the mailbox than before.
non_numeric_v1_1__name_2__obj_cone__compact,compact,aligned_compact,name_2,obj_cone,directed_movement_inference,non_numeric_v1_1__name_2__obj_cone__compact__closer,non_numeric_v1_1__name_2__obj_cone__compact__farther,"Starting some distance from a stationary cone, Li walked some distance directly toward it without reaching or passing it.","Starting some distance from a stationary cone, Li walked some distance directly away from it without reaching or passing it.",Li is now closer to the cone than before.,Li is now farther from the cone than before.
non_numeric_v1_1__name_2__obj_cone__standard,standard,aligned_standard,name_2,obj_cone,directed_movement_inference,non_numeric_v1_1__name_2__obj_cone__standard__closer,non_numeric_v1_1__name_2__obj_cone__standard__farther,Li was some distance from a stationary cone. Li walked some distance directly toward the cone without reaching or passing it.,Li was some distance from a stationary cone. Li walked some distance directly away from the cone without reaching or passing it.,Li is now closer to the cone than before.,Li is now farther from the cone than before.
non_numeric_v1_1__name_2__obj_cone__expanded,expanded,aligned_expanded,name_2,obj_cone,directed_movement_inference,non_numeric_v1_1__name_2__obj_cone__expanded__closer,non_numeric_v1_1__name_2__obj_cone__expanded__farther,"Initially, Li was some distance from a cone that remained stationary. From that starting position, Li walked some distance directly toward the cone without reaching or passing it.","Initially, Li was some distance from a cone that remained stationary. From that starting position, Li walked some distance directly away from the cone without reaching or passing it.",Li is now closer to the cone than before.,Li is now farther from the cone than before.
non_numeric_v1_1__name_2__obj_flag__compact,compact,aligned_compact,name_2,obj_flag,directed_movement_inference,non_numeric_v1_1__name_2__obj_flag__compact__closer,non_numeric_v1_1__name_2__obj_flag__compact__farther,"Starting some distance from a stationary flag, Li walked some distance directly toward it without reaching or passing it.","Starting some distance from a stationary flag, Li walked some distance directly away from it without reaching or passing it.",Li is now closer to the flag than before.,Li is now farther from the flag than before.
non_numeric_v1_1__name_2__obj_flag__standard,standard,aligned_standard,name_2,obj_flag,directed_movement_inference,non_numeric_v1_1__name_2__obj_flag__standard__closer,non_numeric_v1_1__name_2__obj_flag__standard__farther,Li was some distance from a stationary flag. Li walked some distance directly toward the flag without reaching or passing it.,Li was some distance from a stationary flag. Li walked some distance directly away from the flag without reaching or passing it.,Li is now closer to the flag than before.,Li is now farther from the flag than before.
non_numeric_v1_1__name_2__obj_flag__expanded,expanded,aligned_expanded,name_2,obj_flag,directed_movement_inference,non_numeric_v1_1__name_2__obj_flag__expanded__closer,non_numeric_v1_1__name_2__obj_flag__expanded__farther,"Initially, Li was some distance from a flag that remained stationary. From that starting position, Li walked some distance directly toward the flag without reaching or passing it.","Initially, Li was some distance from a flag that remained stationary. From that starting position, Li walked some distance directly away from the flag without reaching or passing it.",Li is now closer to the flag than before.,Li is now farther from the flag than before.
non_numeric_v1_1__name_2__obj_bicycle__compact,compact,aligned_compact,name_2,obj_bicycle,directed_movement_inference,non_numeric_v1_1__name_2__obj_bicycle__compact__closer,non_numeric_v1_1__name_2__obj_bicycle__compact__farther,"Starting some distance from a stationary bicycle, Li walked some distance directly toward it without reaching or passing it.","Starting some distance from a stationary bicycle, Li walked some distance directly away from it without reaching or passing it.",Li is now closer to the bicycle than before.,Li is now farther from the bicycle than before.
non_numeric_v1_1__name_2__obj_bicycle__standard,standard,aligned_standard,name_2,obj_bicycle,directed_movement_inference,non_numeric_v1_1__name_2__obj_bicycle__standard__closer,non_numeric_v1_1__name_2__obj_bicycle__standard__farther,Li was some distance from a stationary bicycle. Li walked some distance directly toward the bicycle without reaching or passing it.,Li was some distance from a stationary bicycle. Li walked some distance directly away from the bicycle without reaching or passing it.,Li is now closer to the bicycle than before.,Li is now farther from the bicycle than before.
non_numeric_v1_1__name_2__obj_bicycle__expanded,expanded,aligned_expanded,name_2,obj_bicycle,directed_movement_inference,non_numeric_v1_1__name_2__obj_bicycle__expanded__closer,non_numeric_v1_1__name_2__obj_bicycle__expanded__farther,"Initially, Li was some distance from a bicycle that remained stationary. From that starting position, Li walked some distance directly toward the bicycle without reaching or passing it.","Initially, Li was some distance from a bicycle that remained stationary. From that starting position, Li walked some distance directly away from the bicycle without reaching or passing it.",Li is now closer to the bicycle than before.,Li is now farther from the bicycle than before.
non_numeric_v1_1__name_2__obj_bench__compact,compact,aligned_compact,name_2,obj_bench,directed_movement_inference,non_numeric_v1_1__name_2__obj_bench__compact__closer,non_numeric_v1_1__name_2__obj_bench__compact__farther,"Starting some distance from a stationary bench, Li walked some distance directly toward it without reaching or passing it.","Starting some distance from a stationary bench, Li walked some distance directly away from it without reaching or passing it.",Li is now closer to the bench than before.,Li is now farther from the bench than before.
non_numeric_v1_1__name_2__obj_bench__standard,standard,aligned_standard,name_2,obj_bench,directed_movement_inference,non_numeric_v1_1__name_2__obj_bench__standard__closer,non_numeric_v1_1__name_2__obj_bench__standard__farther,Li was some distance from a stationary bench. Li walked some distance directly toward the bench without reaching or passing it.,Li was some distance from a stationary bench. Li walked some distance directly away from the bench without reaching or passing it.,Li is now closer to the bench than before.,Li is now farther from the bench than before.
non_numeric_v1_1__name_2__obj_bench__expanded,expanded,aligned_expanded,name_2,obj_bench,directed_movement_inference,non_numeric_v1_1__name_2__obj_bench__expanded__closer,non_numeric_v1_1__name_2__obj_bench__expanded__farther,"Initially, Li was some distance from a bench that remained stationary. From that starting position, Li walked some distance directly toward the bench without reaching or passing it.","Initially, Li was some distance from a bench that remained stationary. From that starting position, Li walked some distance directly away from the bench without reaching or passing it.",Li is now closer to the bench than before.,Li is now farther from the bench than before.
non_numeric_v1_1__name_2__obj_mailbox__compact,compact,aligned_compact,name_2,obj_mailbox,directed_movement_inference,non_numeric_v1_1__name_2__obj_mailbox__compact__closer,non_numeric_v1_1__name_2__obj_mailbox__compact__farther,"Starting some distance from a stationary mailbox, Li walked some distance directly toward it without reaching or passing it.","Starting some distance from a stationary mailbox, Li walked some distance directly away from it without reaching or passing it.",Li is now closer to the mailbox than before.,Li is now farther from the mailbox than before.
non_numeric_v1_1__name_2__obj_mailbox__standard,standard,aligned_standard,name_2,obj_mailbox,directed_movement_inference,non_numeric_v1_1__name_2__obj_mailbox__standard__closer,non_numeric_v1_1__name_2__obj_mailbox__standard__farther,Li was some distance from a stationary mailbox. Li walked some distance directly toward the mailbox without reaching or passing it.,Li was some distance from a stationary mailbox. Li walked some distance directly away from the mailbox without reaching or passing it.,Li is now closer to the mailbox than before.,Li is now farther from the mailbox than before.
non_numeric_v1_1__name_2__obj_mailbox__expanded,expanded,aligned_expanded,name_2,obj_mailbox,directed_movement_inference,non_numeric_v1_1__name_2__obj_mailbox__expanded__closer,non_numeric_v1_1__name_2__obj_mailbox__expanded__farther,"Initially, Li was some distance from a mailbox that remained stationary. From that starting position, Li walked some distance directly toward the mailbox without reaching or passing it.","Initially, Li was some distance from a mailbox that remained stationary. From that starting position, Li walked some distance directly away from the mailbox without reaching or passing it.",Li is now closer to the mailbox than before.,Li is now farther from the mailbox than before.
non_numeric_v1_1__name_3__obj_cone__compact,compact,aligned_compact,name_3,obj_cone,directed_movement_inference,non_numeric_v1_1__name_3__obj_cone__compact__closer,non_numeric_v1_1__name_3__obj_cone__compact__farther,"Starting some distance from a stationary cone, Omar walked some distance directly toward it without reaching or passing it.","Starting some distance from a stationary cone, Omar walked some distance directly away from it without reaching or passing it.",Omar is now closer to the cone than before.,Omar is now farther from the cone than before.
non_numeric_v1_1__name_3__obj_cone__standard,standard,aligned_standard,name_3,obj_cone,directed_movement_inference,non_numeric_v1_1__name_3__obj_cone__standard__closer,non_numeric_v1_1__name_3__obj_cone__standard__farther,Omar was some distance from a stationary cone. Omar walked some distance directly toward the cone without reaching or passing it.,Omar was some distance from a stationary cone. Omar walked some distance directly away from the cone without reaching or passing it.,Omar is now closer to the cone than before.,Omar is now farther from the cone than before.
non_numeric_v1_1__name_3__obj_cone__expanded,expanded,aligned_expanded,name_3,obj_cone,directed_movement_inference,non_numeric_v1_1__name_3__obj_cone__expanded__closer,non_numeric_v1_1__name_3__obj_cone__expanded__farther,"Initially, Omar was some distance from a cone that remained stationary. From that starting position, Omar walked some distance directly toward the cone without reaching or passing it.","Initially, Omar was some distance from a cone that remained stationary. From that starting position, Omar walked some distance directly away from the cone without reaching or passing it.",Omar is now closer to the cone than before.,Omar is now farther from the cone than before.
non_numeric_v1_1__name_3__obj_flag__compact,compact,aligned_compact,name_3,obj_flag,directed_movement_inference,non_numeric_v1_1__name_3__obj_flag__compact__closer,non_numeric_v1_1__name_3__obj_flag__compact__farther,"Starting some distance from a stationary flag, Omar walked some distance directly toward it without reaching or passing it.","Starting some distance from a stationary flag, Omar walked some distance directly away from it without reaching or passing it.",Omar is now closer to the flag than before.,Omar is now farther from the flag than before.
non_numeric_v1_1__name_3__obj_flag__standard,standard,aligned_standard,name_3,obj_flag,directed_movement_inference,non_numeric_v1_1__name_3__obj_flag__standard__closer,non_numeric_v1_1__name_3__obj_flag__standard__farther,Omar was some distance from a stationary flag. Omar walked some distance directly toward the flag without reaching or passing it.,Omar was some distance from a stationary flag. Omar walked some distance directly away from the flag without reaching or passing it.,Omar is now closer to the flag than before.,Omar is now farther from the flag than before.
non_numeric_v1_1__name_3__obj_flag__expanded,expanded,aligned_expanded,name_3,obj_flag,directed_movement_inference,non_numeric_v1_1__name_3__obj_flag__expanded__closer,non_numeric_v1_1__name_3__obj_flag__expanded__farther,"Initially, Omar was some distance from a flag that remained stationary. From that starting position, Omar walked some distance directly toward the flag without reaching or passing it.","Initially, Omar was some distance from a flag that remained stationary. From that starting position, Omar walked some distance directly away from the flag without reaching or passing it.",Omar is now closer to the flag than before.,Omar is now farther from the flag than before.
non_numeric_v1_1__name_3__obj_bicycle__compact,compact,aligned_compact,name_3,obj_bicycle,directed_movement_inference,non_numeric_v1_1__name_3__obj_bicycle__compact__closer,non_numeric_v1_1__name_3__obj_bicycle__compact__farther,"Starting some distance from a stationary bicycle, Omar walked some distance directly toward it without reaching or passing it.","Starting some distance from a stationary bicycle, Omar walked some distance directly away from it without reaching or passing it.",Omar is now closer to the bicycle than before.,Omar is now farther from the bicycle than before.
non_numeric_v1_1__name_3__obj_bicycle__standard,standard,aligned_standard,name_3,obj_bicycle,directed_movement_inference,non_numeric_v1_1__name_3__obj_bicycle__standard__closer,non_numeric_v1_1__name_3__obj_bicycle__standard__farther,Omar was some distance from a stationary bicycle. Omar walked some distance directly toward the bicycle without reaching or passing it.,Omar was some distance from a stationary bicycle. Omar walked some distance directly away from the bicycle without reaching or passing it.,Omar is now closer to the bicycle than before.,Omar is now farther from the bicycle than before.
non_numeric_v1_1__name_3__obj_bicycle__expanded,expanded,aligned_expanded,name_3,obj_bicycle,directed_movement_inference,non_numeric_v1_1__name_3__obj_bicycle__expanded__closer,non_numeric_v1_1__name_3__obj_bicycle__expanded__farther,"Initially, Omar was some distance from a bicycle that remained stationary. From that starting position, Omar walked some distance directly toward the bicycle without reaching or passing it.","Initially, Omar was some distance from a bicycle that remained stationary. From that starting position, Omar walked some distance directly away from the bicycle without reaching or passing it.",Omar is now closer to the bicycle than before.,Omar is now farther from the bicycle than before.
non_numeric_v1_1__name_3__obj_bench__compact,compact,aligned_compact,name_3,obj_bench,directed_movement_inference,non_numeric_v1_1__name_3__obj_bench__compact__closer,non_numeric_v1_1__name_3__obj_bench__compact__farther,"Starting some distance from a stationary bench, Omar walked some distance directly toward it without reaching or passing it.","Starting some distance from a stationary bench, Omar walked some distance directly away from it without reaching or passing it.",Omar is now closer to the bench than before.,Omar is now farther from the bench than before.
non_numeric_v1_1__name_3__obj_bench__standard,standard,aligned_standard,name_3,obj_bench,directed_movement_inference,non_numeric_v1_1__name_3__obj_bench__standard__closer,non_numeric_v1_1__name_3__obj_bench__standard__farther,Omar was some distance from a stationary bench. Omar walked some distance directly toward the bench without reaching or passing it.,Omar was some distance from a stationary bench. Omar walked some distance directly away from the bench without reaching or passing it.,Omar is now closer to the bench than before.,Omar is now farther from the bench than before.
non_numeric_v1_1__name_3__obj_bench__expanded,expanded,aligned_expanded,name_3,obj_bench,directed_movement_inference,non_numeric_v1_1__name_3__obj_bench__expanded__closer,non_numeric_v1_1__name_3__obj_bench__expanded__farther,"Initially, Omar was some distance from a bench that remained stationary. From that starting position, Omar walked some distance directly toward the bench without reaching or passing it.","Initially, Omar was some distance from a bench that remained stationary. From that starting position, Omar walked some distance directly away from the bench without reaching or passing it.",Omar is now closer to the bench than before.,Omar is now farther from the bench than before.
non_numeric_v1_1__name_3__obj_mailbox__compact,compact,aligned_compact,name_3,obj_mailbox,directed_movement_inference,non_numeric_v1_1__name_3__obj_mailbox__compact__closer,non_numeric_v1_1__name_3__obj_mailbox__compact__farther,"Starting some distance from a stationary mailbox, Omar walked some distance directly toward it without reaching or passing it.","Starting some distance from a stationary mailbox, Omar walked some distance directly away from it without reaching or passing it.",Omar is now closer to the mailbox than before.,Omar is now farther from the mailbox than before.
non_numeric_v1_1__name_3__obj_mailbox__standard,standard,aligned_standard,name_3,obj_mailbox,directed_movement_inference,non_numeric_v1_1__name_3__obj_mailbox__standard__closer,non_numeric_v1_1__name_3__obj_mailbox__standard__farther,Omar was some distance from a stationary mailbox. Omar walked some distance directly toward the mailbox without reaching or passing it.,Omar was some distance from a stationary mailbox. Omar walked some distance directly away from the mailbox without reaching or passing it.,Omar is now closer to the mailbox than before.,Omar is now farther from the mailbox than before.
