probe_id,probe_version,direction,definition_variant_id,context_stem_id,context_structure_label,definition_structure_id,modifier_id,modifier,adjective_pair_id,close_adjective,far_adjective,label_target_id,Domain,ConceptA,ConceptB,ContextType,ContextDiff,TargetDiff,Context1,Context2,Target1,Target2,correct_target_for_context1,correct_target_for_context2,Context1_word_count,Context1_char_count,Context2_word_count,Context2_char_count,Target1_word_count,Target1_char_count,Target2_word_count,Target2_char_count,probe_row_index,task_form,naming_context_id,matched_original_probe_id
word_to_definition__ctx_0__def_1_mod_2_adj_0,1.0,word_to_definition,def_1_mod_2_adj_0,ctx_0,short,def_1,mod_2,fairly,adj_0,small,large,,spatial-relations,close,far,direct,antonym,concept swap,Close means that,Far means that,the distance between the objects is fairly small.,the distance between the objects is fairly large.,Target1,Target2,3,16,3,14,8,49,8,49,10,,,
word_to_definition__ctx_0__def_1_mod_2_adj_1,1.0,word_to_definition,def_1_mod_2_adj_1,ctx_0,short,def_1,mod_2,fairly,adj_1,short,long,,spatial-relations,close,far,direct,antonym,concept swap,Close means that,Far means that,the distance between the objects is fairly short.,the distance between the objects is fairly long.,Target1,Target2,3,16,3,14,8,49,8,48,11,,,
word_to_definition__ctx_0__def_2_mod_0_adj_0,1.0,word_to_definition,def_2_mod_0_adj_0,ctx_0,short,def_2,mod_0,relatively,adj_0,small,large,,spatial-relations,close,far,direct,antonym,concept swap,Close means that,Far means that,the objects are separated by a relatively small distance.,the objects are separated by a relatively large distance.,Target1,Target2,3,16,3,14,9,57,9,57,12,,,
word_to_definition__ctx_0__def_2_mod_0_adj_1,1.0,word_to_definition,def_2_mod_0_adj_1,ctx_0,short,def_2,mod_0,relatively,adj_1,short,long,,spatial-relations,close,far,direct,antonym,concept swap,Close means that,Far means that,the objects are separated by a relatively short distance.,the objects are separated by a relatively long distance.,Target1,Target2,3,16,3,14,9,57,9,56,13,,,
word_to_definition__ctx_0__def_2_mod_1_adj_0,1.0,word_to_definition,def_2_mod_1_adj_0,ctx_0,short,def_2,mod_1,comparatively,adj_0,small,large,,spatial-relations,close,far,direct,antonym,concept swap,Close means that,Far means that,the objects are separated by a comparatively small distance.,the objects are separated by a comparatively large distance.,Target1,Target2,3,16,3,14,9,60,9,60,14,,,
word_to_definition__ctx_0__def_2_mod_1_adj_1,1.0,word_to_definition,def_2_mod_1_adj_1,ctx_0,short,def_2,mod_1,comparatively,adj_1,short,long,,spatial-relations,close,far,direct,antonym,concept swap,Close means that,Far means that,the objects are separated by a comparatively short distance.,the objects are separated by a comparatively long distance.,Target1,Target2,3,16,3,14,9,60,9,59,15,,,
word_to_definition__ctx_0__def_2_mod_2_adj_0,1.0,word_to_definition,def_2_mod_2_adj_0,ctx_0,short,def_2,mod_2,fairly,adj_0,small,large,,spatial-relations,close,far,direct,antonym,concept swap,Close means that,Far means that,the objects are separated by a fairly small distance.,the objects are separated by a fairly large distance.,Target1,Target2,3,16,3,14,9,53,9,53,16,,,
word_to_definition__ctx_0__def_2_mod_2_adj_1,1.0,word_to_definition,def_2_mod_2_adj_1,ctx_0,short,def_2,mod_2,fairly,adj_1,short,long,,spatial-relations,close,far,direct,antonym,concept swap,Close means that,Far means that,the objects are separated by a fairly short distance.,the objects are separated by a fairly long distance.,Target1,Target2,3,16,3,14,9,53,9,52,17,,,
word_to_definition__ctx_1__def_0_mod_0_adj_0,1.0,word_to_definition,def_0_mod_0_adj_0,ctx_1,medium,def_0,mod_0,relatively,adj_0,small,large,,spatial-relations,close,far,direct,antonym,concept swap,"In physical space, 'close' means that","In physical space, 'far' means that",the distance is relatively small.,the distance is relatively large.,Target1,Target2,6,37,6,35,5,33,5,33,18,,,
word_to_definition__ctx_1__def_0_mod_0_adj_1,1.0,word_to_definition,def_0_mod_0_adj_1,ctx_1,medium,def_0,mod_0,relatively,adj_1,short,long,,spatial-relations,close,far,direct,antonym,concept swap,"In physical space, 'close' means that","In physical space, 'far' means that",the distance is relatively short.,the distance is relatively long.,Target1,Target2,6,37,6,35,5,33,5,32,19,,,
word_to_definition__ctx_1__def_0_mod_1_adj_0,1.0,word_to_definition,def_0_mod_1_adj_0,ctx_1,medium,def_0,mod_1,comparatively,adj_0,small,large,,spatial-relations,close,far,direct,antonym,concept swap,"In physical space, 'close' means that","In physical space, 'far' means that",the distance is comparatively small.,the distance is comparatively large.,Target1,Target2,6,37,6,35,5,36,5,36,20,,,
word_to_definition__ctx_1__def_0_mod_1_adj_1,1.0,word_to_definition,def_0_mod_1_adj_1,ctx_1,medium,def_0,mod_1,comparatively,adj_1,short,long,,spatial-relations,close,far,direct,antonym,concept swap,"In physical space, 'close' means that","In physical space, 'far' means that",the distance is comparatively short.,the distance is comparatively long.,Target1,Target2,6,37,6,35,5,36,5,35,21,,,
word_to_definition__ctx_1__def_0_mod_2_adj_0,1.0,word_to_definition,def_0_mod_2_adj_0,ctx_1,medium,def_0,mod_2,fairly,adj_0,small,large,,spatial-relations,close,far,direct,antonym,concept swap,"In physical space, 'close' means that","In physical space, 'far' means that",the distance is fairly small.,the distance is fairly large.,Target1,Target2,6,37,6,35,5,29,5,29,22,,,
word_to_definition__ctx_1__def_0_mod_2_adj_1,1.0,word_to_definition,def_0_mod_2_adj_1,ctx_1,medium,def_0,mod_2,fairly,adj_1,short,long,,spatial-relations,close,far,direct,antonym,concept swap,"In physical space, 'close' means that","In physical space, 'far' means that",the distance is fairly short.,the distance is fairly long.,Target1,Target2,6,37,6,35,5,29,5,28,23,,,
word_to_definition__ctx_1__def_1_mod_0_adj_0,1.0,word_to_definition,def_1_mod_0_adj_0,ctx_1,medium,def_1,mod_0,relatively,adj_0,small,large,,spatial-relations,close,far,direct,antonym,concept swap,"In physical space, 'close' means that","In physical space, 'far' means that",the distance between the objects is relatively small.,the distance between the objects is relatively large.,Target1,Target2,6,37,6,35,8,53,8,53,24,,,
word_to_definition__ctx_1__def_1_mod_0_adj_1,1.0,word_to_definition,def_1_mod_0_adj_1,ctx_1,medium,def_1,mod_0,relatively,adj_1,short,long,,spatial-relations,close,far,direct,antonym,concept swap,"In physical space, 'close' means that","In physical space, 'far' means that",the distance between the objects is relatively short.,the distance between the objects is relatively long.,Target1,Target2,6,37,6,35,8,53,8,52,25,,,
word_to_definition__ctx_1__def_1_mod_1_adj_0,1.0,word_to_definition,def_1_mod_1_adj_0,ctx_1,medium,def_1,mod_1,comparatively,adj_0,small,large,,spatial-relations,close,far,direct,antonym,concept swap,"In physical space, 'close' means that","In physical space, 'far' means that",the distance between the objects is comparatively small.,the distance between the objects is comparatively large.,Target1,Target2,6,37,6,35,8,56,8,56,26,,,
word_to_definition__ctx_1__def_1_mod_1_adj_1,1.0,word_to_definition,def_1_mod_1_adj_1,ctx_1,medium,def_1,mod_1,comparatively,adj_1,short,long,,spatial-relations,close,far,direct,antonym,concept swap,"In physical space, 'close' means that","In physical space, 'far' means that",the distance between the objects is comparatively short.,the distance between the objects is comparatively long.,Target1,Target2,6,37,6,35,8,56,8,55,27,,,
word_to_definition__ctx_1__def_1_mod_2_adj_0,1.0,word_to_definition,def_1_mod_2_adj_0,ctx_1,medium,def_1,mod_2,fairly,adj_0,small,large,,spatial-relations,close,far,direct,antonym,concept swap,"In physical space, 'close' means that","In physical space, 'far' means that",the distance between the objects is fairly small.,the distance between the objects is fairly large.,Target1,Target2,6,37,6,35,8,49,8,49,28,,,
word_to_definition__ctx_1__def_1_mod_2_adj_1,1.0,word_to_definition,def_1_mod_2_adj_1,ctx_1,medium,def_1,mod_2,fairly,adj_1,short,long,,spatial-relations,close,far,direct,antonym,concept swap,"In physical space, 'close' means that","In physical space, 'far' means that",the distance between the objects is fairly short.,the distance between the objects is fairly long.,Target1,Target2,6,37,6,35,8,49,8,48,29,,,
word_to_definition__ctx_1__def_2_mod_0_adj_0,1.0,word_to_definition,def_2_mod_0_adj_0,ctx_1,medium,def_2,mod_0,relatively,adj_0,small,large,,spatial-relations,close,far,direct,antonym,concept swap,"In physical space, 'close' means that","In physical space, 'far' means that",the objects are separated by a relatively small distance.,the objects are separated by a relatively large distance.,Target1,Target2,6,37,6,35,9,57,9,57,30,,,
word_to_definition__ctx_1__def_2_mod_0_adj_1,1.0,word_to_definition,def_2_mod_0_adj_1,ctx_1,medium,def_2,mod_0,relatively,adj_1,short,long,,spatial-relations,close,far,direct,antonym,concept swap,"In physical space, 'close' means that","In physical space, 'far' means that",the objects are separated by a relatively short distance.,the objects are separated by a relatively long distance.,Target1,Target2,6,37,6,35,9,57,9,56,31,,,
word_to_definition__ctx_1__def_2_mod_1_adj_0,1.0,word_to_definition,def_2_mod_1_adj_0,ctx_1,medium,def_2,mod_1,comparatively,adj_0,small,large,,spatial-relations,close,far,direct,antonym,concept swap,"In physical space, 'close' means that","In physical space, 'far' means that",the objects are separated by a comparatively small distance.,the objects are separated by a comparatively large distance.,Target1,Target2,6,37,6,35,9,60,9,60,32,,,
word_to_definition__ctx_1__def_2_mod_1_adj_1,1.0,word_to_definition,def_2_mod_1_adj_1,ctx_1,medium,def_2,mod_1,comparatively,adj_1,short,long,,spatial-relations,close,far,direct,antonym,concept swap,"In physical space, 'close' means that","In physical space, 'far' means that",the objects are separated by a comparatively short distance.,the objects are separated by a comparatively long distance.,Target1,Target2,6,37,6,35,9,60,9,59,33,,,
word_to_definition__ctx_1__def_2_mod_2_adj_0,1.0,word_to_definition,def_2_mod_2_adj_0,ctx_1,medium,def_2,mod_2,fairly,adj_0,small,large,,spatial-relations,close,far,direct,antonym,concept swap,"In physical space, 'close' means that","In physical space, 'far' means that",the objects are separated by a fairly small distance.,the objects are separated by a fairly large distance.,Target1,Target2,6,37,6,35,9,53,9,53,34,,,
word_to_definition__ctx_1__def_2_mod_2_adj_1,1.0,word_to_definition,def_2_mod_2_adj_1,ctx_1,medium,def_2,mod_2,fairly,adj_1,short,long,,spatial-relations,close,far,direct,antonym,concept swap,"In physical space, 'close' means that","In physical space, 'far' means that",the objects are separated by a fairly short distance.,the objects are separated by a fairly long distance.,Target1,Target2,6,37,6,35,9,53,9,52,35,,,
word_to_definition__ctx_2__def_0_mod_0_adj_0,1.0,word_to_definition,def_0_mod_0_adj_0,ctx_2,long,def_0,mod_0,relatively,adj_0,small,large,,spatial-relations,close,far,direct,antonym,concept swap,"When two objects are described as close to each other, this means that","When two objects are described as far from each other, this means that",the distance is relatively small.,the distance is relatively large.,Target1,Target2,13,70,13,70,5,33,5,33,36,,,
word_to_definition__ctx_2__def_0_mod_0_adj_1,1.0,word_to_definition,def_0_mod_0_adj_1,ctx_2,long,def_0,mod_0,relatively,adj_1,short,long,,spatial-relations,close,far,direct,antonym,concept swap,"When two objects are described as close to each other, this means that","When two objects are described as far from each other, this means that",the distance is relatively short.,the distance is relatively long.,Target1,Target2,13,70,13,70,5,33,5,32,37,,,
word_to_definition__ctx_2__def_0_mod_1_adj_0,1.0,word_to_definition,def_0_mod_1_adj_0,ctx_2,long,def_0,mod_1,comparatively,adj_0,small,large,,spatial-relations,close,far,direct,antonym,concept swap,"When two objects are described as close to each other, this means that","When two objects are described as far from each other, this means that",the distance is comparatively small.,the distance is comparatively large.,Target1,Target2,13,70,13,70,5,36,5,36,38,,,
word_to_definition__ctx_2__def_0_mod_1_adj_1,1.0,word_to_definition,def_0_mod_1_adj_1,ctx_2,long,def_0,mod_1,comparatively,adj_1,short,long,,spatial-relations,close,far,direct,antonym,concept swap,"When two objects are described as close to each other, this means that","When two objects are described as far from each other, this means that",the distance is comparatively short.,the distance is comparatively long.,Target1,Target2,13,70,13,70,5,36,5,35,39,,,
word_to_definition__ctx_2__def_0_mod_2_adj_0,1.0,word_to_definition,def_0_mod_2_adj_0,ctx_2,long,def_0,mod_2,fairly,adj_0,small,large,,spatial-relations,close,far,direct,antonym,concept swap,"When two objects are described as close to each other, this means that","When two objects are described as far from each other, this means that",the distance is fairly small.,the distance is fairly large.,Target1,Target2,13,70,13,70,5,29,5,29,40,,,
word_to_definition__ctx_2__def_0_mod_2_adj_1,1.0,word_to_definition,def_0_mod_2_adj_1,ctx_2,long,def_0,mod_2,fairly,adj_1,short,long,,spatial-relations,close,far,direct,antonym,concept swap,"When two objects are described as close to each other, this means that","When two objects are described as far from each other, this means that",the distance is fairly short.,the distance is fairly long.,Target1,Target2,13,70,13,70,5,29,5,28,41,,,
word_to_definition__ctx_2__def_1_mod_0_adj_0,1.0,word_to_definition,def_1_mod_0_adj_0,ctx_2,long,def_1,mod_0,relatively,adj_0,small,large,,spatial-relations,close,far,direct,antonym,concept swap,"When two objects are described as close to each other, this means that","When two objects are described as far from each other, this means that",the distance between the objects is relatively small.,the distance between the objects is relatively large.,Target1,Target2,13,70,13,70,8,53,8,53,42,,,
word_to_definition__ctx_2__def_1_mod_0_adj_1,1.0,word_to_definition,def_1_mod_0_adj_1,ctx_2,long,def_1,mod_0,relatively,adj_1,short,long,,spatial-relations,close,far,direct,antonym,concept swap,"When two objects are described as close to each other, this means that","When two objects are described as far from each other, this means that",the distance between the objects is relatively short.,the distance between the objects is relatively long.,Target1,Target2,13,70,13,70,8,53,8,52,43,,,
word_to_definition__ctx_2__def_1_mod_1_adj_0,1.0,word_to_definition,def_1_mod_1_adj_0,ctx_2,long,def_1,mod_1,comparatively,adj_0,small,large,,spatial-relations,close,far,direct,antonym,concept swap,"When two objects are described as close to each other, this means that","When two objects are described as far from each other, this means that",the distance between the objects is comparatively small.,the distance between the objects is comparatively large.,Target1,Target2,13,70,13,70,8,56,8,56,44,,,
word_to_definition__ctx_2__def_1_mod_1_adj_1,1.0,word_to_definition,def_1_mod_1_adj_1,ctx_2,long,def_1,mod_1,comparatively,adj_1,short,long,,spatial-relations,close,far,direct,antonym,concept swap,"When two objects are described as close to each other, this means that","When two objects are described as far from each other, this means that",the distance between the objects is comparatively short.,the distance between the objects is comparatively long.,Target1,Target2,13,70,13,70,8,56,8,55,45,,,
word_to_definition__ctx_2__def_1_mod_2_adj_0,1.0,word_to_definition,def_1_mod_2_adj_0,ctx_2,long,def_1,mod_2,fairly,adj_0,small,large,,spatial-relations,close,far,direct,antonym,concept swap,"When two objects are described as close to each other, this means that","When two objects are described as far from each other, this means that",the distance between the objects is fairly small.,the distance between the objects is fairly large.,Target1,Target2,13,70,13,70,8,49,8,49,46,,,
word_to_definition__ctx_2__def_1_mod_2_adj_1,1.0,word_to_definition,def_1_mod_2_adj_1,ctx_2,long,def_1,mod_2,fairly,adj_1,short,long,,spatial-relations,close,far,direct,antonym,concept swap,"When two objects are described as close to each other, this means that","When two objects are described as far from each other, this means that",the distance between the objects is fairly short.,the distance between the objects is fairly long.,Target1,Target2,13,70,13,70,8,49,8,48,47,,,
word_to_definition__ctx_2__def_2_mod_0_adj_0,1.0,word_to_definition,def_2_mod_0_adj_0,ctx_2,long,def_2,mod_0,relatively,adj_0,small,large,,spatial-relations,close,far,direct,antonym,concept swap,"When two objects are described as close to each other, this means that","When two objects are described as far from each other, this means that",the objects are separated by a relatively small distance.,the objects are separated by a relatively large distance.,Target1,Target2,13,70,13,70,9,57,9,57,48,,,
word_to_definition__ctx_2__def_2_mod_0_adj_1,1.0,word_to_definition,def_2_mod_0_adj_1,ctx_2,long,def_2,mod_0,relatively,adj_1,short,long,,spatial-relations,close,far,direct,antonym,concept swap,"When two objects are described as close to each other, this means that","When two objects are described as far from each other, this means that",the objects are separated by a relatively short distance.,the objects are separated by a relatively long distance.,Target1,Target2,13,70,13,70,9,57,9,56,49,,,
word_to_definition__ctx_2__def_2_mod_1_adj_0,1.0,word_to_definition,def_2_mod_1_adj_0,ctx_2,long,def_2,mod_1,comparatively,adj_0,small,large,,spatial-relations,close,far,direct,antonym,concept swap,"When two objects are described as close to each other, this means that","When two objects are described as far from each other, this means that",the objects are separated by a comparatively small distance.,the objects are separated by a comparatively large distance.,Target1,Target2,13,70,13,70,9,60,9,60,50,,,
word_to_definition__ctx_2__def_2_mod_1_adj_1,1.0,word_to_definition,def_2_mod_1_adj_1,ctx_2,long,def_2,mod_1,comparatively,adj_1,short,long,,spatial-relations,close,far,direct,antonym,concept swap,"When two objects are described as close to each other, this means that","When two objects are described as far from each other, this means that",the objects are separated by a comparatively short distance.,the objects are separated by a comparatively long distance.,Target1,Target2,13,70,13,70,9,60,9,59,51,,,
word_to_definition__ctx_2__def_2_mod_2_adj_0,1.0,word_to_definition,def_2_mod_2_adj_0,ctx_2,long,def_2,mod_2,fairly,adj_0,small,large,,spatial-relations,close,far,direct,antonym,concept swap,"When two objects are described as close to each other, this means that","When two objects are described as far from each other, this means that",the objects are separated by a fairly small distance.,the objects are separated by a fairly large distance.,Target1,Target2,13,70,13,70,9,53,9,53,52,,,
word_to_definition__ctx_2__def_2_mod_2_adj_1,1.0,word_to_definition,def_2_mod_2_adj_1,ctx_2,long,def_2,mod_2,fairly,adj_1,short,long,,spatial-relations,close,far,direct,antonym,concept swap,"When two objects are described as close to each other, this means that","When two objects are described as far from each other, this means that",the objects are separated by a fairly short distance.,the objects are separated by a fairly long distance.,Target1,Target2,13,70,13,70,9,53,9,52,53,,,
definition_to_word__label_0__def_0_mod_0_adj_0,1.0,definition_to_word,def_0_mod_0_adj_0,,,def_0,mod_0,relatively,adj_0,small,large,label_0,spatial-relations,close,far,direct,antonym,concept swap,The distance is relatively small.,The distance is relatively large.,The objects are close.,The objects are far.,Target1,Target2,5,33,5,33,4,22,4,20,54,,,
definition_to_word__label_0__def_0_mod_0_adj_1,1.0,definition_to_word,def_0_mod_0_adj_1,,,def_0,mod_0,relatively,adj_1,short,long,label_0,spatial-relations,close,far,direct,antonym,concept swap,The distance is relatively short.,The distance is relatively long.,The objects are close.,The objects are far.,Target1,Target2,5,33,5,32,4,22,4,20,55,,,
definition_to_word__label_0__def_0_mod_1_adj_0,1.0,definition_to_word,def_0_mod_1_adj_0,,,def_0,mod_1,comparatively,adj_0,small,large,label_0,spatial-relations,close,far,direct,antonym,concept swap,The distance is comparatively small.,The distance is comparatively large.,The objects are close.,The objects are far.,Target1,Target2,5,36,5,36,4,22,4,20,56,,,
definition_to_word__label_0__def_0_mod_1_adj_1,1.0,definition_to_word,def_0_mod_1_adj_1,,,def_0,mod_1,comparatively,adj_1,short,long,label_0,spatial-relations,close,far,direct,antonym,concept swap,The distance is comparatively short.,The distance is comparatively long.,The objects are close.,The objects are far.,Target1,Target2,5,36,5,35,4,22,4,20,57,,,
definition_to_word__label_0__def_0_mod_2_adj_0,1.0,definition_to_word,def_0_mod_2_adj_0,,,def_0,mod_2,fairly,adj_0,small,large,label_0,spatial-relations,close,far,direct,antonym,concept swap,The distance is fairly small.,The distance is fairly large.,The objects are close.,The objects are far.,Target1,Target2,5,29,5,29,4,22,4,20,58,,,
definition_to_word__label_0__def_0_mod_2_adj_1,1.0,definition_to_word,def_0_mod_2_adj_1,,,def_0,mod_2,fairly,adj_1,short,long,label_0,spatial-relations,close,far,direct,antonym,concept swap,The distance is fairly short.,The distance is fairly long.,The objects are close.,The objects are far.,Target1,Target2,5,29,5,28,4,22,4,20,59,,,
definition_to_word__label_0__def_1_mod_0_adj_0,1.0,definition_to_word,def_1_mod_0_adj_0,,,def_1,mod_0,relatively,adj_0,small,large,label_0,spatial-relations,close,far,direct,antonym,concept swap,The distance between the objects is relatively small.,The distance between the objects is relatively large.,The objects are close.,The objects are far.,Target1,Target2,8,53,8,53,4,22,4,20,60,,,
definition_to_word__label_0__def_1_mod_0_adj_1,1.0,definition_to_word,def_1_mod_0_adj_1,,,def_1,mod_0,relatively,adj_1,short,long,label_0,spatial-relations,close,far,direct,antonym,concept swap,The distance between the objects is relatively short.,The distance between the objects is relatively long.,The objects are close.,The objects are far.,Target1,Target2,8,53,8,52,4,22,4,20,61,,,
definition_to_word__label_0__def_1_mod_1_adj_0,1.0,definition_to_word,def_1_mod_1_adj_0,,,def_1,mod_1,comparatively,adj_0,small,large,label_0,spatial-relations,close,far,direct,antonym,concept swap,The distance between the objects is comparatively small.,The distance between the objects is comparatively large.,The objects are close.,The objects are far.,Target1,Target2,8,56,8,56,4,22,4,20,62,,,
definition_to_word__label_0__def_1_mod_1_adj_1,1.0,definition_to_word,def_1_mod_1_adj_1,,,def_1,mod_1,comparatively,adj_1,short,long,label_0,spatial-relations,close,far,direct,antonym,concept swap,The distance between the objects is comparatively short.,The distance between the objects is comparatively long.,The objects are close.,The objects are far.,Target1,Target2,8,56,8,55,4,22,4,20,63,,,
definition_to_word__label_0__def_1_mod_2_adj_0,1.0,definition_to_word,def_1_mod_2_adj_0,,,def_1,mod_2,fairly,adj_0,small,large,label_0,spatial-relations,close,far,direct,antonym,concept swap,The distance between the objects is fairly small.,The distance between the objects is fairly large.,The objects are close.,The objects are far.,Target1,Target2,8,49,8,49,4,22,4,20,64,,,
definition_to_word__label_0__def_1_mod_2_adj_1,1.0,definition_to_word,def_1_mod_2_adj_1,,,def_1,mod_2,fairly,adj_1,short,long,label_0,spatial-relations,close,far,direct,antonym,concept swap,The distance between the objects is fairly short.,The distance between the objects is fairly long.,The objects are close.,The objects are far.,Target1,Target2,8,49,8,48,4,22,4,20,65,,,
definition_to_word__label_0__def_2_mod_0_adj_0,1.0,definition_to_word,def_2_mod_0_adj_0,,,def_2,mod_0,relatively,adj_0,small,large,label_0,spatial-relations,close,far,direct,antonym,concept swap,The objects are separated by a relatively small distance.,The objects are separated by a relatively large distance.,The objects are close.,The objects are far.,Target1,Target2,9,57,9,57,4,22,4,20,66,,,
definition_to_word__label_0__def_2_mod_0_adj_1,1.0,definition_to_word,def_2_mod_0_adj_1,,,def_2,mod_0,relatively,adj_1,short,long,label_0,spatial-relations,close,far,direct,antonym,concept swap,The objects are separated by a relatively short distance.,The objects are separated by a relatively long distance.,The objects are close.,The objects are far.,Target1,Target2,9,57,9,56,4,22,4,20,67,,,
definition_to_word__label_0__def_2_mod_1_adj_0,1.0,definition_to_word,def_2_mod_1_adj_0,,,def_2,mod_1,comparatively,adj_0,small,large,label_0,spatial-relations,close,far,direct,antonym,concept swap,The objects are separated by a comparatively small distance.,The objects are separated by a comparatively large distance.,The objects are close.,The objects are far.,Target1,Target2,9,60,9,60,4,22,4,20,68,,,
definition_to_word__label_0__def_2_mod_1_adj_1,1.0,definition_to_word,def_2_mod_1_adj_1,,,def_2,mod_1,comparatively,adj_1,short,long,label_0,spatial-relations,close,far,direct,antonym,concept swap,The objects are separated by a comparatively short distance.,The objects are separated by a comparatively long distance.,The objects are close.,The objects are far.,Target1,Target2,9,60,9,59,4,22,4,20,69,,,
definition_to_word__label_0__def_2_mod_2_adj_0,1.0,definition_to_word,def_2_mod_2_adj_0,,,def_2,mod_2,fairly,adj_0,small,large,label_0,spatial-relations,close,far,direct,antonym,concept swap,The objects are separated by a fairly small distance.,The objects are separated by a fairly large distance.,The objects are close.,The objects are far.,Target1,Target2,9,53,9,53,4,22,4,20,70,,,
definition_to_word__label_0__def_2_mod_2_adj_1,1.0,definition_to_word,def_2_mod_2_adj_1,,,def_2,mod_2,fairly,adj_1,short,long,label_0,spatial-relations,close,far,direct,antonym,concept swap,The objects are separated by a fairly short distance.,The objects are separated by a fairly long distance.,The objects are close.,The objects are far.,Target1,Target2,9,53,9,52,4,22,4,20,71,,,
definition_to_word__name_0__def_0_mod_0_adj_0,1.1,definition_to_word,def_0_mod_0_adj_0,,compact,def_0,mod_0,relatively,adj_0,small,large,label_word_0,spatial-relations,close,far,direct,antonym,concept swap,A relatively small distance is described by the word,A relatively large distance is described by the word,close.,far.,Target1,Target2,9,52,9,52,1,6,1,4,72,explicit_naming,name_0,definition_to_word__label_0__def_0_mod_0_adj_0
definition_to_word__name_0__def_0_mod_0_adj_1,1.1,definition_to_word,def_0_mod_0_adj_1,,compact,def_0,mod_0,relatively,adj_1,short,long,label_word_0,spatial-relations,close,far,direct,antonym,concept swap,A relatively short distance is described by the word,A relatively long distance is described by the word,close.,far.,Target1,Target2,9,52,9,51,1,6,1,4,73,explicit_naming,name_0,definition_to_word__label_0__def_0_mod_0_adj_1
