probe_id,probe_version,probe_family,axis,case_id,scene_cluster_id,event_family,event_subtype,evidence_format,length_band,reference_frame,geometry_precision,initial_relation_explicit,final_relation_explicit,movement_verb,preposition,persistence_cue,requires_implicit_persistence,answer_bridge,Target1,Target2,target1_relation_word,target2_relation_word,Context1,context1_initial_relation,context1_gold_relation,context1_order_reversed,correct_target_for_context1,context1_target_start,context1_target_end,context1_reference_start,context1_reference_end,Context2,context2_initial_relation,context2_gold_relation,context2_order_reversed,correct_target_for_context2,context2_target_start,context2_target_end,context2_reference_start,context2_reference_end,Context1_word_count,Context2_word_count,Target1_word_count,Target2_word_count
north_south__reference_crosses__heads__to__implicit,1.0,event,north_south,reference_crosses,north_south__reference_crosses,reference_crosses,reference_crosses,direct_initial_relation,minimal,absolute_cardinal,representative_ordinal,True,False,heads,to,implicit,True,Final positions:,A is north of B.,A is south of B.,north,south,A is south of B. B heads straight to A and continues past A. Final positions:,south,north,True,Target1,-2,-2,0,-4,A is north of B. B heads straight to A and continues past A. Final positions:,north,south,True,Target2,2,2,0,4,16,16,5,5
north_south__reference_crosses__moves__toward__explicit,1.0,event,north_south,reference_crosses,north_south__reference_crosses,reference_crosses,reference_crosses,direct_initial_relation,minimal,absolute_cardinal,representative_ordinal,True,False,moves,toward,explicit,False,Final positions:,A is north of B.,A is south of B.,north,south,A is south of B. B moves straight toward A and continues past A. A stays still. Final positions:,south,north,True,Target1,-2,-2,0,-4,A is north of B. B moves straight toward A and continues past A. A stays still. Final positions:,north,south,True,Target2,2,2,0,4,19,19,5,5
north_south__toward_without_crossing__moves__toward__implicit,1.0,event,north_south,toward_without_crossing,north_south__toward_without_crossing,target_moves_without_crossing,toward_without_crossing,direct_initial_relation,minimal,absolute_cardinal,representative_ordinal,True,False,moves,toward,implicit,True,Final positions:,A is north of B.,A is south of B.,north,south,A is south of B. A moves toward B but stops before reaching B. Final positions:,south,south,False,Target2,-2,-1,0,0,A is north of B. A moves toward B but stops before reaching B. Final positions:,north,north,False,Target1,2,1,0,0,16,16,5,5
north_south__toward_without_crossing__heads__toward__implicit,1.0,event,north_south,toward_without_crossing,north_south__toward_without_crossing,target_moves_without_crossing,toward_without_crossing,direct_initial_relation,minimal,absolute_cardinal,representative_ordinal,True,False,heads,toward,implicit,True,Final positions:,A is north of B.,A is south of B.,north,south,A is south of B. A heads toward B but stops before reaching B. Final positions:,south,south,False,Target2,-2,-1,0,0,A is north of B. A heads toward B but stops before reaching B. Final positions:,north,north,False,Target1,2,1,0,0,16,16,5,5
north_south__toward_without_crossing__moves__toward__explicit,1.0,event,north_south,toward_without_crossing,north_south__toward_without_crossing,target_moves_without_crossing,toward_without_crossing,direct_initial_relation,minimal,absolute_cardinal,representative_ordinal,True,False,moves,toward,explicit,False,Final positions:,A is north of B.,A is south of B.,north,south,A is south of B. A moves toward B but stops before reaching B. B stays still. Final positions:,south,south,False,Target2,-2,-1,0,0,A is north of B. A moves toward B but stops before reaching B. B stays still. Final positions:,north,north,False,Target1,2,1,0,0,19,19,5,5
north_south__away__moves__not_applicable__implicit,1.0,event,north_south,away,north_south__away,target_moves_without_crossing,away,direct_initial_relation,minimal,absolute_cardinal,representative_ordinal,True,False,moves,not_applicable,implicit,True,Final positions:,A is north of B.,A is south of B.,north,south,A is south of B. A moves farther south. Final positions:,south,south,False,Target2,-2,-3,0,0,A is north of B. A moves farther north. Final positions:,north,north,False,Target1,2,3,0,0,11,11,5,5
north_south__away__heads__not_applicable__implicit,1.0,event,north_south,away,north_south__away,target_moves_without_crossing,away,direct_initial_relation,minimal,absolute_cardinal,representative_ordinal,True,False,heads,not_applicable,implicit,True,Final positions:,A is north of B.,A is south of B.,north,south,A is south of B. A heads farther south. Final positions:,south,south,False,Target2,-2,-3,0,0,A is north of B. A heads farther north. Final positions:,north,north,False,Target1,2,3,0,0,11,11,5,5
north_south__away__moves__not_applicable__explicit,1.0,event,north_south,away,north_south__away,target_moves_without_crossing,away,direct_initial_relation,minimal,absolute_cardinal,representative_ordinal,True,False,moves,not_applicable,explicit,False,Final positions:,A is north of B.,A is south of B.,north,south,A is south of B. A moves farther south. B stays still. Final positions:,south,south,False,Target2,-2,-3,0,0,A is north of B. A moves farther north. B stays still. Final positions:,north,north,False,Target1,2,3,0,0,14,14,5,5
north_south__both_equal__moves__not_applicable__not_applicable,1.0,event,north_south,both_equal,north_south__both_equal,both_move,both_equal,direct_initial_relation,minimal,absolute_cardinal,representative_ordinal,True,False,moves,not_applicable,not_applicable,False,Final positions:,A is north of B.,A is south of B.,north,south,A is south of B. Both move north for the same distance. Final positions:,south,south,False,Target2,-2,-1,0,1,A is north of B. Both move south for the same distance. Final positions:,north,north,False,Target1,2,1,0,-1,14,14,5,5
north_south__both_equal__heads__not_applicable__not_applicable,1.0,event,north_south,both_equal,north_south__both_equal,both_move,both_equal,direct_initial_relation,minimal,absolute_cardinal,representative_ordinal,True,False,heads,not_applicable,not_applicable,False,Final positions:,A is north of B.,A is south of B.,north,south,A is south of B. Both head north for the same distance. Final positions:,south,south,False,Target2,-2,-1,0,1,A is north of B. Both head south for the same distance. Final positions:,north,north,False,Target1,2,1,0,-1,14,14,5,5
north_south__swap__not_applicable__not_applicable__not_applicable,1.0,event,north_south,swap,north_south__swap,both_move,swap,direct_initial_relation,minimal,absolute_cardinal,representative_ordinal,True,False,not_applicable,not_applicable,not_applicable,False,Final positions:,A is north of B.,A is south of B.,north,south,A is south of B. A and B swap positions. Final positions:,south,north,True,Target1,-2,0,0,-2,A is north of B. A and B swap positions. Final positions:,north,south,True,Target2,2,0,0,2,12,12,5,5
north_south__observer_turn__not_applicable__not_applicable__implicit,1.0,observer_turn,north_south,observer_turn,north_south__observer_turn,observer_turn,observer_turn,direct_initial_relation,minimal,absolute_cardinal,representative_ordinal,True,False,not_applicable,not_applicable,implicit,True,Final positions:,A is north of B.,A is south of B.,north,south,A is south of B. B turns around without moving. Final positions:,south,south,False,Target2,-2,-2,0,0,A is north of B. B turns around without moving. Final positions:,north,north,False,Target1,2,2,0,0,12,12,5,5
north_south__observer_turn__not_applicable__not_applicable__explicit,1.0,observer_turn,north_south,observer_turn,north_south__observer_turn,observer_turn,observer_turn,direct_initial_relation,minimal,absolute_cardinal,representative_ordinal,True,False,not_applicable,not_applicable,explicit,False,Final positions:,A is north of B.,A is south of B.,north,south,A is south of B. B turns around without moving. A stays still. Final positions:,south,south,False,Target2,-2,-2,0,0,A is north of B. B turns around without moving. A stays still. Final positions:,north,north,False,Target1,2,2,0,0,15,15,5,5
east_west__static__not_applicable__not_applicable__implicit,1.0,control,east_west,static,east_west__static,static_placement,static,direct_initial_relation,minimal,absolute_cardinal,representative_ordinal,True,True,not_applicable,not_applicable,implicit,True,Final positions:,A is east of B.,A is west of B.,east,west,A is west of B. Final positions:,west,west,False,Target2,-2,-2,0,0,A is east of B. Final positions:,east,east,False,Target1,2,2,0,0,7,7,5,5
east_west__static__not_applicable__not_applicable__explicit,1.0,control,east_west,static,east_west__static,static_placement,static,direct_initial_relation,minimal,absolute_cardinal,representative_ordinal,True,True,not_applicable,not_applicable,explicit,False,Final positions:,A is east of B.,A is west of B.,east,west,A is west of B. Neither moves. Final positions:,west,west,False,Target2,-2,-2,0,0,A is east of B. Neither moves. Final positions:,east,east,False,Target1,2,2,0,0,9,9,5,5
east_west__target_crosses__moves__toward__implicit,1.0,event,east_west,target_crosses,east_west__target_crosses,target_crosses,target_crosses,direct_initial_relation,minimal,absolute_cardinal,representative_ordinal,True,False,moves,toward,implicit,True,Final positions:,A is east of B.,A is west of B.,east,west,A is west of B. A moves straight toward B and continues past B. Final positions:,west,east,True,Target1,-2,2,0,0,A is east of B. A moves straight toward B and continues past B. Final positions:,east,west,True,Target2,2,-2,0,0,16,16,5,5
east_west__target_crosses__moves__to__implicit,1.0,event,east_west,target_crosses,east_west__target_crosses,target_crosses,target_crosses,direct_initial_relation,minimal,absolute_cardinal,representative_ordinal,True,False,moves,to,implicit,True,Final positions:,A is east of B.,A is west of B.,east,west,A is west of B. A moves straight to B and continues past B. Final positions:,west,east,True,Target1,-2,2,0,0,A is east of B. A moves straight to B and continues past B. Final positions:,east,west,True,Target2,2,-2,0,0,16,16,5,5
east_west__target_crosses__heads__toward__implicit,1.0,event,east_west,target_crosses,east_west__target_crosses,target_crosses,target_crosses,direct_initial_relation,minimal,absolute_cardinal,representative_ordinal,True,False,heads,toward,implicit,True,Final positions:,A is east of B.,A is west of B.,east,west,A is west of B. A heads straight toward B and continues past B. Final positions:,west,east,True,Target1,-2,2,0,0,A is east of B. A heads straight toward B and continues past B. Final positions:,east,west,True,Target2,2,-2,0,0,16,16,5,5
east_west__target_crosses__heads__to__implicit,1.0,event,east_west,target_crosses,east_west__target_crosses,target_crosses,target_crosses,direct_initial_relation,minimal,absolute_cardinal,representative_ordinal,True,False,heads,to,implicit,True,Final positions:,A is east of B.,A is west of B.,east,west,A is west of B. A heads straight to B and continues past B. Final positions:,west,east,True,Target1,-2,2,0,0,A is east of B. A heads straight to B and continues past B. Final positions:,east,west,True,Target2,2,-2,0,0,16,16,5,5
east_west__target_crosses__moves__toward__explicit,1.0,event,east_west,target_crosses,east_west__target_crosses,target_crosses,target_crosses,direct_initial_relation,minimal,absolute_cardinal,representative_ordinal,True,False,moves,toward,explicit,False,Final positions:,A is east of B.,A is west of B.,east,west,A is west of B. A moves straight toward B and continues past B. B stays still. Final positions:,west,east,True,Target1,-2,2,0,0,A is east of B. A moves straight toward B and continues past B. B stays still. Final positions:,east,west,True,Target2,2,-2,0,0,19,19,5,5
east_west__reference_crosses__moves__toward__implicit,1.0,event,east_west,reference_crosses,east_west__reference_crosses,reference_crosses,reference_crosses,direct_initial_relation,minimal,absolute_cardinal,representative_ordinal,True,False,moves,toward,implicit,True,Final positions:,A is east of B.,A is west of B.,east,west,A is west of B. B moves straight toward A and continues past A. Final positions:,west,east,True,Target1,-2,-2,0,-4,A is east of B. B moves straight toward A and continues past A. Final positions:,east,west,True,Target2,2,2,0,4,16,16,5,5
east_west__reference_crosses__moves__to__implicit,1.0,event,east_west,reference_crosses,east_west__reference_crosses,reference_crosses,reference_crosses,direct_initial_relation,minimal,absolute_cardinal,representative_ordinal,True,False,moves,to,implicit,True,Final positions:,A is east of B.,A is west of B.,east,west,A is west of B. B moves straight to A and continues past A. Final positions:,west,east,True,Target1,-2,-2,0,-4,A is east of B. B moves straight to A and continues past A. Final positions:,east,west,True,Target2,2,2,0,4,16,16,5,5
east_west__reference_crosses__heads__toward__implicit,1.0,event,east_west,reference_crosses,east_west__reference_crosses,reference_crosses,reference_crosses,direct_initial_relation,minimal,absolute_cardinal,representative_ordinal,True,False,heads,toward,implicit,True,Final positions:,A is east of B.,A is west of B.,east,west,A is west of B. B heads straight toward A and continues past A. Final positions:,west,east,True,Target1,-2,-2,0,-4,A is east of B. B heads straight toward A and continues past A. Final positions:,east,west,True,Target2,2,2,0,4,16,16,5,5
east_west__reference_crosses__heads__to__implicit,1.0,event,east_west,reference_crosses,east_west__reference_crosses,reference_crosses,reference_crosses,direct_initial_relation,minimal,absolute_cardinal,representative_ordinal,True,False,heads,to,implicit,True,Final positions:,A is east of B.,A is west of B.,east,west,A is west of B. B heads straight to A and continues past A. Final positions:,west,east,True,Target1,-2,-2,0,-4,A is east of B. B heads straight to A and continues past A. Final positions:,east,west,True,Target2,2,2,0,4,16,16,5,5
east_west__reference_crosses__moves__toward__explicit,1.0,event,east_west,reference_crosses,east_west__reference_crosses,reference_crosses,reference_crosses,direct_initial_relation,minimal,absolute_cardinal,representative_ordinal,True,False,moves,toward,explicit,False,Final positions:,A is east of B.,A is west of B.,east,west,A is west of B. B moves straight toward A and continues past A. A stays still. Final positions:,west,east,True,Target1,-2,-2,0,-4,A is east of B. B moves straight toward A and continues past A. A stays still. Final positions:,east,west,True,Target2,2,2,0,4,19,19,5,5
east_west__toward_without_crossing__moves__toward__implicit,1.0,event,east_west,toward_without_crossing,east_west__toward_without_crossing,target_moves_without_crossing,toward_without_crossing,direct_initial_relation,minimal,absolute_cardinal,representative_ordinal,True,False,moves,toward,implicit,True,Final positions:,A is east of B.,A is west of B.,east,west,A is west of B. A moves toward B but stops before reaching B. Final positions:,west,west,False,Target2,-2,-1,0,0,A is east of B. A moves toward B but stops before reaching B. Final positions:,east,east,False,Target1,2,1,0,0,16,16,5,5
east_west__toward_without_crossing__heads__toward__implicit,1.0,event,east_west,toward_without_crossing,east_west__toward_without_crossing,target_moves_without_crossing,toward_without_crossing,direct_initial_relation,minimal,absolute_cardinal,representative_ordinal,True,False,heads,toward,implicit,True,Final positions:,A is east of B.,A is west of B.,east,west,A is west of B. A heads toward B but stops before reaching B. Final positions:,west,west,False,Target2,-2,-1,0,0,A is east of B. A heads toward B but stops before reaching B. Final positions:,east,east,False,Target1,2,1,0,0,16,16,5,5
east_west__toward_without_crossing__moves__toward__explicit,1.0,event,east_west,toward_without_crossing,east_west__toward_without_crossing,target_moves_without_crossing,toward_without_crossing,direct_initial_relation,minimal,absolute_cardinal,representative_ordinal,True,False,moves,toward,explicit,False,Final positions:,A is east of B.,A is west of B.,east,west,A is west of B. A moves toward B but stops before reaching B. B stays still. Final positions:,west,west,False,Target2,-2,-1,0,0,A is east of B. A moves toward B but stops before reaching B. B stays still. Final positions:,east,east,False,Target1,2,1,0,0,19,19,5,5
east_west__away__moves__not_applicable__implicit,1.0,event,east_west,away,east_west__away,target_moves_without_crossing,away,direct_initial_relation,minimal,absolute_cardinal,representative_ordinal,True,False,moves,not_applicable,implicit,True,Final positions:,A is east of B.,A is west of B.,east,west,A is west of B. A moves farther west. Final positions:,west,west,False,Target2,-2,-3,0,0,A is east of B. A moves farther east. Final positions:,east,east,False,Target1,2,3,0,0,11,11,5,5
east_west__away__heads__not_applicable__implicit,1.0,event,east_west,away,east_west__away,target_moves_without_crossing,away,direct_initial_relation,minimal,absolute_cardinal,representative_ordinal,True,False,heads,not_applicable,implicit,True,Final positions:,A is east of B.,A is west of B.,east,west,A is west of B. A heads farther west. Final positions:,west,west,False,Target2,-2,-3,0,0,A is east of B. A heads farther east. Final positions:,east,east,False,Target1,2,3,0,0,11,11,5,5
east_west__away__moves__not_applicable__explicit,1.0,event,east_west,away,east_west__away,target_moves_without_crossing,away,direct_initial_relation,minimal,absolute_cardinal,representative_ordinal,True,False,moves,not_applicable,explicit,False,Final positions:,A is east of B.,A is west of B.,east,west,A is west of B. A moves farther west. B stays still. Final positions:,west,west,False,Target2,-2,-3,0,0,A is east of B. A moves farther east. B stays still. Final positions:,east,east,False,Target1,2,3,0,0,14,14,5,5
east_west__both_equal__moves__not_applicable__not_applicable,1.0,event,east_west,both_equal,east_west__both_equal,both_move,both_equal,direct_initial_relation,minimal,absolute_cardinal,representative_ordinal,True,False,moves,not_applicable,not_applicable,False,Final positions:,A is east of B.,A is west of B.,east,west,A is west of B. Both move east for the same distance. Final positions:,west,west,False,Target2,-2,-1,0,1,A is east of B. Both move west for the same distance. Final positions:,east,east,False,Target1,2,1,0,-1,14,14,5,5
east_west__both_equal__heads__not_applicable__not_applicable,1.0,event,east_west,both_equal,east_west__both_equal,both_move,both_equal,direct_initial_relation,minimal,absolute_cardinal,representative_ordinal,True,False,heads,not_applicable,not_applicable,False,Final positions:,A is east of B.,A is west of B.,east,west,A is west of B. Both head east for the same distance. Final positions:,west,west,False,Target2,-2,-1,0,1,A is east of B. Both head west for the same distance. Final positions:,east,east,False,Target1,2,1,0,-1,14,14,5,5
east_west__swap__not_applicable__not_applicable__not_applicable,1.0,event,east_west,swap,east_west__swap,both_move,swap,direct_initial_relation,minimal,absolute_cardinal,representative_ordinal,True,False,not_applicable,not_applicable,not_applicable,False,Final positions:,A is east of B.,A is west of B.,east,west,A is west of B. A and B swap positions. Final positions:,west,east,True,Target1,-2,0,0,-2,A is east of B. A and B swap positions. Final positions:,east,west,True,Target2,2,0,0,2,12,12,5,5
east_west__observer_turn__not_applicable__not_applicable__implicit,1.0,observer_turn,east_west,observer_turn,east_west__observer_turn,observer_turn,observer_turn,direct_initial_relation,minimal,absolute_cardinal,representative_ordinal,True,False,not_applicable,not_applicable,implicit,True,Final positions:,A is east of B.,A is west of B.,east,west,A is west of B. B turns around without moving. Final positions:,west,west,False,Target2,-2,-2,0,0,A is east of B. B turns around without moving. Final positions:,east,east,False,Target1,2,2,0,0,12,12,5,5
east_west__observer_turn__not_applicable__not_applicable__explicit,1.0,observer_turn,east_west,observer_turn,east_west__observer_turn,observer_turn,observer_turn,direct_initial_relation,minimal,absolute_cardinal,representative_ordinal,True,False,not_applicable,not_applicable,explicit,False,Final positions:,A is east of B.,A is west of B.,east,west,A is west of B. B turns around without moving. A stays still. Final positions:,west,west,False,Target2,-2,-2,0,0,A is east of B. B turns around without moving. A stays still. Final positions:,east,east,False,Target1,2,2,0,0,15,15,5,5
