grouping,group,n_pairs,n_judgments,binary_accuracy,left_gold_accuracy,right_gold_accuracy,both_correct_fraction,left_word_chosen_fraction,context_sensitivity_accuracy,exact_choice_ties
event_family+context_entity_order,both_move|target_first,288,576,0.5086805555555556,0.5451388888888888,0.4722222222222222,0.027777777777777776,0.03993055555555555,0.4930555555555556,0
event_family+context_entity_order,both_move|reference_first,288,576,0.5069444444444444,0.5138888888888888,0.5,0.024305555555555556,0.024305555555555556,0.5121527777777778,0
event_family+context_entity_order,direct_label_control|target_first,48,96,0.5,0.5,0.5,0.5,0.5,0.5,0
event_family+context_entity_order,direct_label_control|reference_first,48,96,0.5416666666666666,0.5833333333333334,0.5,0.5,0.4583333333333333,0.53125,0
event_family+target_entity_order,static_placement|target_first,288,576,0.4739583333333333,0.1111111111111111,0.8368055555555556,0.041666666666666664,0.1371527777777778,0.4826388888888889,0
event_family+target_entity_order,static_placement|reference_first,288,576,0.5052083333333334,0.9930555555555556,0.017361111111111112,0.017361111111111112,0.012152777777777778,0.4739583333333333,0
event_family+target_entity_order,target_crosses|target_first,192,384,0.5078125,0.036458333333333336,0.9791666666666666,0.015625,0.028645833333333332,0.5260416666666666,0
event_family+target_entity_order,target_crosses|reference_first,192,384,0.5,0.9895833333333334,0.010416666666666666,0.005208333333333333,0.010416666666666666,0.5104166666666666,0
event_family+target_entity_order,reference_crosses|target_first,192,384,0.4921875,0.057291666666666664,0.9270833333333334,0.0,0.06510416666666667,0.484375,0
event_family+target_entity_order,reference_crosses|reference_first,192,384,0.5,1.0,0.0,0.0,0.0,0.5,0
event_family+target_entity_order,target_moves_without_crossing|target_first,192,384,0.5052083333333334,0.046875,0.9635416666666666,0.036458333333333336,0.041666666666666664,0.5026041666666666,0
event_family+target_entity_order,target_moves_without_crossing|reference_first,192,384,0.5026041666666666,1.0,0.005208333333333333,0.005208333333333333,0.0026041666666666665,0.5286458333333334,0
event_family+target_entity_order,both_move|target_first,288,576,0.5086805555555556,0.0625,0.9548611111111112,0.03819444444444445,0.05381944444444445,0.4878472222222222,0
event_family+target_entity_order,both_move|reference_first,288,576,0.5069444444444444,0.9965277777777778,0.017361111111111112,0.013888888888888888,0.010416666666666666,0.5173611111111112,0
event_family+target_entity_order,direct_label_control|target_first,48,96,0.5,0.5,0.5,0.5,0.5,0.5,0
event_family+target_entity_order,direct_label_control|reference_first,48,96,0.5416666666666666,0.5833333333333334,0.5,0.5,0.4583333333333333,0.53125,0
event_family+object_pair_id,static_placement|ball_cone,144,288,0.4618055555555556,0.5347222222222222,0.3888888888888889,0.013888888888888888,0.0798611111111111,0.4513888888888889,0
event_family+object_pair_id,static_placement|cup_box,144,288,0.5069444444444444,0.5069444444444444,0.5069444444444444,0.013888888888888888,0.006944444444444444,0.4722222222222222,0
event_family+object_pair_id,static_placement|book_jar,144,288,0.4965277777777778,0.6458333333333334,0.3472222222222222,0.09027777777777778,0.1840277777777778,0.4861111111111111,0
event_family+object_pair_id,static_placement|toy_key,144,288,0.4930555555555556,0.5208333333333334,0.4652777777777778,0.0,0.027777777777777776,0.5034722222222222,0
event_family+object_pair_id,target_crosses|ball_cone,96,192,0.5,0.5,0.5,0.0,0.0,0.5052083333333334,0
event_family+object_pair_id,target_crosses|cup_box,96,192,0.5,0.5,0.5,0.0,0.0,0.5364583333333334,0
event_family+object_pair_id,target_crosses|book_jar,96,192,0.515625,0.5520833333333334,0.4791666666666667,0.041666666666666664,0.078125,0.5208333333333334,0
event_family+object_pair_id,target_crosses|toy_key,96,192,0.5,0.5,0.5,0.0,0.0,0.5104166666666666,0
event_family+object_pair_id,reference_crosses|ball_cone,96,192,0.5,0.5,0.5,0.0,0.0,0.484375,0
event_family+object_pair_id,reference_crosses|cup_box,96,192,0.5,0.5,0.5,0.0,0.0,0.4895833333333333,0
event_family+object_pair_id,reference_crosses|book_jar,96,192,0.484375,0.6145833333333334,0.3541666666666667,0.0,0.13020833333333334,0.484375,0
event_family+object_pair_id,reference_crosses|toy_key,96,192,0.5,0.5,0.5,0.0,0.0,0.5104166666666666,0
event_family+object_pair_id,target_moves_without_crossing|ball_cone,96,192,0.5,0.5,0.5,0.0,0.0,0.53125,0
event_family+object_pair_id,target_moves_without_crossing|cup_box,96,192,0.5,0.5,0.5,0.0,0.0,0.5,0
event_family+object_pair_id,target_moves_without_crossing|book_jar,96,192,0.515625,0.59375,0.4375,0.08333333333333333,0.08854166666666667,0.53125,0
event_family+object_pair_id,target_moves_without_crossing|toy_key,96,192,0.5,0.5,0.5,0.0,0.0,0.5,0
event_family+object_pair_id,both_move|ball_cone,144,288,0.5,0.5,0.5,0.0,0.0,0.5104166666666666,0
event_family+object_pair_id,both_move|cup_box,144,288,0.5,0.5,0.5,0.0,0.0,0.4965277777777778,0
event_family+object_pair_id,both_move|book_jar,144,288,0.53125,0.6180555555555556,0.4444444444444444,0.10416666666666667,0.1284722222222222,0.5034722222222222,0
event_family+object_pair_id,both_move|toy_key,144,288,0.5,0.5,0.5,0.0,0.0,0.5,0
event_family+object_pair_id,direct_label_control|ball_cone,24,48,0.5,0.5,0.5,0.5,0.5,0.5,0
event_family+object_pair_id,direct_label_control|cup_box,24,48,0.5208333333333334,0.5416666666666666,0.5,0.5,0.4791666666666667,0.5,0
event_family+object_pair_id,direct_label_control|book_jar,24,48,0.5,0.5,0.5,0.5,0.5,0.5,0
event_family+object_pair_id,direct_label_control|toy_key,24,48,0.5625,0.625,0.5,0.5,0.4375,0.5625,0
