dataset,grouping,group,pairs,accuracy,both_correct,context1_accuracy,context2_accuracy,first_answer_fraction,predictions_same_fraction,ties
definitions,axis+wording_family+wording_id,north_south|map_edge|paraphrase,2,0.75,0.5,0.5,1,0.25,0.5,0
definitions,axis+wording_family+wording_id,north_south|movement_word|plain,2,0.0,0,0,0,0.5,0,0
definitions,axis+wording_family+wording_id,north_south|movement_word|paraphrase,2,0.5,0,0.5,0.5,0.5,1,0
definitions,axis+wording_family+wording_id,north_south|opposite|plain,1,1.0,1,1,1,0.5,0,0
definitions,axis+wording_family+wording_id,north_south|opposite|other_way,1,1.0,1,1,1,0.5,0,0
definitions,axis+wording_family+wording_id,north_south|opposite|reversed,1,1.0,1,1,1,0.5,0,0
definitions,axis+wording_family+wording_id,north_south|opposite|turn,1,1.0,1,1,1,0.5,0,0
definitions,axis+wording_family+wording_id,north_south|relative_position|plain,8,0.5,0.125,0.75,0.25,0.75,0.75,0
definitions,axis+wording_family+wording_id,north_south|relative_position|paraphrase,8,0.5,0,0.625,0.375,0.625,1,0
definitions,axis+wording_family+wording_id,east_west|map_edge|plain,2,0.5,0,0.5,0.5,0.5,1,0
definitions,axis+wording_family+wording_id,east_west|map_edge|paraphrase,2,0.5,0,0,1,0.0,1,0
definitions,axis+wording_family+wording_id,east_west|movement_word|plain,2,1.0,1,1,1,0.5,0,0
definitions,axis+wording_family+wording_id,east_west|movement_word|paraphrase,2,0.5,0,0,1,0.0,1,0
definitions,axis+wording_family+wording_id,east_west|opposite|plain,1,1.0,1,1,1,0.5,0,0
definitions,axis+wording_family+wording_id,east_west|opposite|other_way,1,1.0,1,1,1,0.5,0,0
definitions,axis+wording_family+wording_id,east_west|opposite|reversed,1,1.0,1,1,1,0.5,0,0
definitions,axis+wording_family+wording_id,east_west|opposite|turn,1,1.0,1,1,1,0.5,0,0
definitions,axis+wording_family+wording_id,east_west|relative_position|plain,8,0.4375,0,0.375,0.5,0.4375,0.875,0
definitions,axis+wording_family+wording_id,east_west|relative_position|paraphrase,8,0.4375,0,0.5,0.375,0.5625,0.875,0
definitions,axis+wording_family+wording_id,north_south|alternate_edge|traveling,4,0.875,0.75,0.75,1,0.375,0.25,0
definitions,axis+wording_family+wording_id,north_south|alternate_edge|going,4,1.0,1,1,1,0.5,0,0
definitions,axis+wording_family+wording_id,north_south|route_reversal|backward,1,1.0,1,1,1,0.5,0,0
definitions,axis+wording_family+wording_id,north_south|route_reversal|return,1,0.0,0,0,0,0.5,0,0
definitions,axis+wording_family+wording_id,north_south|route_reversal|retrace,1,1.0,1,1,1,0.5,0,0
definitions,axis+wording_family+wording_id,north_south|route_reversal|reverse_route,1,1.0,1,1,1,0.5,0,0
definitions,axis+wording_family+wording_id,east_west|alternate_edge|traveling,4,0.75,0.5,0.75,0.75,0.5,0.5,0
definitions,axis+wording_family+wording_id,east_west|alternate_edge|going,4,0.875,0.75,1,0.75,0.625,0.25,0
definitions,axis+wording_family+wording_id,east_west|route_reversal|backward,1,1.0,1,1,1,0.5,0,0
definitions,axis+wording_family+wording_id,east_west|route_reversal|return,1,0.5,0,0,1,0.0,1,0
definitions,axis+wording_family+wording_id,east_west|route_reversal|retrace,1,1.0,1,1,1,0.5,0,0
definitions,axis+wording_family+wording_id,east_west|route_reversal|reverse_route,1,1.0,1,1,1,0.5,0,0
definitions,axis+probe_family+design_extension,north_south|direction_definition|original,8,0.5,0.25,0.5,0.5,0.5,0.5,0
definitions,axis+probe_family+design_extension,north_south|opposite_direction|original,4,1.0,1,1,1,0.5,0,0
definitions,axis+probe_family+design_extension,north_south|relative_map_position|original,8,0.4375,0,0.75,0.125,0.8125,0.875,0
definitions,axis+probe_family+design_extension,east_west|direction_definition|original,8,0.625,0.25,0.375,0.875,0.25,0.75,0
definitions,axis+probe_family+design_extension,east_west|opposite_direction|original,4,1.0,1,1,1,0.5,0,0
definitions,axis+probe_family+design_extension,east_west|relative_map_position|original,8,0.5,0,0.625,0.375,0.625,1,0
definitions,axis+probe_family+design_extension,north_south|direction_definition|edge_preposition,8,0.9375,0.875,0.875,1,0.4375,0.125,0
definitions,axis+probe_family+design_extension,north_south|opposite_direction|route_reversal,4,0.75,0.75,0.75,0.75,0.5,0,0
definitions,axis+probe_family+design_extension,east_west|direction_definition|edge_preposition,8,0.8125,0.625,0.875,0.75,0.5625,0.375,0
definitions,axis+probe_family+design_extension,east_west|opposite_direction|route_reversal,4,0.875,0.75,0.75,1,0.375,0.25,0
definitions,axis+probe_family+design_extension,north_south|relative_map_position|reciprocal_named_entities,8,0.5625,0.125,0.625,0.5,0.5625,0.875,0
definitions,axis+probe_family+design_extension,east_west|relative_map_position|reciprocal_named_entities,8,0.375,0,0.25,0.5,0.375,0.75,0
definitions,axis+mapping_direction+preposition,north_south|word_to_meaning|not_applicable,12,0.5,0.08333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.8333333333333334,0
definitions,axis+mapping_direction+preposition,north_south|meaning_to_word|not_applicable,12,0.5,0.16666666666666666,0.5833333333333334,0.4166666666666667,0.5833333333333334,0.6666666666666666,0
definitions,axis+mapping_direction+preposition,north_south|word_to_opposite|not_applicable,8,0.875,0.875,0.875,0.875,0.5,0,0
definitions,axis+mapping_direction+preposition,east_west|word_to_meaning|not_applicable,12,0.4583333333333333,0.08333333333333333,0.4166666666666667,0.5,0.4583333333333333,0.75,0
definitions,axis+mapping_direction+preposition,east_west|meaning_to_word|not_applicable,12,0.5416666666666666,0.08333333333333333,0.4166666666666667,0.6666666666666666,0.375,0.9166666666666666,0
definitions,axis+mapping_direction+preposition,east_west|word_to_opposite|not_applicable,8,0.9375,0.875,0.875,1,0.4375,0.125,0
definitions,axis+mapping_direction+preposition,north_south|word_to_meaning|toward,2,1.0,1,1,1,0.5,0,0
definitions,axis+mapping_direction+preposition,north_south|word_to_meaning|to,2,1.0,1,1,1,0.5,0,0
definitions,axis+mapping_direction+preposition,north_south|meaning_to_word|toward,2,1.0,1,1,1,0.5,0,0
definitions,axis+mapping_direction+preposition,north_south|meaning_to_word|to,2,0.75,0.5,0.5,1,0.25,0.5,0
definitions,axis+mapping_direction+preposition,east_west|word_to_meaning|toward,2,0.5,0,1,0,1.0,1,0
definitions,axis+mapping_direction+preposition,east_west|word_to_meaning|to,2,1.0,1,1,1,0.5,0,0
definitions,axis+mapping_direction+preposition,east_west|meaning_to_word|toward,2,0.75,0.5,0.5,1,0.25,0.5,0
definitions,axis+mapping_direction+preposition,east_west|meaning_to_word|to,2,1.0,1,1,1,0.5,0,0
observer_turn,axis+query_frame,east_west|cardinal,24,1.0,1,1,1,0.5,1,0
observer_turn,axis+query_frame,east_west|observer_relative,24,0.5,0,0.5,0.5,0.5833333333333334,1,0
observer_turn,axis+query_frame,north_south|cardinal,24,0.625,0.5833333333333334,0.5833333333333334,0.6666666666666666,0.875,0.9166666666666666,0
observer_turn,axis+query_frame,north_south|observer_relative,24,0.5,0.041666666666666664,0.5,0.5,0.625,0.9166666666666666,0
observer_turn,axis+query_frame+length_band,east_west|cardinal|compact,8,1.0,1,1,1,0.5,1,0
observer_turn,axis+query_frame+length_band,east_west|observer_relative|compact,8,0.5,0,0.5,0.5,0.5,1,0
observer_turn,axis+query_frame+length_band,east_west|cardinal|standard,8,1.0,1,1,1,0.5,1,0
observer_turn,axis+query_frame+length_band,east_west|observer_relative|standard,8,0.5,0,0.5,0.5,0.25,1,0
observer_turn,axis+query_frame+length_band,east_west|cardinal|expanded,8,1.0,1,1,1,0.5,1,0
observer_turn,axis+query_frame+length_band,east_west|observer_relative|expanded,8,0.5,0,0.5,0.5,1.0,1,0
observer_turn,axis+query_frame+length_band,north_south|cardinal|compact,8,0.75,0.75,0.75,0.75,0.75,1,0
observer_turn,axis+query_frame+length_band,north_south|observer_relative|compact,8,0.5,0,0.5,0.5,0.5,1,0
observer_turn,axis+query_frame+length_band,north_south|cardinal|standard,8,0.625,0.5,0.5,0.75,0.875,0.75,0
observer_turn,axis+query_frame+length_band,north_south|observer_relative|standard,8,0.5,0.125,0.5,0.5,0.375,0.75,0
observer_turn,axis+query_frame+length_band,north_south|cardinal|expanded,8,0.5,0.5,0.5,0.5,1.0,1,0
observer_turn,axis+query_frame+length_band,north_south|observer_relative|expanded,8,0.5,0,0.5,0.5,1.0,1,0
observer_turn,query_frame+initial_facing,cardinal|north,12,1.0,1,1,1,0.5,1,0
observer_turn,query_frame+initial_facing,observer_relative|north,12,0.5,0,0.4166666666666667,0.5833333333333334,0.5833333333333334,1,0
observer_turn,query_frame+initial_facing,cardinal|east,12,0.625,0.5833333333333334,0.5833333333333334,0.6666666666666666,0.875,0.9166666666666666,0
observer_turn,query_frame+initial_facing,observer_relative|east,12,0.5,0,0.5,0.5,0.6666666666666666,1,0
observer_turn,query_frame+initial_facing,cardinal|south,12,1.0,1,1,1,0.5,1,0
observer_turn,query_frame+initial_facing,observer_relative|south,12,0.5,0,0.5833333333333334,0.4166666666666667,0.5833333333333334,1,0
observer_turn,query_frame+initial_facing,cardinal|west,12,0.625,0.5833333333333334,0.5833333333333334,0.6666666666666666,0.875,0.9166666666666666,0
observer_turn,query_frame+initial_facing,observer_relative|west,12,0.5,0.08333333333333333,0.5,0.5,0.5833333333333334,0.8333333333333334,0
observer_turn,axis+query_frame+description_structure,east_west|cardinal|original,12,1.0,1,1,1,0.5,1,0
observer_turn,axis+query_frame+description_structure,east_west|observer_relative|original,12,0.5,0,0.5,0.5,0.3333333333333333,1,0
observer_turn,axis+query_frame+description_structure,north_south|cardinal|original,12,0.75,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.75,0.8333333333333334,0
observer_turn,axis+query_frame+description_structure,north_south|observer_relative|original,12,0.5,0,0.5,0.5,0.3333333333333333,1,0
observer_turn,axis+query_frame+description_structure,east_west|cardinal|fixed_flag,12,1.0,1,1,1,0.5,1,0
observer_turn,axis+query_frame+description_structure,east_west|observer_relative|fixed_flag,12,0.5,0,0.5,0.5,0.8333333333333334,1,0
observer_turn,axis+query_frame+description_structure,north_south|cardinal|fixed_flag,12,0.5,0.5,0.5,0.5,1.0,1,0
observer_turn,axis+query_frame+description_structure,north_south|observer_relative|fixed_flag,12,0.5,0.08333333333333333,0.5,0.5,0.9166666666666666,0.8333333333333334,0
