method,grouping,group,n_contexts,n_correct,accuracy,mean_gold_margin,predicted_closer,predicted_farther,predicted_unchanged,ties
pmi,condition_id+numeric_information+length_band+outcome,reference_object_moves|specific|expanded|farther,432,409,0.9467592592592593,0.17415108642092458,23,409,0,0
raw,condition_id+numeric_information+length_band+outcome,both_move_same_separation|specific|compact|unchanged,432,432,1.0,0.35942409546286974,0,0,432,0
pmi,condition_id+numeric_information+length_band+outcome,both_move_same_separation|specific|compact|unchanged,432,0,0.0,-0.5352139539188809,32,400,0,0
raw,condition_id+numeric_information+length_band+outcome,both_move_same_separation|specific|standard|unchanged,432,432,1.0,0.24318919358430086,0,0,432,0
pmi,condition_id+numeric_information+length_band+outcome,both_move_same_separation|specific|standard|unchanged,432,0,0.0,-0.6715395425756773,6,426,0,0
raw,condition_id+numeric_information+length_band+outcome,both_move_same_separation|specific|expanded|unchanged,432,432,1.0,0.5209408441075573,0,0,432,0
pmi,condition_id+numeric_information+length_band+outcome,both_move_same_separation|specific|expanded|unchanged,432,0,0.0,-0.4106925320294168,2,430,0,0
raw,condition_id+length_band+outcome,direct_label|direct|closer,24,14,0.5833333333333334,0.08458385368188222,14,0,10,0
pmi,condition_id+length_band+outcome,direct_label|direct|closer,24,23,0.9583333333333334,0.26521580914656323,23,1,0,0
raw,condition_id+length_band+outcome,direct_label|direct|farther,24,12,0.5,-0.007680719097455342,1,12,11,0
pmi,condition_id+length_band+outcome,direct_label|direct|farther,24,24,1.0,0.3333710680405299,0,24,0,0
raw,condition_id+length_band+outcome,direct_label|direct|unchanged,24,24,1.0,0.5538070201873779,0,0,24,0
pmi,condition_id+length_band+outcome,direct_label|direct|unchanged,24,0,0.0,-0.2970755745967229,5,19,0,0
raw,condition_id+length_band+outcome,reference_object_moves|compact|closer,444,0,0.0,-0.5837102553865932,0,0,444,0
pmi,condition_id+length_band+outcome,reference_object_moves|compact|closer,444,0,0.0,-0.19108602592536994,0,444,0,0
raw,condition_id+length_band+outcome,reference_object_moves|standard|closer,444,0,0.0,-0.24384634317578496,0,0,444,0
pmi,condition_id+length_band+outcome,reference_object_moves|standard|closer,444,45,0.10135135135135136,-0.09987162040160583,45,399,0,0
raw,condition_id+length_band+outcome,reference_object_moves|expanded|closer,444,0,0.0,-0.28829771038648244,0,0,444,0
pmi,condition_id+length_band+outcome,reference_object_moves|expanded|closer,444,23,0.0518018018018018,-0.17440604492350742,23,421,0,0
raw,condition_id+length_band+outcome,reference_object_moves|compact|farther,444,0,0.0,-0.6239297167137936,0,0,444,0
pmi,condition_id+length_band+outcome,reference_object_moves|compact|farther,444,441,0.9932432432432432,0.1679824241646775,3,441,0,0
raw,condition_id+length_band+outcome,reference_object_moves|standard|farther,444,0,0.0,-0.4044170143368008,0,0,444,0
pmi,condition_id+length_band+outcome,reference_object_moves|standard|farther,444,335,0.7545045045045045,0.05692186978486207,109,335,0,0
raw,condition_id+length_band+outcome,reference_object_moves|expanded|farther,444,0,0.0,-0.34997405581646135,0,0,444,0
pmi,condition_id+length_band+outcome,reference_object_moves|expanded|farther,444,421,0.9481981981981982,0.17397529692263217,23,421,0,0
raw,condition_id+length_band+outcome,both_move_same_separation|compact|unchanged,444,444,1.0,0.35775759601378226,0,0,444,0
pmi,condition_id+length_band+outcome,both_move_same_separation|compact|unchanged,444,0,0.0,-0.5375334032484003,32,412,0,0
raw,condition_id+length_band+outcome,both_move_same_separation|standard|unchanged,444,444,1.0,0.23965210501138154,0,0,444,0
pmi,condition_id+length_band+outcome,both_move_same_separation|standard|unchanged,444,0,0.0,-0.6757558769470936,6,438,0,0
raw,condition_id+length_band+outcome,both_move_same_separation|expanded|unchanged,444,444,1.0,0.5178274286759866,0,0,444,0
pmi,condition_id+length_band+outcome,both_move_same_separation|expanded|unchanged,444,0,0.0,-0.41459536149695114,2,442,0,0
raw,context_entity_order+outcome,person_first|closer,1344,12,0.008928571428571428,-0.36636881556894096,12,0,1332,0
pmi,context_entity_order+outcome,person_first|closer,1344,80,0.05952380952380952,-0.15104030445218086,80,1264,0,0
raw,context_entity_order+outcome,object_first|closer,12,2,0.16666666666666666,-0.08413438002268474,2,0,10,0
pmi,context_entity_order+outcome,object_first|closer,12,11,0.9166666666666666,0.2284891406695048,11,1,0,0
raw,context_entity_order+outcome,person_first|farther,1344,11,0.00818452380952381,-0.4543090851179191,0,11,1333,0
pmi,context_entity_order+outcome,person_first|farther,1344,1209,0.8995535714285714,0.1350924712384031,135,1209,0,0
raw,context_entity_order+outcome,object_first|farther,12,1,0.08333333333333333,-0.13061301906903586,1,1,10,0
pmi,context_entity_order+outcome,object_first|farther,12,12,1.0,0.29493021965026855,0,12,0,0
raw,context_entity_order+outcome,person_first|unchanged,1344,1344,1.0,0.3725645055196115,0,0,1344,0
pmi,context_entity_order+outcome,person_first|unchanged,1344,0,0.0,-0.5414946857130244,41,1303,0,0
raw,context_entity_order+outcome,object_first|unchanged,12,12,1.0,0.6441632211208344,0,0,12,0
pmi,context_entity_order+outcome,object_first|unchanged,12,0,0.0,-0.17847809195518494,4,8,0,0
raw,name_id,name_0,1017,347,0.34119960668633237,-0.13894312184820484,6,3,1008,0
pmi,name_id,name_0,1017,323,0.3176007866273353,-0.15764173633815498,30,987,0,0
raw,name_id,name_1,1017,345,0.3392330383480826,-0.12119088705075995,3,3,1011,0
pmi,name_id,name_1,1017,326,0.32055063913470994,-0.16413338463332214,23,994,0,0
raw,name_id,name_2,1017,345,0.3392330383480826,-0.16147433668228495,3,3,1011,0
pmi,name_id,name_2,1017,331,0.3254670599803343,-0.2345623722704697,199,818,0,0
raw,name_id,name_3,1017,345,0.3392330383480826,-0.16552185426185032,3,3,1011,0
pmi,name_id,name_3,1017,332,0.32645034414945917,-0.17627160235023312,19,998,0,0
raw,object_id,obj_cone,1356,459,0.33849557522123896,-0.15767126053483788,4,3,1349,0
pmi,object_id,obj_cone,1356,434,0.3200589970501475,-0.2235547251405969,113,1243,0,0
raw,object_id,obj_flag,1356,461,0.33997050147492625,-0.1767228739803168,5,4,1347,0
pmi,object_id,obj_flag,1356,458,0.33775811209439527,-0.1511182989870201,8,1348,0,0
raw,object_id,obj_bicycle,1356,462,0.3407079646017699,-0.10595351536717035,6,5,1345,0
pmi,object_id,obj_bicycle,1356,420,0.30973451327433627,-0.17478379756651796,150,1206,0,0
raw,numeric_case_id,all,180,86,0.4777777777777778,-0.014012840721342299,15,12,153,0
pmi,numeric_case_id,all,180,82,0.45555555555555555,-0.09624241656727262,31,149,0,0
raw,numeric_case_id,num_00,324,108,0.3333333333333333,-0.1601347949033902,0,0,324,0
pmi,numeric_case_id,num_00,324,100,0.30864197530864196,-0.17606274286905924,25,299,0,0
raw,numeric_case_id,num_01,324,108,0.3333333333333333,-0.15625074248255036,0,0,324,0
pmi,numeric_case_id,num_01,324,101,0.3117283950617284,-0.18696740637590856,21,303,0,0
raw,numeric_case_id,num_02,324,108,0.3333333333333333,-0.16309402754277358,0,0,324,0
pmi,numeric_case_id,num_02,324,102,0.3148148148148148,-0.18292727514549537,21,303,0,0
raw,numeric_case_id,num_03,324,108,0.3333333333333333,-0.16213069175496514,0,0,324,0
pmi,numeric_case_id,num_03,324,103,0.31790123456790126,-0.17802582147680682,21,303,0,0
raw,numeric_case_id,num_04,324,108,0.3333333333333333,-0.14723086798632587,0,0,324,0
pmi,numeric_case_id,num_04,324,103,0.31790123456790126,-0.19563861467220164,19,305,0,0
raw,numeric_case_id,num_05,324,108,0.3333333333333333,-0.14689046990724258,0,0,324,0
pmi,numeric_case_id,num_05,324,103,0.31790123456790126,-0.18996344782688,20,304,0,0
raw,numeric_case_id,num_06,324,108,0.3333333333333333,-0.15824926635365427,0,0,324,0
pmi,numeric_case_id,num_06,324,103,0.31790123456790126,-0.19380224486927927,21,303,0,0
raw,numeric_case_id,num_07,324,108,0.3333333333333333,-0.1490219231740928,0,0,324,0
pmi,numeric_case_id,num_07,324,104,0.32098765432098764,-0.19656395433861532,11,313,0,0
raw,numeric_case_id,num_08,324,108,0.3333333333333333,-0.15171703549078952,0,0,324,0
pmi,numeric_case_id,num_08,324,101,0.3117283950617284,-0.18013039930367175,25,299,0,0
raw,numeric_case_id,num_09,324,108,0.3333333333333333,-0.13319856259557936,0,0,324,0
pmi,numeric_case_id,num_09,324,103,0.31790123456790126,-0.19655510893574468,20,304,0,0
raw,numeric_case_id,num_10,324,108,0.3333333333333333,-0.15295543567633924,0,0,324,0
pmi,numeric_case_id,num_10,324,104,0.32098765432098764,-0.18481386222957094,17,307,0,0
raw,numeric_case_id,num_11,324,108,0.3333333333333333,-0.15427773123905983,0,0,324,0
pmi,numeric_case_id,num_11,324,103,0.31790123456790126,-0.18465966280595755,19,305,0,0
raw,unit_id,all,180,86,0.4777777777777778,-0.014012840721342299,15,12,153,0
pmi,unit_id,all,180,82,0.45555555555555555,-0.09624241656727262,31,149,0,0
raw,unit_id,unit_metres,1296,432,0.3333333333333333,-0.17684220715805335,0,0,1296,0
pmi,unit_id,unit_metres,1296,377,0.2908950617283951,-0.17940135640494617,178,1118,0,0
raw,unit_id,unit_ft,1296,432,0.3333333333333333,-0.153118528517676,0,0,1296,0
pmi,unit_id,unit_ft,1296,426,0.3287037037037037,-0.20736876792377895,24,1272,0,0
raw,unit_id,unit_inches,1296,432,0.3333333333333333,-0.12882715160096134,0,0,1296,0
pmi,unit_id,unit_inches,1296,427,0.32947530864197533,-0.17475751088357266,38,1258,0,0
