grouping,group,n_pairs,n_judgments,raw_accuracy,raw_close_accuracy,raw_far_accuracy,raw_both_correct,raw_exact_ties,pmi_accuracy,pmi_close_accuracy,pmi_far_accuracy,pmi_both_correct,pmi_exact_ties,context_accuracy,context_close_accuracy,context_far_accuracy,context_both_correct,context_exact_ties,raw_close_choice_fraction
condition_id+target_order+name_id,physical_placement|object_first|name_0,5,10,0.4,0.8,0.0,0.0,0,0.5,1.0,0.0,0.0,0,0.5,1.0,0.0,0.0,0,0.9
condition_id+target_order+name_id,physical_placement_fronted|person_first|name_0,5,10,0.5,0.8,0.2,0.2,0,0.5,0.6,0.4,0.2,0,0.5,1.0,0.0,0.0,0,0.8
condition_id+target_order+name_id,physical_placement_fronted|object_first|name_0,5,10,0.0,0.0,0.0,0.0,0,0.1,0.2,0.0,0.0,0,0.5,1.0,0.0,0.0,0,0.5
condition_id+target_order+name_id,physical_placement_person_subject|person_first|name_0,5,10,0.7,1.0,0.4,0.4,0,0.7,1.0,0.4,0.4,0,0.6,0.4,0.8,0.2,0,0.8
condition_id+target_order+name_id,physical_placement_person_subject|object_first|name_0,5,10,0.0,0.0,0.0,0.0,0,0.2,0.4,0.0,0.0,0,0.4,0.8,0.0,0.0,0,0.5
condition_id+target_order+name_id,direct_label|person_first|name_1,5,10,1.0,1.0,1.0,1.0,0,0.7,0.4,1.0,0.4,0,1.0,1.0,1.0,1.0,0,0.5
condition_id+target_order+name_id,direct_label|object_first|name_1,5,10,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,0,0.5
condition_id+target_order+name_id,proximity_paraphrase|person_first|name_1,5,10,0.9,0.8,1.0,0.8,0,0.5,0.0,1.0,0.0,0,0.9,1.0,0.8,0.8,0,0.4
condition_id+target_order+name_id,proximity_paraphrase|object_first|name_1,5,10,0.8,0.6,1.0,0.6,0,0.9,0.8,1.0,0.8,0,0.9,1.0,0.8,0.8,0,0.3
condition_id+target_order+name_id,physical_placement|person_first|name_1,5,10,0.6,1.0,0.2,0.2,0,0.5,0.0,1.0,0.0,0,0.6,1.0,0.2,0.2,0,0.9
condition_id+target_order+name_id,physical_placement|object_first|name_1,5,10,0.4,0.8,0.0,0.0,0,0.5,1.0,0.0,0.0,0,0.5,1.0,0.0,0.0,0,0.9
condition_id+target_order+name_id,physical_placement_fronted|person_first|name_1,5,10,0.8,1.0,0.6,0.6,0,0.5,0.0,1.0,0.0,0,0.5,1.0,0.0,0.0,0,0.7
condition_id+target_order+name_id,physical_placement_fronted|object_first|name_1,5,10,0.3,0.4,0.2,0.0,0,0.4,0.8,0.0,0.0,0,0.5,1.0,0.0,0.0,0,0.6
condition_id+target_order+name_id,physical_placement_person_subject|person_first|name_1,5,10,0.7,1.0,0.4,0.4,0,0.6,0.2,1.0,0.2,0,0.6,0.2,1.0,0.2,0,0.8
condition_id+target_order+name_id,physical_placement_person_subject|object_first|name_1,5,10,0.5,1.0,0.0,0.0,0,0.5,1.0,0.0,0.0,0,0.5,0.8,0.2,0.0,0,1.0
condition_id+target_order+name_id,direct_label|person_first|name_2,5,10,1.0,1.0,1.0,1.0,0,0.9,0.8,1.0,0.8,0,1.0,1.0,1.0,1.0,0,0.5
condition_id+target_order+name_id,direct_label|object_first|name_2,5,10,1.0,1.0,1.0,1.0,0,0.8,0.6,1.0,0.6,0,1.0,1.0,1.0,1.0,0,0.5
condition_id+target_order+name_id,proximity_paraphrase|person_first|name_2,5,10,1.0,1.0,1.0,1.0,0,0.6,0.2,1.0,0.2,0,0.8,1.0,0.6,0.6,0,0.5
condition_id+target_order+name_id,proximity_paraphrase|object_first|name_2,5,10,1.0,1.0,1.0,1.0,0,0.6,0.2,1.0,0.2,0,0.6,1.0,0.2,0.2,0,0.5
condition_id+target_order+name_id,physical_placement|person_first|name_2,5,10,0.5,0.8,0.2,0.2,0,0.7,0.6,0.8,0.4,0,0.5,1.0,0.0,0.0,0,0.8
condition_id+target_order+name_id,physical_placement|object_first|name_2,5,10,0.5,1.0,0.0,0.0,0,0.4,0.8,0.0,0.0,0,0.5,1.0,0.0,0.0,0,1.0
condition_id+target_order+name_id,physical_placement_fronted|person_first|name_2,5,10,0.9,0.8,1.0,0.8,0,0.7,0.4,1.0,0.4,0,0.5,1.0,0.0,0.0,0,0.4
condition_id+target_order+name_id,physical_placement_fronted|object_first|name_2,5,10,0.5,1.0,0.0,0.0,0,0.4,0.8,0.0,0.0,0,0.5,1.0,0.0,0.0,0,1.0
condition_id+target_order+name_id,physical_placement_person_subject|person_first|name_2,5,10,0.8,1.0,0.6,0.6,0,0.8,0.8,0.8,0.6,0,0.5,0.2,0.8,0.0,0,0.7
condition_id+target_order+name_id,physical_placement_person_subject|object_first|name_2,5,10,0.5,1.0,0.0,0.0,0,0.5,0.8,0.2,0.0,0,0.5,1.0,0.0,0.0,0,1.0
condition_id+target_order+name_id,direct_label|person_first|name_3,5,10,1.0,1.0,1.0,1.0,0,0.7,0.4,1.0,0.4,0,1.0,1.0,1.0,1.0,0,0.5
condition_id+target_order+name_id,direct_label|object_first|name_3,5,10,1.0,1.0,1.0,1.0,0,0.9,0.8,1.0,0.8,0,1.0,1.0,1.0,1.0,0,0.5
condition_id+target_order+name_id,proximity_paraphrase|person_first|name_3,5,10,1.0,1.0,1.0,1.0,0,0.6,0.2,1.0,0.2,0,0.9,1.0,0.8,0.8,0,0.5
condition_id+target_order+name_id,proximity_paraphrase|object_first|name_3,5,10,1.0,1.0,1.0,1.0,0,0.6,0.2,1.0,0.2,0,0.6,1.0,0.2,0.2,0,0.5
condition_id+target_order+name_id,physical_placement|person_first|name_3,5,10,0.7,1.0,0.4,0.4,0,0.5,0.0,1.0,0.0,0,0.5,1.0,0.0,0.0,0,0.8
condition_id+target_order+name_id,physical_placement|object_first|name_3,5,10,0.5,1.0,0.0,0.0,0,0.3,0.6,0.0,0.0,0,0.5,1.0,0.0,0.0,0,1.0
condition_id+target_order+name_id,physical_placement_fronted|person_first|name_3,5,10,0.7,1.0,0.4,0.4,0,0.5,0.0,1.0,0.0,0,0.5,1.0,0.0,0.0,0,0.8
condition_id+target_order+name_id,physical_placement_fronted|object_first|name_3,5,10,0.5,1.0,0.0,0.0,0,0.3,0.6,0.0,0.0,0,0.5,1.0,0.0,0.0,0,1.0
condition_id+target_order+name_id,physical_placement_person_subject|person_first|name_3,5,10,0.6,1.0,0.2,0.2,0,0.7,0.4,1.0,0.4,0,0.8,0.8,0.8,0.6,0,0.9
condition_id+target_order+name_id,physical_placement_person_subject|object_first|name_3,5,10,0.5,1.0,0.0,0.0,0,0.5,1.0,0.0,0.0,0,0.3,0.6,0.0,0.0,0,1.0
