component,reference_probe_id,variant_probe_id,reference_value,variant_value
name_id,person_dining__name_0__obj_book__word_beside,person_dining__name_1__obj_book__word_beside,name_0,name_1
name_id,person_dining__name_0__obj_book__word_beside,person_dining__name_2__obj_book__word_beside,name_0,name_2
name_id,person_dining__name_0__obj_book__word_beside,person_dining__name_3__obj_book__word_beside,name_0,name_3
name_id,person_dining__name_0__obj_book__word_alongside,person_dining__name_1__obj_book__word_alongside,name_0,name_1
name_id,person_dining__name_0__obj_book__word_alongside,person_dining__name_2__obj_book__word_alongside,name_0,name_2
name_id,person_dining__name_0__obj_book__word_alongside,person_dining__name_3__obj_book__word_alongside,name_0,name_3
name_id,person_dining__name_0__obj_book__word_near,person_dining__name_1__obj_book__word_near,name_0,name_1
name_id,person_dining__name_0__obj_book__word_near,person_dining__name_2__obj_book__word_near,name_0,name_2
name_id,person_dining__name_0__obj_book__word_near,person_dining__name_3__obj_book__word_near,name_0,name_3
name_id,person_dining__name_0__obj_book__reference_reversed,person_dining__name_1__obj_book__reference_reversed,name_0,name_1
name_id,person_dining__name_0__obj_book__reference_reversed,person_dining__name_2__obj_book__reference_reversed,name_0,name_2
name_id,person_dining__name_0__obj_book__reference_reversed,person_dining__name_3__obj_book__reference_reversed,name_0,name_3
name_id,person_dining__name_0__obj_book__negate_close,person_dining__name_1__obj_book__negate_close,name_0,name_1
name_id,person_dining__name_0__obj_book__negate_close,person_dining__name_2__obj_book__negate_close,name_0,name_2
name_id,person_dining__name_0__obj_book__negate_close,person_dining__name_3__obj_book__negate_close,name_0,name_3
name_id,person_dining__name_0__obj_book__negate_far,person_dining__name_1__obj_book__negate_far,name_0,name_1
name_id,person_dining__name_0__obj_book__negate_far,person_dining__name_2__obj_book__negate_far,name_0,name_2
name_id,person_dining__name_0__obj_book__negate_far,person_dining__name_3__obj_book__negate_far,name_0,name_3
name_id,person_dining__name_0__obj_book__both_negated,person_dining__name_1__obj_book__both_negated,name_0,name_1
name_id,person_dining__name_0__obj_book__both_negated,person_dining__name_2__obj_book__both_negated,name_0,name_2
name_id,person_dining__name_0__obj_book__both_negated,person_dining__name_3__obj_book__both_negated,name_0,name_3
name_id,person_dining__name_0__obj_bag__baseline,person_dining__name_1__obj_bag__baseline,name_0,name_1
name_id,person_dining__name_0__obj_bag__baseline,person_dining__name_2__obj_bag__baseline,name_0,name_2
name_id,person_dining__name_0__obj_bag__baseline,person_dining__name_3__obj_bag__baseline,name_0,name_3
name_id,person_dining__name_0__obj_bag__phrase_alternate,person_dining__name_1__obj_bag__phrase_alternate,name_0,name_1
name_id,person_dining__name_0__obj_bag__phrase_alternate,person_dining__name_2__obj_bag__phrase_alternate,name_0,name_2
name_id,person_dining__name_0__obj_bag__phrase_alternate,person_dining__name_3__obj_bag__phrase_alternate,name_0,name_3
name_id,person_dining__name_0__obj_bag__word_beside,person_dining__name_1__obj_bag__word_beside,name_0,name_1
name_id,person_dining__name_0__obj_bag__word_beside,person_dining__name_2__obj_bag__word_beside,name_0,name_2
name_id,person_dining__name_0__obj_bag__word_beside,person_dining__name_3__obj_bag__word_beside,name_0,name_3
name_id,person_dining__name_0__obj_bag__word_alongside,person_dining__name_1__obj_bag__word_alongside,name_0,name_1
name_id,person_dining__name_0__obj_bag__word_alongside,person_dining__name_2__obj_bag__word_alongside,name_0,name_2
name_id,person_dining__name_0__obj_bag__word_alongside,person_dining__name_3__obj_bag__word_alongside,name_0,name_3
name_id,person_dining__name_0__obj_bag__word_near,person_dining__name_1__obj_bag__word_near,name_0,name_1
name_id,person_dining__name_0__obj_bag__word_near,person_dining__name_2__obj_bag__word_near,name_0,name_2
name_id,person_dining__name_0__obj_bag__word_near,person_dining__name_3__obj_bag__word_near,name_0,name_3
name_id,person_dining__name_0__obj_bag__reference_reversed,person_dining__name_1__obj_bag__reference_reversed,name_0,name_1
name_id,person_dining__name_0__obj_bag__reference_reversed,person_dining__name_2__obj_bag__reference_reversed,name_0,name_2
name_id,person_dining__name_0__obj_bag__reference_reversed,person_dining__name_3__obj_bag__reference_reversed,name_0,name_3
name_id,person_dining__name_0__obj_bag__negate_close,person_dining__name_1__obj_bag__negate_close,name_0,name_1
name_id,person_dining__name_0__obj_bag__negate_close,person_dining__name_2__obj_bag__negate_close,name_0,name_2
name_id,person_dining__name_0__obj_bag__negate_close,person_dining__name_3__obj_bag__negate_close,name_0,name_3
name_id,person_dining__name_0__obj_bag__negate_far,person_dining__name_1__obj_bag__negate_far,name_0,name_1
name_id,person_dining__name_0__obj_bag__negate_far,person_dining__name_2__obj_bag__negate_far,name_0,name_2
name_id,person_dining__name_0__obj_bag__negate_far,person_dining__name_3__obj_bag__negate_far,name_0,name_3
name_id,person_dining__name_0__obj_bag__both_negated,person_dining__name_1__obj_bag__both_negated,name_0,name_1
name_id,person_dining__name_0__obj_bag__both_negated,person_dining__name_2__obj_bag__both_negated,name_0,name_2
name_id,person_dining__name_0__obj_bag__both_negated,person_dining__name_3__obj_bag__both_negated,name_0,name_3
name_id,person_field__name_0__obj_ball__baseline,person_field__name_1__obj_ball__baseline,name_0,name_1
name_id,person_field__name_0__obj_ball__baseline,person_field__name_2__obj_ball__baseline,name_0,name_2
name_id,person_field__name_0__obj_ball__baseline,person_field__name_3__obj_ball__baseline,name_0,name_3
name_id,person_field__name_0__obj_ball__phrase_alternate,person_field__name_1__obj_ball__phrase_alternate,name_0,name_1
name_id,person_field__name_0__obj_ball__phrase_alternate,person_field__name_2__obj_ball__phrase_alternate,name_0,name_2
name_id,person_field__name_0__obj_ball__phrase_alternate,person_field__name_3__obj_ball__phrase_alternate,name_0,name_3
name_id,person_field__name_0__obj_ball__word_beside,person_field__name_1__obj_ball__word_beside,name_0,name_1
name_id,person_field__name_0__obj_ball__word_beside,person_field__name_2__obj_ball__word_beside,name_0,name_2
name_id,person_field__name_0__obj_ball__word_beside,person_field__name_3__obj_ball__word_beside,name_0,name_3
name_id,person_field__name_0__obj_ball__word_alongside,person_field__name_1__obj_ball__word_alongside,name_0,name_1
name_id,person_field__name_0__obj_ball__word_alongside,person_field__name_2__obj_ball__word_alongside,name_0,name_2
name_id,person_field__name_0__obj_ball__word_alongside,person_field__name_3__obj_ball__word_alongside,name_0,name_3
name_id,person_field__name_0__obj_ball__word_near,person_field__name_1__obj_ball__word_near,name_0,name_1
name_id,person_field__name_0__obj_ball__word_near,person_field__name_2__obj_ball__word_near,name_0,name_2
name_id,person_field__name_0__obj_ball__word_near,person_field__name_3__obj_ball__word_near,name_0,name_3
name_id,person_field__name_0__obj_ball__reference_reversed,person_field__name_1__obj_ball__reference_reversed,name_0,name_1
name_id,person_field__name_0__obj_ball__reference_reversed,person_field__name_2__obj_ball__reference_reversed,name_0,name_2
name_id,person_field__name_0__obj_ball__reference_reversed,person_field__name_3__obj_ball__reference_reversed,name_0,name_3
name_id,person_field__name_0__obj_ball__negate_close,person_field__name_1__obj_ball__negate_close,name_0,name_1
name_id,person_field__name_0__obj_ball__negate_close,person_field__name_2__obj_ball__negate_close,name_0,name_2
name_id,person_field__name_0__obj_ball__negate_close,person_field__name_3__obj_ball__negate_close,name_0,name_3
name_id,person_field__name_0__obj_ball__negate_far,person_field__name_1__obj_ball__negate_far,name_0,name_1
name_id,person_field__name_0__obj_ball__negate_far,person_field__name_2__obj_ball__negate_far,name_0,name_2
name_id,person_field__name_0__obj_ball__negate_far,person_field__name_3__obj_ball__negate_far,name_0,name_3
name_id,person_field__name_0__obj_ball__both_negated,person_field__name_1__obj_ball__both_negated,name_0,name_1
name_id,person_field__name_0__obj_ball__both_negated,person_field__name_2__obj_ball__both_negated,name_0,name_2
name_id,person_field__name_0__obj_ball__both_negated,person_field__name_3__obj_ball__both_negated,name_0,name_3
name_id,person_field__name_0__obj_cone__baseline,person_field__name_1__obj_cone__baseline,name_0,name_1
name_id,person_field__name_0__obj_cone__baseline,person_field__name_2__obj_cone__baseline,name_0,name_2
name_id,person_field__name_0__obj_cone__baseline,person_field__name_3__obj_cone__baseline,name_0,name_3
name_id,person_field__name_0__obj_cone__phrase_alternate,person_field__name_1__obj_cone__phrase_alternate,name_0,name_1
name_id,person_field__name_0__obj_cone__phrase_alternate,person_field__name_2__obj_cone__phrase_alternate,name_0,name_2
name_id,person_field__name_0__obj_cone__phrase_alternate,person_field__name_3__obj_cone__phrase_alternate,name_0,name_3
name_id,person_field__name_0__obj_cone__word_beside,person_field__name_1__obj_cone__word_beside,name_0,name_1
name_id,person_field__name_0__obj_cone__word_beside,person_field__name_2__obj_cone__word_beside,name_0,name_2
name_id,person_field__name_0__obj_cone__word_beside,person_field__name_3__obj_cone__word_beside,name_0,name_3
name_id,person_field__name_0__obj_cone__word_alongside,person_field__name_1__obj_cone__word_alongside,name_0,name_1
name_id,person_field__name_0__obj_cone__word_alongside,person_field__name_2__obj_cone__word_alongside,name_0,name_2
name_id,person_field__name_0__obj_cone__word_alongside,person_field__name_3__obj_cone__word_alongside,name_0,name_3
name_id,person_field__name_0__obj_cone__word_near,person_field__name_1__obj_cone__word_near,name_0,name_1
name_id,person_field__name_0__obj_cone__word_near,person_field__name_2__obj_cone__word_near,name_0,name_2
name_id,person_field__name_0__obj_cone__word_near,person_field__name_3__obj_cone__word_near,name_0,name_3
name_id,person_field__name_0__obj_cone__reference_reversed,person_field__name_1__obj_cone__reference_reversed,name_0,name_1
name_id,person_field__name_0__obj_cone__reference_reversed,person_field__name_2__obj_cone__reference_reversed,name_0,name_2
name_id,person_field__name_0__obj_cone__reference_reversed,person_field__name_3__obj_cone__reference_reversed,name_0,name_3
name_id,person_field__name_0__obj_cone__negate_close,person_field__name_1__obj_cone__negate_close,name_0,name_1
name_id,person_field__name_0__obj_cone__negate_close,person_field__name_2__obj_cone__negate_close,name_0,name_2
name_id,person_field__name_0__obj_cone__negate_close,person_field__name_3__obj_cone__negate_close,name_0,name_3
name_id,person_field__name_0__obj_cone__negate_far,person_field__name_1__obj_cone__negate_far,name_0,name_1
name_id,person_field__name_0__obj_cone__negate_far,person_field__name_2__obj_cone__negate_far,name_0,name_2
name_id,person_field__name_0__obj_cone__negate_far,person_field__name_3__obj_cone__negate_far,name_0,name_3
name_id,person_field__name_0__obj_cone__both_negated,person_field__name_1__obj_cone__both_negated,name_0,name_1
name_id,person_field__name_0__obj_cone__both_negated,person_field__name_2__obj_cone__both_negated,name_0,name_2
name_id,person_field__name_0__obj_cone__both_negated,person_field__name_3__obj_cone__both_negated,name_0,name_3
name_id,person_platform__name_0__obj_suitcase__baseline,person_platform__name_1__obj_suitcase__baseline,name_0,name_1
name_id,person_platform__name_0__obj_suitcase__baseline,person_platform__name_2__obj_suitcase__baseline,name_0,name_2
name_id,person_platform__name_0__obj_suitcase__baseline,person_platform__name_3__obj_suitcase__baseline,name_0,name_3
name_id,person_platform__name_0__obj_suitcase__phrase_alternate,person_platform__name_1__obj_suitcase__phrase_alternate,name_0,name_1
name_id,person_platform__name_0__obj_suitcase__phrase_alternate,person_platform__name_2__obj_suitcase__phrase_alternate,name_0,name_2
name_id,person_platform__name_0__obj_suitcase__phrase_alternate,person_platform__name_3__obj_suitcase__phrase_alternate,name_0,name_3
name_id,person_platform__name_0__obj_suitcase__word_beside,person_platform__name_1__obj_suitcase__word_beside,name_0,name_1
name_id,person_platform__name_0__obj_suitcase__word_beside,person_platform__name_2__obj_suitcase__word_beside,name_0,name_2
name_id,person_platform__name_0__obj_suitcase__word_beside,person_platform__name_3__obj_suitcase__word_beside,name_0,name_3
name_id,person_platform__name_0__obj_suitcase__word_alongside,person_platform__name_1__obj_suitcase__word_alongside,name_0,name_1
name_id,person_platform__name_0__obj_suitcase__word_alongside,person_platform__name_2__obj_suitcase__word_alongside,name_0,name_2
name_id,person_platform__name_0__obj_suitcase__word_alongside,person_platform__name_3__obj_suitcase__word_alongside,name_0,name_3
name_id,person_platform__name_0__obj_suitcase__word_near,person_platform__name_1__obj_suitcase__word_near,name_0,name_1
name_id,person_platform__name_0__obj_suitcase__word_near,person_platform__name_2__obj_suitcase__word_near,name_0,name_2
name_id,person_platform__name_0__obj_suitcase__word_near,person_platform__name_3__obj_suitcase__word_near,name_0,name_3
name_id,person_platform__name_0__obj_suitcase__reference_reversed,person_platform__name_1__obj_suitcase__reference_reversed,name_0,name_1
name_id,person_platform__name_0__obj_suitcase__reference_reversed,person_platform__name_2__obj_suitcase__reference_reversed,name_0,name_2
name_id,person_platform__name_0__obj_suitcase__reference_reversed,person_platform__name_3__obj_suitcase__reference_reversed,name_0,name_3
name_id,person_platform__name_0__obj_suitcase__negate_close,person_platform__name_1__obj_suitcase__negate_close,name_0,name_1
name_id,person_platform__name_0__obj_suitcase__negate_close,person_platform__name_2__obj_suitcase__negate_close,name_0,name_2
name_id,person_platform__name_0__obj_suitcase__negate_close,person_platform__name_3__obj_suitcase__negate_close,name_0,name_3
name_id,person_platform__name_0__obj_suitcase__negate_far,person_platform__name_1__obj_suitcase__negate_far,name_0,name_1
name_id,person_platform__name_0__obj_suitcase__negate_far,person_platform__name_2__obj_suitcase__negate_far,name_0,name_2
name_id,person_platform__name_0__obj_suitcase__negate_far,person_platform__name_3__obj_suitcase__negate_far,name_0,name_3
name_id,person_platform__name_0__obj_suitcase__both_negated,person_platform__name_1__obj_suitcase__both_negated,name_0,name_1
name_id,person_platform__name_0__obj_suitcase__both_negated,person_platform__name_2__obj_suitcase__both_negated,name_0,name_2
name_id,person_platform__name_0__obj_suitcase__both_negated,person_platform__name_3__obj_suitcase__both_negated,name_0,name_3
name_id,person_platform__name_0__obj_backpack__baseline,person_platform__name_1__obj_backpack__baseline,name_0,name_1
name_id,person_platform__name_0__obj_backpack__baseline,person_platform__name_2__obj_backpack__baseline,name_0,name_2
name_id,person_platform__name_0__obj_backpack__baseline,person_platform__name_3__obj_backpack__baseline,name_0,name_3
name_id,person_platform__name_0__obj_backpack__phrase_alternate,person_platform__name_1__obj_backpack__phrase_alternate,name_0,name_1
name_id,person_platform__name_0__obj_backpack__phrase_alternate,person_platform__name_2__obj_backpack__phrase_alternate,name_0,name_2
name_id,person_platform__name_0__obj_backpack__phrase_alternate,person_platform__name_3__obj_backpack__phrase_alternate,name_0,name_3
name_id,person_platform__name_0__obj_backpack__word_beside,person_platform__name_1__obj_backpack__word_beside,name_0,name_1
name_id,person_platform__name_0__obj_backpack__word_beside,person_platform__name_2__obj_backpack__word_beside,name_0,name_2
name_id,person_platform__name_0__obj_backpack__word_beside,person_platform__name_3__obj_backpack__word_beside,name_0,name_3
name_id,person_platform__name_0__obj_backpack__word_alongside,person_platform__name_1__obj_backpack__word_alongside,name_0,name_1
name_id,person_platform__name_0__obj_backpack__word_alongside,person_platform__name_2__obj_backpack__word_alongside,name_0,name_2
name_id,person_platform__name_0__obj_backpack__word_alongside,person_platform__name_3__obj_backpack__word_alongside,name_0,name_3
name_id,person_platform__name_0__obj_backpack__word_near,person_platform__name_1__obj_backpack__word_near,name_0,name_1
name_id,person_platform__name_0__obj_backpack__word_near,person_platform__name_2__obj_backpack__word_near,name_0,name_2
name_id,person_platform__name_0__obj_backpack__word_near,person_platform__name_3__obj_backpack__word_near,name_0,name_3
name_id,person_platform__name_0__obj_backpack__reference_reversed,person_platform__name_1__obj_backpack__reference_reversed,name_0,name_1
name_id,person_platform__name_0__obj_backpack__reference_reversed,person_platform__name_2__obj_backpack__reference_reversed,name_0,name_2
name_id,person_platform__name_0__obj_backpack__reference_reversed,person_platform__name_3__obj_backpack__reference_reversed,name_0,name_3
name_id,person_platform__name_0__obj_backpack__negate_close,person_platform__name_1__obj_backpack__negate_close,name_0,name_1
name_id,person_platform__name_0__obj_backpack__negate_close,person_platform__name_2__obj_backpack__negate_close,name_0,name_2
name_id,person_platform__name_0__obj_backpack__negate_close,person_platform__name_3__obj_backpack__negate_close,name_0,name_3
name_id,person_platform__name_0__obj_backpack__negate_far,person_platform__name_1__obj_backpack__negate_far,name_0,name_1
name_id,person_platform__name_0__obj_backpack__negate_far,person_platform__name_2__obj_backpack__negate_far,name_0,name_2
name_id,person_platform__name_0__obj_backpack__negate_far,person_platform__name_3__obj_backpack__negate_far,name_0,name_3
name_id,person_platform__name_0__obj_backpack__both_negated,person_platform__name_1__obj_backpack__both_negated,name_0,name_1
name_id,person_platform__name_0__obj_backpack__both_negated,person_platform__name_2__obj_backpack__both_negated,name_0,name_2
name_id,person_platform__name_0__obj_backpack__both_negated,person_platform__name_3__obj_backpack__both_negated,name_0,name_3
name_id,person_auditorium__name_0__obj_bag__baseline,person_auditorium__name_1__obj_bag__baseline,name_0,name_1
name_id,person_auditorium__name_0__obj_bag__baseline,person_auditorium__name_2__obj_bag__baseline,name_0,name_2
name_id,person_auditorium__name_0__obj_bag__baseline,person_auditorium__name_3__obj_bag__baseline,name_0,name_3
name_id,person_auditorium__name_0__obj_bag__phrase_alternate,person_auditorium__name_1__obj_bag__phrase_alternate,name_0,name_1
name_id,person_auditorium__name_0__obj_bag__phrase_alternate,person_auditorium__name_2__obj_bag__phrase_alternate,name_0,name_2
name_id,person_auditorium__name_0__obj_bag__phrase_alternate,person_auditorium__name_3__obj_bag__phrase_alternate,name_0,name_3
name_id,person_auditorium__name_0__obj_bag__word_beside,person_auditorium__name_1__obj_bag__word_beside,name_0,name_1
name_id,person_auditorium__name_0__obj_bag__word_beside,person_auditorium__name_2__obj_bag__word_beside,name_0,name_2
name_id,person_auditorium__name_0__obj_bag__word_beside,person_auditorium__name_3__obj_bag__word_beside,name_0,name_3
name_id,person_auditorium__name_0__obj_bag__word_alongside,person_auditorium__name_1__obj_bag__word_alongside,name_0,name_1
name_id,person_auditorium__name_0__obj_bag__word_alongside,person_auditorium__name_2__obj_bag__word_alongside,name_0,name_2
name_id,person_auditorium__name_0__obj_bag__word_alongside,person_auditorium__name_3__obj_bag__word_alongside,name_0,name_3
name_id,person_auditorium__name_0__obj_bag__word_near,person_auditorium__name_1__obj_bag__word_near,name_0,name_1
name_id,person_auditorium__name_0__obj_bag__word_near,person_auditorium__name_2__obj_bag__word_near,name_0,name_2
name_id,person_auditorium__name_0__obj_bag__word_near,person_auditorium__name_3__obj_bag__word_near,name_0,name_3
name_id,person_auditorium__name_0__obj_bag__reference_reversed,person_auditorium__name_1__obj_bag__reference_reversed,name_0,name_1
name_id,person_auditorium__name_0__obj_bag__reference_reversed,person_auditorium__name_2__obj_bag__reference_reversed,name_0,name_2
name_id,person_auditorium__name_0__obj_bag__reference_reversed,person_auditorium__name_3__obj_bag__reference_reversed,name_0,name_3
name_id,person_auditorium__name_0__obj_bag__negate_close,person_auditorium__name_1__obj_bag__negate_close,name_0,name_1
name_id,person_auditorium__name_0__obj_bag__negate_close,person_auditorium__name_2__obj_bag__negate_close,name_0,name_2
name_id,person_auditorium__name_0__obj_bag__negate_close,person_auditorium__name_3__obj_bag__negate_close,name_0,name_3
name_id,person_auditorium__name_0__obj_bag__negate_far,person_auditorium__name_1__obj_bag__negate_far,name_0,name_1
name_id,person_auditorium__name_0__obj_bag__negate_far,person_auditorium__name_2__obj_bag__negate_far,name_0,name_2
name_id,person_auditorium__name_0__obj_bag__negate_far,person_auditorium__name_3__obj_bag__negate_far,name_0,name_3
name_id,person_auditorium__name_0__obj_bag__both_negated,person_auditorium__name_1__obj_bag__both_negated,name_0,name_1
name_id,person_auditorium__name_0__obj_bag__both_negated,person_auditorium__name_2__obj_bag__both_negated,name_0,name_2
name_id,person_auditorium__name_0__obj_bag__both_negated,person_auditorium__name_3__obj_bag__both_negated,name_0,name_3
name_id,person_auditorium__name_0__obj_coat__baseline,person_auditorium__name_1__obj_coat__baseline,name_0,name_1
name_id,person_auditorium__name_0__obj_coat__baseline,person_auditorium__name_2__obj_coat__baseline,name_0,name_2
name_id,person_auditorium__name_0__obj_coat__baseline,person_auditorium__name_3__obj_coat__baseline,name_0,name_3
name_id,person_auditorium__name_0__obj_coat__phrase_alternate,person_auditorium__name_1__obj_coat__phrase_alternate,name_0,name_1
name_id,person_auditorium__name_0__obj_coat__phrase_alternate,person_auditorium__name_2__obj_coat__phrase_alternate,name_0,name_2
name_id,person_auditorium__name_0__obj_coat__phrase_alternate,person_auditorium__name_3__obj_coat__phrase_alternate,name_0,name_3
name_id,person_auditorium__name_0__obj_coat__word_beside,person_auditorium__name_1__obj_coat__word_beside,name_0,name_1
name_id,person_auditorium__name_0__obj_coat__word_beside,person_auditorium__name_2__obj_coat__word_beside,name_0,name_2
name_id,person_auditorium__name_0__obj_coat__word_beside,person_auditorium__name_3__obj_coat__word_beside,name_0,name_3
name_id,person_auditorium__name_0__obj_coat__word_alongside,person_auditorium__name_1__obj_coat__word_alongside,name_0,name_1
name_id,person_auditorium__name_0__obj_coat__word_alongside,person_auditorium__name_2__obj_coat__word_alongside,name_0,name_2
name_id,person_auditorium__name_0__obj_coat__word_alongside,person_auditorium__name_3__obj_coat__word_alongside,name_0,name_3
name_id,person_auditorium__name_0__obj_coat__word_near,person_auditorium__name_1__obj_coat__word_near,name_0,name_1
name_id,person_auditorium__name_0__obj_coat__word_near,person_auditorium__name_2__obj_coat__word_near,name_0,name_2
name_id,person_auditorium__name_0__obj_coat__word_near,person_auditorium__name_3__obj_coat__word_near,name_0,name_3
name_id,person_auditorium__name_0__obj_coat__reference_reversed,person_auditorium__name_1__obj_coat__reference_reversed,name_0,name_1
name_id,person_auditorium__name_0__obj_coat__reference_reversed,person_auditorium__name_2__obj_coat__reference_reversed,name_0,name_2
