reference_probe_id,variant_probe_id,control,scene_id,context_structure,target_order
between_feet__name_0__obj_cone__physical_placement__person_first__far_direct_far,between_feet__name_0__obj_cone__physical_placement__person_first__far_synonym_distant,far_to_distant_only,between_feet,object_subject,person_first
between_feet__name_0__obj_cone__physical_placement__object_first__far_direct_far,between_feet__name_0__obj_cone__physical_placement__object_first__far_synonym_distant,far_to_distant_only,between_feet,object_subject,object_first
between_feet__name_0__obj_cone__physical_placement_fronted__person_first__far_direct_far,between_feet__name_0__obj_cone__physical_placement_fronted__person_first__far_synonym_distant,far_to_distant_only,between_feet,fronted_location,person_first
between_feet__name_0__obj_cone__physical_placement_fronted__object_first__far_direct_far,between_feet__name_0__obj_cone__physical_placement_fronted__object_first__far_synonym_distant,far_to_distant_only,between_feet,fronted_location,object_first
between_feet__name_0__obj_cone__physical_placement_person_subject__person_first__far_direct_far,between_feet__name_0__obj_cone__physical_placement_person_subject__person_first__far_synonym_distant,far_to_distant_only,between_feet,person_subject,person_first
between_feet__name_0__obj_cone__physical_placement_person_subject__object_first__far_direct_far,between_feet__name_0__obj_cone__physical_placement_person_subject__object_first__far_synonym_distant,far_to_distant_only,between_feet,person_subject,object_first
between_feet__name_1__obj_ball__physical_placement__person_first__far_direct_far,between_feet__name_1__obj_ball__physical_placement__person_first__far_synonym_distant,far_to_distant_only,between_feet,object_subject,person_first
between_feet__name_1__obj_ball__physical_placement__object_first__far_direct_far,between_feet__name_1__obj_ball__physical_placement__object_first__far_synonym_distant,far_to_distant_only,between_feet,object_subject,object_first
between_feet__name_1__obj_ball__physical_placement_fronted__person_first__far_direct_far,between_feet__name_1__obj_ball__physical_placement_fronted__person_first__far_synonym_distant,far_to_distant_only,between_feet,fronted_location,person_first
between_feet__name_1__obj_ball__physical_placement_fronted__object_first__far_direct_far,between_feet__name_1__obj_ball__physical_placement_fronted__object_first__far_synonym_distant,far_to_distant_only,between_feet,fronted_location,object_first
between_feet__name_1__obj_ball__physical_placement_person_subject__person_first__far_direct_far,between_feet__name_1__obj_ball__physical_placement_person_subject__person_first__far_synonym_distant,far_to_distant_only,between_feet,person_subject,person_first
between_feet__name_1__obj_ball__physical_placement_person_subject__object_first__far_direct_far,between_feet__name_1__obj_ball__physical_placement_person_subject__object_first__far_synonym_distant,far_to_distant_only,between_feet,person_subject,object_first
between_feet__name_1__obj_bag__physical_placement__person_first__far_direct_far,between_feet__name_1__obj_bag__physical_placement__person_first__far_synonym_distant,far_to_distant_only,between_feet,object_subject,person_first
between_feet__name_1__obj_bag__physical_placement__object_first__far_direct_far,between_feet__name_1__obj_bag__physical_placement__object_first__far_synonym_distant,far_to_distant_only,between_feet,object_subject,object_first
between_feet__name_1__obj_bag__physical_placement_fronted__person_first__far_direct_far,between_feet__name_1__obj_bag__physical_placement_fronted__person_first__far_synonym_distant,far_to_distant_only,between_feet,fronted_location,person_first
between_feet__name_1__obj_bag__physical_placement_fronted__object_first__far_direct_far,between_feet__name_1__obj_bag__physical_placement_fronted__object_first__far_synonym_distant,far_to_distant_only,between_feet,fronted_location,object_first
between_feet__name_1__obj_bag__physical_placement_person_subject__person_first__far_direct_far,between_feet__name_1__obj_bag__physical_placement_person_subject__person_first__far_synonym_distant,far_to_distant_only,between_feet,person_subject,person_first
between_feet__name_1__obj_bag__physical_placement_person_subject__object_first__far_direct_far,between_feet__name_1__obj_bag__physical_placement_person_subject__object_first__far_synonym_distant,far_to_distant_only,between_feet,person_subject,object_first
between_feet__name_1__obj_book__physical_placement__person_first__far_direct_far,between_feet__name_1__obj_book__physical_placement__person_first__far_synonym_distant,far_to_distant_only,between_feet,object_subject,person_first
between_feet__name_1__obj_book__physical_placement__object_first__far_direct_far,between_feet__name_1__obj_book__physical_placement__object_first__far_synonym_distant,far_to_distant_only,between_feet,object_subject,object_first
between_feet__name_1__obj_book__physical_placement_fronted__person_first__far_direct_far,between_feet__name_1__obj_book__physical_placement_fronted__person_first__far_synonym_distant,far_to_distant_only,between_feet,fronted_location,person_first
between_feet__name_1__obj_book__physical_placement_fronted__object_first__far_direct_far,between_feet__name_1__obj_book__physical_placement_fronted__object_first__far_synonym_distant,far_to_distant_only,between_feet,fronted_location,object_first
between_feet__name_1__obj_book__physical_placement_person_subject__person_first__far_direct_far,between_feet__name_1__obj_book__physical_placement_person_subject__person_first__far_synonym_distant,far_to_distant_only,between_feet,person_subject,person_first
between_feet__name_1__obj_book__physical_placement_person_subject__object_first__far_direct_far,between_feet__name_1__obj_book__physical_placement_person_subject__object_first__far_synonym_distant,far_to_distant_only,between_feet,person_subject,object_first
between_feet__name_1__obj_cone__physical_placement__person_first__far_direct_far,between_feet__name_1__obj_cone__physical_placement__person_first__far_synonym_distant,far_to_distant_only,between_feet,object_subject,person_first
between_feet__name_1__obj_cone__physical_placement__object_first__far_direct_far,between_feet__name_1__obj_cone__physical_placement__object_first__far_synonym_distant,far_to_distant_only,between_feet,object_subject,object_first
between_feet__name_1__obj_cone__physical_placement_fronted__person_first__far_direct_far,between_feet__name_1__obj_cone__physical_placement_fronted__person_first__far_synonym_distant,far_to_distant_only,between_feet,fronted_location,person_first
between_feet__name_1__obj_cone__physical_placement_fronted__object_first__far_direct_far,between_feet__name_1__obj_cone__physical_placement_fronted__object_first__far_synonym_distant,far_to_distant_only,between_feet,fronted_location,object_first
between_feet__name_1__obj_cone__physical_placement_person_subject__person_first__far_direct_far,between_feet__name_1__obj_cone__physical_placement_person_subject__person_first__far_synonym_distant,far_to_distant_only,between_feet,person_subject,person_first
between_feet__name_1__obj_cone__physical_placement_person_subject__object_first__far_direct_far,between_feet__name_1__obj_cone__physical_placement_person_subject__object_first__far_synonym_distant,far_to_distant_only,between_feet,person_subject,object_first
between_feet__name_2__obj_ball__physical_placement__person_first__far_direct_far,between_feet__name_2__obj_ball__physical_placement__person_first__far_synonym_distant,far_to_distant_only,between_feet,object_subject,person_first
between_feet__name_2__obj_ball__physical_placement__object_first__far_direct_far,between_feet__name_2__obj_ball__physical_placement__object_first__far_synonym_distant,far_to_distant_only,between_feet,object_subject,object_first
between_feet__name_2__obj_ball__physical_placement_fronted__person_first__far_direct_far,between_feet__name_2__obj_ball__physical_placement_fronted__person_first__far_synonym_distant,far_to_distant_only,between_feet,fronted_location,person_first
between_feet__name_2__obj_ball__physical_placement_fronted__object_first__far_direct_far,between_feet__name_2__obj_ball__physical_placement_fronted__object_first__far_synonym_distant,far_to_distant_only,between_feet,fronted_location,object_first
between_feet__name_2__obj_ball__physical_placement_person_subject__person_first__far_direct_far,between_feet__name_2__obj_ball__physical_placement_person_subject__person_first__far_synonym_distant,far_to_distant_only,between_feet,person_subject,person_first
between_feet__name_2__obj_ball__physical_placement_person_subject__object_first__far_direct_far,between_feet__name_2__obj_ball__physical_placement_person_subject__object_first__far_synonym_distant,far_to_distant_only,between_feet,person_subject,object_first
between_feet__name_2__obj_bag__physical_placement__person_first__far_direct_far,between_feet__name_2__obj_bag__physical_placement__person_first__far_synonym_distant,far_to_distant_only,between_feet,object_subject,person_first
between_feet__name_2__obj_bag__physical_placement__object_first__far_direct_far,between_feet__name_2__obj_bag__physical_placement__object_first__far_synonym_distant,far_to_distant_only,between_feet,object_subject,object_first
between_feet__name_2__obj_bag__physical_placement_fronted__person_first__far_direct_far,between_feet__name_2__obj_bag__physical_placement_fronted__person_first__far_synonym_distant,far_to_distant_only,between_feet,fronted_location,person_first
between_feet__name_2__obj_bag__physical_placement_fronted__object_first__far_direct_far,between_feet__name_2__obj_bag__physical_placement_fronted__object_first__far_synonym_distant,far_to_distant_only,between_feet,fronted_location,object_first
between_feet__name_2__obj_bag__physical_placement_person_subject__person_first__far_direct_far,between_feet__name_2__obj_bag__physical_placement_person_subject__person_first__far_synonym_distant,far_to_distant_only,between_feet,person_subject,person_first
between_feet__name_2__obj_bag__physical_placement_person_subject__object_first__far_direct_far,between_feet__name_2__obj_bag__physical_placement_person_subject__object_first__far_synonym_distant,far_to_distant_only,between_feet,person_subject,object_first
between_feet__name_2__obj_book__physical_placement__person_first__far_direct_far,between_feet__name_2__obj_book__physical_placement__person_first__far_synonym_distant,far_to_distant_only,between_feet,object_subject,person_first
between_feet__name_2__obj_book__physical_placement__object_first__far_direct_far,between_feet__name_2__obj_book__physical_placement__object_first__far_synonym_distant,far_to_distant_only,between_feet,object_subject,object_first
between_feet__name_2__obj_book__physical_placement_fronted__person_first__far_direct_far,between_feet__name_2__obj_book__physical_placement_fronted__person_first__far_synonym_distant,far_to_distant_only,between_feet,fronted_location,person_first
between_feet__name_2__obj_book__physical_placement_fronted__object_first__far_direct_far,between_feet__name_2__obj_book__physical_placement_fronted__object_first__far_synonym_distant,far_to_distant_only,between_feet,fronted_location,object_first
between_feet__name_2__obj_book__physical_placement_person_subject__person_first__far_direct_far,between_feet__name_2__obj_book__physical_placement_person_subject__person_first__far_synonym_distant,far_to_distant_only,between_feet,person_subject,person_first
between_feet__name_2__obj_book__physical_placement_person_subject__object_first__far_direct_far,between_feet__name_2__obj_book__physical_placement_person_subject__object_first__far_synonym_distant,far_to_distant_only,between_feet,person_subject,object_first
between_feet__name_2__obj_cone__physical_placement__person_first__far_direct_far,between_feet__name_2__obj_cone__physical_placement__person_first__far_synonym_distant,far_to_distant_only,between_feet,object_subject,person_first
between_feet__name_2__obj_cone__physical_placement__object_first__far_direct_far,between_feet__name_2__obj_cone__physical_placement__object_first__far_synonym_distant,far_to_distant_only,between_feet,object_subject,object_first
between_feet__name_2__obj_cone__physical_placement_fronted__person_first__far_direct_far,between_feet__name_2__obj_cone__physical_placement_fronted__person_first__far_synonym_distant,far_to_distant_only,between_feet,fronted_location,person_first
between_feet__name_2__obj_cone__physical_placement_fronted__object_first__far_direct_far,between_feet__name_2__obj_cone__physical_placement_fronted__object_first__far_synonym_distant,far_to_distant_only,between_feet,fronted_location,object_first
between_feet__name_2__obj_cone__physical_placement_person_subject__person_first__far_direct_far,between_feet__name_2__obj_cone__physical_placement_person_subject__person_first__far_synonym_distant,far_to_distant_only,between_feet,person_subject,person_first
between_feet__name_2__obj_cone__physical_placement_person_subject__object_first__far_direct_far,between_feet__name_2__obj_cone__physical_placement_person_subject__object_first__far_synonym_distant,far_to_distant_only,between_feet,person_subject,object_first
between_feet__name_3__obj_ball__physical_placement__person_first__far_direct_far,between_feet__name_3__obj_ball__physical_placement__person_first__far_synonym_distant,far_to_distant_only,between_feet,object_subject,person_first
between_feet__name_3__obj_ball__physical_placement__object_first__far_direct_far,between_feet__name_3__obj_ball__physical_placement__object_first__far_synonym_distant,far_to_distant_only,between_feet,object_subject,object_first
between_feet__name_3__obj_ball__physical_placement_fronted__person_first__far_direct_far,between_feet__name_3__obj_ball__physical_placement_fronted__person_first__far_synonym_distant,far_to_distant_only,between_feet,fronted_location,person_first
between_feet__name_3__obj_ball__physical_placement_fronted__object_first__far_direct_far,between_feet__name_3__obj_ball__physical_placement_fronted__object_first__far_synonym_distant,far_to_distant_only,between_feet,fronted_location,object_first
between_feet__name_3__obj_ball__physical_placement_person_subject__person_first__far_direct_far,between_feet__name_3__obj_ball__physical_placement_person_subject__person_first__far_synonym_distant,far_to_distant_only,between_feet,person_subject,person_first
between_feet__name_3__obj_ball__physical_placement_person_subject__object_first__far_direct_far,between_feet__name_3__obj_ball__physical_placement_person_subject__object_first__far_synonym_distant,far_to_distant_only,between_feet,person_subject,object_first
between_feet__name_3__obj_bag__physical_placement__person_first__far_direct_far,between_feet__name_3__obj_bag__physical_placement__person_first__far_synonym_distant,far_to_distant_only,between_feet,object_subject,person_first
between_feet__name_3__obj_bag__physical_placement__object_first__far_direct_far,between_feet__name_3__obj_bag__physical_placement__object_first__far_synonym_distant,far_to_distant_only,between_feet,object_subject,object_first
between_feet__name_3__obj_bag__physical_placement_fronted__person_first__far_direct_far,between_feet__name_3__obj_bag__physical_placement_fronted__person_first__far_synonym_distant,far_to_distant_only,between_feet,fronted_location,person_first
between_feet__name_3__obj_bag__physical_placement_fronted__object_first__far_direct_far,between_feet__name_3__obj_bag__physical_placement_fronted__object_first__far_synonym_distant,far_to_distant_only,between_feet,fronted_location,object_first
between_feet__name_3__obj_bag__physical_placement_person_subject__person_first__far_direct_far,between_feet__name_3__obj_bag__physical_placement_person_subject__person_first__far_synonym_distant,far_to_distant_only,between_feet,person_subject,person_first
between_feet__name_3__obj_bag__physical_placement_person_subject__object_first__far_direct_far,between_feet__name_3__obj_bag__physical_placement_person_subject__object_first__far_synonym_distant,far_to_distant_only,between_feet,person_subject,object_first
between_feet__name_3__obj_book__physical_placement__person_first__far_direct_far,between_feet__name_3__obj_book__physical_placement__person_first__far_synonym_distant,far_to_distant_only,between_feet,object_subject,person_first
between_feet__name_3__obj_book__physical_placement__object_first__far_direct_far,between_feet__name_3__obj_book__physical_placement__object_first__far_synonym_distant,far_to_distant_only,between_feet,object_subject,object_first
between_feet__name_3__obj_book__physical_placement_fronted__person_first__far_direct_far,between_feet__name_3__obj_book__physical_placement_fronted__person_first__far_synonym_distant,far_to_distant_only,between_feet,fronted_location,person_first
between_feet__name_3__obj_book__physical_placement_fronted__object_first__far_direct_far,between_feet__name_3__obj_book__physical_placement_fronted__object_first__far_synonym_distant,far_to_distant_only,between_feet,fronted_location,object_first
between_feet__name_3__obj_book__physical_placement_person_subject__person_first__far_direct_far,between_feet__name_3__obj_book__physical_placement_person_subject__person_first__far_synonym_distant,far_to_distant_only,between_feet,person_subject,person_first
between_feet__name_3__obj_book__physical_placement_person_subject__object_first__far_direct_far,between_feet__name_3__obj_book__physical_placement_person_subject__object_first__far_synonym_distant,far_to_distant_only,between_feet,person_subject,object_first
between_feet__name_3__obj_cone__physical_placement__person_first__far_direct_far,between_feet__name_3__obj_cone__physical_placement__person_first__far_synonym_distant,far_to_distant_only,between_feet,object_subject,person_first
between_feet__name_3__obj_cone__physical_placement__object_first__far_direct_far,between_feet__name_3__obj_cone__physical_placement__object_first__far_synonym_distant,far_to_distant_only,between_feet,object_subject,object_first
between_feet__name_3__obj_cone__physical_placement_fronted__person_first__far_direct_far,between_feet__name_3__obj_cone__physical_placement_fronted__person_first__far_synonym_distant,far_to_distant_only,between_feet,fronted_location,person_first
between_feet__name_3__obj_cone__physical_placement_fronted__object_first__far_direct_far,between_feet__name_3__obj_cone__physical_placement_fronted__object_first__far_synonym_distant,far_to_distant_only,between_feet,fronted_location,object_first
between_feet__name_3__obj_cone__physical_placement_person_subject__person_first__far_direct_far,between_feet__name_3__obj_cone__physical_placement_person_subject__person_first__far_synonym_distant,far_to_distant_only,between_feet,person_subject,person_first
between_feet__name_3__obj_cone__physical_placement_person_subject__object_first__far_direct_far,between_feet__name_3__obj_cone__physical_placement_person_subject__object_first__far_synonym_distant,far_to_distant_only,between_feet,person_subject,object_first
in_hand__name_0__obj_ball__physical_placement__person_first__far_direct_far,in_hand__name_0__obj_ball__physical_placement__person_first__far_synonym_distant,far_to_distant_only,in_hand,object_subject,person_first
in_hand__name_0__obj_ball__physical_placement__object_first__far_direct_far,in_hand__name_0__obj_ball__physical_placement__object_first__far_synonym_distant,far_to_distant_only,in_hand,object_subject,object_first
in_hand__name_0__obj_ball__physical_placement_fronted__person_first__far_direct_far,in_hand__name_0__obj_ball__physical_placement_fronted__person_first__far_synonym_distant,far_to_distant_only,in_hand,fronted_location,person_first
in_hand__name_0__obj_ball__physical_placement_fronted__object_first__far_direct_far,in_hand__name_0__obj_ball__physical_placement_fronted__object_first__far_synonym_distant,far_to_distant_only,in_hand,fronted_location,object_first
in_hand__name_0__obj_ball__physical_placement_person_subject__person_first__far_direct_far,in_hand__name_0__obj_ball__physical_placement_person_subject__person_first__far_synonym_distant,far_to_distant_only,in_hand,person_subject,person_first
in_hand__name_0__obj_ball__physical_placement_person_subject__object_first__far_direct_far,in_hand__name_0__obj_ball__physical_placement_person_subject__object_first__far_synonym_distant,far_to_distant_only,in_hand,person_subject,object_first
in_hand__name_0__obj_cup__physical_placement__person_first__far_direct_far,in_hand__name_0__obj_cup__physical_placement__person_first__far_synonym_distant,far_to_distant_only,in_hand,object_subject,person_first
in_hand__name_0__obj_cup__physical_placement__object_first__far_direct_far,in_hand__name_0__obj_cup__physical_placement__object_first__far_synonym_distant,far_to_distant_only,in_hand,object_subject,object_first
in_hand__name_0__obj_cup__physical_placement_fronted__person_first__far_direct_far,in_hand__name_0__obj_cup__physical_placement_fronted__person_first__far_synonym_distant,far_to_distant_only,in_hand,fronted_location,person_first
in_hand__name_0__obj_cup__physical_placement_fronted__object_first__far_direct_far,in_hand__name_0__obj_cup__physical_placement_fronted__object_first__far_synonym_distant,far_to_distant_only,in_hand,fronted_location,object_first
in_hand__name_0__obj_cup__physical_placement_person_subject__person_first__far_direct_far,in_hand__name_0__obj_cup__physical_placement_person_subject__person_first__far_synonym_distant,far_to_distant_only,in_hand,person_subject,person_first
in_hand__name_0__obj_cup__physical_placement_person_subject__object_first__far_direct_far,in_hand__name_0__obj_cup__physical_placement_person_subject__object_first__far_synonym_distant,far_to_distant_only,in_hand,person_subject,object_first
in_hand__name_0__obj_key__physical_placement__person_first__far_direct_far,in_hand__name_0__obj_key__physical_placement__person_first__far_synonym_distant,far_to_distant_only,in_hand,object_subject,person_first
in_hand__name_0__obj_key__physical_placement__object_first__far_direct_far,in_hand__name_0__obj_key__physical_placement__object_first__far_synonym_distant,far_to_distant_only,in_hand,object_subject,object_first
in_hand__name_0__obj_key__physical_placement_fronted__person_first__far_direct_far,in_hand__name_0__obj_key__physical_placement_fronted__person_first__far_synonym_distant,far_to_distant_only,in_hand,fronted_location,person_first
in_hand__name_0__obj_key__physical_placement_fronted__object_first__far_direct_far,in_hand__name_0__obj_key__physical_placement_fronted__object_first__far_synonym_distant,far_to_distant_only,in_hand,fronted_location,object_first
in_hand__name_0__obj_key__physical_placement_person_subject__person_first__far_direct_far,in_hand__name_0__obj_key__physical_placement_person_subject__person_first__far_synonym_distant,far_to_distant_only,in_hand,person_subject,person_first
in_hand__name_0__obj_key__physical_placement_person_subject__object_first__far_direct_far,in_hand__name_0__obj_key__physical_placement_person_subject__object_first__far_synonym_distant,far_to_distant_only,in_hand,person_subject,object_first
in_hand__name_0__obj_book__physical_placement__person_first__far_direct_far,in_hand__name_0__obj_book__physical_placement__person_first__far_synonym_distant,far_to_distant_only,in_hand,object_subject,person_first
in_hand__name_0__obj_book__physical_placement__object_first__far_direct_far,in_hand__name_0__obj_book__physical_placement__object_first__far_synonym_distant,far_to_distant_only,in_hand,object_subject,object_first
in_hand__name_0__obj_book__physical_placement_fronted__person_first__far_direct_far,in_hand__name_0__obj_book__physical_placement_fronted__person_first__far_synonym_distant,far_to_distant_only,in_hand,fronted_location,person_first
in_hand__name_0__obj_book__physical_placement_fronted__object_first__far_direct_far,in_hand__name_0__obj_book__physical_placement_fronted__object_first__far_synonym_distant,far_to_distant_only,in_hand,fronted_location,object_first
in_hand__name_0__obj_book__physical_placement_person_subject__person_first__far_direct_far,in_hand__name_0__obj_book__physical_placement_person_subject__person_first__far_synonym_distant,far_to_distant_only,in_hand,person_subject,person_first
in_hand__name_0__obj_book__physical_placement_person_subject__object_first__far_direct_far,in_hand__name_0__obj_book__physical_placement_person_subject__object_first__far_synonym_distant,far_to_distant_only,in_hand,person_subject,object_first
in_hand__name_1__obj_ball__physical_placement__person_first__far_direct_far,in_hand__name_1__obj_ball__physical_placement__person_first__far_synonym_distant,far_to_distant_only,in_hand,object_subject,person_first
in_hand__name_1__obj_ball__physical_placement__object_first__far_direct_far,in_hand__name_1__obj_ball__physical_placement__object_first__far_synonym_distant,far_to_distant_only,in_hand,object_subject,object_first
in_hand__name_1__obj_ball__physical_placement_fronted__person_first__far_direct_far,in_hand__name_1__obj_ball__physical_placement_fronted__person_first__far_synonym_distant,far_to_distant_only,in_hand,fronted_location,person_first
in_hand__name_1__obj_ball__physical_placement_fronted__object_first__far_direct_far,in_hand__name_1__obj_ball__physical_placement_fronted__object_first__far_synonym_distant,far_to_distant_only,in_hand,fronted_location,object_first
in_hand__name_1__obj_ball__physical_placement_person_subject__person_first__far_direct_far,in_hand__name_1__obj_ball__physical_placement_person_subject__person_first__far_synonym_distant,far_to_distant_only,in_hand,person_subject,person_first
in_hand__name_1__obj_ball__physical_placement_person_subject__object_first__far_direct_far,in_hand__name_1__obj_ball__physical_placement_person_subject__object_first__far_synonym_distant,far_to_distant_only,in_hand,person_subject,object_first
in_hand__name_1__obj_cup__physical_placement__person_first__far_direct_far,in_hand__name_1__obj_cup__physical_placement__person_first__far_synonym_distant,far_to_distant_only,in_hand,object_subject,person_first
in_hand__name_1__obj_cup__physical_placement__object_first__far_direct_far,in_hand__name_1__obj_cup__physical_placement__object_first__far_synonym_distant,far_to_distant_only,in_hand,object_subject,object_first
in_hand__name_1__obj_cup__physical_placement_fronted__person_first__far_direct_far,in_hand__name_1__obj_cup__physical_placement_fronted__person_first__far_synonym_distant,far_to_distant_only,in_hand,fronted_location,person_first
in_hand__name_1__obj_cup__physical_placement_fronted__object_first__far_direct_far,in_hand__name_1__obj_cup__physical_placement_fronted__object_first__far_synonym_distant,far_to_distant_only,in_hand,fronted_location,object_first
in_hand__name_1__obj_cup__physical_placement_person_subject__person_first__far_direct_far,in_hand__name_1__obj_cup__physical_placement_person_subject__person_first__far_synonym_distant,far_to_distant_only,in_hand,person_subject,person_first
in_hand__name_1__obj_cup__physical_placement_person_subject__object_first__far_direct_far,in_hand__name_1__obj_cup__physical_placement_person_subject__object_first__far_synonym_distant,far_to_distant_only,in_hand,person_subject,object_first
in_hand__name_1__obj_key__physical_placement__person_first__far_direct_far,in_hand__name_1__obj_key__physical_placement__person_first__far_synonym_distant,far_to_distant_only,in_hand,object_subject,person_first
in_hand__name_1__obj_key__physical_placement__object_first__far_direct_far,in_hand__name_1__obj_key__physical_placement__object_first__far_synonym_distant,far_to_distant_only,in_hand,object_subject,object_first
in_hand__name_1__obj_key__physical_placement_fronted__person_first__far_direct_far,in_hand__name_1__obj_key__physical_placement_fronted__person_first__far_synonym_distant,far_to_distant_only,in_hand,fronted_location,person_first
in_hand__name_1__obj_key__physical_placement_fronted__object_first__far_direct_far,in_hand__name_1__obj_key__physical_placement_fronted__object_first__far_synonym_distant,far_to_distant_only,in_hand,fronted_location,object_first
in_hand__name_1__obj_key__physical_placement_person_subject__person_first__far_direct_far,in_hand__name_1__obj_key__physical_placement_person_subject__person_first__far_synonym_distant,far_to_distant_only,in_hand,person_subject,person_first
in_hand__name_1__obj_key__physical_placement_person_subject__object_first__far_direct_far,in_hand__name_1__obj_key__physical_placement_person_subject__object_first__far_synonym_distant,far_to_distant_only,in_hand,person_subject,object_first
in_hand__name_1__obj_book__physical_placement__person_first__far_direct_far,in_hand__name_1__obj_book__physical_placement__person_first__far_synonym_distant,far_to_distant_only,in_hand,object_subject,person_first
in_hand__name_1__obj_book__physical_placement__object_first__far_direct_far,in_hand__name_1__obj_book__physical_placement__object_first__far_synonym_distant,far_to_distant_only,in_hand,object_subject,object_first
in_hand__name_1__obj_book__physical_placement_fronted__person_first__far_direct_far,in_hand__name_1__obj_book__physical_placement_fronted__person_first__far_synonym_distant,far_to_distant_only,in_hand,fronted_location,person_first
in_hand__name_1__obj_book__physical_placement_fronted__object_first__far_direct_far,in_hand__name_1__obj_book__physical_placement_fronted__object_first__far_synonym_distant,far_to_distant_only,in_hand,fronted_location,object_first
in_hand__name_1__obj_book__physical_placement_person_subject__person_first__far_direct_far,in_hand__name_1__obj_book__physical_placement_person_subject__person_first__far_synonym_distant,far_to_distant_only,in_hand,person_subject,person_first
in_hand__name_1__obj_book__physical_placement_person_subject__object_first__far_direct_far,in_hand__name_1__obj_book__physical_placement_person_subject__object_first__far_synonym_distant,far_to_distant_only,in_hand,person_subject,object_first
in_hand__name_2__obj_ball__physical_placement__person_first__far_direct_far,in_hand__name_2__obj_ball__physical_placement__person_first__far_synonym_distant,far_to_distant_only,in_hand,object_subject,person_first
in_hand__name_2__obj_ball__physical_placement__object_first__far_direct_far,in_hand__name_2__obj_ball__physical_placement__object_first__far_synonym_distant,far_to_distant_only,in_hand,object_subject,object_first
in_hand__name_2__obj_ball__physical_placement_fronted__person_first__far_direct_far,in_hand__name_2__obj_ball__physical_placement_fronted__person_first__far_synonym_distant,far_to_distant_only,in_hand,fronted_location,person_first
