probe_id,probe_version,scene_id,scene_role,name_id,object_id,condition_id,context_structure,context_entity_order,target_order,reverses_context_entity_order,evidence_type,setting,assumption,include_in_primary_scene_summary,gold_requires_unstated_worn_shoes,Context1,Context2,Target1,Target2,Context1_word_count,Context1_token_count,Context2_word_count,Context2_token_count,Target1_word_count,Target1_token_count,Target2_word_count,Target2_token_count,source_probe_id,source_probe_version,probe_type,far_wording_match_id,close_evidence_type,close_context_structure,far_context_entity_order,far_variant_id,far_evidence_type,far_setting_explicit,far_target_repeats_context,far_context_structure
between_feet__name_0__obj_ball__physical_placement_fronted__person_first__far_large_distance,1.0,between_feet,main,name_0,obj_ball,physical_placement_fronted,fronted_location,person_first,person_first,False,body_part,gym,Body-part location anchors the object to the person.,True,False,Between Maya's feet is the ball.,A large distance separates Maya and the ball.,Maya is close to the ball.,Maya is far from the ball.,7,8,8,9,6,8,6,8,between_feet__name_0__obj_ball__physical_placement_fronted__person_first,1.0,close_far_far_wording_controls,between_feet__name_0__obj_ball__physical_placement_fronted__person_first,body_part,fronted_location,person_first,large_distance,distance_magnitude_phrase,False,False,distance_subject
between_feet__name_0__obj_ball__physical_placement_fronted__object_first,1.0,between_feet,main,name_0,obj_ball,physical_placement_fronted,fronted_location,person_first,object_first,True,body_part,gym,Body-part location anchors the object to the person.,True,False,Between Maya's feet is the ball.,Across the full length of a long gym from Maya is the ball.,The ball is close to Maya.,The ball is far from Maya.,7,8,13,14,6,7,6,7,between_feet__name_0__obj_ball__physical_placement_fronted__object_first,1.0,close_far_far_wording_controls,between_feet__name_0__obj_ball__physical_placement_fronted__object_first,body_part,fronted_location,person_first,across_space,large_space_separation,True,False,fronted_location
between_feet__name_0__obj_ball__physical_placement_fronted__object_first__far_direct_far,1.0,between_feet,main,name_0,obj_ball,physical_placement_fronted,fronted_location,person_first,object_first,True,body_part,gym,Body-part location anchors the object to the person.,True,False,Between Maya's feet is the ball.,Far from Maya is the ball.,The ball is close to Maya.,The ball is far from Maya.,7,8,6,7,6,7,6,7,between_feet__name_0__obj_ball__physical_placement_fronted__object_first,1.0,close_far_far_wording_controls,between_feet__name_0__obj_ball__physical_placement_fronted__object_first,body_part,fronted_location,person_first,direct_far,explicit_relation,False,False,fronted_location
between_feet__name_0__obj_ball__physical_placement_fronted__object_first__far_synonym_distant,1.0,between_feet,main,name_0,obj_ball,physical_placement_fronted,fronted_location,person_first,object_first,True,body_part,gym,Body-part location anchors the object to the person.,True,False,Between Maya's feet is the ball.,Distant from Maya is the ball.,The ball is close to Maya.,The ball is far from Maya.,7,8,6,8,6,7,6,7,between_feet__name_0__obj_ball__physical_placement_fronted__object_first,1.0,close_far_far_wording_controls,between_feet__name_0__obj_ball__physical_placement_fronted__object_first,body_part,fronted_location,person_first,synonym_distant,distance_synonym,False,False,fronted_location
between_feet__name_0__obj_ball__physical_placement_fronted__object_first__far_large_distance,1.0,between_feet,main,name_0,obj_ball,physical_placement_fronted,fronted_location,person_first,object_first,True,body_part,gym,Body-part location anchors the object to the person.,True,False,Between Maya's feet is the ball.,A large distance separates Maya and the ball.,The ball is close to Maya.,The ball is far from Maya.,7,8,8,9,6,7,6,7,between_feet__name_0__obj_ball__physical_placement_fronted__object_first,1.0,close_far_far_wording_controls,between_feet__name_0__obj_ball__physical_placement_fronted__object_first,body_part,fronted_location,person_first,large_distance,distance_magnitude_phrase,False,False,distance_subject
between_feet__name_0__obj_ball__physical_placement_person_subject__person_first,1.0,between_feet,main,name_0,obj_ball,physical_placement_person_subject,person_subject,person_first,person_first,False,body_part,gym,Body-part location anchors the object to the person.,True,False,Maya has the ball between their feet.,Maya is across the full length of a long gym from the ball.,Maya is close to the ball.,Maya is far from the ball.,7,9,13,15,6,8,6,8,between_feet__name_0__obj_ball__physical_placement_person_subject__person_first,1.0,close_far_far_wording_controls,between_feet__name_0__obj_ball__physical_placement_person_subject__person_first,body_part,person_subject,person_first,across_space,large_space_separation,True,False,person_subject
between_feet__name_0__obj_ball__physical_placement_person_subject__person_first__far_direct_far,1.0,between_feet,main,name_0,obj_ball,physical_placement_person_subject,person_subject,person_first,person_first,False,body_part,gym,Body-part location anchors the object to the person.,True,False,Maya has the ball between their feet.,Maya is far from the ball.,Maya is close to the ball.,Maya is far from the ball.,7,9,6,8,6,8,6,8,between_feet__name_0__obj_ball__physical_placement_person_subject__person_first,1.0,close_far_far_wording_controls,between_feet__name_0__obj_ball__physical_placement_person_subject__person_first,body_part,person_subject,person_first,direct_far,explicit_relation,False,True,person_subject
between_feet__name_0__obj_ball__physical_placement_person_subject__person_first__far_synonym_distant,1.0,between_feet,main,name_0,obj_ball,physical_placement_person_subject,person_subject,person_first,person_first,False,body_part,gym,Body-part location anchors the object to the person.,True,False,Maya has the ball between their feet.,Maya is distant from the ball.,Maya is close to the ball.,Maya is far from the ball.,7,9,6,8,6,8,6,8,between_feet__name_0__obj_ball__physical_placement_person_subject__person_first,1.0,close_far_far_wording_controls,between_feet__name_0__obj_ball__physical_placement_person_subject__person_first,body_part,person_subject,person_first,synonym_distant,distance_synonym,False,False,person_subject
between_feet__name_0__obj_ball__physical_placement_person_subject__person_first__far_large_distance,1.0,between_feet,main,name_0,obj_ball,physical_placement_person_subject,person_subject,person_first,person_first,False,body_part,gym,Body-part location anchors the object to the person.,True,False,Maya has the ball between their feet.,Maya and the ball are separated by a large distance.,Maya is close to the ball.,Maya is far from the ball.,7,9,10,12,6,8,6,8,between_feet__name_0__obj_ball__physical_placement_person_subject__person_first,1.0,close_far_far_wording_controls,between_feet__name_0__obj_ball__physical_placement_person_subject__person_first,body_part,person_subject,person_first,large_distance,distance_magnitude_phrase,False,False,coordinated_entities
between_feet__name_0__obj_ball__physical_placement_person_subject__object_first,1.0,between_feet,main,name_0,obj_ball,physical_placement_person_subject,person_subject,person_first,object_first,True,body_part,gym,Body-part location anchors the object to the person.,True,False,Maya has the ball between their feet.,Maya is across the full length of a long gym from the ball.,The ball is close to Maya.,The ball is far from Maya.,7,9,13,15,6,7,6,7,between_feet__name_0__obj_ball__physical_placement_person_subject__object_first,1.0,close_far_far_wording_controls,between_feet__name_0__obj_ball__physical_placement_person_subject__object_first,body_part,person_subject,person_first,across_space,large_space_separation,True,False,person_subject
between_feet__name_0__obj_ball__physical_placement_person_subject__object_first__far_direct_far,1.0,between_feet,main,name_0,obj_ball,physical_placement_person_subject,person_subject,person_first,object_first,True,body_part,gym,Body-part location anchors the object to the person.,True,False,Maya has the ball between their feet.,Maya is far from the ball.,The ball is close to Maya.,The ball is far from Maya.,7,9,6,8,6,7,6,7,between_feet__name_0__obj_ball__physical_placement_person_subject__object_first,1.0,close_far_far_wording_controls,between_feet__name_0__obj_ball__physical_placement_person_subject__object_first,body_part,person_subject,person_first,direct_far,explicit_relation,False,False,person_subject
between_feet__name_0__obj_ball__physical_placement_person_subject__object_first__far_synonym_distant,1.0,between_feet,main,name_0,obj_ball,physical_placement_person_subject,person_subject,person_first,object_first,True,body_part,gym,Body-part location anchors the object to the person.,True,False,Maya has the ball between their feet.,Maya is distant from the ball.,The ball is close to Maya.,The ball is far from Maya.,7,9,6,8,6,7,6,7,between_feet__name_0__obj_ball__physical_placement_person_subject__object_first,1.0,close_far_far_wording_controls,between_feet__name_0__obj_ball__physical_placement_person_subject__object_first,body_part,person_subject,person_first,synonym_distant,distance_synonym,False,False,person_subject
between_feet__name_0__obj_ball__physical_placement_person_subject__object_first__far_large_distance,1.0,between_feet,main,name_0,obj_ball,physical_placement_person_subject,person_subject,person_first,object_first,True,body_part,gym,Body-part location anchors the object to the person.,True,False,Maya has the ball between their feet.,Maya and the ball are separated by a large distance.,The ball is close to Maya.,The ball is far from Maya.,7,9,10,12,6,7,6,7,between_feet__name_0__obj_ball__physical_placement_person_subject__object_first,1.0,close_far_far_wording_controls,between_feet__name_0__obj_ball__physical_placement_person_subject__object_first,body_part,person_subject,person_first,large_distance,distance_magnitude_phrase,False,False,coordinated_entities
