contrast,method,grouping,group,n_contexts,n_correct,accuracy,mean_gold_margin,predicted_closer,predicted_farther,predicted_unchanged,predicted_tie
farther_vs_unchanged,pmi,condition_id+length_band,movement_description|compact,432,432,1.0,0.44388879973579337,0,432,0,0
farther_vs_unchanged,raw,condition_id+length_band,movement_description|standard,432,0,0.0,-0.5935285957875075,0,0,432,0
farther_vs_unchanged,pmi,condition_id+length_band,movement_description|standard,432,432,1.0,0.41217473425247053,0,432,0,0
farther_vs_unchanged,raw,condition_id+length_band,movement_description|expanded,432,0,0.0,-0.6263000054491891,0,0,432,0
farther_vs_unchanged,pmi,condition_id+length_band,movement_description|expanded,432,432,1.0,0.37940332459078896,0,432,0,0
farther_vs_unchanged,raw,condition_id+length_band,orientation_control|compact,432,432,1.0,0.6370521204339133,0,0,432,0
farther_vs_unchanged,pmi,condition_id+length_band,orientation_control|compact,432,0,0.0,-0.3686512096060647,0,432,0,0
farther_vs_unchanged,raw,condition_id+length_band,orientation_control|standard,432,432,1.0,0.5787298323379623,0,0,432,0
farther_vs_unchanged,pmi,condition_id+length_band,orientation_control|standard,432,0,0.0,-0.42697349770201576,0,432,0,0
farther_vs_unchanged,raw,condition_id+length_band,orientation_control|expanded,432,432,1.0,0.6292079805775925,0,0,432,0
farther_vs_unchanged,pmi,condition_id+length_band,orientation_control|expanded,432,0,0.0,-0.37649534946238555,0,432,0,0
closer_vs_farther,raw,outcome,closer,2592,2303,0.8885030864197531,0.11150413792994288,2303,289,0,0
closer_vs_farther,pmi,outcome,closer,2592,386,0.14891975308641975,-0.1165628627770477,386,2206,0,0
closer_vs_farther,raw,outcome,farther,2592,279,0.1076388888888889,-0.12459131353247313,2313,279,0,0
closer_vs_farther,pmi,outcome,farther,2592,2097,0.8090277777777778,0.10347568717451743,495,2097,0,0
closer_vs_unchanged,raw,outcome,closer,2592,0,0.0,-0.3808004901640945,0,0,2592,0
closer_vs_unchanged,pmi,outcome,closer,2592,2590,0.9992283950617284,0.396835839168893,2590,0,2,0
closer_vs_unchanged,raw,outcome,unchanged,2592,2592,1.0,0.4287760613233219,0,0,2592,0
closer_vs_unchanged,pmi,outcome,unchanged,2592,68,0.026234567901234566,-0.3488602680096656,2524,0,68,0
farther_vs_unchanged,raw,outcome,farther,2592,0,0.0,-0.5049646018003976,0,0,2592,0
farther_vs_unchanged,pmi,outcome,farther,2592,2592,1.0,0.5007387282395804,0,2592,0,0
farther_vs_unchanged,raw,outcome,unchanged,2592,2592,1.0,0.5338215141292707,0,0,2592,0
farther_vs_unchanged,pmi,outcome,unchanged,2592,0,0.0,-0.47188181591070727,0,2592,0,0
closer_vs_farther,raw,outcome+length_band,closer|compact,864,629,0.7280092592592593,0.05034800605089576,629,235,0,0
closer_vs_farther,pmi,outcome+length_band,closer|compact,864,36,0.041666666666666664,-0.1777189946560948,36,828,0,0
closer_vs_farther,raw,outcome+length_band,farther|compact,864,236,0.27314814814814814,-0.048209374839508976,628,236,0,0
closer_vs_farther,pmi,outcome+length_band,farther|compact,864,826,0.9560185185185185,0.17985762586748158,38,826,0,0
closer_vs_farther,raw,outcome+length_band,closer|standard,864,838,0.9699074074074074,0.10827908844307617,838,26,0,0
closer_vs_farther,pmi,outcome+length_band,closer|standard,864,88,0.10185185185185185,-0.11978791226391439,88,776,0,0
closer_vs_farther,raw,outcome+length_band,farther|standard,864,15,0.017361111111111112,-0.1361196866189992,849,15,0,0
closer_vs_farther,pmi,outcome+length_band,farther|standard,864,715,0.8275462962962963,0.09194731408799137,149,715,0,0
closer_vs_farther,raw,outcome+length_band,closer|expanded,864,836,0.9675925925925926,0.17588531929585668,836,28,0,0
closer_vs_farther,pmi,outcome+length_band,closer|expanded,864,262,0.30324074074074076,-0.05218168141113387,262,602,0,0
closer_vs_farther,raw,outcome+length_band,farther|expanded,864,28,0.032407407407407406,-0.1894448791389112,836,28,0,0
closer_vs_farther,pmi,outcome+length_band,farther|expanded,864,556,0.6435185185185185,0.03862212156807935,308,556,0,0
closer_vs_unchanged,raw,outcome+length_band,closer|compact,864,0,0.0,-0.4465720679748941,0,0,864,0
closer_vs_unchanged,pmi,outcome+length_band,closer|compact,864,864,1.0,0.33106426135809336,864,0,0,0
closer_vs_unchanged,raw,outcome+length_band,unchanged|compact,864,864,1.0,0.5162462331354618,0,0,864,0
closer_vs_unchanged,pmi,outcome+length_band,unchanged|compact,864,67,0.0775462962962963,-0.2613900961975257,797,0,67,0
closer_vs_unchanged,raw,outcome+length_band,closer|standard,864,0,0.0,-0.3570052888934259,0,0,864,0
closer_vs_unchanged,pmi,outcome+length_band,closer|standard,864,862,0.9976851851851852,0.42063104043956157,862,0,2,0
closer_vs_unchanged,raw,outcome+length_band,unchanged|standard,864,864,1.0,0.39951183274388313,0,0,864,0
closer_vs_unchanged,pmi,outcome+length_band,unchanged|standard,864,1,0.0011574074074074073,-0.37812449658910435,863,0,1,0
closer_vs_unchanged,raw,outcome+length_band,closer|expanded,864,0,0.0,-0.3388241136239635,0,0,864,0
closer_vs_unchanged,pmi,outcome+length_band,closer|expanded,864,864,1.0,0.438812215709024,864,0,0,0
closer_vs_unchanged,raw,outcome+length_band,unchanged|expanded,864,864,1.0,0.37057011809062074,0,0,864,0
closer_vs_unchanged,pmi,outcome+length_band,unchanged|expanded,864,0,0.0,-0.4070662112423667,864,0,0,0
farther_vs_unchanged,raw,outcome+length_band,farther|compact,864,0,0.0,-0.4937165160146024,0,0,864,0
farther_vs_unchanged,pmi,outcome+length_band,farther|compact,864,864,1.0,0.5119868140253756,0,864,0,0
farther_vs_unchanged,raw,outcome+length_band,unchanged|compact,864,864,1.0,0.5529287080797884,0,0,864,0
farther_vs_unchanged,pmi,outcome+length_band,unchanged|compact,864,0,0.0,-0.4527746219601896,0,864,0,0
farther_vs_unchanged,raw,outcome+length_band,farther|standard,864,0,0.0,-0.49730688319713984,0,0,864,0
farther_vs_unchanged,pmi,outcome+length_band,farther|standard,864,864,1.0,0.5083964468428382,0,864,0,0
farther_vs_unchanged,raw,outcome+length_band,unchanged|standard,864,864,1.0,0.5197963300678465,0,0,864,0
farther_vs_unchanged,pmi,outcome+length_band,unchanged|standard,864,0,0.0,-0.4859069999721315,0,864,0,0
farther_vs_unchanged,raw,outcome+length_band,farther|expanded,864,0,0.0,-0.5238704061894505,0,0,864,0
farther_vs_unchanged,pmi,outcome+length_band,farther|expanded,864,864,1.0,0.4818329238505275,0,864,0,0
farther_vs_unchanged,raw,outcome+length_band,unchanged|expanded,864,864,1.0,0.5287395042401773,0,0,864,0
farther_vs_unchanged,pmi,outcome+length_band,unchanged|expanded,864,0,0.0,-0.47696382579980073,0,864,0,0
closer_vs_farther,raw,unit_id,unit_metres,1728,864,0.5,-0.011196481822817414,1634,94,0,0
closer_vs_farther,pmi,unit_id,unit_metres,1728,783,0.453125,-0.011196481822817414,479,1249,0,0
closer_vs_farther,raw,unit_id,unit_ft,1728,855,0.4947916666666667,-0.005099797621369362,1455,273,0,0
closer_vs_farther,pmi,unit_id,unit_ft,1728,851,0.49247685185185186,-0.005099797621369362,173,1555,0,0
closer_vs_farther,raw,unit_id,unit_inches,1728,863,0.4994212962962963,-0.003334483959608608,1527,201,0,0
closer_vs_farther,pmi,unit_id,unit_inches,1728,849,0.4913194444444444,-0.003334483959608608,229,1499,0,0
closer_vs_unchanged,raw,unit_id,unit_metres,1728,864,0.5,0.017953170670403376,0,0,1728,0
closer_vs_unchanged,pmi,unit_id,unit_metres,1728,866,0.5011574074074074,0.017953170670403376,1722,0,6,0
closer_vs_unchanged,raw,unit_id,unit_ft,1728,864,0.5,0.02473475922037054,0,0,1728,0
closer_vs_unchanged,pmi,unit_id,unit_ft,1728,914,0.5289351851851852,0.02473475922037054,1678,0,50,0
closer_vs_unchanged,raw,unit_id,unit_inches,1728,864,0.5,0.02927542684806718,0,0,1728,0
closer_vs_unchanged,pmi,unit_id,unit_inches,1728,878,0.5081018518518519,0.02927542684806718,1714,0,14,0
farther_vs_unchanged,raw,unit_id,unit_metres,1728,864,0.5,0.002481643800382261,0,0,1728,0
farther_vs_unchanged,pmi,unit_id,unit_metres,1728,864,0.5,0.002481643800382261,0,1728,0,0
farther_vs_unchanged,raw,unit_id,unit_ft,1728,864,0.5,0.01816559389785484,0,0,1728,0
farther_vs_unchanged,pmi,unit_id,unit_ft,1728,864,0.5,0.01816559389785484,0,1728,0,0
farther_vs_unchanged,raw,unit_id,unit_inches,1728,864,0.5,0.022638130795072625,0,0,1728,0
farther_vs_unchanged,pmi,unit_id,unit_inches,1728,864,0.5,0.022638130795072625,0,1728,0,0
closer_vs_farther,raw,name_id,name_0,1296,648,0.5,-0.007220950667504911,1290,6,0,0
closer_vs_farther,pmi,name_id,name_0,1296,615,0.47453703703703703,-0.007220950667504911,221,1075,0,0
closer_vs_farther,raw,name_id,name_1,1296,646,0.4984567901234568,-0.003193690269081681,1044,252,0,0
closer_vs_farther,pmi,name_id,name_1,1296,631,0.4868827160493827,-0.003193690269081681,119,1177,0,0
closer_vs_farther,raw,name_id,name_2,1296,642,0.49537037037037035,-0.008148720602930329,1108,188,0,0
closer_vs_farther,pmi,name_id,name_2,1296,624,0.48148148148148145,-0.008148720602930329,420,876,0,0
closer_vs_farther,raw,name_id,name_3,1296,646,0.4984567901234568,-0.007610989665543592,1174,122,0,0
closer_vs_farther,pmi,name_id,name_3,1296,613,0.4729938271604938,-0.007610989665543592,121,1175,0,0
closer_vs_unchanged,raw,name_id,name_0,1296,648,0.5,0.02258379426267412,0,0,1296,0
closer_vs_unchanged,pmi,name_id,name_0,1296,680,0.5246913580246914,0.02258379426267412,1262,0,34,0
closer_vs_unchanged,raw,name_id,name_1,1296,648,0.5,0.027527118078720422,0,0,1296,0
closer_vs_unchanged,pmi,name_id,name_1,1296,662,0.5108024691358025,0.027527118078720422,1280,0,16,0
closer_vs_unchanged,raw,name_id,name_2,1296,648,0.5,0.025130099720425077,0,0,1296,0
closer_vs_unchanged,pmi,name_id,name_2,1296,648,0.5,0.025130099720425077,1296,0,0,0
closer_vs_unchanged,raw,name_id,name_3,1296,648,0.5,0.02071013025663517,0,0,1296,0
closer_vs_unchanged,pmi,name_id,name_3,1296,668,0.5154320987654321,0.02071013025663517,1276,0,20,0
farther_vs_unchanged,raw,name_id,name_0,1296,648,0.5,0.008814469439747893,0,0,1296,0
farther_vs_unchanged,pmi,name_id,name_0,1296,648,0.5,0.008814469439747893,0,1296,0,0
farther_vs_unchanged,raw,name_id,name_1,1296,648,0.5,0.017500530882382098,0,0,1296,0
farther_vs_unchanged,pmi,name_id,name_1,1296,648,0.5,0.017500530882382098,0,1296,0,0
farther_vs_unchanged,raw,name_id,name_2,1296,648,0.5,0.01907330549057619,0,0,1296,0
farther_vs_unchanged,pmi,name_id,name_2,1296,648,0.5,0.01907330549057619,0,1296,0,0
farther_vs_unchanged,raw,name_id,name_3,1296,648,0.5,0.012325518845040122,0,0,1296,0
farther_vs_unchanged,pmi,name_id,name_3,1296,648,0.5,0.012325518845040122,0,1296,0,0
closer_vs_farther,raw,object_id,obj_cone,1728,859,0.49710648148148145,-0.004936006954974598,1455,273,0,0
closer_vs_farther,pmi,object_id,obj_cone,1728,825,0.4774305555555556,-0.004936006954974598,291,1437,0,0
closer_vs_farther,raw,object_id,obj_flag,1728,861,0.4982638888888889,-0.006771947981582748,1689,39,0,0
closer_vs_farther,pmi,object_id,obj_flag,1728,849,0.4913194444444444,-0.006771947981582748,33,1695,0,0
closer_vs_farther,raw,object_id,obj_bicycle,1728,862,0.4988425925925926,-0.007922808467238038,1472,256,0,0
closer_vs_farther,pmi,object_id,obj_bicycle,1728,809,0.4681712962962963,-0.007922808467238038,557,1171,0,0
closer_vs_unchanged,raw,object_id,obj_cone,1728,864,0.5,0.016158064551375532,0,0,1728,0
closer_vs_unchanged,pmi,object_id,obj_cone,1728,864,0.5,0.016158064551375532,1728,0,0,0
closer_vs_unchanged,raw,object_id,obj_flag,1728,864,0.5,0.021285040442038466,0,0,1728,0
closer_vs_unchanged,pmi,object_id,obj_flag,1728,908,0.5254629629629629,0.021285040442038466,1680,0,48,0
closer_vs_unchanged,raw,object_id,obj_bicycle,1728,864,0.5,0.0345202517454271,0,0,1728,0
closer_vs_unchanged,pmi,object_id,obj_bicycle,1728,886,0.5127314814814815,0.0345202517454271,1706,0,22,0
farther_vs_unchanged,raw,object_id,obj_cone,1728,864,0.5,0.01226967876708066,0,0,1728,0
farther_vs_unchanged,pmi,object_id,obj_cone,1728,864,0.5,0.01226967876708066,0,1728,0,0
farther_vs_unchanged,raw,object_id,obj_flag,1728,864,0.5,0.014653732172316976,0,0,1728,0
farther_vs_unchanged,pmi,object_id,obj_flag,1728,864,0.5,0.014653732172316976,0,1728,0,0
farther_vs_unchanged,raw,object_id,obj_bicycle,1728,864,0.5,0.016361957553912093,0,0,1728,0
farther_vs_unchanged,pmi,object_id,obj_bicycle,1728,864,0.5,0.016361957553912093,0,1728,0,0
closer_vs_farther,raw,numeric_case_id,num_00,432,215,0.4976851851851852,-0.005599523032153094,403,29,0,0
closer_vs_farther,pmi,numeric_case_id,num_00,432,205,0.47453703703703703,-0.005599523032153094,97,335,0,0
closer_vs_farther,raw,numeric_case_id,num_01,432,204,0.4722222222222222,-0.014963925436691002,384,48,0,0
closer_vs_farther,pmi,numeric_case_id,num_01,432,202,0.4675925925925926,-0.014963925436691002,76,356,0,0
closer_vs_farther,raw,numeric_case_id,num_02,432,225,0.5208333333333334,-0.00014550680363619768,385,47,0,0
closer_vs_farther,pmi,numeric_case_id,num_02,432,214,0.49537037037037035,-0.00014550680363619768,70,362,0,0
closer_vs_farther,raw,numeric_case_id,num_03,432,213,0.4930555555555556,-0.004672151748780851,375,57,0,0
closer_vs_farther,pmi,numeric_case_id,num_03,432,209,0.4837962962962963,-0.004672151748780851,67,365,0,0
closer_vs_farther,raw,numeric_case_id,num_04,432,215,0.4976851851851852,-0.012843259230807976,393,39,0,0
closer_vs_farther,pmi,numeric_case_id,num_04,432,199,0.46064814814814814,-0.012843259230807976,79,353,0,0
closer_vs_farther,raw,numeric_case_id,num_05,432,216,0.5,-0.008038999581778491,396,36,0,0
closer_vs_farther,pmi,numeric_case_id,num_05,432,203,0.4699074074074074,-0.008038999581778491,91,341,0,0
closer_vs_farther,raw,numeric_case_id,num_06,432,213,0.4930555555555556,-0.00758676865586528,383,49,0,0
closer_vs_farther,pmi,numeric_case_id,num_06,432,207,0.4791666666666667,-0.00758676865586528,59,373,0,0
closer_vs_farther,raw,numeric_case_id,num_07,432,227,0.5254629629629629,0.008989123006661734,355,77,0,0
closer_vs_farther,pmi,numeric_case_id,num_07,432,219,0.5069444444444444,0.008989123006661734,49,383,0,0
closer_vs_farther,raw,numeric_case_id,num_08,432,213,0.4930555555555556,-0.010367870882705407,399,33,0,0
closer_vs_farther,pmi,numeric_case_id,num_08,432,205,0.47453703703703703,-0.010367870882705407,113,319,0,0
closer_vs_farther,raw,numeric_case_id,num_09,432,215,0.4976851851851852,-0.012476186785433028,391,41,0,0
closer_vs_farther,pmi,numeric_case_id,num_09,432,199,0.46064814814814814,-0.012476186785433028,73,359,0,0
closer_vs_farther,raw,numeric_case_id,num_10,432,212,0.49074074074074076,-0.007216703284669806,370,62,0,0
closer_vs_farther,pmi,numeric_case_id,num_10,432,208,0.48148148148148145,-0.007216703284669806,46,386,0,0
closer_vs_farther,raw,numeric_case_id,num_11,432,214,0.49537037037037035,-0.0036012811793221366,382,50,0,0
closer_vs_farther,pmi,numeric_case_id,num_11,432,213,0.4930555555555556,-0.0036012811793221366,61,371,0,0
