probe_id,probe_version,evidence_match_id,reference_match_id,name_id,object_id,condition_id,evidence_type,target_order,context_entity_order,context_structure,reverses_context_entity_order,Context1,Context2,Target1,Target2,correct_target_repeats_context,Context1_word_count,Context1_token_count,Context2_word_count,Context2_token_count,Target1_word_count,Target1_token_count,Target2_word_count,Target2_token_count
name_0__obj_book__physical_placement_fronted__person_first,1.1,name_0__obj_book__person_first,name_0__obj_book__physical_placement_fronted,name_0,obj_book,physical_placement_fronted,physical_arrangement,person_first,person_first,fronted_location,False,Between Maya's shoes is the book.,Across the full length of a long gym from Maya is the book.,Maya is close to the book.,Maya is far from the book.,False,7,8,13,14,6,8,6,8
name_0__obj_book__physical_placement_fronted__object_first,1.1,name_0__obj_book__object_first,name_0__obj_book__physical_placement_fronted,name_0,obj_book,physical_placement_fronted,physical_arrangement,object_first,person_first,fronted_location,True,Between Maya's shoes is the book.,Across the full length of a long gym from Maya is the book.,The book is close to Maya.,The book is far from Maya.,False,7,8,13,14,6,7,6,7
name_0__obj_book__physical_placement_person_subject__person_first,1.1,name_0__obj_book__person_first,name_0__obj_book__physical_placement_person_subject,name_0,obj_book,physical_placement_person_subject,physical_arrangement,person_first,person_first,person_subject,False,Maya has the book between their shoes.,Maya is across the full length of a long gym from the book.,Maya is close to the book.,Maya is far from the book.,False,7,9,13,15,6,8,6,8
name_0__obj_book__physical_placement_person_subject__object_first,1.1,name_0__obj_book__object_first,name_0__obj_book__physical_placement_person_subject,name_0,obj_book,physical_placement_person_subject,physical_arrangement,object_first,person_first,person_subject,True,Maya has the book between their shoes.,Maya is across the full length of a long gym from the book.,The book is close to Maya.,The book is far from Maya.,False,7,9,13,15,6,7,6,7
name_0__obj_cone__direct_label__person_first,1.1,name_0__obj_cone__person_first,name_0__obj_cone__direct_label,name_0,obj_cone,direct_label,explicit_relation,person_first,object_first,object_subject,True,The cone is close to Maya.,The cone is far from Maya.,Maya is close to the cone.,Maya is far from the cone.,False,6,7,6,7,6,8,6,8
name_0__obj_cone__direct_label__object_first,1.1,name_0__obj_cone__object_first,name_0__obj_cone__direct_label,name_0,obj_cone,direct_label,explicit_relation,object_first,object_first,object_subject,False,The cone is close to Maya.,The cone is far from Maya.,The cone is close to Maya.,The cone is far from Maya.,True,6,7,6,7,6,7,6,7
name_0__obj_cone__proximity_paraphrase__person_first,1.1,name_0__obj_cone__person_first,name_0__obj_cone__proximity_paraphrase,name_0,obj_cone,proximity_paraphrase,proximity_phrase,person_first,object_first,object_subject,True,The cone is beside Maya.,The cone is a long way from Maya.,Maya is close to the cone.,Maya is far from the cone.,False,5,6,8,9,6,8,6,8
name_0__obj_cone__proximity_paraphrase__object_first,1.1,name_0__obj_cone__object_first,name_0__obj_cone__proximity_paraphrase,name_0,obj_cone,proximity_paraphrase,proximity_phrase,object_first,object_first,object_subject,False,The cone is beside Maya.,The cone is a long way from Maya.,The cone is close to Maya.,The cone is far from Maya.,False,5,6,8,9,6,7,6,7
name_0__obj_cone__physical_placement__person_first,1.1,name_0__obj_cone__person_first,name_0__obj_cone__physical_placement,name_0,obj_cone,physical_placement,physical_arrangement,person_first,object_first,object_subject,True,The cone is between Maya's shoes.,The cone is across the full length of a long gym from Maya.,Maya is close to the cone.,Maya is far from the cone.,False,7,8,13,14,6,8,6,8
name_0__obj_cone__physical_placement__object_first,1.1,name_0__obj_cone__object_first,name_0__obj_cone__physical_placement,name_0,obj_cone,physical_placement,physical_arrangement,object_first,object_first,object_subject,False,The cone is between Maya's shoes.,The cone is across the full length of a long gym from Maya.,The cone is close to Maya.,The cone is far from Maya.,False,7,8,13,14,6,7,6,7
name_0__obj_cone__physical_placement_fronted__person_first,1.1,name_0__obj_cone__person_first,name_0__obj_cone__physical_placement_fronted,name_0,obj_cone,physical_placement_fronted,physical_arrangement,person_first,person_first,fronted_location,False,Between Maya's shoes is the cone.,Across the full length of a long gym from Maya is the cone.,Maya is close to the cone.,Maya is far from the cone.,False,7,8,13,14,6,8,6,8
name_0__obj_cone__physical_placement_fronted__object_first,1.1,name_0__obj_cone__object_first,name_0__obj_cone__physical_placement_fronted,name_0,obj_cone,physical_placement_fronted,physical_arrangement,object_first,person_first,fronted_location,True,Between Maya's shoes is the cone.,Across the full length of a long gym from Maya is the cone.,The cone is close to Maya.,The cone is far from Maya.,False,7,8,13,14,6,7,6,7
name_0__obj_cone__physical_placement_person_subject__person_first,1.1,name_0__obj_cone__person_first,name_0__obj_cone__physical_placement_person_subject,name_0,obj_cone,physical_placement_person_subject,physical_arrangement,person_first,person_first,person_subject,False,Maya has the cone between their shoes.,Maya is across the full length of a long gym from the cone.,Maya is close to the cone.,Maya is far from the cone.,False,7,9,13,15,6,8,6,8
name_0__obj_cone__physical_placement_person_subject__object_first,1.1,name_0__obj_cone__object_first,name_0__obj_cone__physical_placement_person_subject,name_0,obj_cone,physical_placement_person_subject,physical_arrangement,object_first,person_first,person_subject,True,Maya has the cone between their shoes.,Maya is across the full length of a long gym from the cone.,The cone is close to Maya.,The cone is far from Maya.,False,7,9,13,15,6,7,6,7
name_0__obj_helmet__direct_label__person_first,1.1,name_0__obj_helmet__person_first,name_0__obj_helmet__direct_label,name_0,obj_helmet,direct_label,explicit_relation,person_first,object_first,object_subject,True,The helmet is close to Maya.,The helmet is far from Maya.,Maya is close to the helmet.,Maya is far from the helmet.,False,6,7,6,7,6,8,6,8
name_0__obj_helmet__direct_label__object_first,1.1,name_0__obj_helmet__object_first,name_0__obj_helmet__direct_label,name_0,obj_helmet,direct_label,explicit_relation,object_first,object_first,object_subject,False,The helmet is close to Maya.,The helmet is far from Maya.,The helmet is close to Maya.,The helmet is far from Maya.,True,6,7,6,7,6,7,6,7
name_0__obj_helmet__proximity_paraphrase__person_first,1.1,name_0__obj_helmet__person_first,name_0__obj_helmet__proximity_paraphrase,name_0,obj_helmet,proximity_paraphrase,proximity_phrase,person_first,object_first,object_subject,True,The helmet is beside Maya.,The helmet is a long way from Maya.,Maya is close to the helmet.,Maya is far from the helmet.,False,5,6,8,9,6,8,6,8
name_0__obj_helmet__proximity_paraphrase__object_first,1.1,name_0__obj_helmet__object_first,name_0__obj_helmet__proximity_paraphrase,name_0,obj_helmet,proximity_paraphrase,proximity_phrase,object_first,object_first,object_subject,False,The helmet is beside Maya.,The helmet is a long way from Maya.,The helmet is close to Maya.,The helmet is far from Maya.,False,5,6,8,9,6,7,6,7
name_0__obj_helmet__physical_placement__person_first,1.1,name_0__obj_helmet__person_first,name_0__obj_helmet__physical_placement,name_0,obj_helmet,physical_placement,physical_arrangement,person_first,object_first,object_subject,True,The helmet is between Maya's shoes.,The helmet is across the full length of a long gym from Maya.,Maya is close to the helmet.,Maya is far from the helmet.,False,7,8,13,14,6,8,6,8
name_0__obj_helmet__physical_placement__object_first,1.1,name_0__obj_helmet__object_first,name_0__obj_helmet__physical_placement,name_0,obj_helmet,physical_placement,physical_arrangement,object_first,object_first,object_subject,False,The helmet is between Maya's shoes.,The helmet is across the full length of a long gym from Maya.,The helmet is close to Maya.,The helmet is far from Maya.,False,7,8,13,14,6,7,6,7
name_0__obj_helmet__physical_placement_fronted__person_first,1.1,name_0__obj_helmet__person_first,name_0__obj_helmet__physical_placement_fronted,name_0,obj_helmet,physical_placement_fronted,physical_arrangement,person_first,person_first,fronted_location,False,Between Maya's shoes is the helmet.,Across the full length of a long gym from Maya is the helmet.,Maya is close to the helmet.,Maya is far from the helmet.,False,7,8,13,14,6,8,6,8
name_0__obj_helmet__physical_placement_fronted__object_first,1.1,name_0__obj_helmet__object_first,name_0__obj_helmet__physical_placement_fronted,name_0,obj_helmet,physical_placement_fronted,physical_arrangement,object_first,person_first,fronted_location,True,Between Maya's shoes is the helmet.,Across the full length of a long gym from Maya is the helmet.,The helmet is close to Maya.,The helmet is far from Maya.,False,7,8,13,14,6,7,6,7
name_0__obj_helmet__physical_placement_person_subject__person_first,1.1,name_0__obj_helmet__person_first,name_0__obj_helmet__physical_placement_person_subject,name_0,obj_helmet,physical_placement_person_subject,physical_arrangement,person_first,person_first,person_subject,False,Maya has the helmet between their shoes.,Maya is across the full length of a long gym from the helmet.,Maya is close to the helmet.,Maya is far from the helmet.,False,7,9,13,15,6,8,6,8
name_0__obj_helmet__physical_placement_person_subject__object_first,1.1,name_0__obj_helmet__object_first,name_0__obj_helmet__physical_placement_person_subject,name_0,obj_helmet,physical_placement_person_subject,physical_arrangement,object_first,person_first,person_subject,True,Maya has the helmet between their shoes.,Maya is across the full length of a long gym from the helmet.,The helmet is close to Maya.,The helmet is far from Maya.,False,7,9,13,15,6,7,6,7
name_1__obj_ball__direct_label__person_first,1.1,name_1__obj_ball__person_first,name_1__obj_ball__direct_label,name_1,obj_ball,direct_label,explicit_relation,person_first,object_first,object_subject,True,The ball is close to Jesse.,The ball is far from Jesse.,Jesse is close to the ball.,Jesse is far from the ball.,False,6,7,6,7,6,8,6,8
name_1__obj_ball__direct_label__object_first,1.1,name_1__obj_ball__object_first,name_1__obj_ball__direct_label,name_1,obj_ball,direct_label,explicit_relation,object_first,object_first,object_subject,False,The ball is close to Jesse.,The ball is far from Jesse.,The ball is close to Jesse.,The ball is far from Jesse.,True,6,7,6,7,6,7,6,7
name_1__obj_ball__proximity_paraphrase__person_first,1.1,name_1__obj_ball__person_first,name_1__obj_ball__proximity_paraphrase,name_1,obj_ball,proximity_paraphrase,proximity_phrase,person_first,object_first,object_subject,True,The ball is beside Jesse.,The ball is a long way from Jesse.,Jesse is close to the ball.,Jesse is far from the ball.,False,5,6,8,9,6,8,6,8
name_1__obj_ball__proximity_paraphrase__object_first,1.1,name_1__obj_ball__object_first,name_1__obj_ball__proximity_paraphrase,name_1,obj_ball,proximity_paraphrase,proximity_phrase,object_first,object_first,object_subject,False,The ball is beside Jesse.,The ball is a long way from Jesse.,The ball is close to Jesse.,The ball is far from Jesse.,False,5,6,8,9,6,7,6,7
name_1__obj_ball__physical_placement__person_first,1.1,name_1__obj_ball__person_first,name_1__obj_ball__physical_placement,name_1,obj_ball,physical_placement,physical_arrangement,person_first,object_first,object_subject,True,The ball is between Jesse's shoes.,The ball is across the full length of a long gym from Jesse.,Jesse is close to the ball.,Jesse is far from the ball.,False,7,8,13,14,6,8,6,8
name_1__obj_ball__physical_placement__object_first,1.1,name_1__obj_ball__object_first,name_1__obj_ball__physical_placement,name_1,obj_ball,physical_placement,physical_arrangement,object_first,object_first,object_subject,False,The ball is between Jesse's shoes.,The ball is across the full length of a long gym from Jesse.,The ball is close to Jesse.,The ball is far from Jesse.,False,7,8,13,14,6,7,6,7
name_1__obj_ball__physical_placement_fronted__person_first,1.1,name_1__obj_ball__person_first,name_1__obj_ball__physical_placement_fronted,name_1,obj_ball,physical_placement_fronted,physical_arrangement,person_first,person_first,fronted_location,False,Between Jesse's shoes is the ball.,Across the full length of a long gym from Jesse is the ball.,Jesse is close to the ball.,Jesse is far from the ball.,False,7,8,13,14,6,8,6,8
name_1__obj_ball__physical_placement_fronted__object_first,1.1,name_1__obj_ball__object_first,name_1__obj_ball__physical_placement_fronted,name_1,obj_ball,physical_placement_fronted,physical_arrangement,object_first,person_first,fronted_location,True,Between Jesse's shoes is the ball.,Across the full length of a long gym from Jesse is the ball.,The ball is close to Jesse.,The ball is far from Jesse.,False,7,8,13,14,6,7,6,7
name_1__obj_ball__physical_placement_person_subject__person_first,1.1,name_1__obj_ball__person_first,name_1__obj_ball__physical_placement_person_subject,name_1,obj_ball,physical_placement_person_subject,physical_arrangement,person_first,person_first,person_subject,False,Jesse has the ball between their shoes.,Jesse is across the full length of a long gym from the ball.,Jesse is close to the ball.,Jesse is far from the ball.,False,7,9,13,15,6,8,6,8
name_1__obj_ball__physical_placement_person_subject__object_first,1.1,name_1__obj_ball__object_first,name_1__obj_ball__physical_placement_person_subject,name_1,obj_ball,physical_placement_person_subject,physical_arrangement,object_first,person_first,person_subject,True,Jesse has the ball between their shoes.,Jesse is across the full length of a long gym from the ball.,The ball is close to Jesse.,The ball is far from Jesse.,False,7,9,13,15,6,7,6,7
name_1__obj_bag__direct_label__person_first,1.1,name_1__obj_bag__person_first,name_1__obj_bag__direct_label,name_1,obj_bag,direct_label,explicit_relation,person_first,object_first,object_subject,True,The bag is close to Jesse.,The bag is far from Jesse.,Jesse is close to the bag.,Jesse is far from the bag.,False,6,7,6,7,6,8,6,8
name_1__obj_bag__direct_label__object_first,1.1,name_1__obj_bag__object_first,name_1__obj_bag__direct_label,name_1,obj_bag,direct_label,explicit_relation,object_first,object_first,object_subject,False,The bag is close to Jesse.,The bag is far from Jesse.,The bag is close to Jesse.,The bag is far from Jesse.,True,6,7,6,7,6,7,6,7
name_1__obj_bag__proximity_paraphrase__person_first,1.1,name_1__obj_bag__person_first,name_1__obj_bag__proximity_paraphrase,name_1,obj_bag,proximity_paraphrase,proximity_phrase,person_first,object_first,object_subject,True,The bag is beside Jesse.,The bag is a long way from Jesse.,Jesse is close to the bag.,Jesse is far from the bag.,False,5,6,8,9,6,8,6,8
name_1__obj_bag__proximity_paraphrase__object_first,1.1,name_1__obj_bag__object_first,name_1__obj_bag__proximity_paraphrase,name_1,obj_bag,proximity_paraphrase,proximity_phrase,object_first,object_first,object_subject,False,The bag is beside Jesse.,The bag is a long way from Jesse.,The bag is close to Jesse.,The bag is far from Jesse.,False,5,6,8,9,6,7,6,7
name_1__obj_bag__physical_placement__person_first,1.1,name_1__obj_bag__person_first,name_1__obj_bag__physical_placement,name_1,obj_bag,physical_placement,physical_arrangement,person_first,object_first,object_subject,True,The bag is between Jesse's shoes.,The bag is across the full length of a long gym from Jesse.,Jesse is close to the bag.,Jesse is far from the bag.,False,7,8,13,14,6,8,6,8
name_1__obj_bag__physical_placement__object_first,1.1,name_1__obj_bag__object_first,name_1__obj_bag__physical_placement,name_1,obj_bag,physical_placement,physical_arrangement,object_first,object_first,object_subject,False,The bag is between Jesse's shoes.,The bag is across the full length of a long gym from Jesse.,The bag is close to Jesse.,The bag is far from Jesse.,False,7,8,13,14,6,7,6,7
name_1__obj_bag__physical_placement_fronted__person_first,1.1,name_1__obj_bag__person_first,name_1__obj_bag__physical_placement_fronted,name_1,obj_bag,physical_placement_fronted,physical_arrangement,person_first,person_first,fronted_location,False,Between Jesse's shoes is the bag.,Across the full length of a long gym from Jesse is the bag.,Jesse is close to the bag.,Jesse is far from the bag.,False,7,8,13,14,6,8,6,8
name_1__obj_bag__physical_placement_fronted__object_first,1.1,name_1__obj_bag__object_first,name_1__obj_bag__physical_placement_fronted,name_1,obj_bag,physical_placement_fronted,physical_arrangement,object_first,person_first,fronted_location,True,Between Jesse's shoes is the bag.,Across the full length of a long gym from Jesse is the bag.,The bag is close to Jesse.,The bag is far from Jesse.,False,7,8,13,14,6,7,6,7
name_1__obj_bag__physical_placement_person_subject__person_first,1.1,name_1__obj_bag__person_first,name_1__obj_bag__physical_placement_person_subject,name_1,obj_bag,physical_placement_person_subject,physical_arrangement,person_first,person_first,person_subject,False,Jesse has the bag between their shoes.,Jesse is across the full length of a long gym from the bag.,Jesse is close to the bag.,Jesse is far from the bag.,False,7,9,13,15,6,8,6,8
name_1__obj_bag__physical_placement_person_subject__object_first,1.1,name_1__obj_bag__object_first,name_1__obj_bag__physical_placement_person_subject,name_1,obj_bag,physical_placement_person_subject,physical_arrangement,object_first,person_first,person_subject,True,Jesse has the bag between their shoes.,Jesse is across the full length of a long gym from the bag.,The bag is close to Jesse.,The bag is far from Jesse.,False,7,9,13,15,6,7,6,7
name_1__obj_book__direct_label__person_first,1.1,name_1__obj_book__person_first,name_1__obj_book__direct_label,name_1,obj_book,direct_label,explicit_relation,person_first,object_first,object_subject,True,The book is close to Jesse.,The book is far from Jesse.,Jesse is close to the book.,Jesse is far from the book.,False,6,7,6,7,6,8,6,8
name_1__obj_book__direct_label__object_first,1.1,name_1__obj_book__object_first,name_1__obj_book__direct_label,name_1,obj_book,direct_label,explicit_relation,object_first,object_first,object_subject,False,The book is close to Jesse.,The book is far from Jesse.,The book is close to Jesse.,The book is far from Jesse.,True,6,7,6,7,6,7,6,7
name_1__obj_book__proximity_paraphrase__person_first,1.1,name_1__obj_book__person_first,name_1__obj_book__proximity_paraphrase,name_1,obj_book,proximity_paraphrase,proximity_phrase,person_first,object_first,object_subject,True,The book is beside Jesse.,The book is a long way from Jesse.,Jesse is close to the book.,Jesse is far from the book.,False,5,6,8,9,6,8,6,8
name_1__obj_book__proximity_paraphrase__object_first,1.1,name_1__obj_book__object_first,name_1__obj_book__proximity_paraphrase,name_1,obj_book,proximity_paraphrase,proximity_phrase,object_first,object_first,object_subject,False,The book is beside Jesse.,The book is a long way from Jesse.,The book is close to Jesse.,The book is far from Jesse.,False,5,6,8,9,6,7,6,7
name_1__obj_book__physical_placement__person_first,1.1,name_1__obj_book__person_first,name_1__obj_book__physical_placement,name_1,obj_book,physical_placement,physical_arrangement,person_first,object_first,object_subject,True,The book is between Jesse's shoes.,The book is across the full length of a long gym from Jesse.,Jesse is close to the book.,Jesse is far from the book.,False,7,8,13,14,6,8,6,8
name_1__obj_book__physical_placement__object_first,1.1,name_1__obj_book__object_first,name_1__obj_book__physical_placement,name_1,obj_book,physical_placement,physical_arrangement,object_first,object_first,object_subject,False,The book is between Jesse's shoes.,The book is across the full length of a long gym from Jesse.,The book is close to Jesse.,The book is far from Jesse.,False,7,8,13,14,6,7,6,7
name_1__obj_book__physical_placement_fronted__person_first,1.1,name_1__obj_book__person_first,name_1__obj_book__physical_placement_fronted,name_1,obj_book,physical_placement_fronted,physical_arrangement,person_first,person_first,fronted_location,False,Between Jesse's shoes is the book.,Across the full length of a long gym from Jesse is the book.,Jesse is close to the book.,Jesse is far from the book.,False,7,8,13,14,6,8,6,8
name_1__obj_book__physical_placement_fronted__object_first,1.1,name_1__obj_book__object_first,name_1__obj_book__physical_placement_fronted,name_1,obj_book,physical_placement_fronted,physical_arrangement,object_first,person_first,fronted_location,True,Between Jesse's shoes is the book.,Across the full length of a long gym from Jesse is the book.,The book is close to Jesse.,The book is far from Jesse.,False,7,8,13,14,6,7,6,7
name_1__obj_book__physical_placement_person_subject__person_first,1.1,name_1__obj_book__person_first,name_1__obj_book__physical_placement_person_subject,name_1,obj_book,physical_placement_person_subject,physical_arrangement,person_first,person_first,person_subject,False,Jesse has the book between their shoes.,Jesse is across the full length of a long gym from the book.,Jesse is close to the book.,Jesse is far from the book.,False,7,9,13,15,6,8,6,8
name_1__obj_book__physical_placement_person_subject__object_first,1.1,name_1__obj_book__object_first,name_1__obj_book__physical_placement_person_subject,name_1,obj_book,physical_placement_person_subject,physical_arrangement,object_first,person_first,person_subject,True,Jesse has the book between their shoes.,Jesse is across the full length of a long gym from the book.,The book is close to Jesse.,The book is far from Jesse.,False,7,9,13,15,6,7,6,7
