method,grouping,group,n_contexts,n_correct,accuracy,mean_gold_margin,predicted_closer,predicted_farther,predicted_unchanged,ties
pmi,condition_id+numeric_information+length_band,reference_object_moves|specific|standard,1728,755,0.4369212962962963,-0.020149182666231086,207,1521,0,0
raw,condition_id+numeric_information+length_band,reference_object_moves|specific|expanded,1728,0,0.0,-0.4011858205690428,0,0,1728,0
pmi,condition_id+numeric_information+length_band,reference_object_moves|specific|expanded,1728,856,0.49537037037037035,-0.005022439553781792,72,1656,0,0
raw,condition_id+numeric_information+length_band,both_move_same_separation|specific|compact,864,864,1.0,0.39542755843312655,0,0,864,0
pmi,condition_id+numeric_information+length_band,both_move_same_separation|specific|compact,864,0,0.0,-0.5002372022028323,90,774,0,0
raw,condition_id+numeric_information+length_band,both_move_same_separation|specific|standard,864,864,1.0,0.27325631788483373,0,0,864,0
pmi,condition_id+numeric_information+length_band,both_move_same_separation|specific|standard,864,0,0.0,-0.6420443976918856,6,858,0,0
raw,condition_id+numeric_information+length_band,both_move_same_separation|specific|expanded,864,864,1.0,0.49882826912734246,0,0,864,0
pmi,condition_id+numeric_information+length_band,both_move_same_separation|specific|expanded,864,0,0.0,-0.4237543479711921,2,862,0,0
raw,condition_id+numeric_information+length_band+outcome,direct_label|absent|direct|closer,24,14,0.5833333333333334,0.08458372453848521,14,0,10,0
pmi,condition_id+numeric_information+length_band+outcome,direct_label|absent|direct|closer,24,23,0.9583333333333334,0.2652158588171005,23,1,0,0
raw,condition_id+numeric_information+length_band+outcome,direct_label|absent|direct|farther,24,12,0.5,-0.007680838306744893,1,12,11,0
pmi,condition_id+numeric_information+length_band+outcome,direct_label|absent|direct|farther,24,24,1.0,0.33337104817231494,0,24,0,0
raw,condition_id+numeric_information+length_band+outcome,direct_label|absent|direct|unchanged,24,24,1.0,0.5538063446680704,0,0,24,0
pmi,condition_id+numeric_information+length_band+outcome,direct_label|absent|direct|unchanged,24,0,0.0,-0.2970761110385259,5,19,0,0
raw,condition_id+numeric_information+length_band+outcome,reference_object_moves|absent|compact|closer,24,0,0.0,-0.4388319750626882,0,0,24,0
pmi,condition_id+numeric_information+length_band+outcome,reference_object_moves|absent|compact|closer,24,0,0.0,-0.16647482415040335,0,24,0,0
raw,condition_id+numeric_information+length_band+outcome,reference_object_moves|absent|standard|closer,24,0,0.0,-0.2835514396429062,0,0,24,0
pmi,condition_id+numeric_information+length_band+outcome,reference_object_moves|absent|standard|closer,24,2,0.08333333333333333,-0.11010749638080597,2,22,0,0
raw,condition_id+numeric_information+length_band+outcome,reference_object_moves|absent|expanded|closer,24,0,0.0,-0.36747963229815167,0,0,24,0
pmi,condition_id+numeric_information+length_band+outcome,reference_object_moves|absent|expanded|closer,24,0,0.0,-0.17885039250055948,0,24,0,0
raw,condition_id+numeric_information+length_band+outcome,reference_object_moves|absent|compact|farther,24,0,0.0,-0.5008590519428253,0,0,24,0
pmi,condition_id+numeric_information+length_band+outcome,reference_object_moves|absent|compact|farther,24,23,0.9583333333333334,0.14372755587100983,1,23,0,0
raw,condition_id+numeric_information+length_band+outcome,reference_object_moves|absent|standard|farther,24,0,0.0,-0.423348272840182,0,0,24,0
pmi,condition_id+numeric_information+length_band+outcome,reference_object_moves|absent|standard|farther,24,22,0.9166666666666666,0.09569920102755229,2,22,0,0
raw,condition_id+numeric_information+length_band+outcome,reference_object_moves|absent|expanded|farther,24,0,0.0,-0.43181808789571124,0,0,24,0
pmi,condition_id+numeric_information+length_band+outcome,reference_object_moves|absent|expanded|farther,24,24,1.0,0.17229258020718893,0,24,0,0
raw,condition_id+numeric_information+length_band+outcome,both_move_same_separation|absent|compact|unchanged,24,24,1.0,0.30988918244838715,0,0,24,0
pmi,condition_id+numeric_information+length_band+outcome,both_move_same_separation|absent|compact|unchanged,24,0,0.0,-0.5966053356726965,0,24,0,0
raw,condition_id+numeric_information+length_band+outcome,both_move_same_separation|absent|standard|unchanged,24,24,1.0,0.13995840152104697,0,0,24,0
pmi,condition_id+numeric_information+length_band+outcome,both_move_same_separation|absent|standard|unchanged,24,0,0.0,-0.7990942299365997,0,24,0,0
raw,condition_id+numeric_information+length_band+outcome,both_move_same_separation|absent|expanded|unchanged,24,24,1.0,0.40315603216489154,0,0,24,0
pmi,condition_id+numeric_information+length_band+outcome,both_move_same_separation|absent|expanded|unchanged,24,0,0.0,-0.5453524043162664,0,24,0,0
raw,condition_id+numeric_information+length_band+outcome,reference_object_moves|specific|compact|closer,864,0,0.0,-0.537603204862939,0,0,864,0
pmi,condition_id+numeric_information+length_band+outcome,reference_object_moves|specific|compact|closer,864,0,0.0,-0.19175517393483055,0,864,0,0
raw,condition_id+numeric_information+length_band+outcome,reference_object_moves|specific|standard|closer,864,0,0.0,-0.30086292133287146,0,0,864,0
pmi,condition_id+numeric_information+length_band+outcome,reference_object_moves|specific|standard|closer,864,49,0.056712962962962965,-0.11578072897262043,49,815,0,0
raw,condition_id+numeric_information+length_band+outcome,reference_object_moves|specific|expanded|closer,864,0,0.0,-0.37366932740917913,0,0,864,0
pmi,condition_id+numeric_information+length_band+outcome,reference_object_moves|specific|expanded|closer,864,32,0.037037037037037035,-0.18430613119293143,32,832,0,0
raw,condition_id+numeric_information+length_band+outcome,reference_object_moves|specific|compact|farther,864,0,0.0,-0.5669122652875053,0,0,864,0
pmi,condition_id+numeric_information+length_band+outcome,reference_object_moves|specific|compact|farther,864,849,0.9826388888888888,0.16852165427472857,15,849,0,0
raw,condition_id+numeric_information+length_band+outcome,reference_object_moves|specific|standard|farther,864,0,0.0,-0.4415369064167694,0,0,864,0
pmi,condition_id+numeric_information+length_band+outcome,reference_object_moves|specific|standard|farther,864,706,0.8171296296296297,0.07548236364015827,158,706,0,0
raw,condition_id+numeric_information+length_band+outcome,reference_object_moves|specific|expanded|farther,864,0,0.0,-0.4287023137289065,0,0,864,0
pmi,condition_id+numeric_information+length_band+outcome,reference_object_moves|specific|expanded|farther,864,824,0.9537037037037037,0.17426125208536783,40,824,0,0
raw,condition_id+numeric_information+length_band+outcome,both_move_same_separation|specific|compact|unchanged,864,864,1.0,0.39542755843312655,0,0,864,0
pmi,condition_id+numeric_information+length_band+outcome,both_move_same_separation|specific|compact|unchanged,864,0,0.0,-0.5002372022028323,90,774,0,0
raw,condition_id+numeric_information+length_band+outcome,both_move_same_separation|specific|standard|unchanged,864,864,1.0,0.27325631788483373,0,0,864,0
pmi,condition_id+numeric_information+length_band+outcome,both_move_same_separation|specific|standard|unchanged,864,0,0.0,-0.6420443976918856,6,858,0,0
raw,condition_id+numeric_information+length_band+outcome,both_move_same_separation|specific|expanded|unchanged,864,864,1.0,0.49882826912734246,0,0,864,0
pmi,condition_id+numeric_information+length_band+outcome,both_move_same_separation|specific|expanded|unchanged,864,0,0.0,-0.4237543479711921,2,862,0,0
raw,condition_id+length_band+outcome,direct_label|direct|closer,24,14,0.5833333333333334,0.08458372453848521,14,0,10,0
pmi,condition_id+length_band+outcome,direct_label|direct|closer,24,23,0.9583333333333334,0.2652158588171005,23,1,0,0
raw,condition_id+length_band+outcome,direct_label|direct|farther,24,12,0.5,-0.007680838306744893,1,12,11,0
pmi,condition_id+length_band+outcome,direct_label|direct|farther,24,24,1.0,0.33337104817231494,0,24,0,0
raw,condition_id+length_band+outcome,direct_label|direct|unchanged,24,24,1.0,0.5538063446680704,0,0,24,0
pmi,condition_id+length_band+outcome,direct_label|direct|unchanged,24,0,0.0,-0.2970761110385259,5,19,0,0
raw,condition_id+length_band+outcome,reference_object_moves|compact|closer,888,0,0.0,-0.5349337121656349,0,0,888,0
pmi,condition_id+length_band+outcome,reference_object_moves|compact|closer,888,0,0.0,-0.19107192123795416,0,888,0,0
raw,condition_id+length_band+outcome,reference_object_moves|standard|closer,888,0,0.0,-0.3003950434493589,0,0,888,0
pmi,condition_id+length_band+outcome,reference_object_moves|standard|closer,888,51,0.057432432432432436,-0.11562739836203086,51,837,0,0
raw,condition_id+length_band+outcome,reference_object_moves|expanded|closer,888,0,0.0,-0.3735020383521243,0,0,888,0
pmi,condition_id+length_band+outcome,reference_object_moves|expanded|closer,888,32,0.036036036036036036,-0.1841586787958403,32,856,0,0
raw,condition_id+length_band+outcome,reference_object_moves|compact|farther,888,0,0.0,-0.5651270433052166,0,0,888,0
pmi,condition_id+length_band+outcome,reference_object_moves|compact|farther,888,872,0.9819819819819819,0.1678515435070605,16,872,0,0
raw,condition_id+length_band+outcome,reference_object_moves|standard|farther,888,0,0.0,-0.44104532172551025,0,0,888,0
pmi,condition_id+length_band+outcome,reference_object_moves|standard|farther,888,728,0.8198198198198198,0.07602876465062837,160,728,0,0
raw,condition_id+length_band+outcome,reference_object_moves|expanded|farther,888,0,0.0,-0.4287865238415228,0,0,888,0
pmi,condition_id+length_band+outcome,reference_object_moves|expanded|farther,888,848,0.954954954954955,0.17420804473730894,40,848,0,0
raw,condition_id+length_band+outcome,both_move_same_separation|compact|unchanged,888,888,1.0,0.393115710433539,0,0,888,0
pmi,condition_id+length_band+outcome,both_move_same_separation|compact|unchanged,888,0,0.0,-0.5028417463506665,90,798,0,0
raw,condition_id+length_band+outcome,both_move_same_separation|standard|unchanged,888,888,1.0,0.2696536714966233,0,0,888,0
pmi,condition_id+length_band+outcome,both_move_same_separation|standard|unchanged,888,0,0.0,-0.6462889877525536,6,882,0,0
raw,condition_id+length_band+outcome,both_move_same_separation|expanded|unchanged,888,888,1.0,0.49624253299322213,0,0,888,0
pmi,condition_id+length_band+outcome,both_move_same_separation|expanded|unchanged,888,0,0.0,-0.4270407819264644,2,886,0,0
raw,condition_id+numeric_information+context_entity_order+outcome,direct_label|absent|person_first|closer,12,12,1.0,0.253302405277888,12,0,0,0
pmi,condition_id+numeric_information+context_entity_order+outcome,direct_label|absent|person_first|closer,12,12,1.0,0.30194271604220074,12,0,0,0
raw,condition_id+numeric_information+context_entity_order+outcome,direct_label|absent|object_first|closer,12,2,0.16666666666666666,-0.08413495620091756,2,0,10,0
pmi,condition_id+numeric_information+context_entity_order+outcome,direct_label|absent|object_first|closer,12,11,0.9166666666666666,0.22848900159200033,11,1,0,0
raw,condition_id+numeric_information+context_entity_order+outcome,direct_label|absent|person_first|farther,12,11,0.9166666666666666,0.11525183916091919,0,11,1,0
pmi,condition_id+numeric_information+context_entity_order+outcome,direct_label|absent|person_first|farther,12,12,1.0,0.3718126316865285,0,12,0,0
raw,condition_id+numeric_information+context_entity_order+outcome,direct_label|absent|object_first|farther,12,1,0.08333333333333333,-0.13061351577440897,1,1,10,0
pmi,condition_id+numeric_information+context_entity_order+outcome,direct_label|absent|object_first|farther,12,12,1.0,0.2949294646581014,0,12,0,0
raw,condition_id+numeric_information+context_entity_order+outcome,direct_label|absent|person_first|unchanged,12,12,1.0,0.46345054109891254,0,0,12,0
pmi,condition_id+numeric_information+context_entity_order+outcome,direct_label|absent|person_first|unchanged,12,0,0.0,-0.41567381223042804,1,11,0,0
raw,condition_id+numeric_information+context_entity_order+outcome,direct_label|absent|object_first|unchanged,12,12,1.0,0.6441621482372284,0,0,12,0
pmi,condition_id+numeric_information+context_entity_order+outcome,direct_label|absent|object_first|unchanged,12,0,0.0,-0.17847840984662375,4,8,0,0
raw,condition_id+numeric_information+context_entity_order+outcome,reference_object_moves|absent|object_first|closer,36,0,0.0,-0.41267886095576817,0,0,36,0
pmi,condition_id+numeric_information+context_entity_order+outcome,reference_object_moves|absent|object_first|closer,36,1,0.027777777777777776,-0.16415774491098192,1,35,0,0
raw,condition_id+numeric_information+context_entity_order+outcome,reference_object_moves|absent|person_first|closer,36,0,0.0,-0.31389650371339584,0,0,36,0
pmi,condition_id+numeric_information+context_entity_order+outcome,reference_object_moves|absent|person_first|closer,36,1,0.027777777777777776,-0.13946406377686393,1,35,0,0
raw,condition_id+numeric_information+context_entity_order+outcome,reference_object_moves|absent|object_first|farther,36,0,0.0,-0.5048521823353238,0,0,36,0
pmi,condition_id+numeric_information+context_entity_order+outcome,reference_object_moves|absent|object_first|farther,36,34,0.9444444444444444,0.13483317030800712,2,34,0,0
raw,condition_id+numeric_information+context_entity_order+outcome,reference_object_moves|absent|person_first|farther,36,0,0.0,-0.3991647594504886,0,0,36,0
pmi,condition_id+numeric_information+context_entity_order+outcome,reference_object_moves|absent|person_first|farther,36,35,0.9722222222222222,0.13964638776249355,1,35,0,0
raw,condition_id+numeric_information+context_entity_order+outcome,both_move_same_separation|absent|person_first|unchanged,36,36,1.0,0.2719415459367964,0,0,36,0
pmi,condition_id+numeric_information+context_entity_order+outcome,both_move_same_separation|absent|person_first|unchanged,36,0,0.0,-0.6678917904694875,0,36,0,0
raw,condition_id+numeric_information+context_entity_order+outcome,both_move_same_separation|absent|object_first|unchanged,36,36,1.0,0.2967275314860874,0,0,36,0
pmi,condition_id+numeric_information+context_entity_order+outcome,both_move_same_separation|absent|object_first|unchanged,36,0,0.0,-0.6261428561475542,0,36,0,0
raw,condition_id+numeric_information+context_entity_order+outcome,reference_object_moves|specific|object_first|closer,1296,0,0.0,-0.4679471950656102,0,0,1296,0
pmi,condition_id+numeric_information+context_entity_order+outcome,reference_object_moves|specific|object_first|closer,1296,14,0.010802469135802469,-0.17234823043331687,14,1282,0,0
raw,condition_id+numeric_information+context_entity_order+outcome,reference_object_moves|specific|person_first|closer,1296,0,0.0,-0.3401431073377162,0,0,1296,0
pmi,condition_id+numeric_information+context_entity_order+outcome,reference_object_moves|specific|person_first|closer,1296,67,0.05169753086419753,-0.15554645896693806,67,1229,0,0
raw,condition_id+numeric_information+context_entity_order+outcome,reference_object_moves|specific|object_first|farther,1296,0,0.0,-0.5372771258339469,0,0,1296,0
pmi,condition_id+numeric_information+context_entity_order+outcome,reference_object_moves|specific|object_first|farther,1296,1227,0.9467592592592593,0.14615906259895842,69,1227,0,0
raw,condition_id+numeric_information+context_entity_order+outcome,reference_object_moves|specific|person_first|farther,1296,0,0.0,-0.42082386445484044,0,0,1296,0
pmi,condition_id+numeric_information+context_entity_order+outcome,reference_object_moves|specific|person_first|farther,1296,1152,0.8888888888888888,0.13268445073454468,144,1152,0,0
raw,condition_id+numeric_information+context_entity_order+outcome,both_move_same_separation|specific|person_first|unchanged,1296,1296,1.0,0.3745180160543065,0,0,1296,0
pmi,condition_id+numeric_information+context_entity_order+outcome,both_move_same_separation|specific|person_first|unchanged,1296,0,0.0,-0.5391487952919654,40,1256,0,0
raw,condition_id+numeric_information+context_entity_order+outcome,both_move_same_separation|specific|object_first|unchanged,1296,1296,1.0,0.40382341424256196,0,0,1296,0
pmi,condition_id+numeric_information+context_entity_order+outcome,both_move_same_separation|specific|object_first|unchanged,1296,0,0.0,-0.5048751699519746,58,1238,0,0
raw,context_entity_order+outcome,person_first|closer,1344,12,0.008928571428571428,-0.33414145266371115,12,0,1332,0
pmi,context_entity_order+outcome,person_first|closer,1344,80,0.05952380952380952,-0.1510309557474795,80,1264,0,0
raw,context_entity_order+outcome,object_first|closer,1344,2,0.001488095238095238,-0.46303989826923325,2,0,1342,0
pmi,context_entity_order+outcome,object_first|closer,1344,26,0.019345238095238096,-0.16854993857088543,26,1318,0,0
raw,context_entity_order+outcome,person_first|farther,1344,11,0.00818452380952381,-0.4154573196456546,0,11,1333,0
pmi,context_entity_order+outcome,person_first|farther,1344,1199,0.8921130952380952,0.13500600423486459,145,1199,0,0
raw,context_entity_order+outcome,object_first|farther,1344,1,0.000744047619047619,-0.5327776754718452,1,1,1342,0
pmi,context_entity_order+outcome,object_first|farther,1344,1273,0.9471726190476191,0.14718399764526457,71,1273,0,0
raw,context_entity_order+outcome,person_first|unchanged,1344,1344,1.0,0.37256447243548574,0,0,1344,0
pmi,context_entity_order+outcome,person_first|unchanged,1344,0,0.0,-0.541494813171171,41,1303,0,0
raw,context_entity_order+outcome,object_first|unchanged,1344,1344,1.0,0.4031006560793945,0,0,1344,0
pmi,context_entity_order+outcome,object_first|unchanged,1344,0,0.0,-0.5052091547598442,62,1282,0,0
raw,name_id,name_0,2016,680,0.3373015873015873,-0.14905324702461561,6,3,2007,0
pmi,name_id,name_0,2016,656,0.3253968253968254,-0.15017672367985285,50,1966,0,0
raw,name_id,name_1,2016,678,0.33630952380952384,-0.13660116919449397,3,3,2010,0
pmi,name_id,name_1,2016,658,0.3263888888888889,-0.15776619705415906,38,1978,0,0
raw,name_id,name_2,2016,678,0.33630952380952384,-0.17585702595256625,3,3,2010,0
pmi,name_id,name_2,2016,610,0.30257936507936506,-0.23573781922459602,307,1709,0,0
raw,name_id,name_3,2016,678,0.33630952380952384,-0.1849893695187001,3,3,2010,0
pmi,name_id,name_3,2016,654,0.3244047619047619,-0.17904916695422596,30,1986,0,0
raw,object_id,obj_cone,2688,903,0.3359375,-0.16566528149303936,4,3,2681,0
pmi,object_id,obj_cone,2688,861,0.3203125,-0.2149005773965092,188,2500,0,0
raw,object_id,obj_flag,2688,905,0.3366815476190476,-0.18940477223978155,5,4,2679,0
pmi,object_id,obj_flag,2688,899,0.33444940476190477,-0.14697156181292875,11,2677,0,0
raw,object_id,obj_bicycle,2688,906,0.33705357142857145,-0.12980555503496102,6,5,2677,0
pmi,object_id,obj_bicycle,2688,818,0.30431547619047616,-0.1801752909751875,226,2462,0,0
raw,numeric_case_id,all,288,122,0.4236111111111111,-0.08018130105402735,15,12,261,0
pmi,numeric_case_id,all,288,118,0.4097222222222222,-0.14027121249172422,33,255,0,0
raw,numeric_case_id,num_00,648,216,0.3333333333333333,-0.17342801833594287,0,0,648,0
pmi,numeric_case_id,num_00,648,199,0.30709876543209874,-0.1730998522705502,44,604,0,0
raw,numeric_case_id,num_01,648,216,0.3333333333333333,-0.16559363036979863,0,0,648,0
pmi,numeric_case_id,num_01,648,202,0.3117283950617284,-0.18288067167187916,36,612,0,0
raw,numeric_case_id,num_02,648,216,0.3333333333333333,-0.17414955574053306,0,0,648,0
pmi,numeric_case_id,num_02,648,205,0.31635802469135804,-0.18019258626449255,33,615,0,0
raw,numeric_case_id,num_03,648,216,0.3333333333333333,-0.172749071209519,0,0,648,0
pmi,numeric_case_id,num_03,648,208,0.32098765432098764,-0.17370324075957874,33,615,0,0
raw,numeric_case_id,num_04,648,216,0.3333333333333333,-0.15955054888754716,0,0,648,0
pmi,numeric_case_id,num_04,648,205,0.31635802469135804,-0.1897001012607857,28,620,0,0
raw,numeric_case_id,num_05,648,216,0.3333333333333333,-0.16036461128128898,0,0,648,0
pmi,numeric_case_id,num_05,648,203,0.3132716049382716,-0.1842043177213198,35,613,0,0
raw,numeric_case_id,num_06,648,216,0.3333333333333333,-0.17066507299005249,0,0,648,0
pmi,numeric_case_id,num_06,648,207,0.3194444444444444,-0.18777352957813828,35,613,0,0
raw,numeric_case_id,num_07,648,216,0.3333333333333333,-0.1603881319363912,0,0,648,0
pmi,numeric_case_id,num_07,648,209,0.32253086419753085,-0.19081744128539238,18,630,0,0
raw,numeric_case_id,num_08,648,216,0.3333333333333333,-0.1634398678570618,0,0,648,0
pmi,numeric_case_id,num_08,648,202,0.3117283950617284,-0.17610360461252708,39,609,0,0
raw,numeric_case_id,num_09,648,216,0.3333333333333333,-0.14681697995574386,0,0,648,0
pmi,numeric_case_id,num_09,648,206,0.31790123456790126,-0.18995464859921254,34,614,0,0
raw,numeric_case_id,num_10,648,216,0.3333333333333333,-0.16407320105735165,0,0,648,0
pmi,numeric_case_id,num_10,648,209,0.32253086419753085,-0.1793553488857952,27,621,0,0
raw,numeric_case_id,num_11,648,216,0.3333333333333333,-0.16448103516926,0,0,648,0
pmi,numeric_case_id,num_11,648,205,0.31635802469135804,-0.17836493971171202,30,618,0,0
raw,unit_id,all,288,122,0.4236111111111111,-0.08018130105402735,15,12,261,0
pmi,unit_id,all,288,118,0.4097222222222222,-0.14027121249172422,33,255,0,0
raw,unit_id,unit_metres,2592,864,0.3333333333333333,-0.18603050258056616,0,0,2592,0
pmi,unit_id,unit_metres,2592,758,0.2924382716049383,-0.17578719110216623,292,2300,0,0
raw,unit_id,unit_ft,2592,864,0.3333333333333333,-0.16415815464692352,0,0,2592,0
pmi,unit_id,unit_ft,2592,850,0.3279320987654321,-0.20036555578311285,33,2559,0,0
raw,unit_id,unit_inches,2592,864,0.3333333333333333,-0.143736273970133,0,0,2592,0
pmi,unit_id,unit_inches,2592,852,0.3287037037037037,-0.17038482377006683,67,2525,0,0
